Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
POC_R0_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R0_C1_Aligned.sortedByCoord.out.bam	15169520.0	33704545.0	5097756.0	12188552.0	694.0	7331598.0	1.09	12188552.0	7465825.0	8948860.0	3861226.0
POC_R0_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R0_C2_Aligned.sortedByCoord.out.bam	13613540.0	30386006.0	4794032.0	10516762.0	538.0	7398655.0	1.11	10516762.0	6834702.0	8237238.0	3473088.0
POC_R0_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R0_C3_Aligned.sortedByCoord.out.bam	13989966.0	31228235.0	4902875.0	11101523.0	524.0	6846344.0	1.11	11101523.0	7147267.0	8073188.0	3585100.0
POC_R0_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R0_H1_Aligned.sortedByCoord.out.bam	14238549.0	31521382.0	4628323.0	11464981.0	552.0	7491418.0	1.12	11464981.0	7059543.0	8365597.0	3666514.0
POC_R0_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R0_H2_Aligned.sortedByCoord.out.bam	13288433.0	29696258.0	4721568.0	10449024.0	520.0	6430832.0	1.11	10449024.0	6798813.0	7723773.0	3390483.0
POC_R0_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R0_H3_Aligned.sortedByCoord.out.bam	16284832.0	36230293.0	5567474.0	12541273.0	726.0	6899636.0	1.1	12541273.0	8479506.0	9637794.0	4289367.0
POC_R120_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R120_C1_Aligned.sortedByCoord.out.bam	19341262.0	43298448.0	6944857.0	14582929.0	796.0	18753683.0	1.1	14582929.0	10350966.0	11415414.0	5205103.0
POC_R120_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R120_C2_Aligned.sortedByCoord.out.bam	12860825.0	28566742.0	4321782.0	10122433.0	618.0	6664081.0	1.08	10122433.0	6420208.0	7699519.0	3279937.0
POC_R120_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R120_C3_Aligned.sortedByCoord.out.bam	14289620.0	31730311.0	4801049.0	11295556.0	626.0	7442469.0	1.13	11295556.0	7109314.0	8521470.0	3631152.0
POC_R120_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R120_H1_Aligned.sortedByCoord.out.bam	13267849.0	29741835.0	4837776.0	9833413.0	604.0	6282622.0	1.09	9833413.0	7069743.0	7996093.0	3518860.0
POC_R120_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R120_H2_Aligned.sortedByCoord.out.bam	21374720.0	47092700.0	6676295.0	16295375.0	1080.0	17030136.0	1.12	16295375.0	9257285.0	14858993.0	5124400.0
POC_R120_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R120_H3_Aligned.sortedByCoord.out.bam	13768682.0	30959689.0	5139772.0	10489154.0	554.0	7755342.0	1.11	10489154.0	7049133.0	8276968.0	3508793.0
POC_R12_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R12_C1_Aligned.sortedByCoord.out.bam	12174086.0	27167993.0	4271540.0	9606439.0	512.0	6069390.0	1.1	9606439.0	6258109.0	7028897.0	3106613.0
POC_R12_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R12_C2_Aligned.sortedByCoord.out.bam	15791289.0	35179438.0	5458516.0	12681563.0	686.0	7361628.0	1.07	12681563.0	7910538.0	9125001.0	3976172.0
POC_R12_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R12_C3_Aligned.sortedByCoord.out.bam	22691563.0	51224151.0	8764041.0	16926700.0	984.0	21247674.0	1.09	16926700.0	12460842.0	13066182.0	6094680.0
POC_R12_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R12_H1_Aligned.sortedByCoord.out.bam	14501044.0	31971563.0	4510322.0	11479284.0	568.0	6276552.0	1.11	11479284.0	7490363.0	8487360.0	3816414.0
POC_R12_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R12_H2_Aligned.sortedByCoord.out.bam	14350023.0	31715964.0	4577266.0	11461379.0	542.0	7162206.0	1.11	11461379.0	7272504.0	8400963.0	3721393.0
POC_R12_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R12_H3_Aligned.sortedByCoord.out.bam	11868005.0	26596591.0	4284786.0	8998750.0	454.0	6352718.0	1.12	8998750.0	6320792.0	6988627.0	3026412.0
POC_R1_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R1_C1_Aligned.sortedByCoord.out.bam	15414407.0	34170764.0	5065580.0	12199076.0	636.0	8441745.0	1.1	12199076.0	7949299.0	8953595.0	4047546.0
POC_R1_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R1_C2_Aligned.sortedByCoord.out.bam	19609655.0	43437443.0	6404024.0	15943891.0	880.0	10766227.0	1.08	15943891.0	9481314.0	11603732.0	4933169.0
POC_R1_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R1_C3_Aligned.sortedByCoord.out.bam	14881700.0	33134598.0	5120666.0	11633622.0	802.0	5902363.0	1.09	11633622.0	7669586.0	8707196.0	3868244.0
POC_R1_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R1_H1_Aligned.sortedByCoord.out.bam	19968464.0	45381488.0	8147143.0	14937712.0	796.0	17049888.0	1.09	14937712.0	9931350.0	12358653.0	4959064.0
POC_R1_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_PacutaV2_rRNA_removed/POC_R1_H2_Aligned.sortedByCoord.out.bam	16021640.0	36102422.0	6123432.0	12344441.0	690.0	6945771.0	1.1	12344441.0	8165155.0	9464590.0	3970820.0
