Sample	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
POC_R0_C1	4.79	47852.0	0.17	32145.0
POC_R0_C2	2.93	49664.0	0.17	31598.0
POC_R0_C3	2.34	61642.0	0.19	36536.0
POC_R0_H1	2.0	43496.0	0.16	28942.0
POC_R0_H2	2.68	45284.0	0.17	28973.0
POC_R0_H3	1.99	56534.0	0.17	36021.0
POC_R120_C1	5.45	81052.0	0.18	53273.0
POC_R120_C2	1.49	40556.0	0.16	27100.0
POC_R120_C3	2.65	43461.0	0.16	28898.0
POC_R120_H1	2.09	54545.0	0.18	32497.0
POC_R120_H2	5.83	60777.0	0.14	43534.0
POC_R120_H3	2.01	58358.0	0.18	34757.0
POC_R12_C1	1.6	41863.0	0.17	27008.0
POC_R12_C2	1.72	59392.0	0.18	36795.0
POC_R12_C3	6.25	91478.0	0.18	61065.0
POC_R12_H1	2.28	48439.0	0.16	30093.0
POC_R12_H2	2.1	47215.0	0.16	29966.0
POC_R12_H3	2.39	35745.0	0.15	23566.0
POC_R1_C1	2.47	49644.0	0.16	32104.0
POC_R1_C2	4.09	58282.0	0.15	37849.0
POC_R1_C3	2.79	52936.0	0.18	33945.0
POC_R1_H1	5.31	81158.0	0.18	53523.0
POC_R1_H2	4.9	54917.0	0.18	36204.0
POC_R1_H3	2.82	61256.0	0.18	36376.0
POC_R24_C1	8.17	61849.0	0.18	38053.0
POC_R24_C2	4.26	52785.0	0.19	31269.0
POC_R24_C3	1.94	55965.0	0.16	36823.0
POC_R24_H1	2.19	44839.0	0.16	29777.0
POC_R24_H2	3.41	40864.0	0.16	26388.0
POC_R24_H3	2.09	46176.0	0.16	29141.0
POC_R3_C1	3.18	48277.0	0.16	31736.0
POC_R3_C2	2.49	48805.0	0.17	31660.0
POC_R3_C3	1.86	68801.0	0.18	40601.0
POC_R3_H1	11.03	40131.0	0.16	25351.0
POC_R3_H2	6.72	66311.0	0.15	45756.0
POC_R3_H3	2.48	42732.0	0.15	26205.0
POC_R72_C1	1.85	45638.0	0.16	30043.0
POC_R72_C2	14.71	59356.0	0.17	39049.0
POC_R72_C3	1.78	45743.0	0.16	29306.0
POC_R72_H1	1.71	59568.0	0.17	37248.0
POC_R72_H2	2.0	44894.0	0.16	27900.0
POC_R72_H3	2.07	51840.0	0.2	30362.0
