Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
POC_R0_C1	19155605.0	276.0	32145.0	0.17	235.87	13320.0	10598.0	11869.0	67.0	4.0	1380.0	3.57	0.08	1.72	0.05	2.0	15707.0	0.08	101531.0	0.53	0.0	98.88	0.34	0	18941093	65129
POC_R0_C2	18332777.0	275.0	31598.0	0.17	234.4	9860.0	7548.0	8721.0	56.0	1.0	1082.0	3.68	0.09	1.49	0.05	1.51	18066.0	0.1	379565.0	2.07	0.0	96.29	1.36	0	17654200	249348
POC_R0_C3	19413836.0	275.0	36536.0	0.19	236.54	11102.0	8557.0	9770.0	58.0	3.0	1271.0	3.65	0.11	1.3	0.08	1.41	25106.0	0.13	760752.0	3.92	0.0	93.17	2.59	0	18088603	502839
POC_R0_H1	18505556.0	276.0	28942.0	0.16	236.11	10114.0	7869.0	8976.0	41.0	0.0	1097.0	3.57	0.08	1.67	0.05	1.87	14556.0	0.08	176492.0	0.95	0.0	98.17	0.65	0	18165291	120275
POC_R0_H2	17194253.0	276.0	28973.0	0.17	237.77	9485.0	7365.0	8428.0	50.0	0.0	1007.0	3.53	0.09	1.72	0.06	1.53	16312.0	0.09	242279.0	1.41	0.0	97.36	0.96	0	16741611	165078
POC_R0_H3	20720904.0	277.0	36021.0	0.17	235.59	12821.0	9884.0	11394.0	40.0	2.0	1385.0	3.64	0.08	1.5	0.05	1.51	20513.0	0.1	346814.0	1.67	0.0	96.89	1.17	0	20075138	242418
POC_R120_C1	29678285.0	266.0	53273.0	0.18	223.52	20136.0	15745.0	17827.0	106.0	7.0	2196.0	3.8	0.07	1.71	0.04	1.67	27780.0	0.09	368240.0	1.24	0.0	97.79	0.7	0	29021252	207740
POC_R120_C2	16540844.0	276.0	27100.0	0.16	234.79	10336.0	8034.0	9192.0	54.0	1.0	1089.0	3.63	0.08	1.78	0.05	1.93	13457.0	0.08	110061.0	0.67	0.0	98.66	0.43	0	16319101	71125
POC_R120_C3	18412529.0	276.0	28898.0	0.16	235.82	11489.0	8961.0	10179.0	53.0	0.0	1257.0	3.6	0.08	1.75	0.05	1.96	14564.0	0.08	122949.0	0.67	0.0	98.65	0.45	0	18163265	82853
POC_R120_H1	18059569.0	276.0	32497.0	0.18	238.99	9648.0	7607.0	8535.0	39.0	0.0	1074.0	3.58	0.12	1.35	0.08	1.39	22048.0	0.12	621567.0	3.44	0.0	93.87	2.39	0	16951850	431607
POC_R120_H2	30156569.0	276.0	43534.0	0.14	236.46	18012.0	14529.0	16236.0	82.0	0.0	1694.0	3.64	0.07	1.94	0.04	2.17	17243.0	0.06	56493.0	0.19	0.0	99.47	0.14	0	29997079	42220
POC_R120_H3	19432523.0	276.0	34757.0	0.18	239.86	10017.0	7701.0	8933.0	56.0	0.0	1028.0	3.52	0.11	1.4	0.08	1.62	23602.0	0.12	673893.0	3.47	0.0	93.91	2.32	0	18249428	450843
POC_R12_C1	15950909.0	277.0	27008.0	0.17	237.64	8233.0	6351.0	7380.0	31.0	0.0	822.0	3.55	0.09	1.58	0.07	1.76	14855.0	0.09	270819.0	1.7	0.0	96.91	1.13	0	15457982	180245
POC_R12_C2	20841125.0	277.0	36795.0	0.18	237.89	10983.0	8429.0	9768.0	51.0	2.0	1162.0	3.62	0.11	1.45	0.07	1.45	22597.0	0.11	511407.0	2.45	0.0	95.62	1.64	0	19928527	341799
POC_R12_C3	34184331.0	266.0	61065.0	0.18	224.84	24617.0	19473.0	21876.0	79.0	3.0	2659.0	3.73	0.07	1.66	0.05	1.83	30416.0	0.09	336457.0	0.98	0.0	98.19	0.56	0	33564964	191429
POC_R12_H1	18800091.0	277.0	30093.0	0.16	236.23	7333.0	5638.0	6597.0	39.0	0.0	697.0	3.64	0.1	1.41	0.07	1.49	18346.0	0.1	436951.0	2.32	0.0	95.85	1.57	0	18019545	295156
POC_R12_H2	18767083.0	277.0	29966.0	0.16	235.89	8317.0	6403.0	7494.0	29.0	2.0	792.0	3.63	0.09	1.5	0.05	1.6	17249.0	0.09	308944.0	1.65	0.0	97.01	1.1	0	18204502	206422
POC_R12_H3	15294654.0	276.0	23566.0	0.15	241.0	6798.0	5210.0	6085.0	38.0	0.0	675.0	3.35	0.09	1.93	0.07	2.28	12179.0	0.08	82047.0	0.54	0.0	98.86	0.37	0	15120272	56590
POC_R1_C1	20322596.0	275.0	32104.0	0.16	235.76	10841.0	8328.0	9651.0	50.0	0.0	1140.0	3.56	0.08	1.6	0.05	1.77	17540.0	0.09	245497.0	1.21	0.0	97.76	0.79	0	19866910	160545
POC_R1_C2	25354966.0	275.0	37849.0	0.15	235.77	19430.0	15538.0	17196.0	70.0	5.0	2159.0	3.54	0.08	1.89	0.06	2.11	20434.0	0.08	102264.0	0.4	0.0	99.08	0.29	0	25120892	73527
POC_R1_C3	18780811.0	276.0	33945.0	0.18	236.23	11468.0	8887.0	10177.0	52.0	6.0	1233.0	3.61	0.08	1.53	0.05	1.59	18991.0	0.1	342315.0	1.82	0.0	96.66	1.24	0	18152689	232871
POC_R1_H1	29405414.0	267.0	53523.0	0.18	226.63	18661.0	14359.0	16351.0	99.0	4.0	2207.0	3.75	0.08	1.73	0.05	1.84	27635.0	0.09	371214.0	1.26	0.0	97.78	0.69	0	28750162	202880
POC_R1_H2	20024009.0	277.0	36204.0	0.18	238.83	11150.0	8454.0	9814.0	47.0	0.0	1289.0	3.48	0.08	1.8	0.06	1.95	18713.0	0.09	178142.0	0.89	0.0	98.23	0.61	0	19668808	122142
POC_R1_H3	19823541.0	276.0	36376.0	0.18	238.95	10135.0	7548.0	8823.0	50.0	1.0	1261.0	3.51	0.11	1.44	0.07	1.45	24880.0	0.13	587785.0	2.97	0.0	94.73	1.99	0	18779987	394513
POC_R24_C1	21120682.0	277.0	38053.0	0.18	238.75	10670.0	8080.0	9292.0	58.0	1.0	1319.0	3.55	0.11	1.41	0.07	1.47	23796.0	0.11	583790.0	2.76	0.0	95.05	1.89	0	20075849	399194
