Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
POC_R0_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Pcomp/POC_R0_C1_Aligned.sortedByCoord.out.bam	47852.0	162220.0	93692.0	13114.0	0.0	38215506.0	4.79	13114.0	19718.0	29198.0	10540.0
POC_R0_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Pcomp/POC_R0_C2_Aligned.sortedByCoord.out.bam	49664.0	175668.0	100398.0	11062.0	0.0	36566226.0	2.93	11062.0	16216.0	31130.0	9003.0
POC_R0_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Pcomp/POC_R0_C3_Aligned.sortedByCoord.out.bam	61642.0	228004.0	131418.0	11864.0	0.0	38704388.0	2.34	11864.0	18422.0	33772.0	8962.0
POC_R0_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Pcomp/POC_R0_H1_Aligned.sortedByCoord.out.bam	43496.0	148458.0	84647.0	11357.0	0.0	36924118.0	2.0	11357.0	16100.0	27696.0	8873.0
POC_R0_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Pcomp/POC_R0_H2_Aligned.sortedByCoord.out.bam	45284.0	157419.0	92606.0	11116.0	0.0	34297937.0	2.68	11116.0	15749.0	27846.0	8353.0
POC_R0_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Pcomp/POC_R0_H3_Aligned.sortedByCoord.out.bam	56534.0	196430.0	114968.0	13892.0	0.0	41328740.0	1.99	13892.0	19394.0	34536.0	11202.0
POC_R120_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Pcomp/POC_R120_C1_Aligned.sortedByCoord.out.bam	81052.0	281917.0	158502.0	18511.0	0.0	59194465.0	5.45	18511.0	33206.0	51324.0	14920.0
POC_R120_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Pcomp/POC_R120_C2_Aligned.sortedByCoord.out.bam	40556.0	136629.0	78701.0	10534.0	0.0	33000575.0	1.49	10534.0	15810.0	26068.0	8685.0
POC_R120_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Pcomp/POC_R120_C3_Aligned.sortedByCoord.out.bam	43461.0	147667.0	85944.0	11662.0	0.0	36738135.0	2.65	11662.0	17316.0	26741.0	9152.0
POC_R120_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Pcomp/POC_R120_H1_Aligned.sortedByCoord.out.bam	54545.0	199186.0	116976.0	11180.0	0.0	36010048.0	2.09	11180.0	16750.0	29036.0	8191.0
POC_R120_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Pcomp/POC_R120_H2_Aligned.sortedByCoord.out.bam	60777.0	196390.0	106926.0	22026.0	0.0	60191584.0	5.83	22026.0	24540.0	39436.0	12897.0
POC_R120_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Pcomp/POC_R120_H3_Aligned.sortedByCoord.out.bam	58358.0	215403.0	125018.0	13660.0	0.0	38748329.0	2.01	13660.0	18022.0	30007.0	8067.0
POC_R12_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Pcomp/POC_R12_C1_Aligned.sortedByCoord.out.bam	41863.0	145412.0	84116.0	9954.0	0.0	31818092.0	1.6	9954.0	13842.0	26764.0	8222.0
POC_R12_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Pcomp/POC_R12_C2_Aligned.sortedByCoord.out.bam	59392.0	211216.0	124296.0	12866.0	0.0	41563466.0	1.72	12866.0	18574.0	34810.0	10350.0
POC_R12_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Pcomp/POC_R12_C3_Aligned.sortedByCoord.out.bam	91478.0	316809.0	176298.0	20406.0	0.0	68185703.0	6.25	20406.0	39663.0	58070.0	18939.0
POC_R12_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Pcomp/POC_R12_H1_Aligned.sortedByCoord.out.bam	48439.0	173684.0	101608.0	10204.0	0.0	37503304.0	2.28	10204.0	14180.0	30260.0	8832.0
