Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
POR_R0_C1	0.87	197968.0
POR_R0_C2	0.99	184147.0
POR_R0_C3	0.62	104570.0
POR_R0_H1	0.75	123567.0
POR_R0_H2	0.98	190195.0
POR_R0_H3	0.81	155819.0
POR_R120_C1	1.24	600478.0
POR_R120_C2	0.65	134799.0
POR_R120_C3	0.91	191836.0
POR_R120_H1	0.66	217360.0
POR_R120_H2	0.48	94616.0
POR_R120_H3	0.89	153063.0
POR_R12_C1	1.06	158289.0
POR_R12_C2	0.75	136506.0
POR_R12_C3	1.06	159832.0
POR_R12_H1	0.71	127868.0
POR_R12_H2	0.67	139230.0
POR_R12_H3	0.71	142841.0
POR_R1_C1	0.84	134819.0
POR_R1_C2	0.81	121401.0
POR_R1_C3	0.8	129368.0
POR_R1_H1	0.98	182696.0
POR_R1_H2	1.05	183083.0
POR_R1_H3	0.93	203210.0
POR_R24_C1	0.63	135066.0
POR_R24_C2	1.0	159351.0
POR_R24_C3	1.08	404933.0
POR_R24_H1	0.91	157639.0
POR_R24_H2	0.71	111320.0
POR_R24_H3	0.64	132291.0
POR_R3_C1	0.69	105952.0
POR_R3_C2	0.8	214320.0
POR_R3_C3	1.07	160174.0
POR_R3_H1	0.82	254072.0
POR_R3_H2	0.75	147942.0
POR_R3_H3	0.89	161835.0
POR_R72_C1	0.97	153366.0
POR_R72_C2	0.89	157347.0
POR_R72_C3	2.83	434953.0
POR_R72_H1	1.23	189549.0
POR_R72_H2	1.0	152116.0
POR_R72_H3	0.62	100304.0
