Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
POR_R0_C1	22794527.0	276.0	197968.0	0.87	217.86	36365.0	0.0	21238.0	10247.0	13.0	4867.0	4.05	0.01	2.72	0.09	1.94	1199826.0	5.26	292630.0	1.28	0.0	92.57	0.01	0	21101823	2280
POR_R0_C2	18534989.0	275.0	184147.0	0.99	219.32	32846.0	0.0	19111.0	9546.0	16.0	4173.0	4.01	0.01	2.38	0.11	1.97	1018365.0	5.49	236239.0	1.27	0.0	92.23	0.01	0	17094385	1853
POR_R0_C3	16973590.0	273.0	104570.0	0.62	221.17	35622.0	0.0	20728.0	10488.0	12.0	4394.0	3.88	0.02	3.03	0.1	2.02	601852.0	3.55	130092.0	0.77	0.0	95.05	0.02	0	16133681	3395
POR_R0_H1	16457340.0	275.0	123567.0	0.75	214.95	8559.0	0.0	4771.0	2386.0	6.0	1396.0	4.17	0.01	1.69	0.11	1.9	1032031.0	6.27	193142.0	1.17	0.0	91.8	0.01	0	15106954	1646
POR_R0_H2	19312110.0	273.0	190195.0	0.98	216.39	21063.0	0.0	11751.0	5876.0	6.0	3430.0	4.1	0.01	2.07	0.11	1.93	1245490.0	6.45	261732.0	1.36	0.0	91.2	0.01	0	17612762	1931
POR_R0_H3	19298869.0	275.0	155819.0	0.81	216.54	13636.0	0.0	7652.0	3874.0	2.0	2108.0	4.12	0.01	1.78	0.11	1.91	1053852.0	5.46	219818.0	1.14	0.0	92.58	0.01	0	17867450	1930
POR_R120_C1	48328377.0	259.0	600478.0	1.24	206.73	96458.0	0.0	53780.0	26797.0	24.0	15857.0	4.25	0.01	2.07	0.09	1.96	4366274.0	9.03	934434.0	1.93	0.0	87.78	0.01	0	42422358	4833
POR_R120_C2	20884976.0	275.0	134799.0	0.65	220.9	36487.0	0.0	21372.0	10704.0	15.0	4396.0	3.94	0.02	2.7	0.11	1.97	782032.0	3.74	167923.0	0.8	0.0	94.79	0.02	0	19796045	4177
POR_R120_C3	21022157.0	274.0	191836.0	0.91	217.1	33692.0	0.0	19502.0	9662.0	18.0	4510.0	4.07	0.01	2.38	0.1	1.9	1597383.0	7.6	290755.0	1.38	0.0	90.1	0.01	0	18940081	2102
POR_R120_H1	32803193.0	268.0	217360.0	0.66	235.79	276166.0	0.0	161538.0	83755.0	74.0	30799.0	3.08	0.07	3.55	0.06	2.86	316993.0	0.97	83884.0	0.26	0.0	98.07	0.05	0	32168555	16401
POR_R120_H2	19787541.0	276.0	94616.0	0.48	240.66	124739.0	0.0	73856.0	37574.0	38.0	13271.0	3.11	0.07	3.74	0.06	3.08	116693.0	0.59	28868.0	0.15	0.0	98.75	0.03	0	19541427	5937
POR_R120_H3	17159924.0	273.0	153063.0	0.89	217.01	21925.0	0.0	12527.0	6253.0	6.0	3139.0	4.09	0.01	2.13	0.11	1.88	1055575.0	6.15	220537.0	1.29	0.0	91.66	0.01	0	15729033	1716
POR_R12_C1	14882175.0	274.0	158289.0	1.06	217.43	19355.0	0.0	11173.0	5488.0	11.0	2683.0	4.07	0.01	1.95	0.12	1.92	1039702.0	6.99	227406.0	1.53	0.0	90.41	0.01	0	13455290	1488
POR_R12_C2	18254907.0	276.0	136506.0	0.75	228.71	86564.0	0.0	51474.0	25613.0	19.0	9458.0	3.6	0.04	3.35	0.09	2.12	573737.0	3.14	128198.0	0.7	0.0	95.38	0.02	0	17412815	3651
POR_R12_C3	15086708.0	276.0	159832.0	1.06	220.52	33399.0	0.0	19522.0	9947.0	7.0	3923.0	3.96	0.01	2.33	0.11	1.95	930519.0	6.17	213976.0	1.42	0.0	91.34	0.01	0	13780872	1509
POR_R12_H1	18094926.0	274.0	127868.0	0.71	236.87	146306.0	0.0	86824.0	43905.0	45.0	15532.0	3.21	0.07	3.59	0.07	2.67	297312.0	1.64	63778.0	0.35	0.0	97.25	0.04	0	17598729	7239
POR_R12_H2	20719114.0	276.0	139230.0	0.67	231.07	101271.0	0.0	59709.0	30078.0	30.0	11454.0	3.5	0.05	3.47	0.08	2.24	474888.0	2.29	114211.0	0.55	0.0	96.46	0.03	0	19984570	6215
