Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
POR_R0_C1	0.82	186118.0
POR_R0_C2	0.88	163746.0
POR_R0_C3	0.72	122043.0
POR_R0_H1	1.18	194238.0
POR_R0_H2	1.3	251975.0
POR_R0_H3	0.95	182684.0
POR_R120_C1	3.01	1454745.0
POR_R120_C2	0.62	129350.0
POR_R120_C3	1.42	298372.0
POR_R120_H1	0.18	60274.0
POR_R120_H2	0.08	14961.0
POR_R120_H3	1.2	205083.0
POR_R12_C1	1.31	195435.0
POR_R12_C2	0.48	87102.0
POR_R12_C3	0.91	137039.0
POR_R12_H1	0.31	55772.0
POR_R12_H2	0.36	74109.0
POR_R12_H3	0.64	128695.0
POR_R1_C1	1.58	253406.0
POR_R1_C2	0.78	117855.0
POR_R1_C3	1.02	164033.0
POR_R1_H1	1.25	234249.0
POR_R1_H2	1.18	205430.0
POR_R1_H3	0.84	183333.0
POR_R24_C1	0.66	140409.0
POR_R24_C2	0.98	157553.0
POR_R24_C3	2.94	1107381.0
POR_R24_H1	1.38	238122.0
POR_R24_H2	0.48	75682.0
POR_R24_H3	0.43	89180.0
POR_R3_C1	0.66	101745.0
POR_R3_C2	1.12	301735.0
POR_R3_C3	1.02	152318.0
POR_R3_H1	1.31	404421.0
POR_R3_H2	0.31	61099.0
POR_R3_H3	1.02	185167.0
POR_R72_C1	0.97	153080.0
POR_R72_C2	0.74	130977.0
POR_R72_C3	1.07	164793.0
POR_R72_H1	1.93	298865.0
POR_R72_H2	1.27	192708.0
POR_R72_H3	0.38	60563.0
