Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
POR_R0_C1	22794527.0	276.0	186118.0	0.82	223.37	3666.0	0.0	751.0	25.0	0.0	2890.0	3.04	0.02	1.03	0.0	1.91	952641.0	4.18	2050.0	0.01	0.0	95.0	0.0	0	21653718	0
POR_R0_C2	18534989.0	275.0	163746.0	0.88	213.62	4034.0	0.0	1133.0	9.0	0.0	2892.0	3.39	0.01	1.05	0.01	1.95	771253.0	4.16	2050.0	0.01	0.0	94.94	0.0	0	17597940	0
POR_R0_C3	16973590.0	273.0	122043.0	0.72	213.42	2773.0	0.0	706.0	12.0	0.0	2055.0	3.37	0.01	1.05	0.01	1.95	415002.0	2.44	1500.0	0.01	0.0	96.83	0.0	0	16435045	0
POR_R0_H1	16457340.0	275.0	194238.0	1.18	212.5	3145.0	0.0	836.0	6.0	0.0	2303.0	3.4	0.01	1.04	0.0	1.94	739267.0	4.49	2359.0	0.01	0.0	94.31	0.0	0	15521476	0
POR_R0_H2	19312110.0	273.0	251975.0	1.3	213.33	5437.0	0.0	1420.0	5.0	0.0	4012.0	3.38	0.01	1.05	0.01	1.98	857694.0	4.44	2688.0	0.01	0.0	94.24	0.0	0	18199753	0
POR_R0_H3	19298869.0	275.0	182684.0	0.95	213.52	4160.0	0.0	1007.0	22.0	0.0	3131.0	3.37	0.01	1.05	0.01	1.98	787192.0	4.08	2347.0	0.01	0.0	94.96	0.0	0	18326646	0
POR_R120_C1	48328377.0	259.0	1454745.0	3.01	200.08	30255.0	0.0	6701.0	71.0	0.0	23483.0	3.32	0.01	1.07	0.01	1.94	2303333.0	4.77	10337.0	0.02	0.0	92.2	0.0	0	44559962	0
POR_R120_C2	20884976.0	275.0	129350.0	0.62	213.42	2865.0	0.0	687.0	22.0	0.0	2156.0	3.38	0.01	1.07	0.01	1.88	592531.0	2.84	1628.0	0.01	0.0	96.54	0.0	0	20161467	0
POR_R120_C3	21022157.0	274.0	298372.0	1.42	212.67	4403.0	0.0	1184.0	21.0	0.0	3198.0	3.33	0.01	1.08	0.0	1.92	1139177.0	5.42	3624.0	0.02	0.0	93.14	0.0	0	19580984	0
POR_R120_H1	32803193.0	268.0	60274.0	0.18	215.08	1476.0	0.0	333.0	121.0	0.0	1022.0	3.04	0.03	1.04	0.0	2.14	169872.0	0.52	2167.0	0.01	0.0	99.29	0.0	0	32570880	0
POR_R120_H2	19787541.0	276.0	14961.0	0.08	214.57	573.0	0.0	205.0	67.0	0.0	301.0	3.39	0.02	1.14	0.01	2.24	68577.0	0.35	453.0	0.0	0.0	99.57	0.0	0	19703550	0
POR_R120_H3	17159924.0	273.0	205083.0	1.2	215.84	4512.0	0.0	973.0	27.0	0.0	3512.0	3.3	0.01	1.07	0.0	1.94	762291.0	4.44	2210.0	0.01	0.0	94.35	0.0	0	16190340	0
POR_R12_C1	14882175.0	274.0	195435.0	1.31	216.55	4772.0	0.0	1031.0	11.0	0.0	3730.0	3.29	0.01	1.07	0.0	1.94	767806.0	5.16	1974.0	0.01	0.0	93.51	0.0	0	13916960	0
POR_R12_C2	18254907.0	276.0	87102.0	0.48	217.88	1961.0	0.0	470.0	46.0	0.0	1445.0	3.29	0.01	1.12	0.0	1.88	436880.0	2.39	1169.0	0.01	0.0	97.12	0.0	0	17729756	0
