Sample	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
POR_R0_C1	3.04	165752.0	0.42	96352.0
POR_R0_C2		140671.0	0.4	73593.0
POR_R0_C3	1.54	153404.0	0.57	96025.0
POR_R0_H1	1.94	152652.0	0.49	80713.0
POR_R0_H2	1.65	186718.0	0.48	92527.0
POR_R0_H3	18.38	168908.0	0.48	92851.0
POR_R120_C1	14.09	682224.0	0.57	275478.0
POR_R120_C2	6.27	187560.0	0.58	121986.0
POR_R120_C3	4.06	203634.0	0.48	100524.0
POR_R120_H1	1.51	208572.0	0.47	154906.0
POR_R120_H2	2.43	91678.0	0.33	65646.0
POR_R120_H3	8.91	159860.0	0.49	84630.0
POR_R12_C1	6.45	134187.0	0.43	63916.0
POR_R12_C2	4.82	139176.0	0.51	93417.0
POR_R12_C3	1.2	124544.0	0.45	68518.0
POR_R12_H1	7.0	108452.0	0.39	70648.0
POR_R12_H2	4.78	138982.0	0.47	97233.0
POR_R12_H3	10.08	178080.0	0.58	116048.0
POR_R1_C1	3.94	196508.0	0.6	95817.0
POR_R1_C2	3.1	129219.0	0.51	76652.0
POR_R1_C3	2.44	160200.0	0.55	88108.0
POR_R1_H1		203457.0	0.56	103890.0
POR_R1_H2	2.56	148819.0	0.41	71263.0
POR_R1_H3		199769.0	0.52	113528.0
POR_R24_C1	4.67	199648.0	0.59	126745.0
POR_R24_C2	1.7	145717.0	0.5	80561.0
POR_R24_C3	2.68	532368.0	0.59	222282.0
POR_R24_H1		170086.0	0.48	83417.0
POR_R24_H2	1.69	123552.0	0.52	81992.0
POR_R24_H3	1.71	150192.0	0.48	100219.0
POR_R3_C1	2.2	147204.0	0.63	96808.0
POR_R3_C2	5.06	248965.0	0.54	146604.0
POR_R3_C3	22.86	134112.0	0.47	70550.0
POR_R3_H1	4.53	313854.0	0.55	169275.0
POR_R3_H2	2.15	146167.0	0.52	101559.0
POR_R3_H3	2.36	161170.0	0.48	87871.0
POR_R72_C1		149296.0	0.51	80622.0
POR_R72_C2	7.13	156659.0	0.55	97140.0
POR_R72_C3	17.92	144944.0	0.53	82065.0
POR_R72_H1		192186.0	0.49	75703.0
POR_R72_H2		145776.0	0.47	70830.0
POR_R72_H3	10.67	133188.0	0.58	93803.0
