Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
POR_R0_C1	22794527.0	276.0	96352.0	0.42	239.6	6928.0	4599.0	6229.0	22.0	0.0	677.0	4.0	0.02	2.52	0.32	1.04	69400.0	0.3	866888.0	3.8	0.0	95.45	0.02	0	21757328	4559
POR_R0_C2	18534989.0	275.0	73593.0	0.4	241.66	5156.0	2842.0	4488.0	60.0	1.0	607.0	3.92	0.03	2.31	0.35	1.05	67078.0	0.36	698313.0	3.77	0.0	95.45	0.02	0	17692298	3707
POR_R0_C3	16973590.0	273.0	96025.0	0.57	238.38	8757.0	5839.0	7703.0	62.0	12.0	980.0	3.87	0.05	2.41	0.24	1.13	57379.0	0.34	417070.0	2.46	0.0	96.61	0.03	0	16398024	5092
POR_R0_H1	16457340.0	275.0	80713.0	0.49	240.21	5729.0	3313.0	5213.0	99.0	10.0	407.0	3.98	0.02	2.2	0.35	1.03	71940.0	0.44	743174.0	4.52	0.0	94.54	0.02	0	15558222	3291
POR_R0_H2	19312110.0	273.0	92527.0	0.48	239.59	7324.0	4538.0	6574.0	95.0	6.0	649.0	4.01	0.02	1.77	0.37	1.03	94191.0	0.49	880767.0	4.56	0.0	94.45	0.02	0	18240762	3863
POR_R0_H3	19298869.0	275.0	92851.0	0.48	239.9	7688.0	4572.0	7012.0	106.0	0.0	570.0	3.94	0.03	2.06	0.32	1.05	76057.0	0.39	750773.0	3.89	0.0	95.22	0.02	0	18375328	3860
POR_R120_C1	48328377.0	259.0	275478.0	0.57	234.76	17849.0	6551.0	15704.0	152.0	6.0	1987.0	4.1	0.02	1.45	0.37	1.02	406751.0	0.84	3452763.0	7.14	0.0	91.42	0.03	0	44178887	14498
POR_R120_C2	20884976.0	275.0	121986.0	0.58	240.64	13858.0	9729.0	12904.0	78.0	9.0	867.0	3.82	0.04	2.38	0.23	1.19	65578.0	0.31	551308.0	2.64	0.0	96.44	0.02	0	20141927	4177
POR_R120_C3	21022157.0	274.0	100524.0	0.48	241.85	5372.0	2350.0	4884.0	68.0	0.0	420.0	4.03	0.01	1.64	0.41	1.02	103112.0	0.49	1166082.0	5.55	0.0	93.47	0.01	0	19650337	2102
POR_R120_H1	32803193.0	268.0	154906.0	0.47	233.25	16322.0	10058.0	13421.0	96.0	28.0	2777.0	3.76	0.08	2.74	0.13	1.42	53672.0	0.16	180079.0	0.55	0.0	98.78	0.04	0	32401415	13121
POR_R120_H2	19787541.0	276.0	65646.0	0.33	238.44	9857.0	6581.0	8556.0	59.0	5.0	1237.0	3.6	0.1	2.76	0.13	1.63	26035.0	0.13	60405.0	0.31	0.0	99.2	0.03	0	19629519	5936
POR_R120_H3	17159924.0	273.0	84630.0	0.49	240.81	4761.0	2684.0	4102.0	70.0	1.0	588.0	3.95	0.03	2.05	0.35	1.03	75230.0	0.44	766131.0	4.46	0.0	94.58	0.02	0	16230501	3432
POR_R12_C1	14882175.0	274.0	63916.0	0.43	241.21	3564.0	1947.0	3155.0	27.0	2.0	380.0	4.04	0.02	1.87	0.4	1.02	70271.0	0.47	746280.0	5.01	0.0	94.07	0.01	0	14000220	1488
POR_R12_C2	18254907.0	276.0	93417.0	0.51	237.57	9146.0	6229.0	8276.0	65.0	6.0	799.0	3.9	0.05	2.39	0.22	1.13	45764.0	0.25	390075.0	2.14	0.0	97.08	0.02	0	17722000	3651
POR_R12_C3	15086708.0	276.0	68518.0	0.45	241.59	6415.0	3846.0	5952.0	51.0	6.0	406.0	3.96	0.02	1.82	0.33	1.06	56026.0	0.37	657074.0	4.36	0.0	94.8	0.02	0	14302073	3017
POR_R12_H1	18094926.0	274.0	70648.0	0.39	235.95	8475.0	5126.0	7283.0	79.0	4.0	1109.0	3.75	0.09	2.37	0.17	1.27	37805.0	0.21	187720.0	1.04	0.0	98.33	0.04	0	17791516	7237
POR_R12_H2	20719114.0	276.0	97233.0	0.47	236.2	8576.0	5427.0	7637.0	63.0	3.0	873.0	3.9	0.05	2.35	0.2	1.13	41751.0	0.2	307617.0	1.48	0.0	97.81	0.03	0	20266297	6216
POR_R12_H3	20149061.0	275.0	116048.0	0.58	237.04	6886.0	3800.0	5697.0	36.0	15.0	1138.0	3.93	0.05	2.62	0.24	1.08	62035.0	0.31	506902.0	2.52	0.0	96.58	0.02	0	19460046	4030
POR_R1_C1	15994188.0	273.0	95817.0	0.6	240.87	9324.0	3009.0	8679.0	160.0	0.0	485.0	4.01	0.02	1.68	0.36	1.03	100691.0	0.63	874954.0	5.47	0.0	93.27	0.03	0	14917928	4798
POR_R1_C2	15014549.0	275.0	76652.0	0.51	240.11	6514.0	4217.0	5800.0	59.0	17.0	638.0	3.87	0.04	2.33	0.27	1.08	52567.0	0.35	462180.0	3.08	0.0	96.04	0.02	0	14420147	3003
POR_R1_C3	16155170.0	273.0	88108.0	0.55	238.43	7038.0	3903.0	6140.0	71.0	10.0	817.0	3.96	0.04	1.99	0.29	1.06	72094.0	0.45	579180.0	3.59	0.0	95.39	0.03	0	15410941	4847
POR_R1_H1	18689639.0	274.0	103890.0	0.56	242.37	14530.0	2832.0	12850.0	453.0	0.0	1227.0	3.91	0.02	1.77	0.32	1.03	99569.0	0.53	922816.0	4.94	0.0	93.83	0.14	0	17537197	26167
POR_R1_H2	17470187.0	275.0	71263.0	0.41	242.87	4671.0	2145.0	4160.0	61.0	2.0	448.0	3.98	0.02	1.92	0.4	1.02	77556.0	0.44	831873.0	4.76	0.0	94.36	0.03	0	16484254	5241
POR_R1_H3	21850264.0	275.0	113528.0	0.52	241.71	10269.0	4866.0	8975.0	125.0	5.0	1164.0	3.83	0.04	2.38	0.27	1.09	86242.0	0.39	777085.0	3.56	0.0	95.49	0.04	0	20864669	8740
POR_R24_C1	21431880.0	275.0	126745.0	0.59	239.41	12673.0	8685.0	11536.0	111.0	19.0	1007.0	3.86	0.04	2.31	0.24	1.14	72907.0	0.34	574941.0	2.68	0.0	96.36	0.03	0	20650858	6429
POR_R24_C2	15996585.0	275.0	80561.0	0.5	240.89	7131.0	4299.0	6575.0	72.0	7.0	477.0	3.95	0.02	2.0	0.32	1.07	65156.0	0.41	656994.0	4.11	0.0	94.97	0.02	0	15190675	3199
POR_R24_C3	37618495.0	260.0	222282.0	0.59	236.6	11574.0	3386.0	9337.0	235.0	7.0	1995.0	3.97	0.02	1.82	0.37	1.02	310088.0	0.82	2562386.0	6.81	0.0	91.71	0.06	0	34501167	22572
POR_R24_H1	17263898.0	274.0	83417.0	0.48	244.22	9033.0	3078.0	7972.0	281.0	0.0	780.0	3.84	0.02	1.54	0.37	1.03	86669.0	0.5	931171.0	5.39	0.0	93.53	0.09	0	16147103	15538
POR_R24_H2	15751177.0	275.0	81992.0	0.52	237.73	6428.0	4048.0	5542.0	57.0	15.0	814.0	3.86	0.06	2.55	0.22	1.14	41560.0	0.26	307931.0	1.95	0.0	97.24	0.02	0	15316544	3150
POR_R24_H3	20794167.0	276.0	100219.0	0.48	237.84	7609.0	3841.0	6559.0	83.0	8.0	959.0	3.83	0.06	2.69	0.22	1.16	49982.0	0.24	383647.0	1.84	0.0	97.4	0.03	0	20254081	6238
POR_R3_C1	15451984.0	275.0	96808.0	0.63	239.77	9874.0	7297.0	9116.0	56.0	5.0	697.0	3.84	0.04	2.49	0.23	1.18	50399.0	0.33	408508.0	2.64	0.0	96.38	0.02	0	14893178	3091
POR_R3_C2	26946850.0	267.0	146604.0	0.54	236.4	8505.0	4727.0	6625.0	61.0	21.0	1798.0	3.91	0.04	2.47	0.27	1.09	102363.0	0.38	892188.0	3.31	0.0	95.74	0.03	0	25797611	8084
POR_R3_C3	14949566.0	275.0	70550.0	0.47	240.57	7372.0	4305.0	6823.0	79.0	5.0	465.0	3.96	0.02	1.81	0.33	1.05	63566.0	0.43	622480.0	4.16	0.0	94.92	0.02	0	14189980	2990
POR_R3_H1	30984777.0	267.0	169275.0	0.55	234.9	14707.0	9471.0	12494.0	92.0	13.0	2108.0	3.94	0.04	2.12	0.27	1.08	144580.0	0.47	1096971.0	3.54	0.0	95.41	0.03	0	29564655	9296
POR_R3_H2	19612904.0	276.0	101559.0	0.52	239.87	9219.0	5315.0	8075.0	34.0	7.0	1103.0	3.68	0.07	2.82	0.2	1.37	44610.0	0.23	264059.0	1.35	0.0	97.88	0.03	0	19196792	5884
