Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
POR_R0_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_MCapV3/POR_R0_C1_Aligned.sortedByCoord.out.bam	165752.0	955846.0	714340.0	16554.0	0.0	45257550.0	3.04	16554.0	15082.0	160722.0	6088.0
POR_R0_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_MCapV3/POR_R0_C2_Aligned.sortedByCoord.out.bam	140671.0	929022.0	738292.0	8442.0	0.0	36788636.0		8442.0	12676.0	125882.0	3766.0
POR_R0_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_MCapV3/POR_R0_C3_Aligned.sortedByCoord.out.bam	153404.0	785270.0	565930.0	17834.0	0.0	33640372.0	1.54	17834.0	23504.0	150050.0	7067.0
POR_R0_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_MCapV3/POR_R0_H1_Aligned.sortedByCoord.out.bam	152652.0	968077.0	764724.0	6998.0	0.0	32609375.0	1.94	6998.0	10482.0	143615.0	3882.0
POR_R0_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_MCapV3/POR_R0_H2_Aligned.sortedByCoord.out.bam	186718.0	1258966.0	1019020.0	13264.0	0.0	38250784.0	1.65	13264.0	13362.0	158150.0	5681.0
POR_R0_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_MCapV3/POR_R0_H3_Aligned.sortedByCoord.out.bam	168908.0	1026598.0	797188.0	11502.0	0.0	38259922.0	18.38	11502.0	16446.0	157388.0	5950.0
POR_R120_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_MCapV3/POR_R120_C1_Aligned.sortedByCoord.out.bam	682224.0	5262341.0	4491952.0	18704.0	0.0	95292301.0	14.09	18704.0	30369.0	500384.0	8401.0
POR_R120_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_MCapV3/POR_R120_C2_Aligned.sortedByCoord.out.bam	187560.0	920982.0	642393.0	37124.0	0.0	41394828.0	6.27	37124.0	29267.0	176772.0	12107.0
POR_R120_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_MCapV3/POR_R120_C3_Aligned.sortedByCoord.out.bam	203634.0	1405376.0	1134040.0	8332.0	0.0	41637044.0	4.06	8332.0	7377.0	185131.0	2964.0
POR_R120_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_MCapV3/POR_R120_H1_Aligned.sortedByCoord.out.bam	208572.0	733087.0	413901.0	28672.0	0.0	65189236.0	1.51	28672.0	62752.0	216686.0	14035.0
