Sample	QualiMap_mqc-generalstats-qualimap-reads_aligned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	QualiMap_mqc-generalstats-qualimap-5_3_bias
POR_R0_C1	8541137.0	15.47	3525933.0	
POR_R0_C2	7192748.0	15.86	2938727.0	
POR_R0_C3	3689191.0	9.18	1558506.0	8.62
POR_R0_H1	6488875.0	14.9	2452058.0	
POR_R0_H2	7610223.0	17.18	3317637.0	
POR_R0_H3	6926523.0	14.17	2734515.0	
POR_R120_C1	21028062.0	23.93	11564547.0	
POR_R120_C2	5101084.0	9.36	1955291.0	
POR_R120_C3	9504425.0	16.72	3515176.0	
POR_R120_H1	1510438.0	2.39	783311.0	
POR_R120_H2	619108.0	1.27	250939.0	366.33
POR_R120_H3	6330788.0	15.11	2593112.0	
POR_R12_C1	6391128.0	17.77	2644811.0	
POR_R12_C2	3712259.0	7.69	1402972.0	8.42
POR_R12_C3	6278604.0	15.79	2381599.0	
POR_R12_H1	1540074.0	3.56	643580.0	4.26
POR_R12_H2	3074986.0	5.96	1234489.0	
POR_R12_H3	4893462.0	9.79	1972454.0	
POR_R1_C1	6722643.0	16.75	2678234.0	3.16
POR_R1_C2	4079350.0	10.95	1644201.0	5.09
POR_R1_C3	4772680.0	12.33	1991838.0	
POR_R1_H1	8282998.0	17.87	3339652.0	
POR_R1_H2	7916030.0	18.06	3155895.0	
POR_R1_H3	7424702.0	13.56	2962890.0	
POR_R24_C1	5471469.0	9.97	2136694.0	
POR_R24_C2	6182542.0	14.97	2395191.0	
POR_R24_C3	15626060.0	23.34	8779866.0	
POR_R24_H1	7310555.0	16.35	2822024.0	
POR_R24_H2	3142462.0	8.13	1280599.0	1.8
POR_R24_H3	3585782.0	6.49	1349963.0	
POR_R3_C1	4026803.0	10.62	1640831.0	1.17
POR_R3_C2	7264666.0	14.42	3885228.0	
POR_R3_C3	5919770.0	15.77	2358291.0	
POR_R3_H1	8349054.0	13.84	4288852.0	
POR_R3_H2	2751455.0	5.57	1091609.0	9.85
POR_R3_H3	6062157.0	14.86	2699842.0	
POR_R72_C1	6082579.0	15.18	2406861.0	
POR_R72_C2	5121557.0	11.22	1988406.0	
POR_R72_C3	4390739.0	13.09	2007868.0	
POR_R72_H1	6377383.0	17.04	2635239.0	
POR_R72_H2	6493591.0	17.23	2612113.0	
POR_R72_H3	2454239.0	5.97	961116.0	11.19
