Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon	5_3_bias
POR_R0_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R0_C1_Aligned.sortedByCoord.out.bam	8541137.0	37542026.0	30490160.0	5766.0	0.0	28506772.0	5766.0	15990.0	7030110.0	4012.0	
POR_R0_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R0_C2_Aligned.sortedByCoord.out.bam	7192748.0	31712219.0	25834762.0	3624.0	0.0	22684471.0	3624.0	15178.0	5858639.0	2418.0	
POR_R0_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R0_C3_Aligned.sortedByCoord.out.bam	3689191.0	16048695.0	12931684.0	5196.0	0.0	26568788.0	5196.0	14472.0	3097313.0	3919.0	8.62
POR_R0_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R0_H1_Aligned.sortedByCoord.out.bam	6488875.0	29476907.0	24572790.0	4678.0	0.0	19936921.0	4678.0	14374.0	4885061.0	2062.0	
POR_R0_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R0_H2_Aligned.sortedByCoord.out.bam	7610223.0	32662217.0	26026920.0	4556.0	0.0	23403762.0	4556.0	20090.0	6610607.0	2924.0	
POR_R0_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R0_H3_Aligned.sortedByCoord.out.bam	6926523.0	30942735.0	25473702.0	5888.0	0.0	24744675.0	5888.0	18600.0	5444537.0	3224.0	
POR_R120_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R120_C1_Aligned.sortedByCoord.out.bam	21028062.0	80340067.0	57210972.0	8620.0	0.0	54600352.0	8620.0	69690.0	23050779.0	5193.0	
POR_R120_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R120_C2_Aligned.sortedByCoord.out.bam	5101084.0	23028709.0	19118128.0	8478.0	0.0	31567772.0	8478.0	16739.0	3885362.0	3583.0	
POR_R120_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R120_C3_Aligned.sortedByCoord.out.bam	9504425.0	43472102.0	36441748.0	2498.0	0.0	23035447.0	2498.0	19010.0	7008842.0	1230.0	
POR_R120_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R120_H1_Aligned.sortedByCoord.out.bam	1510438.0	5985588.0	4418952.0	12114.0	0.0	62585506.0	12114.0	23326.0	1531118.0	9606.0	
POR_R120_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R120_H2_Aligned.sortedByCoord.out.bam	619108.0	2742996.0	2241106.0	7332.0	0.0	38336866.0	7332.0	11538.0	482994.0	4855.0	366.33
POR_R120_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R120_H3_Aligned.sortedByCoord.out.bam	6330788.0	27877971.0	22691748.0	2854.0	0.0	21658260.0	2854.0	15605.0	5167750.0	1748.0	
POR_R12_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R12_C1_Aligned.sortedByCoord.out.bam	6391128.0	28017826.0	22728204.0	2368.0	0.0	16982083.0	2368.0	11438.0	5275816.0	1296.0	
POR_R12_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R12_C2_Aligned.sortedByCoord.out.bam	3712259.0	16842357.0	14036414.0	5232.0	0.0	29085289.0	5232.0	15348.0	2785345.0	4084.0	8.42
POR_R12_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R12_C3_Aligned.sortedByCoord.out.bam	6278604.0	28452887.0	23689682.0	4218.0	0.0	17616201.0	4218.0	15036.0	4743939.0	1696.0	
POR_R12_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R12_H1_Aligned.sortedByCoord.out.bam	1540074.0	6736746.0	5449578.0	7950.0	0.0	33109701.0	7950.0	17136.0	1262046.0	4723.0	4.26
POR_R12_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R12_H2_Aligned.sortedByCoord.out.bam	3074986.0	13643910.0	11174932.0	6656.0	0.0	35288249.0	6656.0	16411.0	2445893.0	4545.0	
POR_R12_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R12_H3_Aligned.sortedByCoord.out.bam	4893462.0	21686264.0	17741356.0	5570.0	0.0	30511187.0	5570.0	13668.0	3925662.0	3191.0	
POR_R1_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R1_C1_Aligned.sortedByCoord.out.bam	6722643.0	29942348.0	24585878.0	16790.0	0.0	18543070.0	16790.0	43484.0	5296190.0	5720.0	3.16
POR_R1_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R1_C2_Aligned.sortedByCoord.out.bam	4079350.0	18071602.0	14783198.0	4322.0	0.0	21870392.0	4322.0	12570.0	3271504.0	2856.0	5.09
POR_R1_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R1_C3_Aligned.sortedByCoord.out.bam	4772680.0	20861157.0	16877476.0	3676.0	0.0	22764976.0	3676.0	18956.0	3961041.0	2892.0	
POR_R1_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R1_H1_Aligned.sortedByCoord.out.bam	8282998.0	36731092.0	30051786.0	3726.0	0.0	20813271.0	3726.0	85184.0	6590388.0	1882.0	
POR_R1_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R1_H2_Aligned.sortedByCoord.out.bam	7916030.0	35237034.0	28925240.0	2924.0	0.0	19108304.0	2924.0	18756.0	6290110.0	1455.0	
POR_R1_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R1_H3_Aligned.sortedByCoord.out.bam	7424702.0	33022576.0	27096788.0	6986.0	0.0	28851104.0	6986.0	33258.0	5885520.0	4021.0	
POR_R24_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R24_C1_Aligned.sortedByCoord.out.bam	5471469.0	24539352.0	20265962.0	8202.0	0.0	31920820.0	8202.0	19020.0	4246158.0	4370.0	
POR_R24_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R24_C2_Aligned.sortedByCoord.out.bam	6182542.0	27811236.0	23020854.0	4908.0	0.0	19628076.0	4908.0	15016.0	4770454.0	1975.0	
POR_R24_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R24_C3_Aligned.sortedByCoord.out.bam	15626060.0	58947620.0	41387872.0	2912.0	0.0	43984667.0	2912.0	66292.0	17490502.0	3093.0	
POR_R24_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R24_H1_Aligned.sortedByCoord.out.bam	7310555.0	32961412.0	27317360.0	2328.0	0.0	19906674.0	2328.0	52014.0	5589706.0	1258.0	
POR_R24_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R24_H2_Aligned.sortedByCoord.out.bam	3142462.0	13865225.0	11304010.0	11816.0	0.0	25217425.0	11816.0	16018.0	2533351.0	5680.0	1.8
POR_R24_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_PacutaV2/POR_R24_H3_Aligned.sortedByCoord.out.bam	3585782.0	16304755.0	13604828.0	5636.0	0.0	34416759.0	5636.0	19226.0	2675049.0	3542.0	
