Sample	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
POR_R0_C1	1.28	5350468.0	22.36	5096662.0
POR_R0_C2	1.19	4059114.0	20.52	3803583.0
POR_R0_C3	1.15	7307235.0	40.86	6935260.0
POR_R0_H1	1.16	2860986.0	16.57	2726261.0
POR_R0_H2	1.21	3713828.0	18.35	3543118.0
POR_R0_H3	1.16	4676740.0	23.05	4447436.0
POR_R120_C1	1.19	4383788.0	8.5	4107111.0
POR_R120_C2	1.15	7580026.0	34.64	7233839.0
POR_R120_C3	1.22	1720528.0	7.77	1632412.0
POR_R120_H1	1.12	18671396.0	53.34	17497725.0
POR_R120_H2	1.07	14263840.0	67.96	13446734.0
POR_R120_H3	1.18	3337217.0	18.23	3128223.0
POR_R12_C1	1.3	1915777.0	12.2	1815732.0
POR_R12_C2	1.18	8713036.0	44.19	8066276.0
POR_R12_C3	1.18	2491949.0	15.78	2380284.0
POR_R12_H1	1.13	10819144.0	56.44	10212680.0
POR_R12_H2	1.13	11755831.0	53.3	11043345.0
POR_R12_H3	1.18	8051784.0	37.79	7614557.0
POR_R1_C1	1.16	2035463.0	12.04	1925711.0
POR_R1_C2	1.14	5109655.0	32.49	4877988.0
POR_R1_C3	1.21	4968978.0	29.18	4714305.0
POR_R1_H1	1.21	2375184.0	11.72	2189538.0
POR_R1_H2	1.27	1927872.0	10.37	1812325.0
POR_R1_H3	1.17	5972048.0	25.51	5573635.0
POR_R24_C1	1.19	8666420.0	38.53	8257577.0
POR_R24_C2	1.14	3308330.0	19.72	3154329.0
POR_R24_C3	1.19	4787332.0	11.53	4338581.0
POR_R24_H1	1.32	1479948.0	7.67	1324638.0
POR_R24_H2	1.08	7812738.0	46.37	7303466.0
POR_R24_H3	1.05	10201640.0	46.29	9626256.0
POR_R3_C1	1.16	6093291.0	37.7	5825651.0
POR_R3_C2	1.15	8209341.0	28.4	7653712.0
POR_R3_C3	1.2	2861099.0	18.27	2731650.0
POR_R3_H1	1.2	10217083.0	31.31	9701365.0
POR_R3_H2	1.11	11185830.0	54.26	10642501.0
POR_R3_H3	1.18	5293022.0	27.77	5046596.0
POR_R72_C1	1.14	3516720.0	20.83	3302557.0
POR_R72_C2	1.13	6017981.0	32.38	5738452.0
POR_R72_C3	1.23	3788800.0	23.48	3602079.0
POR_R72_H1	1.16	1067679.0	6.4	990577.0
POR_R72_H2	1.27	1469442.0	8.77	1329487.0
POR_R72_H3	1.07	8438419.0	49.19	7918270.0
