Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
POR_R0_C1	22794527.0	276.0	5096662.0	22.36	276.0	5341892.0	4982794.0	5287545.0	22496.0	2109.0	29742.0	0.94	0.04	2.57	0.03	2.07	253838.0	1.11	15439016.0	67.73	0.0	7.88	0.91	0	1797439	207572
POR_R0_C2	18534989.0	275.0	3803583.0	20.52	276.15	3718033.0	3456691.0	3672801.0	19284.0	1519.0	24429.0	0.99	0.04	2.62	0.04	2.12	255561.0	1.38	13065193.0	70.49	0.0	6.99	0.62	0	1295724	114928
POR_R0_C3	16973590.0	273.0	6935260.0	40.86	275.55	6587525.0	6124593.0	6509102.0	32411.0	2611.0	43401.0	0.96	0.05	2.65	0.04	2.07	372060.0	2.19	6873659.0	40.5	0.0	15.78	0.67	0	2678869	113742
POR_R0_H1	16457340.0	275.0	2726261.0	16.57	276.01	2795233.0	2596078.0	2763092.0	11833.0	1173.0	19135.0	0.93	0.04	2.73	0.03	2.03	134759.0	0.82	12487940.0	75.88	0.0	6.23	0.5	0	1026034	82346
POR_R0_H2	19312110.0	273.0	3543118.0	18.35	275.25	3832056.0	3583919.0	3793914.0	16797.0	1129.0	20216.0	0.93	0.03	2.54	0.03	1.98	170743.0	0.88	14016681.0	72.58	0.0	7.39	0.8	0	1427080	154488
POR_R0_H3	19298869.0	275.0	4447436.0	23.05	276.35	4627313.0	4323179.0	4577281.0	20349.0	1846.0	27837.0	0.92	0.04	2.72	0.03	2.03	229365.0	1.19	12943744.0	67.07	0.0	8.14	0.55	0	1572101	106223
POR_R120_C1	48328377.0	259.0	4107111.0	8.5	269.32	4100161.0	3782549.0	4044284.0	18457.0	1624.0	35796.0	0.99	0.04	2.55	0.03	2.02	276745.0	0.57	39734494.0	82.22	0.0	8.18	0.53	0	3953849	256178
POR_R120_C2	20884976.0	275.0	7233839.0	34.64	276.5	7219307.0	6741596.0	7136177.0	36352.0	2693.0	44085.0	0.96	0.05	2.65	0.04	2.06	346285.0	1.66	9482164.0	45.4	0.0	17.91	0.39	0	3741221	81467
POR_R120_C3	21022157.0	274.0	1632412.0	7.77	275.83	1704480.0	1590107.0	1685888.0	7889.0	539.0	10164.0	0.94	0.04	2.56	0.03	2.04	88133.0	0.42	18536265.0	88.17	0.0	3.06	0.59	0	641633	123714
POR_R120_H1	32803193.0	268.0	17497725.0	53.34	273.07	15773218.0	14305044.0	15537031.0	80300.0	6726.0	149161.0	1.0	0.05	2.64	0.04	2.1	1173961.0	3.58	2701389.0	8.24	0.0	34.49	0.36	0	11312045	118073
POR_R120_H2	19787541.0	276.0	13446734.0	67.96	276.4	12528163.0	11590514.0	12372016.0	61820.0	5403.0	88924.0	0.98	0.05	2.72	0.04	2.18	817278.0	4.13	1133309.0	5.73	0.0	21.83	0.35	0	4320942	69278
