Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
POR_R0_C1	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R0_C1_Aligned.sortedByCoord.out.bam	5350468.0	11686849.0	1484518.0	5114725.0	28.0	34888086.0	1.28	5114725.0	2216931.0	2861245.0	1324314.0
POR_R0_C2	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R0_C2_Aligned.sortedByCoord.out.bam	4059114.0	9214097.0	1605079.0	3396955.0	48.0	28951720.0	1.19	3396955.0	1872478.0	2337163.0	1044315.0
POR_R0_C3	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R0_C3_Aligned.sortedByCoord.out.bam	7307235.0	15995494.0	2122373.0	6173967.0	30.0	19332625.0	1.15	6173967.0	3176328.0	4519732.0	1758147.0
POR_R0_H1	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R0_H1_Aligned.sortedByCoord.out.bam	2860986.0	6218296.0	757788.0	2506506.0	56.0	27192674.0	1.16	2506506.0	1285583.0	1660049.0	734233.0
POR_R0_H2	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R0_H2_Aligned.sortedByCoord.out.bam	3713828.0	8050482.0	960086.0	3524398.0	4.0	31196531.0	1.21	3524398.0	1607807.0	1953619.0	940661.0
POR_R0_H3	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R0_H3_Aligned.sortedByCoord.out.bam	4676740.0	10217693.0	1314375.0	4294462.0	92.0	29244197.0	1.16	4294462.0	2078765.0	2521085.0	1142190.0
POR_R120_C1	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R120_C1_Aligned.sortedByCoord.out.bam	4383788.0	9830444.0	1588751.0	3530960.0	156.0	87889110.0	1.19	3530960.0	2151353.0	2530815.0	1161865.0
POR_R120_C2	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R120_C2_Aligned.sortedByCoord.out.bam	7580026.0	16462880.0	1988087.0	6658039.0	118.0	26609802.0	1.15	6658039.0	3222323.0	4586705.0	1837674.0
POR_R120_C3	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R120_C3_Aligned.sortedByCoord.out.bam	1720528.0	3766633.0	487578.0	1556418.0	62.0	38603241.0	1.22	1556418.0	781687.0	926342.0	449463.0
POR_R120_H1	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R120_H1_Aligned.sortedByCoord.out.bam	18671396.0	41792472.0	6794003.0	13649741.0	206.0	28263304.0	1.12	13649741.0	8023367.0	13320425.0	4503185.0
POR_R120_H2	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R120_H2_Aligned.sortedByCoord.out.bam	14263840.0	31570591.0	4675884.0	10808881.0	46.0	11047230.0	1.07	10808881.0	6304050.0	9779766.0	3564493.0
POR_R120_H3	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R120_H3_Aligned.sortedByCoord.out.bam	3337217.0	7451479.0	1189776.0	2751671.0	16.0	27645369.0	1.18	2751671.0	1496065.0	2008223.0	835129.0
POR_R12_C1	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R12_C1_Aligned.sortedByCoord.out.bam	1915777.0	4209653.0	568104.0	1806694.0	42.0	25932773.0	1.3	1806694.0	840543.0	983926.0	494180.0
POR_R12_C2	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R12_C2_Aligned.sortedByCoord.out.bam	8713036.0	20107973.0	3973307.0	7394272.0	46.0	19083648.0	1.18	7394272.0	3676950.0	5060782.0	2040110.0
POR_R12_C3	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R12_C3_Aligned.sortedByCoord.out.bam	2491949.0	5397580.0	628874.0	2432523.0	50.0	25189504.0	1.18	2432523.0	1056628.0	1271087.0	612789.0
POR_R12_H1	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R12_H1_Aligned.sortedByCoord.out.bam	10819144.0	23944040.0	3516676.0	8345231.0	52.0	14551420.0	1.13	8345231.0	4580263.0	7499188.0	2609407.0
POR_R12_H2	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R12_H2_Aligned.sortedByCoord.out.bam	11755831.0	26383673.0	4295022.0	9636210.0	152.0	17926431.0	1.13	9636210.0	4911084.0	7538619.0	2874773.0
POR_R12_H3	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R12_H3_Aligned.sortedByCoord.out.bam	8051784.0	17799717.0	2564465.0	6751187.0	208.0	24194456.0	1.18	6751187.0	3401735.0	5075462.0	1833424.0
POR_R1_C1	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R1_C1_Aligned.sortedByCoord.out.bam	2035463.0	4470496.0	606954.0	1739877.0	34.0	27917434.0	1.16	1739877.0	934315.0	1176884.0	531735.0
POR_R1_C2	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R1_C2_Aligned.sortedByCoord.out.bam	5109655.0	11071945.0	1309892.0	4510784.0	52.0	19809730.0	1.14	4510784.0	2170779.0	3073854.0	1198086.0
POR_R1_C3	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R1_C3_Aligned.sortedByCoord.out.bam	4968978.0	10929685.0	1495100.0	4301041.0	32.0	22372329.0	1.21	4301041.0	2150795.0	2976325.0	1189457.0
POR_R1_H1	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R1_H1_Aligned.sortedByCoord.out.bam	2375184.0	5499167.0	1117834.0	1905869.0	36.0	32628893.0	1.21	1905869.0	1150638.0	1322060.0	594013.0
POR_R1_H2	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R1_H2_Aligned.sortedByCoord.out.bam	1927872.0	4370335.0	743019.0	1679593.0	50.0	31084606.0	1.27	1679593.0	909594.0	1035045.0	512778.0
POR_R1_H3	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R1_H3_Aligned.sortedByCoord.out.bam	5972048.0	13682608.0	2532402.0	4629118.0	102.0	31756356.0	1.17	4629118.0	2878482.0	3638650.0	1417607.0
POR_R24_C1	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R24_C1_Aligned.sortedByCoord.out.bam	8666420.0	18866520.0	2348150.0	7652980.0	22.0	25530849.0	1.19	7652980.0	3693085.0	5168521.0	2036453.0
POR_R24_C2	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R24_C2_Aligned.sortedByCoord.out.bam	3308330.0	7190209.0	872977.0	2996976.0	84.0	25376481.0	1.14	2996976.0	1473830.0	1837488.0	838448.0
POR_R24_C3	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R24_C3_Aligned.sortedByCoord.out.bam	4787332.0	11465658.0	2782887.0	3197470.0	106.0	65662241.0	1.19	3197470.0	2539611.0	2939008.0	1164327.0
POR_R24_H1	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R24_H1_Aligned.sortedByCoord.out.bam	1479948.0	3598661.0	945586.0	1085500.0	46.0	31567891.0	1.32	1085500.0	761559.0	801716.0	404224.0
POR_R24_H2	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R24_H2_Aligned.sortedByCoord.out.bam	7812738.0	17649660.0	3040878.0	6204534.0	28.0	15876771.0	1.08	6204534.0	3347089.0	5054705.0	1800441.0
POR_R24_H3	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R24_H3_Aligned.sortedByCoord.out.bam	10201640.0	22658301.0	3401129.0	8061778.0	180.0	21184909.0	1.05	8061778.0	4192901.0	6996873.0	2352342.0
POR_R3_C1	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R3_C1_Aligned.sortedByCoord.out.bam	6093291.0	13189292.0	1531593.0	5475194.0	84.0	18717319.0	1.16	5475194.0	2633576.0	3541991.0	1459521.0
POR_R3_C2	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R3_C2_Aligned.sortedByCoord.out.bam	8209341.0	18647425.0	3336766.0	5722644.0	162.0	37474891.0	1.15	5722644.0	3879219.0	5704158.0	1972863.0
POR_R3_C3	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R3_C3_Aligned.sortedByCoord.out.bam	2861099.0	6198277.0	727047.0	2729808.0	42.0	24176893.0	1.2	2729808.0	1207148.0	1526020.0	696531.0
POR_R3_H1	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R3_H1_Aligned.sortedByCoord.out.bam	10217083.0	22358446.0	2951648.0	8827262.0	68.0	41535232.0	1.2	8827262.0	4381104.0	6193370.0	2430228.0
POR_R3_H2	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R3_H2_Aligned.sortedByCoord.out.bam	11185830.0	24356877.0	3067539.0	9070111.0	210.0	16854019.0	1.11	9070111.0	4456776.0	7757137.0	2443683.0
POR_R3_H3	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R3_H3_Aligned.sortedByCoord.out.bam	5293022.0	11505979.0	1403076.0	4903471.0	164.0	25755654.0	1.18	4903471.0	2186054.0	3003068.0	1258832.0
POR_R72_C1	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R72_C1_Aligned.sortedByCoord.out.bam	3516720.0	7901298.0	1294346.0	2817859.0	94.0	24668548.0	1.14	2817859.0	1641526.0	2145159.0	861444.0
POR_R72_C2	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R72_C2_Aligned.sortedByCoord.out.bam	6017981.0	13082245.0	1599289.0	5181536.0	118.0	23405605.0	1.13	5181536.0	2509442.0	3785260.0	1393070.0
POR_R72_C3	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R72_C3_Aligned.sortedByCoord.out.bam	3788800.0	8293348.0	1082441.0	3232493.0	114.0	23107841.0	1.23	3232493.0	1603031.0	2368123.0	878030.0
POR_R72_H1	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R72_H1_Aligned.sortedByCoord.out.bam	1067679.0	2430448.0	431049.0	876277.0	34.0	28801766.0	1.16	876277.0	494873.0	609681.0	280512.0
POR_R72_H2	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R72_H2_Aligned.sortedByCoord.out.bam	1469442.0	3468117.0	806415.0	1212457.0	26.0	27382279.0	1.27	1212457.0	709234.0	736883.0	406378.0
POR_R72_H3	/scratch3/workspace/zdellaert_uri_edu-shared/TimeSeries/aligned/POR_Pcomp/POR_R72_H3_Aligned.sortedByCoord.out.bam	8438419.0	18843864.0	3004895.0	6472417.0	46.0	15314932.0	1.07	6472417.0	3734069.0	5629275.0	1990892.0
