Sample	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
POR_R0_C1	1.28	5290928.0	71.1	5039337.0
POR_R0_C2	1.19	4029523.0	71.46	3775221.0
POR_R0_C3	1.15	7262456.0	70.16	6892981.0
POR_R0_H1	1.16	2834549.0	71.88	2701739.0
POR_R0_H2	1.21	3670236.0	69.04	3501043.0
POR_R0_H3	1.16	4639303.0	72.23	4412084.0
POR_R120_C1	1.19	4330551.0	52.2	4059743.0
POR_R120_C2	1.15	7517599.0	66.09	7174586.0
POR_R120_C3	1.24	1694505.0	70.05	1608272.0
POR_R120_H1	1.14	18570889.0	58.59	17402393.0
POR_R120_H2	1.07	14196681.0	72.24	13382261.0
POR_R120_H3	1.17	3312925.0	65.7	3105359.0
POR_R12_C1	1.3	1897900.0	68.23	1799337.0
POR_R12_C2	1.18	8660709.0	71.79	8016328.0
POR_R12_C3	1.18	2455362.0	72.21	2345328.0
POR_R12_H1	1.14	10779678.0	67.67	10175332.0
POR_R12_H2	1.13	11714247.0	73.86	11004748.0
POR_R12_H3	1.19	8017198.0	70.6	7582539.0
POR_R1_C1	1.17	2011446.0	68.97	1903604.0
POR_R1_C2	1.14	5077100.0	68.75	4847556.0
POR_R1_C3	1.21	4938804.0	66.75	4685810.0
POR_R1_H1	1.21	2348224.0	69.45	2163687.0
POR_R1_H2	1.27	1903340.0	69.31	1788762.0
POR_R1_H3	1.17	5918957.0	69.38	5522531.0
POR_R24_C1	1.19	8602813.0	74.53	8196756.0
POR_R24_C2	1.14	3268986.0	72.5	3116751.0
POR_R24_C3	1.19	4763281.0	52.93	4317367.0
POR_R24_H1	1.33	1467509.0	50.19	1313584.0
POR_R24_H2	1.09	7779011.0	73.22	7271679.0
POR_R24_H3	1.06	10163137.0	69.78	9590812.0
POR_R3_C1	1.17	6038516.0	73.64	5773325.0
POR_R3_C2	1.16	8156852.0	56.73	7604815.0
POR_R3_C3	1.2	2827130.0	71.05	2699137.0
POR_R3_H1	1.2	10153336.0	62.84	9640854.0
POR_R3_H2	1.11	11136907.0	73.78	10596959.0
POR_R3_H3	1.18	5248115.0	71.65	5003711.0
POR_R72_C1	1.15	3485041.0	72.41	3272139.0
POR_R72_C2	1.14	5971582.0	71.83	5694550.0
POR_R72_C3	1.23	3753927.0	53.18	3569036.0
POR_R72_H1	1.16	1048141.0	57.5	973059.0
POR_R72_H2	1.26	1449773.0	51.96	1310632.0
POR_R72_H3	1.07	8378264.0	70.47	7860628.0
