Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
POR_R0_C1	7087986.0	275.0	5039337.0	71.1	276.0	5276841.0	4918427.0	5222685.0	22483.0	2109.0	29564.0	0.94	0.04	2.57	0.03	2.07	251620.0	3.55	58819.0	0.83	0.0	23.98	0.54	0	1699930	38280
POR_R0_C2	5282695.0	275.0	3775221.0	71.46	276.16	3690457.0	3429553.0	3645382.0	19277.0	1504.0	24294.0	0.99	0.04	2.63	0.04	2.12	254328.0	4.81	48362.0	0.92	0.0	22.26	0.55	0	1175734	29050
POR_R0_C3	9824016.0	273.0	6892981.0	70.16	275.57	6549031.0	6086698.0	6470817.0	32402.0	2611.0	43201.0	0.96	0.05	2.66	0.04	2.06	369557.0	3.76	43863.0	0.45	0.0	25.18	0.45	0	2473412	44203
POR_R0_H1	3758767.0	274.0	2701739.0	71.88	276.02	2770605.0	2571821.0	2738587.0	11827.0	1173.0	19018.0	0.94	0.04	2.74	0.03	2.02	132843.0	3.53	31307.0	0.83	0.0	23.44	0.32	0	880853	12025
POR_R0_H2	5070735.0	272.0	3501043.0	69.04	275.25	3788993.0	3541271.0	3750946.0	16791.0	1129.0	20127.0	0.93	0.04	2.55	0.03	1.98	169222.0	3.34	39235.0	0.77	0.0	26.61	0.24	0	1349068	12167
POR_R0_H3	6108411.0	275.0	4412084.0	72.23	276.35	4592090.0	4288357.0	4542202.0	20343.0	1844.0	27701.0	0.93	0.04	2.73	0.03	2.02	227275.0	3.72	42273.0	0.69	0.0	22.72	0.64	0	1387689	39090
POR_R120_C1	7777330.0	255.0	4059743.0	52.2	269.3	4048817.0	3731861.0	3993069.0	18453.0	1624.0	35671.0	0.99	0.04	2.56	0.03	2.02	270864.0	3.48	190548.0	2.45	0.0	41.56	0.31	0	3232067	24108
POR_R120_C2	10855602.0	276.0	7174586.0	66.09	276.52	7158844.0	6682134.0	7075900.0	36340.0	2693.0	43911.0	0.96	0.05	2.66	0.04	2.06	343106.0	3.16	36009.0	0.33	0.0	30.25	0.17	0	3283449	18452
POR_R120_C3	2295931.0	273.0	1608272.0	70.05	275.83	1678844.0	1564655.0	1660292.0	7884.0	539.0	10129.0	0.94	0.04	2.57	0.03	2.04	86247.0	3.76	35517.0	1.55	0.0	24.41	0.23	0	560613	5282
POR_R120_H1	29700070.0	268.0	17402393.0	58.59	273.09	15679895.0	14213111.0	15444549.0	80285.0	6723.0	148338.0	1.0	0.05	2.65	0.04	2.09	1168758.0	3.94	99888.0	0.34	0.0	36.81	0.32	0	10933979	95052
POR_R120_H2	18524236.0	276.0	13382261.0	72.24	276.42	12475368.0	11538661.0	12319667.0	61800.0	5401.0	88500.0	0.98	0.05	2.71	0.04	2.17	814584.0	4.4	58840.0	0.32	0.0	22.71	0.33	0	4207413	61138
POR_R120_H3	4726774.0	273.0	3105359.0	65.7	274.96	3020009.0	2753807.0	2979302.0	15186.0	1075.0	24446.0	0.99	0.05	2.73	0.03	2.1	207610.0	4.39	41838.0	0.89	0.0	28.7	0.32	0	1356838	15129
POR_R12_C1	2636983.0	273.0	1799337.0	68.23	275.19	1916861.0	1785653.0	1894595.0	9804.0	652.0	11810.0	0.94	0.04	2.58	0.03	2.04	98583.0	3.74	25216.0	0.96	0.0	26.34	0.73	0	694597	19250
POR_R12_C2	11166817.0	276.0	8016328.0	71.79	276.58	7568964.0	7055166.0	7480299.0	39609.0	3291.0	45765.0	0.92	0.04	2.69	0.03	2.07	644467.0	5.77	46458.0	0.42	0.0	21.76	0.27	0	2429420	30144
POR_R12_C3	3247812.0	276.0	2345328.0	72.21	276.59	2556318.0	2396824.0	2528993.0	12565.0	929.0	13831.0	0.93	0.04	2.55	0.03	2.0	110047.0	3.39	20413.0	0.63	0.0	23.58	0.19	0	765853	6171
POR_R12_H1	15036311.0	274.0	10175332.0	67.67	275.63	8890634.0	8206413.0	8777762.0	42179.0	3923.0	66770.0	1.0	0.05	2.67	0.04	2.1	604484.0	4.02	64089.0	0.43	0.0	27.23	0.66	0	4093195	99211
POR_R12_H2	14899827.0	276.0	11004748.0	73.86	276.54	10309288.0	9559390.0	10188560.0	53655.0	4208.0	62865.0	0.94	0.05	2.73	0.04	2.1	709625.0	4.76	80007.0	0.54	0.0	20.19	0.66	0	3007145	98302
POR_R12_H3	10739749.0	275.0	7582539.0	70.6	276.04	6793163.0	6298076.0	6710328.0	32555.0	2690.0	47590.0	0.97	0.05	2.7	0.04	2.11	434750.0	4.05	60614.0	0.56	0.0	24.21	0.58	0	2599568	62278
POR_R1_C1	2759937.0	272.0	1903604.0	68.97	275.09	1940670.0	1804155.0	1917781.0	9379.0	697.0	12813.0	0.97	0.04	2.61	0.03	2.05	107857.0	3.91	27235.0	0.99	0.0	25.88	0.25	0	714340	6901
POR_R1_C2	7051089.0	275.0	4847556.0	68.75	275.98	4710411.0	4405050.0	4655525.0	21752.0	1965.0	31169.0	0.96	0.04	2.66	0.03	2.01	229598.0	3.26	31083.0	0.44	0.0	27.35	0.21	0	1928048	14804
POR_R1_C3	7020422.0	273.0	4685810.0	66.75	275.49	4425143.0	4116791.0	4375030.0	19853.0	1588.0	28672.0	0.96	0.04	2.65	0.04	2.15	253044.0	3.6	43082.0	0.61	0.0	28.53	0.51	0	2002686	35800
POR_R1_H1	3115321.0	273.0	2163687.0	69.45	275.45	2081252.0	1928647.0	2055151.0	10130.0	975.0	14996.0	0.99	0.04	2.55	0.03	2.08	184552.0	5.92	44873.0	1.44	0.0	22.69	0.49	0	706942	15267
POR_R1_H2	2580779.0	274.0	1788762.0	69.31	276.07	1858318.0	1724304.0	1837420.0	8405.0	852.0	11641.0	0.98	0.04	2.59	0.03	2.06	114600.0	4.44	34271.0	1.33	0.0	24.68	0.24	0	636952	6194
POR_R1_H3	7959269.0	275.0	5522531.0	69.38	276.0	4844641.0	4475700.0	4774575.0	26493.0	2403.0	41170.0	1.02	0.05	2.64	0.04	2.14	396493.0	4.98	67500.0	0.85	0.0	24.5	0.28	0	1950454	22291
POR_R24_C1	10998375.0	275.0	8196756.0	74.53	276.45	8060094.0	7491151.0	7967658.0	39441.0	3380.0	49615.0	0.94	0.04	2.7	0.03	2.06	406124.0	3.69	47375.0	0.43	0.0	21.09	0.26	0	2319525	28595
POR_R24_C2	4298979.0	275.0	3116751.0	72.5	276.24	3260986.0	3048526.0	3224120.0	16251.0	1192.0	19423.0	0.94	0.04	2.59	0.03	2.05	152259.0	3.54	24659.0	0.57	0.0	23.18	0.2	0	996710	8600
POR_R24_C3	8156145.0	259.0	4317367.0	52.93	269.82	3693069.0	3349293.0	3628418.0	22639.0	1905.0	40107.0	1.05	0.05	2.64	0.04	2.18	445981.0	5.47	209219.0	2.57	0.0	38.66	0.37	0	3153398	30180
POR_R24_H1	2617463.0	273.0	1313584.0	50.19	274.75	1278649.0	1159364.0	1263744.0	4722.0	689.0	9494.0	1.01	0.05	2.8	0.04	2.26	153930.0	5.88	51966.0	1.99	0.0	40.53	1.42	0	1060816	37167
POR_R24_H2	9931128.0	275.0	7271679.0	73.22	276.23	6517170.0	6050650.0	6431100.0	37462.0	2993.0	45615.0	0.96	0.05	2.69	0.04	2.11	507433.0	5.11	47665.0	0.48	0.0	20.79	0.4	0	2064628	39723
POR_R24_H3	13744711.0	276.0	9590812.0	69.78	276.56	8396253.0	7778930.0	8290206.0	43047.0	3519.0	59481.0	0.95	0.05	2.64	0.04	2.12	572463.0	4.16	70920.0	0.52	0.0	24.93	0.62	0	3425329	85187
POR_R3_C1	7840079.0	275.0	5773325.0	73.64	276.35	5890285.0	5526353.0	5823994.0	30115.0	2192.0	33984.0	0.96	0.04	2.65	0.03	2.05	265253.0	3.38	31371.0	0.4	0.0	22.38	0.2	0	1754451	15679
POR_R3_C2	13404135.0	266.0	7604815.0	56.73	271.75	6240762.0	5697689.0	6134476.0	36677.0	3102.0	66507.0	1.03	0.05	2.61	0.04	2.11	552146.0	4.12	142305.0	1.06	0.0	37.8	0.28	0	5067333	37536
