Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
POR_R0_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R0_C1_Aligned.sortedByCoord.out.bam	5290928.0	11555090.0	1476146.0	5047010.0	28.0	3594087.0	1.28	5047010.0	2193197.0	2838301.0	1305483.0
POR_R0_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R0_C2_Aligned.sortedByCoord.out.bam	4029523.0	9149393.0	1598685.0	3366569.0	48.0	2506318.0	1.19	3366569.0	1859462.0	2324097.0	1034692.0
POR_R0_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R0_C3_Aligned.sortedByCoord.out.bam	7262456.0	15896657.0	2110159.0	6130172.0	30.0	5123038.0	1.15	6130172.0	3158860.0	4496532.0	1744852.0
POR_R0_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R0_H1_Aligned.sortedByCoord.out.bam	2834549.0	6153771.0	750052.0	2480347.0	56.0	1848403.0	1.16	2480347.0	1275021.0	1647903.0	726028.0
POR_R0_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R0_H2_Aligned.sortedByCoord.out.bam	3670236.0	7955294.0	952968.0	3475673.0	4.0	2800969.0	1.21	3475673.0	1590003.0	1936272.0	926041.0
POR_R0_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R0_H3_Aligned.sortedByCoord.out.bam	4639303.0	10130686.0	1306203.0	4256101.0	92.0	2938160.0	1.16	4256101.0	2064277.0	2503455.0	1129892.0
POR_R120_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R120_C1_Aligned.sortedByCoord.out.bam	4330551.0	9680252.0	1559896.0	3479022.0	156.0	6893502.0	1.19	3479022.0	2133337.0	2506573.0	1146962.0
POR_R120_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R120_C2_Aligned.sortedByCoord.out.bam	7517599.0	16324029.0	1973805.0	6592881.0	118.0	6675913.0	1.15	6592881.0	3196689.0	4559174.0	1817772.0
POR_R120_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R120_C3_Aligned.sortedByCoord.out.bam	1694505.0	3699124.0	482319.0	1527607.0	62.0	1202838.0	1.24	1527607.0	771415.0	917381.0	441627.0
POR_R120_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R120_H1_Aligned.sortedByCoord.out.bam	18570889.0	41574562.0	6767987.0	13554265.0	206.0	22258100.0	1.14	13554265.0	7986486.0	13262200.0	4476389.0
POR_R120_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R120_H2_Aligned.sortedByCoord.out.bam	14196681.0	31428577.0	4663200.0	10747207.0	46.0	8654946.0	1.07	10747207.0	6272429.0	9744145.0	3545252.0
POR_R120_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R120_H3_Aligned.sortedByCoord.out.bam	3312925.0	7394974.0	1183820.0	2726221.0	16.0	2827654.0	1.17	2726221.0	1486389.0	1997806.0	828370.0
POR_R12_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R12_C1_Aligned.sortedByCoord.out.bam	1897900.0	4162348.0	563462.0	1788732.0	42.0	1478146.0	1.3	1788732.0	834027.0	975809.0	488642.0
POR_R12_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R12_C2_Aligned.sortedByCoord.out.bam	8660709.0	19995035.0	3962029.0	7342374.0	46.0	5012130.0	1.18	7342374.0	3655898.0	5033960.0	2023195.0
POR_R12_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R12_C3_Aligned.sortedByCoord.out.bam	2455362.0	5313983.0	623088.0	2390688.0	50.0	1584887.0	1.18	2390688.0	1042298.0	1257547.0	600974.0
POR_R12_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R12_H1_Aligned.sortedByCoord.out.bam	10779678.0	23858148.0	3506720.0	8311492.0	52.0	8513128.0	1.14	8311492.0	4564090.0	7474450.0	2597795.0
POR_R12_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R12_H2_Aligned.sortedByCoord.out.bam	11714247.0	26290946.0	4280948.0	9601528.0	152.0	6371034.0	1.13	9601528.0	4894926.0	7512368.0	2863565.0
POR_R12_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R12_H3_Aligned.sortedByCoord.out.bam	8017198.0	17718658.0	2552981.0	6719813.0	208.0	5445011.0	1.19	6719813.0	3388406.0	5056270.0	1824180.0
POR_R1_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R1_C1_Aligned.sortedByCoord.out.bam	2011446.0	4408097.0	600494.0	1714892.0	34.0	1496967.0	1.17	1714892.0	925325.0	1166840.0	524455.0
POR_R1_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R1_C2_Aligned.sortedByCoord.out.bam	5077100.0	10996611.0	1300936.0	4477973.0	52.0	3947924.0	1.14	4477973.0	2159393.0	3057319.0	1188802.0
POR_R1_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R1_C3_Aligned.sortedByCoord.out.bam	4938804.0	10860112.0	1488214.0	4271058.0	32.0	4163186.0	1.21	4271058.0	2138340.0	2961926.0	1180203.0
POR_R1_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R1_H1_Aligned.sortedByCoord.out.bam	2348224.0	5439587.0	1111879.0	1875864.0	36.0	1534179.0	1.21	1875864.0	1139276.0	1311992.0	585734.0
POR_R1_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R1_H2_Aligned.sortedByCoord.out.bam	1903340.0	4315925.0	738150.0	1652565.0	50.0	1354856.0	1.27	1652565.0	899256.0	1025534.0	504890.0
POR_R1_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R1_H3_Aligned.sortedByCoord.out.bam	5918957.0	13568343.0	2522473.0	4569601.0	102.0	4080557.0	1.17	4569601.0	2856009.0	3618652.0	1401763.0
POR_R24_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R24_C1_Aligned.sortedByCoord.out.bam	8602813.0	18728970.0	2334706.0	7585761.0	22.0	4791057.0	1.19	7585761.0	3667482.0	5139871.0	2016348.0
POR_R24_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R24_C2_Aligned.sortedByCoord.out.bam	3268986.0	7100398.0	866483.0	2952859.0	84.0	2059962.0	1.14	2952859.0	1458173.0	1822269.0	826068.0
POR_R24_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R24_C3_Aligned.sortedByCoord.out.bam	4763281.0	11398712.0	2763224.0	3178929.0	106.0	6785661.0	1.19	3178929.0	2530230.0	2924907.0	1158723.0
POR_R24_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R24_H1_Aligned.sortedByCoord.out.bam	1467509.0	3565567.0	937768.0	1077056.0	46.0	2299903.0	1.33	1077056.0	756159.0	793674.0	401257.0
POR_R24_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R24_H2_Aligned.sortedByCoord.out.bam	7779011.0	17575514.0	3031581.0	6173796.0	28.0	4304133.0	1.09	6173796.0	3333727.0	5035334.0	1790771.0
POR_R24_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R24_H3_Aligned.sortedByCoord.out.bam	10163137.0	22569667.0	3387215.0	8030728.0	180.0	7163010.0	1.06	8030728.0	4176241.0	6973797.0	2342878.0
POR_R3_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R3_C1_Aligned.sortedByCoord.out.bam	6038516.0	13068719.0	1520800.0	5417515.0	84.0	3603064.0	1.17	5417515.0	2610388.0	3518346.0	1441991.0
POR_R3_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R3_C2_Aligned.sortedByCoord.out.bam	8156852.0	18526863.0	3316306.0	5673535.0	162.0	10494457.0	1.16	5673535.0	3859549.0	5675335.0	1959985.0
POR_R3_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R3_C3_Aligned.sortedByCoord.out.bam	2827130.0	6120873.0	722059.0	2690617.0	42.0	1943081.0	1.2	2690617.0	1193473.0	1514048.0	685997.0
POR_R3_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POR_Pcomp_rRNA_removed/POR_R3_H1_Aligned.sortedByCoord.out.bam	10153336.0	22216746.0	2934228.0	8763035.0	68.0	10379056.0	1.2	8763035.0	4356384.0	6161541.0	2411302.0
