sample,classification,percent_reads
MON_R0_C1,unclassified,97.46
MON_R0_C1,Bacteria,2.35
MON_R0_C2,unclassified,97.59
MON_R0_C2,Bacteria,2.17
MON_R0_C3,unclassified,96.66
MON_R0_C3,Bacteria,3.11
MON_R0_H1,unclassified,95.83
MON_R0_H1,Bacteria,3.99
MON_R0_H2,unclassified,97.17
MON_R0_H2,Bacteria,2.59
MON_R0_H3,unclassified,97.86
MON_R0_H3,Bacteria,1.93
MON_R120_C1,unclassified,96.93
MON_R120_C1,Bacteria,2.89
MON_R120_C2,unclassified,96.66
MON_R120_C2,Bacteria,3.14
MON_R120_C3,unclassified,97.61
MON_R120_C3,Bacteria,2.14
MON_R120_H1,unclassified,97.33
MON_R120_H1,Bacteria,2.47
MON_R120_H2,unclassified,94.96
MON_R120_H2,Bacteria,4.87
MON_R120_H3,unclassified,95.81
MON_R120_H3,Bacteria,3.98
MON_R12_C1,unclassified,97.09
MON_R12_C1,Bacteria,2.69
MON_R12_C2,unclassified,96.63
MON_R12_C2,Bacteria,3.15
MON_R12_C3,unclassified,97.55
MON_R12_C3,Bacteria,2.25
MON_R12_H1,unclassified,96.99
MON_R12_H1,Bacteria,2.82
MON_R12_H2,unclassified,96.09
MON_R12_H2,Bacteria,3.69
MON_R12_H3,unclassified,96.87
MON_R12_H3,Bacteria,2.90
MON_R1_C1,unclassified,96.99
MON_R1_C1,Bacteria,2.78
MON_R1_C2,unclassified,95.30
MON_R1_C2,Bacteria,4.48
MON_R1_C3,unclassified,96.74
MON_R1_C3,Bacteria,3.06
MON_R1_H1,unclassified,96.40
MON_R1_H1,Bacteria,3.38
MON_R1_H2,unclassified,97.14
MON_R1_H2,Bacteria,2.62
MON_R1_H3,unclassified,97.26
MON_R1_H3,Bacteria,2.50
MON_R24_C1,unclassified,96.59
MON_R24_C1,Bacteria,3.22
MON_R24_C2,unclassified,96.69
MON_R24_C2,Bacteria,3.12
MON_R24_C3,unclassified,96.68
MON_R24_C3,Bacteria,3.11
MON_R24_H1,unclassified,97.15
MON_R24_H1,Bacteria,2.65
MON_R24_H2,unclassified,96.96
MON_R24_H2,Bacteria,2.84
MON_R24_H3,unclassified,96.30
MON_R24_H3,Bacteria,3.52
MON_R3_C1,unclassified,97.12
MON_R3_C1,Bacteria,2.66
MON_R3_C2,unclassified,96.58
MON_R3_C2,Bacteria,3.17
MON_R3_C3,unclassified,97.44
MON_R3_C3,Bacteria,2.35
MON_R3_H1,unclassified,96.39
MON_R3_H1,Bacteria,3.36
MON_R3_H2,unclassified,97.48
MON_R3_H2,Bacteria,2.22
MON_R3_H3,unclassified,95.41
MON_R3_H3,Bacteria,4.33
MON_R72_C1,unclassified,97.38
MON_R72_C1,Bacteria,2.42
MON_R72_C2,unclassified,97.16
MON_R72_C2,Bacteria,2.63
MON_R72_C3,unclassified,97.00
MON_R72_C3,Bacteria,2.77
MON_R72_H1,unclassified,89.02
MON_R72_H1,Bacteria,10.57
MON_R72_H2,unclassified,66.57
MON_R72_H2,Bacteria,32.94
MON_R72_H3,unclassified,97.74
MON_R72_H3,Bacteria,2.05
POC_R0_C1,unclassified,97.04
POC_R0_C1,Bacteria,2.71
POC_R0_C2,unclassified,94.13
POC_R0_C2,Bacteria,5.63
POC_R0_C3,unclassified,90.34
POC_R0_C3,Bacteria,9.44
POC_R0_H1,unclassified,96.11
POC_R0_H1,Bacteria,3.65
POC_R0_H2,unclassified,95.34
POC_R0_H2,Bacteria,4.42
POC_R0_H3,unclassified,94.77
POC_R0_H3,Bacteria,4.97
POC_R120_C1,unclassified,95.63
POC_R120_C1,Bacteria,4.09
POC_R120_C2,unclassified,96.76
POC_R120_C2,Bacteria,3.00
POC_R120_C3,unclassified,96.60
POC_R120_C3,Bacteria,3.14
POC_R120_H1,unclassified,91.22
POC_R120_H1,Bacteria,8.51
POC_R120_H2,unclassified,97.24
POC_R120_H2,Bacteria,2.53
POC_R120_H3,unclassified,91.25
POC_R120_H3,Bacteria,8.52
POC_R12_C1,unclassified,94.80
POC_R12_C1,Bacteria,4.97
POC_R12_C2,unclassified,93.31
POC_R12_C2,Bacteria,6.48
POC_R12_C3,unclassified,96.11
POC_R12_C3,Bacteria,3.60
POC_R12_H1,unclassified,93.38
POC_R12_H1,Bacteria,6.37
POC_R12_H2,unclassified,94.87
POC_R12_H2,Bacteria,4.90
POC_R12_H3,unclassified,96.96
POC_R12_H3,Bacteria,2.80
POC_R1_C1,unclassified,95.66
POC_R1_C1,Bacteria,4.09
POC_R1_C2,unclassified,97.02
POC_R1_C2,Bacteria,2.72
POC_R1_C3,unclassified,94.55
POC_R1_C3,Bacteria,5.19
POC_R1_H1,unclassified,95.78
POC_R1_H1,Bacteria,3.95
POC_R1_H2,unclassified,96.42
POC_R1_H2,Bacteria,3.34
POC_R1_H3,unclassified,91.99
POC_R1_H3,Bacteria,7.74
POC_R24_C1,unclassified,92.46
POC_R24_C1,Bacteria,7.30
POC_R24_C2,unclassified,89.65
POC_R24_C2,Bacteria,10.11
POC_R24_C3,unclassified,96.10
POC_R24_C3,Bacteria,3.63
POC_R24_H1,unclassified,96.37
POC_R24_H1,Bacteria,3.39
POC_R24_H2,unclassified,95.07
POC_R24_H2,Bacteria,4.70
POC_R24_H3,unclassified,94.30
POC_R24_H3,Bacteria,5.44
POC_R3_C1,unclassified,95.96
POC_R3_C1,Bacteria,3.75
POC_R3_C2,unclassified,94.40
POC_R3_C2,Bacteria,5.36
POC_R3_C3,unclassified,90.00
POC_R3_C3,Bacteria,9.74
POC_R3_H1,unclassified,93.96
POC_R3_H1,Bacteria,5.73
POC_R3_H2,unclassified,97.22
POC_R3_H2,Bacteria,2.43
POC_R3_H3,unclassified,93.49
POC_R3_H3,Bacteria,6.21
POC_R72_C1,unclassified,96.19
