gene_id,POR_R0_C1,POR_R0_C2,POR_R0_C3,POR_R0_H1,POR_R0_H2,POR_R0_H3,POR_R120_C1,POR_R120_C2,POR_R120_C3,POR_R120_H1,POR_R120_H2,POR_R120_H3,POR_R12_C1,POR_R12_C2,POR_R12_C3,POR_R12_H1,POR_R12_H2,POR_R12_H3,POR_R1_C1,POR_R1_C2,POR_R1_C3,POR_R1_H1,POR_R1_H2,POR_R1_H3,POR_R24_C1,POR_R24_C2,POR_R24_C3,POR_R24_H1,POR_R24_H2,POR_R24_H3,POR_R3_C1,POR_R3_C2,POR_R3_C3,POR_R3_H1,POR_R3_H2,POR_R3_H3,POR_R72_C1,POR_R72_C2,POR_R72_C3,POR_R72_H1,POR_R72_H2,POR_R72_H3
Porites_compressa_HIv1___TS.g4306.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites_compressa_HIv1___TS.g4309.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites_compressa_HIv1___TS.g4310.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites_compressa_HIv1___RNAseq.g9679.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites_compressa_HIv1___RNAseq.g9682.t1,0,4,0,4,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Porites_compressa_HIv1___RNAseq.g9683.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,3,2,0,0,0,0,0,0,0,6,0,0,0,0
Porites_compressa_HIv1___RNAseq.g9684.t1,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,4,0,0,0,0,4,0,0,3,0,0,0,0
Porites_compressa_HIv1___RNAseq.g9685.t1,0,3,3,3,3,4,0,11,0,7,11,3,0,2,0,11,4,6,0,5,2,0,0,7,6,0,0,0,4,2,0,5,0,12,18,2,0,0,0,0,0,10
Porites_compressa_HIv1___TS.g4333.t1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,165,0,0,8,0,0,0,0
Porites_compressa_HIv1___RNAseq.g9707.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Porites_compressa_HIv1___RNAseq.g9709.t1,0,83,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,0,0,76,65,120,0,0,48,105,0,0,5,26,2,0,0,3,78,0,2,0,76,0
Porites_compressa_HIv1___RNAseq.g9710.t1,0,0,0,0,0,0,1,22,8,0,0,0,0,0,2,0,0,1,11,0,0,0,0,0,0,16,0,0,0,0,10,0,6,0,0,6,0,0,10,0,0,0
Porites_compressa_HIv1___TS.g4355.t2,0,0,0,0,0,0,12,30,6,0,0,0,6,0,13,0,0,6,14,0,0,0,0,0,0,19,0,0,0,0,27,0,29,0,0,11,0,0,10,0,0,0
Porites_compressa_HIv1___RNAseq.g9718.t1c,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Porites_compressa_HIv1___TS.g4375.t1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites_compressa_HIv1___RNAseq.g9731.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites_compressa_HIv1___RNAseq.g9732.t1,0,0,3,0,0,0,0,15,0,5,14,6,0,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,3,0,7,0,0,0,0,0,0,0
Porites_compressa_HIv1___RNAseq.g9733.t1,0,0,3,5,35,26,20,35,4,2,6,4,0,10,26,5,0,0,8,18,0,12,40,23,87,2,0,0,22,0,15,3,15,3,0,0,33,36,22,0,0,39
Porites_compressa_HIv1___RNAseq.g9734.t1,0,0,11,0,0,0,0,20,0,10,9,0,5,16,0,18,13,0,0,0,8,0,0,13,0,0,0,0,14,7,0,5,9,32,145,33,31,9,3,0,19,33
Porites_compressa_HIv1___RNAseq.g9735.t1,0,4,5,0,0,0,0,0,0,5,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,0,0,0,0,0,0,8
Porites_compressa_HIv1___RNAseq.g9736.t1,0,0,10,0,0,0,0,0,0,0,0,5,8,0,0,0,1,0,0,23,0,0,0,0,4,0,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,5
Porites_compressa_HIv1___RNAseq.g9737.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
Porites_compressa_HIv1___RNAseq.g9738.t1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0
Porites_compressa_HIv1___RNAseq.g9739.t1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4
Porites_compressa_HIv1___RNAseq.g9740.t1,0,0,13,0,0,3,0,14,0,0,4,0,0,0,0,5,0,0,0,6,0,0,0,0,8,0,4,0,0,1,0,6,0,0,5,0,12,4,0,0,0,0
Porites_compressa_HIv1___RNAseq.g9741.t1,0,0,5,7,0,0,0,15,0,0,15,0,11,10,0,4,4,0,11,0,0,0,0,0,17,0,0,0,0,1,9,0,16,0,0,0,0,4,0,0,0,0
Porites_compressa_HIv1___RNAseq.g9742.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
Porites_compressa_HIv1___RNAseq.g9749.t2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites_compressa_HIv1___RNAseq.g9761.t1,0,2,5,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,2,0,0,0
Porites_compressa_HIv1___RNAseq.g9762.t1,0,2,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,2,0,0,0
Porites_compressa_HIv1___RNAseq.g9764.t1,0,7,4,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Porites_compressa_HIv1___RNAseq.g9768.t1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porites_compressa_HIv1___RNAseq.g9668.t2,9261,12081,23864,7584,6331,18502,3063,25574,3322,13263,15008,9955,3677,30056,7028,11646,17929,24474,3890,25111,12862,7428,4566,30619,39614,8556,3402,3548,34083,28203,24670,5951,8811,22563,50916,16724,15012,30691,18629,1617,2602,31662
Porites_compressa_HIv1___RNAseq.g9669.t1,774,369,1147,492,720,829,224,1563,402,1147,2248,420,280,2021,454,1073,1576,621,348,1006,648,291,323,760,1596,784,242,0,1054,1149,1318,368,566,337,602,375,498,1132,615,70,81,1139
Porites_compressa_HIv1___RNAseq.g9670.t1,5,0,0,0,0,0,0,8,0,0,7,8,0,0,7,4,0,3,0,0,0,0,0,18,4,20,0,0,0,17,4,0,10,0,0,0,38,6,6,0,0,2
Porites_compressa_HIv1___TS.g4315.t2,2870,896,2713,624,2533,1342,555,5464,1013,3954,6600,1885,781,4602,2002,3309,3393,2933,845,1728,1574,581,513,1329,3678,2740,284,139,4578,2160,4714,433,2521,1771,1392,3748,1215,2246,2950,756,286,5298
Porites_compressa_HIv1___RNAseq.g9672.t1,2146,1084,2805,1022,3157,1944,1810,8485,1847,812,1691,517,1290,3314,2953,451,1317,996,1797,882,2041,1463,1914,3903,4856,3057,208,134,2228,3164,4642,531,2275,2601,3553,2932,1705,3952,2646,195,225,2633
Porites_compressa_HIv1___RNAseq.g9673.t1,433,405,782,289,287,409,119,714,85,984,1921,307,141,943,210,1367,1336,988,105,471,430,192,116,520,892,286,247,125,971,1287,602,274,207,558,803,263,325,611,165,78,51,921
Porites_compressa_HIv1___TS.g4318.t1a,271,164,434,114,228,382,83,756,119,712,1188,234,103,720,216,757,694,483,124,417,162,128,59,287,901,173,54,0,588,574,641,172,190,300,459,278,258,455,304,52,34,719
Porites_compressa_HIv1___TS.g4318.t1b,14,0,21,8,8,0,0,0,0,33,98,0,0,15,0,82,57,0,0,21,20,4,3,30,0,0,13,0,67,113,0,20,0,17,92,0,0,6,0,0,0,68
Porites_compressa_HIv1___RNAseq.g9676.t1,2433,1130,2555,806,2408,1191,637,3020,851,3258,6874,1623,545,3579,1197,2896,3417,399,830,1354,1487,1092,1021,2559,4573,1893,268,576,2965,867,2806,414,1396,1798,1470,1921,1634,2038,1563,374,867,3288
Porites_compressa_HIv1___RNAseq.g9677.t1,184,196,610,214,213,209,70,783,173,743,1575,234,72,611,165,835,518,389,122,416,312,187,50,355,871,214,75,0,455,1011,456,138,105,251,586,240,225,380,260,98,0,514
Porites_compressa_HIv1___RNAseq.g9678.t1,305,335,790,187,168,297,147,753,93,618,1209,144,85,307,127,1162,1278,679,157,400,320,114,100,463,816,226,85,163,390,874,395,241,171,290,707,292,232,321,246,38,15,325
Porites_compressa_HIv1___RNAseq.16_t,14,8,0,52,178,72,200,693,116,0,0,0,4,0,225,0,0,0,142,8,0,141,296,242,248,172,0,0,0,0,242,0,113,16,0,5,60,290,169,0,0,0
Porites_compressa_HIv1___TS.g4323.t1,9,0,10,0,4,0,0,0,0,12,20,17,0,20,0,4,0,3,0,0,8,0,0,29,22,0,0,0,10,0,5,0,0,0,0,0,0,0,0,0,0,11
Porites_compressa_HIv1___RNAseq.17_t,1457,1371,2671,625,767,1430,239,1932,329,1534,3354,565,498,2391,560,3338,3431,2460,355,1350,2031,266,316,1436,2594,771,342,329,1929,3165,1854,914,682,1902,4033,1665,839,1773,757,153,81,1791
Porites_compressa_HIv1___RNAseq.g9681.t1,162,151,245,74,83,209,34,191,30,149,414,129,39,146,52,424,244,172,49,199,230,55,32,176,391,103,48,0,190,198,204,123,85,155,494,79,97,196,100,0,89,192
Porites_compressa_HIv1___RNAseq.g9686.t1,11866,11589,11423,7979,8443,10170,5418,15962,5370,11235,20629,5871,4694,14221,5912,11937,17432,13254,7979,8592,8321,7865,6916,14544,13191,9057,5880,5369,11413,14456,11983,8132,6550,7876,16118,9354,9143,11063,7726,2949,3839,11823
Porites_compressa_HIv1___RNAseq.g9687.t1,144,136,360,126,113,109,49,323,39,359,734,112,33,334,40,486,428,263,100,207,198,112,66,241,359,161,53,0,305,388,253,75,83,249,287,151,143,278,136,13,0,342
Porites_compressa_HIv1___TS.g4332.t1,93,92,234,80,164,188,73,521,101,93,125,41,52,223,164,302,219,282,78,224,89,51,54,263,330,168,12,0,266,83,387,28,152,280,533,238,137,297,217,0,0,95
Porites_compressa_HIv1___RNAseq.g9689.t1,43,36,85,126,229,215,63,370,86,192,181,100,16,152,173,94,136,32,90,332,18,88,104,166,561,166,14,0,211,147,286,21,122,67,66,34,211,312,161,3,75,258
Porites_compressa_HIv1___RNAseq.g9690.t1,7,0,0,0,8,10,0,25,0,3,4,3,0,3,16,0,12,4,6,7,2,0,0,14,0,10,0,0,15,13,0,0,14,0,3,0,7,36,8,0,0,3
Porites_compressa_HIv1___RNAseq.g9691.t1,865,280,66,4,145,21,51,80,345,13,22,0,31,54,66,0,58,71,104,23,271,221,91,92,20,217,119,156,39,85,56,77,430,46,197,230,127,80,333,91,155,34
