"","POC_R0_C1","POC_R0_C2","POC_R0_C3","POC_R0_H1","POC_R0_H2","POC_R0_H3","POC_R1_C1","POC_R1_C2","POC_R1_C3","POC_R1_H1","POC_R1_H2","POC_R1_H3","POC_R3_C1","POC_R3_C2","POC_R3_C3","POC_R3_H1","POC_R3_H2","POC_R3_H3","POC_R12_C1","POC_R12_C2","POC_R12_C3","POC_R12_H1","POC_R12_H2","POC_R12_H3","POC_R24_C1","POC_R24_C2","POC_R24_C3","POC_R24_H1","POC_R24_H2","POC_R24_H3","POC_R72_C1","POC_R72_C2","POC_R72_C3","POC_R72_H1","POC_R72_H2","POC_R72_H3","POC_R120_C1","POC_R120_C2","POC_R120_C3","POC_R120_H1","POC_R120_H2","POC_R120_H3"
"Pocillopora_acuta_HIv2___TS.g10153.t1",6.23462235041915,6.5103173781423,5.87018976319365,6.36762438801339,6.40935238510809,6.17355560695185,5.87018976319365,6.32904762362124,6.43577287565168,6.29288497564862,6.50675006044012,5.87018976319365,6.52063708753212,6.47578341877202,6.29813639162211,5.87018976319365,5.87018976319365,5.87018976319365,6.31897307143886,6.645956209742,6.2785051885582,5.87018976319365,6.24646189551648,5.87018976319365,6.17501063574664,6.53495779186068,6.66697470460363,5.87018976319365,5.87018976319365,5.87018976319365,5.87018976319365,6.3862984882996,5.87018976319365,5.87018976319365,6.15306623709323,5.87018976319365,6.34460174996005,6.52997468603381,6.24864135174985,5.87018976319365,5.87018976319365,6.51315008340471
"Pocillopora_acuta_HIv2___TS.g28292.t1a",6.44414886834155,6.30368008167792,6.46143850020193,6.29118898316874,6.33779084266088,6.17355560695185,6.38482732867396,6.2996361847592,6.30940131308244,6.51285250495286,6.33902985155749,6.20003884093889,6.24783533147568,5.87018976319365,6.26108681202687,5.87018976319365,6.13232737919759,6.19610324795845,6.218373487768,6.11816947992878,6.4457398642415,6.14937019215215,6.196280760436,6.17184041838001,6.5896796817693,6.32052128927164,6.16113266172071,6.19668513126008,6.31308754904849,6.14151985303497,6.20172747622437,6.4349648872972,6.29690377029062,6.48133971268912,6.07037357523466,5.87018976319365,6.20640185027139,6.07069912999379,6.3697710253595,6.4328963815367,6.31877342078544,6.38462022575719
"Pocillopora_acuta_HIv2___TS.g28295.t1",6.8978624848311,6.72775437530202,7.21706639214537,7.13804658254188,7.00683553715901,6.6066293955836,6.85296106944777,6.89187360746349,6.89789701465787,7.33584916547152,7.47472557118138,7.89309286135154,6.97888004964376,6.76082890986251,6.85808312812817,7.74386911144661,7.96274322654352,7.53508675740543,6.94863244756889,7.0052479626202,6.94039691140729,7.3148499576894,7.01792495250185,7.17657840936032,7.24945663808728,7.25992084690493,6.51644408816191,7.53777885020473,7.52316878030873,6.99438424014822,6.86543217103426,7.26441028044535,7.16680856637724,7.35904886485312,7.28503176268174,6.99026966211696,6.93759528529174,6.81556763639441,7.17996350694806,7.55271312573285,7.45692771398235,7.44884551452094
"Pocillopora_acuta_HIv2___RNAseq.g10157.t1",6.86745280096156,6.684908271511,6.95811107309841,6.85099680400947,6.96194411569367,6.97981921904501,6.83703885186633,6.81693103141229,6.83785250765857,6.88804264452531,6.94251222399337,6.97229946797122,7.12816001675099,6.74095787196297,6.91389121062677,6.94741643926889,7.15305649002938,7.2582819912085,6.93128696890759,6.70065224863823,7.10006434419725,7.09874668282068,6.8326017625915,6.99242607620171,6.91940219991388,6.50452142393245,6.84687554812727,7.19806604800807,7.07654538874571,7.2311171043884,6.86543217103426,6.72582199501387,6.57965403730422,7.07786341740198,6.79402326215761,7.06115147819597,6.61537375454578,6.66286452481832,6.80271498482435,6.92472222905466,6.99598100699018,7.31098332802166
"Pocillopora_acuta_HIv2___TS.g28301.t1",6.49811692794682,6.45005722281091,6.51698204467829,6.59434572155543,6.60481018934572,6.49789728375499,6.44482159688395,6.45360616909461,6.62522154627661,6.61671808600623,6.82740306155293,6.82579044915947,6.46478875657302,6.55918688923106,6.64503109385074,6.64053822761917,6.55815814511385,6.5929239064558,6.6661065437895,6.52154416354579,6.50353127033841,6.67493056714725,6.89873693523954,6.76250003221923,6.62992408084274,6.50452142393245,6.55743035494466,6.72337270721892,6.70225287574687,6.60634117780771,6.50138767420783,6.50063892486418,6.79268848152249,6.58731153841489,6.43326866887625,6.71125626235069,6.57790104976825,6.46791778930128,6.54815545276519,6.61113789760702,6.31877342078544,6.82974563493417
"Pocillopora_acuta_HIv2___TS.g10172.t1",5.87018976319365,5.87018976319365,5.87018976319365,6.7806453083853,5.87018976319365,5.87018976319365,6.31646437300548,6.59124139825266,5.87018976319365,5.87018976319365,5.87018976319365,6.87738809646128,5.87018976319365,5.87018976319365,5.87018976319365,5.87018976319365,6.53357215753869,5.87018976319365,5.87018976319365,5.87018976319365,5.87018976319365,5.87018976319365,5.87018976319365,5.87018976319365,5.87018976319365,5.87018976319365,5.87018976319365,6.46337172946638,5.87018976319365,5.87018976319365,6.44194526249601,5.87018976319365,5.87018976319365,6.67857029402587,5.87018976319365,6.82967482912809,5.87018976319365,5.87018976319365,5.87018976319365,5.87018976319365,6.37825776746963,6.48368150592915
"Pocillopora_acuta_HIv2___RNAseq.g27421.t1",5.87018976319365,6.72775437530202,6.39974934778067,6.19675502356355,6.715506394444,5.87018976319365,6.44482159688395,6.23351879830008,6.30940131308244,6.29288497564862,6.45645923371686,5.87018976319365,6.36871148293844,6.29996902026669,5.87018976319365,6.87430641042672,6.1910217739839,6.19610324795845,6.218373487768,6.2204570112356,6.24839542877332,5.87018976319365,5.87018976319365,5.87018976319365,6.17501063574664,5.87018976319365,6.42482564821511,5.87018976319365,6.21379300192572,5.87018976319365,6.40963267011011,6.52097640772273,6.40878155625398,5.87018976319365,5.87018976319365,5.87018976319365,6.20640185027139,6.31711406123542,6.40388862328232,6.26933613686563,5.87018976319365,5.87018976319365
"Pocillopora_acuta_HIv2___RNAseq.g27422.t1",5.87018976319365,6.82559955679185,6.48987066592536,6.46349748535524,6.69467329113937,6.42171391975511,6.47247723162512,6.38267476494082,6.407087987666,6.68968200754975,6.63695492248004,5.87018976319365,6.36871148293844,6.47578341877202,6.4478915219016,5.87018976319365,6.39233207923815,5.87018976319365,6.615851823677,6.49822433707052,5.87018976319365,6.39047973447239,5.87018976319365,5.87018976319365,5.87018976319365,5.87018976319365,6.28095388759749,5.87018976319365,5.87018976319365,5.87018976319365,6.25273776842527,6.45771870330957,6.62757697078749,5.87018976319365,5.87018976319365,5.87018976319365,6.24587511806126,6.58634300006398,6.57326168708322,5.87018976319365,6.24974565590599,6.41972889342043
"Pocillopora_acuta_HIv2___RNAseq.g27424.t1",5.87018976319365,6.45005722281091,6.56785285405434,6.36762438801339,6.33779084266088,6.33246283487491,6.38482732867396,6.32904762362124,6.58292205383776,6.38696994634453,6.59635370972613,6.49820890149246,6.66355163587779,6.47578341877202,6.5207620351253,6.44215961908103,6.60468895689751,5.87018976319365,6.68997223424718,6.42200229569272,6.38107669851801,5.87018976319365,6.49113256986064,5.87018976319365,6.73859964789046,6.50452142393245,6.3724319916858,6.29109913210608,5.87018976319365,6.33877772832981,6.50138767420783,6.52097640772273,6.60403995103779,6.21094262553632,6.43326866887625,5.87018976319365,6.42556142007646,6.63828070158557,5.87018976319365,5.87018976319365,6.34947295157179,5.87018976319365
"Pocillopora_acuta_HIv2___TS.g10211.t1",5.87018976319365,6.48097473362483,6.36589102978019,5.87018976319365,6.44164860761255,5.87018976319365,6.23505283446441,6.23351879830008,6.30940131308244,6.41460491841819,6.37108963951514,5.87018976319365,5.87018976319365,6.41263381767115,5.87018976319365,6.73654508591793,7.0274265704832,6.47673832272954,6.6661065437895,6.36434085666192,6.46566329314385,6.54883258377235,6.54429906553036,6.78617127245489,6.47649443241475,6.47244617532833,5.87018976319365,6.93128562829735,6.57996869578984,6.20225636644829,6.14108706946095,5.87018976319365,6.14065596381086,6.35098003495972,6.46695937484732,6.46906242880081,6.20640185027139,6.43417436882866,6.19817222751815,6.46656541723357,6.64108901191433,6.6659977911563
"Pocillopora_acuta_HIv2___RNAseq.g27465.t1",5.87018976319365,5.87018976319365,5.87018976319365,5.87018976319365,6.47213030528037,5.87018976319365,6.23505283446441,6.32904762362124,5.87018976319365,6.53502427433945,5.87018976319365,6.37259814700102,5.87018976319365,6.37796883703671,5.87018976319365,5.87018976319365,6.58183429202879,5.87018976319365,5.87018976319365,6.68287074870672,6.24839542877332,5.87018976319365,6.3669059877696,6.50609347445973,5.87018976319365,6.32052128927164,5.87018976319365,6.43332211690096,5.87018976319365,5.87018976319365,5.87018976319365,5.87018976319365,5.87018976319365,5.87018976319365,5.87018976319365,5.87018976319365,6.34460174996005,5.87018976319365,5.87018976319365,5.87018976319365,6.40543719404914,6.38462022575719
