"","POC_R0_C1","POC_R0_C2","POC_R0_C3","POC_R0_H1","POC_R0_H2","POC_R0_H3","POC_R1_C1","POC_R1_C2","POC_R1_C3","POC_R1_H1","POC_R1_H2","POC_R1_H3","POC_R3_C1","POC_R3_C2","POC_R3_C3","POC_R3_H1","POC_R3_H2","POC_R3_H3","POC_R12_C1","POC_R12_C2","POC_R12_C3","POC_R12_H1","POC_R12_H2","POC_R12_H3","POC_R24_C1","POC_R24_C2","POC_R24_C3","POC_R24_H1","POC_R24_H2","POC_R24_H3","POC_R72_C1","POC_R72_C2","POC_R72_C3","POC_R72_H1","POC_R72_H2","POC_R72_H3","POC_R120_C1","POC_R120_C2","POC_R120_C3","POC_R120_H1","POC_R120_H2","POC_R120_H3"
"Pocillopora_acuta_HIv2___TS.g10153.t1",6.2346223500227,6.51031737778786,5.87018976274025,6.36762438763738,6.40935238473844,6.17355560654594,5.87018976274025,6.32904762323934,6.43577287528603,6.29288497526117,6.50675006008515,5.87018976274025,6.52063708717923,6.47578341841241,6.29813639123547,5.87018976274025,5.87018976274025,5.87018976274025,6.31897307105541,6.64595620940764,6.27850518816854,5.87018976274025,6.24646189512187,5.87018976274025,6.17501063534096,6.53495779150993,6.66697470427234,5.87018976274025,5.87018976274025,5.87018976274025,5.87018976274025,6.38629848792644,5.87018976274025,5.87018976274025,6.15306623668414,5.87018976274025,6.34460174958053,6.52997468568232,6.24864135135558,5.87018976274025,5.87018976274025,6.5131500830507
"Pocillopora_acuta_HIv2___TS.g28292.t1a",6.44414886797717,6.30368008129213,6.46143849984016,6.29118898278102,6.33779084228032,6.17355560654594,6.38482732830058,6.29963618437278,6.30940131269753,6.51285250459881,6.33902985117711,6.2000388405371,6.24783533108128,5.87018976274025,6.26108681163451,5.87018976274025,6.13232737878527,6.19610324755605,6.21837348736904,6.11816947951424,6.44573986387736,6.14937019174248,6.19628076003362,6.17184041797384,6.58967968142667,6.32052128888844,6.16113266131287,6.19668513085777,6.31308754866414,6.14151985262407,6.20172747582284,6.43496488693143,6.29690376990378,6.48133971233034,6.07037357481266,5.87018976274025,6.20640184987058,6.07069912957184,6.36977102498383,6.43289638117062,6.31877342040196,6.38462022538377
"Pocillopora_acuta_HIv2___TS.g28295.t1",6.89786248453268,6.72775437497954,7.21706639188947,7.13804658227581,7.00683553687552,6.60662939524347,6.85296106914309,6.89187360716424,6.89789701435946,7.33584916523047,7.47472557095697,7.89309286117248,6.97888004935648,6.76082890954478,6.85808312782421,7.74386911125221,7.96274322637129,7.53508675718802,6.94863244727747,7.00524796233649,6.94039691111475,7.31484995744576,7.01792495221985,7.17657840909924,7.24945663783549,7.25992084665446,6.5164440878084,7.53777884998763,7.52316878008995,6.99438423986304,6.86543217073133,7.26441028019543,7.1668085661149,7.3590488646149,7.28503176243441,6.99026966183122,6.93759528499882,6.81556763608446,7.17996350668741,7.55271312551746,7.45692771375585,7.44884551429349
"Pocillopora_acuta_HIv2___RNAseq.g10157.t1",6.86745280065891,6.68490827118233,6.9581110728083,6.85099680370452,6.96194411540408,6.97981921875786,6.83703885155941,6.81693103110254,6.83785250735177,6.88804264422553,6.94251222370112,6.97229946768304,7.12816001648362,6.74095787164239,6.91389121033057,6.94741643897731,7.15305648976525,7.25828199095782,6.9312869686138,6.70065224831183,7.1000643439262,7.09874668254946,6.83260176228396,6.99242607591627,6.91940219961844,6.50452142357715,6.84687554782174,7.19806604774974,7.07654538847155,7.23111710413428,6.86543217073133,6.72582199469111,6.57965403696011,7.07786341712799,6.79402326184461,7.06115147791977,6.61537375420694,6.66286452448643,6.80271498451258,6.92472222875996,6.99598100670521,7.31098332777755
"Pocillopora_acuta_HIv2___TS.g28301.t1",6.49811692759056,6.45005722244742,6.51698204432486,6.59434572121349,6.60481018900532,6.4978972833987,6.44482159651966,6.45360616873166,6.62522154593921,6.61671808566759,6.82740306124466,6.82579044885097,6.46478875621175,6.55918688888391,6.64503109351625,6.64053822728401,6.55815814476655,6.59292390611365,6.66610654345809,6.52154416319304,6.50353126998296,6.67493056681712,6.89873693494125,6.76250003190173,6.62992408050604,6.50452142357715,6.55743035459725,6.72337270689581,6.70225287542071,6.60634117746753,6.50138767385206,6.50063892450829,6.7926884812093,6.58731153807191,6.43326866851022,6.71125626202583,6.57790104942387,6.46791778894048,6.5481554524164,6.61113789726755,6.31877342040196,6.82974563462622
"Pocillopora_acuta_HIv2___TS.g10172.t1",5.87018976274025,5.87018976274025,5.87018976274025,6.7806453080704,5.87018976274025,5.87018976274025,6.31646437262165,6.59124139791026,5.87018976274025,5.87018976274025,5.87018976274025,6.87738809616001,5.87018976274025,5.87018976274025,5.87018976274025,5.87018976274025,6.53357215718773,5.87018976274025,5.87018976274025,5.87018976274025,5.87018976274025,5.87018976274025,5.87018976274025,5.87018976274025,5.87018976274025,5.87018976274025,5.87018976274025,6.4633717291049,5.87018976274025,5.87018976274025,6.44194526213129,5.87018976274025,5.87018976274025,6.67857029369627,5.87018976274025,6.82967482882014,5.87018976274025,5.87018976274025,5.87018976274025,5.87018976274025,6.37825776709525,6.48368150557072
"Pocillopora_acuta_HIv2___RNAseq.g27421.t1",5.87018976274025,6.72775437497954,6.39974934740956,6.19675502316124,6.71550639411975,5.87018976274025,6.44482159651966,6.23351879790347,6.30940131269753,6.29288497526117,6.45645923335433,5.87018976274025,6.3687114825626,6.29996901988032,5.87018976274025,6.87430641012503,6.19102177358071,6.19610324755605,6.21837348736904,6.22045701083697,6.24839542837901,5.87018976274025,5.87018976274025,5.87018976274025,6.17501063534096,5.87018976274025,6.4248256478478,5.87018976274025,6.21379300152606,5.87018976274025,6.4096326697405,6.52097640736989,6.40878155588424,5.87018976274025,5.87018976274025,5.87018976274025,6.20640184987058,6.31711406085169,6.40388862291184,6.26933613647455,5.87018976274025,5.87018976274025
"Pocillopora_acuta_HIv2___RNAseq.g27422.t1",5.87018976274025,6.82559955648332,6.48987066556786,6.46349748499377,6.69467329081211,6.42171391938733,6.47247723126501,6.38267476456711,6.40708798729601,6.68968200722176,6.63695492214436,5.87018976274025,6.3687114825626,6.47578341841241,6.44789152153778,5.87018976274025,6.39233207886591,5.87018976274025,6.61585182333822,6.49822433671428,5.87018976274025,6.39047973409987,5.87018976274025,5.87018976274025,5.87018976274025,5.87018976274025,6.2809538872082,5.87018976274025,5.87018976274025,5.87018976274025,6.25273776803163,6.45771870294723,6.62757697045044,5.87018976274025,5.87018976274025,5.87018976274025,6.24587511766656,6.58634299972085,6.57326168673816,5.87018976274025,6.24974565551189,6.41972889305235
"Pocillopora_acuta_HIv2___RNAseq.g27424.t1",5.87018976274025,6.45005722244742,6.56785285370848,6.36762438763738,6.33779084228032,6.33246283449354,6.38482732830058,6.32904762323934,6.58292205349413,6.38696994597147,6.59635370938448,6.49820890113622,6.663551635546,6.47578341841241,6.52076203477243,6.44215961871634,6.60468895655709,5.87018976274025,6.68997223391923,6.42200229532498,6.38107669814406,5.87018976274025,6.49113256950333,5.87018976274025,6.73859964756954,6.50452142357715,6.37243199131053,6.29109913171835,5.87018976274025,6.3387777279494,6.50138767385206,6.52097640736989,6.60403995069728,6.21094262513621,6.43326866851022,5.87018976274025,6.42556141970926,6.6382807012501,5.87018976274025,5.87018976274025,6.34947295119302,5.87018976274025
"Pocillopora_acuta_HIv2___TS.g10211.t1",5.87018976274025,6.480974733266,6.36589102940392,5.87018976274025,6.44164860724779,5.87018976274025,6.23505283406804,6.23351879790347,6.30940131269753,6.41460491804933,6.37108963913966,5.87018976274025,5.87018976274025,6.41263381730199,5.87018976274025,6.73654508559672,7.02742657020248,6.47673832237007,6.66610654345809,6.36434085628542,6.46566329278271,6.54883258342366,6.544299065181,6.78617127214077,6.47649443205525,6.47244617496821,5.87018976274025,6.93128562800356,6.57996869544577,6.20225636604684,6.14108706904999,5.87018976274025,6.14065596339983,6.35098003458117,6.46695937448638,6.46906242844018,6.20640184987058,6.43417436846276,6.19817222711606,6.46656541687257,6.64108901157926,6.66599779082487
