"","POR_R0_C1","POR_R0_C2","POR_R0_C3","POR_R0_H1","POR_R0_H2","POR_R0_H3","POR_R1_C1","POR_R1_C2","POR_R1_C3","POR_R1_H1","POR_R1_H2","POR_R1_H3","POR_R3_C1","POR_R3_C2","POR_R3_C3","POR_R3_H1","POR_R3_H2","POR_R3_H3","POR_R12_C1","POR_R12_C2","POR_R12_C3","POR_R12_H1","POR_R12_H2","POR_R12_H3","POR_R24_C1","POR_R24_C2","POR_R24_C3","POR_R24_H2","POR_R24_H3","POR_R72_C1","POR_R72_C2","POR_R72_C3","POR_R72_H3","POR_R120_C1","POR_R120_C2","POR_R120_C3","POR_R120_H1","POR_R120_H2","POR_R120_H3"
"Porites_compressa_HIv1___RNAseq.g9685.t1",5.95259633467598,6.32288694363389,6.21983541070676,6.34983227214132,6.30870584186732,6.30749722337602,5.95259633467598,6.33383071922369,6.23836066902193,5.95259633467598,5.95259633467598,6.39251512884189,5.95259633467598,6.4749569932703,5.95259633467598,6.50087388266505,6.54614025271738,6.22756056908853,5.95259633467598,6.14821743961211,5.95259633467598,6.40026086626932,6.206683726521,6.34254764903551,6.26488292072927,5.95259633467598,5.95259633467598,6.24064259937701,6.13819300443437,5.95259633467598,5.95259633467598,5.95259633467598,6.40004991373133,6.52006472232304,6.40260074146046,5.95259633467598,6.3550405471831,6.30328738824589,6.34738957161381
"Porites_compressa_HIv1___RNAseq.g9709.t1",5.95259633467598,7.7808324672066,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.5197942949007,5.95259633467598,5.95259633467598,8.14691125927956,8.13881785322124,7.67666199221167,6.29077298367697,7.19990236211202,6.27681508961581,5.95259633467598,5.95259633467598,6.28910395821477,5.95259633467598,5.95259633467598,6.44723291597083,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,7.94239324478928,5.95259633467598,5.95259633467598,7.70527465912925,5.95259633467598,6.25216472300358,5.95259633467598,5.95259633467598,6.22465731617899,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598
"Porites_compressa_HIv1___RNAseq.g9710.t1",5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.88304737528514,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.42976802008133,5.95259633467598,6.51183427346307,5.95259633467598,5.95259633467598,6.42742348690572,5.95259633467598,5.95259633467598,6.30320937260224,5.95259633467598,5.95259633467598,6.11219695079968,5.95259633467598,6.78721131028418,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.61774880404416,5.95259633467598,6.35514171445123,6.58647082147357,6.81546325087238,5.95259633467598,5.95259633467598,5.95259633467598
"Porites_compressa_HIv1___TS.g4355.t2",5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.99757975590119,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.73078008122687,5.95259633467598,7.15470578814337,5.95259633467598,5.95259633467598,6.59314670821656,6.72944665037997,5.95259633467598,6.83487608568702,5.95259633467598,5.95259633467598,6.34254764903551,5.95259633467598,6.85981126190533,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.61774880404416,5.95259633467598,6.90368403630016,6.69069438997186,6.70257544333794,5.95259633467598,5.95259633467598,5.95259633467598
"Porites_compressa_HIv1___RNAseq.g9732.t1",5.95259633467598,5.95259633467598,6.21983541070676,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.16677130254503,5.95259633467598,6.34926705852014,5.95259633467598,6.32432282047561,5.95259633467598,5.95259633467598,6.26154678031906,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.37475262846788,5.95259633467598,6.74169666096739,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.4773240770205,5.95259633467598,6.2113315717962,6.34796558463878,6.50920342993851
"Porites_compressa_HIv1___RNAseq.g9733.t1",5.95259633467598,5.95259633467598,6.21983541070676,6.46435985054227,7.13837212789125,6.84538854232773,6.74973266831697,6.67061080987788,5.95259633467598,6.89423572207304,7.72323833358206,6.74318064486986,6.53570031987861,6.37987228047107,6.82884479387222,6.19897223454891,5.95259633467598,5.95259633467598,5.95259633467598,6.38869141354521,7.18229799205053,6.2550697040146,5.95259633467598,5.95259633467598,7.11257226434132,6.25127569139545,5.95259633467598,6.62319391473444,5.95259633467598,7.13099362686483,6.86636318137897,6.92918553256783,6.82637592998543,6.92340826597251,6.74842783161055,6.56721177339264,6.19218435433773,6.21188785519535,6.40799499548878
"Porites_compressa_HIv1___RNAseq.g9734.t1",5.95259633467598,5.95259633467598,6.46239559011736,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.52136915270683,5.95259633467598,5.95259633467598,6.55014936926418,5.95259633467598,6.5028834833184,6.63542506783287,6.94970073932516,7.56403276911607,7.04491888230532,6.6631554241974,6.50297670808318,5.95259633467598,6.52381244592096,6.40934126125113,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.48927723472113,6.29922107431923,7.09653804058523,6.41517101587634,6.31916381869985,6.75819089403148,5.95259633467598,6.55740634918396,5.95259633467598,6.3550405471831,6.26994965936507,5.95259633467598
"Porites_compressa_HIv1___RNAseq.g9740.t1",5.95259633467598,5.95259633467598,6.50629005155755,5.95259633467598,5.95259633467598,6.26014242605529,5.95259633467598,6.36997672182213,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.5293980657497,5.95259633467598,5.95259633467598,6.26700974214638,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.2550697040146,5.95259633467598,5.95259633467598,6.31296066016824,5.95259633467598,6.88713971555376,5.95259633467598,6.08387821428489,6.67552830075071,6.26171050342147,5.95259633467598,5.95259633467598,5.95259633467598,6.45971552369411,5.95259633467598,6.17135106747003,6.1644017644104,5.95259633467598
"Porites_compressa_HIv1___RNAseq.g9741.t1",5.95259633467598,5.95259633467598,6.29727362828458,6.55687589404393,5.95259633467598,5.95259633467598,6.88304737528514,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.40548549892386,6.37987228047107,6.85668982473571,5.95259633467598,5.95259633467598,5.95259633467598,6.99442509659137,6.38869141354521,5.95259633467598,6.2232355047611,6.206683726521,5.95259633467598,6.47639807929937,5.95259633467598,6.80321196059841,5.95259633467598,6.08387821428489,5.95259633467598,6.26171050342147,5.95259633467598,5.95259633467598,5.95259633467598,6.4773240770205,5.95259633467598,6.2113315717962,6.3617516497237,5.95259633467598
"Porites_compressa_HIv1___RNAseq.g9764.t1",5.95259633467598,6.51618789497263,6.26103107218676,6.8011527877456,5.95259633467598,5.95259633467598,5.95259633467598,6.65077198415795,5.95259633467598,5.95259633467598,5.95259633467598,6.50286119539104,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.22903524399475,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,6.37549580912266,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598,5.95259633467598
