Gene	p	padj	loglik_full	loglik_red	df_full	df_red	mean	converge_combined	converge_case	converge_control	converge_sigmoid	impulseTOsigmoid_p	impulseTOsigmoid_padj	sigmoidTOconst_p	sigmoidTOconst_padj	isTransient	isMonotonous	allZero
Montipora_capitata_HIv3___RNAseq.g4581.t1	0.225715248237598	0.682410071640359	-222.50399064293	-225.970199237735	17	12	446.886621682747	0	0	0	0	0.00108290755353305	0.0120682552936837	0.00828285778151707	0.0641435490597215	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g4750.t1	0.508378605446595	1	-70.1825832169427	-72.3278851514466	17	12	4.21189456107443	0	0	0	0	0.291961761509936	0.681484823984483	0.919696107680407	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g4751.t1	0.198914850492283	0.62928576738038	-208.41331030244	-212.065900920063	17	12	201.376413709182	0	0	0	0	0.208104999113226	0.558228541908694	0.0115258807651534	0.0847248300208389	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g4752.t1	0.00418823677213577	0.0372029277283935	-212.758092085115	-221.343144048429	17	12	194.037946752322	0	0	0	0	5.66136551145693e-07	2.32692971827609e-05	0.0289068585760523	0.179069203349223	TRUE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g4753.t1	0.000101587799257994	0.00184149838954608	-276.086197787791	-288.940954652128	17	12	2243.01757220588	0	0	0	0	3.97612995720348e-09	3.17989308526519e-07	0.00239672454037426	0.0224633804591569	TRUE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Montipora_capitata_HIv3___RNAseq.g4754.t1	4.24689630670661e-11	5.92869237372638e-09	-274.056299784523	-302.740192313058	17	12	675.750296158827	0	0	0	0	5.46666007536642e-09	4.20104813772255e-07	2.046884048583e-08	6.70646104344507e-07	FALSE	TRUE	FALSE
Montipora_capitata_HIv3___RNAseq.g4755.t1	5.02788443071035e-08	2.90025338463408e-06	-243.20124895211	-264.371099442259	17	12	289.160754912278	0	0	0	0	0.704912924400021	1	1.11513879658039e-17	1.80817265005655e-15	FALSE	TRUE	FALSE
Montipora_capitata_HIv3___RNAseq.g4756.t1	0.00650823597757426	0.0525570964576145	-285.108319635276	-293.16858705848	17	12	1119.61451005082	0	0	0	0	0.0376256074126069	0.179497930038362	2.22392389485429e-05	0.000359615657911925	FALSE	TRUE	FALSE
Montipora_capitata_HIv3___RNAseq.g4757.t1	0.146943833303921	0.518395870986582	-210.808922155293	-214.895533547929	17	12	133.578543864884	0	0	0	0	0.550586118971269	0.953439363684936	0.00194009735287053	0.0187243799540184	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g4758.t1	0.821605226936531	1	-232.198805025484	-233.29614090444	17	12	301.724483055096	0	0	0	0	0.510880996015085	0.923406335304435	0.681126568031559	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g4759.t1	8.11277286254606e-09	5.88924903875748e-07	-343.268185833064	-366.388549793488	17	12	3209.03432323657	0	0	0	0	6.48615204646464e-05	0.00123556352164891	1.76734302422743e-16	2.45270825288739e-14	FALSE	TRUE	FALSE
Montipora_capitata_HIv3___RNAseq.g4760.t1	0.646664798808254	1	-241.837024229665	-243.510489037382	17	12	393.184820183654	0	0	0	0	1	1	0.511483333056443	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g4761.t1	0.164346398972227	0.556969391331216	-242.409531152056	-246.337582785624	17	12	543.119737309619	0	0	0	0	0.00331373558300401	0.029073747393835	0.690538602648261	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g26455.t1	0.0289445727230491	0.16454373545955	-295.136809881118	-301.369235308822	17	12	1670.97234842945	0	0	0	0	0.00151378208397225	0.0156468362830735	0.307593483591634	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g4764.t1	0.487619241133152	1	-291.704402082647	-293.92563047711	17	12	549.130160850698	0	0	0	0	0.071227925457647	0.279075890448299	0.83580022008179	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.214_t	0.0639843055545808	0.293002664750863	-219.504597217707	-224.718458298302	17	12	195.767113842676	0	0	0	0	0.0108683523627985	0.0723202942093709	0.911794758929061	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g4766.t1	0.906414545917614	1	-352.471370496443	-353.249808245021	17	12	2533.59488555966	0	0	0	0	0.902487957339719	1	0.0968084492251082	0.461824555321679	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g26265.t1	0.958316412657934	1	-40.0295987571672	-40.5552868005293	17	12	1.62058570128514	0	0	0	0	0.726695871626254	1	0.899187847293541	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g26266.t1	0.925537467486607	1	-20.2647507071854	-20.9591370595274	17	12	0.82001530448618	0	0	0	0	0.604261757634822	0.988527234822975	0.983942581392209	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g26267.t1	0.956411426947574	1	-17.0007570505786	-17.5375701562472	17	12	0.273495840958572	0	0	0	0	0.901362189947447	1	0.86862005051966	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g26268.t1	0.793569148573008	1	-39.5453588091838	-40.7383184725713	17	12	1.1187513330025	0	0	0	0	0.905625446371122	1	0.76381183858654	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g26269.t1	0.943381151095795	1	-29.1997879373042	-29.8075409411975	17	12	1.83906046284985	0	0	0	0	0.832454753362858	1	0.784486264347542	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g26272.t1	0.899060579973122	1	-57.9826128989071	-58.7916272753345	17	12	0.758451449151289	0	0	0	0	0.711160811744516	1	0.983206796816911	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g26277.t1	0.98825789730119	1	-41.4068350081059	-41.704038408364	17	12	1.5212178774126	0	0	0	0	0.836444535479852	1	0.906866858655546	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g26284.t1	0.924758276629992	1	-63.7751920287526	-64.4731556187655	17	12	0.581425376649242	0	0	0	0	0.660707496618032	1	0.912351682757906	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g4600.t1	1	1	-8.70209837428446	-8.70168197438275	17	12	2.58557808816418e-06	0	0	0	0	0.800962707568977	1	0.909511784889093	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Montipora_capitata_HIv3___RNAseq.g4613.t1	0.983463350438497	1	-22.3221997426415	-22.6676591628686	17	12	1.13057090019262	0	0	0	0	0.930305224222421	1	0.833174835837862	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g4615.t1	1	1	-4.4921755593071	-4.49214308060635	17	12	2.06113848445795e-06	0	0	0	0	1	1	0.99999999999998	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___TS.g26302.t1	0.462647977986896	1	-73.5586079048348	-75.8737321017253	17	12	3.28288787450053	0	0	0	0	0.63754974850808	1	0.461160652767797	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Montipora_capitata_HIv3___RNAseq.g4678.t1	0.949172308555735	1	-13.5254286973203	-14.102651543157	17	12	4.12877519301463e-05	0	0	0	0	0.618993849798202	0.99717394341851	0.996209942327958	1	FALSE	FALSE	FALSE
Montipora_capitata_HIv3___RNAseq.g4679.t1	0.948257335728221	1	-32.8999020008023	-33.4820453830632	17	12	1.36171449250802	0	0	0	0	0.566135075213805	0.965102912820673	0.995932524029307	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Montipora_capitata_HIv3___TS.g26384.t1	1	1	-3.80655137068867	-3.80649104750384	17	12	2.41076531569384e-06	0	0	0	0	0.908773638045704	1	0.927277543847277	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
