"","sample","species","time","replicate","treatment"
"MON_R0_C1","MON_R0_C1","MON","0","C1","C"
"MON_R0_C2","MON_R0_C2","MON","0","C2","C"
"MON_R0_C3","MON_R0_C3","MON","0","C3","C"
"MON_R0_H1","MON_R0_H1","MON","0","H1","H"
"MON_R0_H2","MON_R0_H2","MON","0","H2","H"
"MON_R0_H3","MON_R0_H3","MON","0","H3","H"
"MON_R1_C1","MON_R1_C1","MON","1","C1","C"
"MON_R1_C2","MON_R1_C2","MON","1","C2","C"
"MON_R1_C3","MON_R1_C3","MON","1","C3","C"
"MON_R1_H1","MON_R1_H1","MON","1","H1","H"
"MON_R1_H2","MON_R1_H2","MON","1","H2","H"
"MON_R1_H3","MON_R1_H3","MON","1","H3","H"
"MON_R3_C1","MON_R3_C1","MON","3","C1","C"
"MON_R3_C2","MON_R3_C2","MON","3","C2","C"
"MON_R3_C3","MON_R3_C3","MON","3","C3","C"
"MON_R3_H1","MON_R3_H1","MON","3","H1","H"
"MON_R3_H2","MON_R3_H2","MON","3","H2","H"
"MON_R3_H3","MON_R3_H3","MON","3","H3","H"
"MON_R12_C1","MON_R12_C1","MON","12","C1","C"
"MON_R12_C2","MON_R12_C2","MON","12","C2","C"
"MON_R12_C3","MON_R12_C3","MON","12","C3","C"
"MON_R12_H1","MON_R12_H1","MON","12","H1","H"
"MON_R12_H2","MON_R12_H2","MON","12","H2","H"
"MON_R12_H3","MON_R12_H3","MON","12","H3","H"
"MON_R24_C1","MON_R24_C1","MON","24","C1","C"
"MON_R24_C2","MON_R24_C2","MON","24","C2","C"
"MON_R24_C3","MON_R24_C3","MON","24","C3","C"
"MON_R24_H1","MON_R24_H1","MON","24","H1","H"
"MON_R24_H2","MON_R24_H2","MON","24","H2","H"
"MON_R24_H3","MON_R24_H3","MON","24","H3","H"
"MON_R72_C1","MON_R72_C1","MON","72","C1","C"
"MON_R72_C2","MON_R72_C2","MON","72","C2","C"
"MON_R72_C3","MON_R72_C3","MON","72","C3","C"
"MON_R72_H1","MON_R72_H1","MON","72","H1","H"
"MON_R72_H2","MON_R72_H2","MON","72","H2","H"
"MON_R72_H3","MON_R72_H3","MON","72","H3","H"
"MON_R120_C1","MON_R120_C1","MON","120","C1","C"
"MON_R120_C2","MON_R120_C2","MON","120","C2","C"
"MON_R120_C3","MON_R120_C3","MON","120","C3","C"
"MON_R120_H1","MON_R120_H1","MON","120","H1","H"
"MON_R120_H2","MON_R120_H2","MON","120","H2","H"
"MON_R120_H3","MON_R120_H3","MON","120","H3","H"
