Gene	p	padj	loglik_full	loglik_red	df_full	df_red	mean	converge_combined	converge_case	converge_control	converge_sigmoid	impulseTOsigmoid_p	impulseTOsigmoid_padj	sigmoidTOconst_p	sigmoidTOconst_padj	isTransient	isMonotonous	allZero
Pocillopora_acuta_HIv2___TS.g10153.t1	0.165243360524675	0.330092971977409	-100.311639545977	-104.231928111348	17	12	4.36209610893921	0	0	0	0	0.0289716002737399	0.0707184484197243	0.458427944971832	0.761146249614891	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g10143.t1	0.908633826393277	1	-68.7820125146435	-69.5510532522212	17	12	2.60565876611604	0	0	0	0	0.372501761224059	0.541370661357127	0.037034703733128	0.099626290994367	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g28292.t1a	0.898015822183024	1	-101.624604853512	-102.437897589029	17	12	6.54621194424989	0	0	0	0	0.106048947842373	0.204429259772517	0.963541809522835	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g10151.t1	0.955993701369504	1	-52.0947431563125	-52.6339661146513	17	12	0.840961060828469	0	0	0	0	0.783247551962164	0.912715205923708	0.906702558634133	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g28295.t1	0.0175488383355085	0.0536926136420973	-176.094900316587	-182.950709593423	17	12	35.7365870933113	0	0	0	0	0.000490428276915212	0.00205656876438809	0.602949160624494	0.92010950435593	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g10157.t1	0.208793451411127	0.396513111225007	-142.765455761709	-146.34698294945	17	12	30.3846140529342	0	0	0	0	0.314860661890364	0.478329546755823	0.655711148781044	0.969969326876209	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g28301.t1	0.845961687424845	1	-123.83961900707	-124.851089527491	17	12	13.0364142796303	0	0	0	0	0.315806241027043	0.479403117331164	0.838516959495666	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g10161.t1	0.999997890951897	1	-23.3133560677687	-23.3220525552388	17	12	1.37032082717769	0	0	0	0	0.89253674205789	0.965406023772744	0.843368602601846	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___TS.g10171.t1	0.983932969148973	1	-42.1769478267787	-42.5180319659628	17	12	0.980760215462547	0	0	0	0	0.793501782805592	0.918881275614795	0.926410912207213	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g10172.t1	0.85489479453493	1	-68.2881145239006	-69.2672266650952	17	12	2.12855993967287	0	0	0	0	0.52157820473106	0.693033530410183	0.99894051452254	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27421.t1	0.0871760261327803	0.199361405523021	-97.3042075337486	-102.107584899665	17	12	4.84234722055812	0	0	0	0	0.289535194519271	0.448272311629384	0.00435883453195116	0.0155275762717524	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27422.t1	0.0335818360376853	0.0920944853809489	-111.398633326406	-117.443381657447	17	12	5.89946538111743	0	0	0	0	0.00447005302668743	0.0142727078003315	0.158626286705946	0.33419485743703	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27424.t1	0.614446448336529	0.874221846633813	-127.167693995268	-128.947303986426	17	12	12.4185494601183	0	0	0	0	0.757468565448121	0.895154352725588	0.179607507115578	0.369447846202418	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27427.t1	0.999912804902219	1	-15.7299857448974	-15.7688584562384	17	12	8.78325515251231e-05	0	0	0	0	0.805791432573139	0.925543937294449	0.872650275632007	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27442.t1	1	1	-5.22678795055173	-5.22668652380279	17	12	3.23377368045246e-06	0	0	0	0	0.999999999024801	1	1	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27443.t1	0.990340595769973	1	-7.70162237224132	-7.97463954060526	17	12	1.52106989414485e-05	0	0	0	0	0.918849314170532	0.982828578042287	0.897309327697813	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g10204.t2	1	1	-7.70159301412049	-7.70152548158538	17	12	0.142683869942251	0	0	0	0	0.999999999024801	1	1	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___TS.g10208.t1	0.999999999671392	1	-12.9999925743411	-13.0002527905506	17	12	4.38243807909333e-05	0	0	0	0	0.689415816710228	0.841315326849487	0.974091891110323	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27448.t1	0.995120107095959	1	-68.4861860418485	-68.6899429457208	17	12	0.504411999376263	0	0	0	0	0.546179887246662	0.716994736716148	0.952037176699352	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g10211.t1	0.272519559581971	0.485852637750855	-127.142731197838	-130.324019595289	17	12	5.35060584725508	0	0	0	0	0.0249880499351645	0.0624814337283259	0.814989686249104	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27463.t1	0.999999999977573	1	-3.85075661153579	-3.85084552186225	17	12	2.68005269527184e-06	0	0	0	0	0.871176554034543	0.952129658896303	0.942570392290545	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27465.t1	0.898661920371296	1	-82.5252647488763	-83.3359135007667	17	12	1.46103016267981	0	0	0	0	0.879228409309316	0.956427097496942	0.981462783678253	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27467.t1	0.999999999977573	1	-3.85075661153579	-3.85084552186225	17	12	2.68005269527184e-06	0	0	0	0	0.871176554034543	0.952129658896303	0.942570392290545	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27469.t1	0.892515578014315	1	-50.4248237948931	-51.2603929983033	17	12	0.726092703974815	0	0	0	0	0.828841420373728	0.932713153617924	0.91100014841801	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27471.t1	0.676220851901869	0.931207579412229	-142.075011907288	-143.652130361508	17	12	6.94460210178435	0	0	0	0	0.421434263455533	0.593286970383804	0.963224785254204	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g10232.t1	0.998183550341272	1	-18.9634203708796	-19.0979896452776	17	12	7.53752933097663e-05	0	0	0	0	0.991394130607222	1	0.835135791091141	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27477.t1	0.999999999992056	1	-3.85075552328863	-3.85081422593499	17	12	1.98049705716062e-06	0	0	0	0	0.841184424807199	0.936373042958147	0.918465291864675	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27479.t1	0.619954894135164	0.879119251786483	-79.6044316005335	-81.3657840935597	17	12	1.00769933766112	0	0	0	0	0.554008731837786	0.724436028027052	0.602298973658234	0.919442742792388	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g10267.t1	0.990083441432066	1	-32.7115200768834	-32.987663859883	17	12	0.321488755773346	0	0	0	0	0.893015228009467	0.965715908747518	0.800472847041315	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27511.t1	1	1	-4.94022869252039	-4.94005729687257	17	12	2.05379106883154e-06	0	0	0	0	0.832418174305489	0.93385843043906	0.901899325013306	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.123_t	0.962503240427156	1	-48.2480548582409	-48.7484423551261	17	12	0.683277446093063	0	0	0	0	0.894682053777997	0.966756333083421	0.909191164297738	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27517.t1	0.998193921656771	1	-14.1160865963991	-14.2503358343504	17	12	3.90943297887856e-06	0	0	0	0	0.994127241081253	1	0.86969394978144	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27519.t1	1	1	-15.5127015864184	-15.5126583882601	17	12	6.38941089178222e-07	0	0	0	0	0.984995019331764	1	0.824055385460491	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g10279.t1a	0.971328697591138	1	-10.4532483577885	-10.8955329984046	17	12	0.647148503952897	0	0	0	0	0.821206875029122	0.930267769752423	0.890024930071766	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27522.t1	1	1	-5.22667199473828	-5.22657501423236	17	12	0.537494848653095	0	0	0	0	0.999999999024801	1	1	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27528.t1	0.530174175711498	0.790194904586548	-74.2178344994529	-76.2852407573778	17	12	1.98001211499795	0	0	0	0	0.432650251301796	0.604508545568899	0.0840611186752217	0.198712662459324	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27534.t1	0.978914723637026	1	-42.9848797370396	-43.3698185725956	17	12	0.142758223364641	0	0	0	0	0.813903010554903	0.928019735119406	0.98050721892717	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g10294.t1	0.505632202238434	0.764796264399135	-105.857076531267	-108.012321347178	17	12	6.16460392123833	0	0	0	0	0.128798291510918	0.239267046522191	0.97366534249574	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___TS.g10312.t1	1	1	-3.85083875621317	-3.85081242363504	17	12	2.13660384699159e-06	0	0	0	0	0.999999999024801	1	1	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27554.t1	1	1	-3.85085422880907	-3.85075515184839	17	12	0.126491018924027	0	0	0	0	0.999999999024801	1	1	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27564.t1	0.993103134847768	1	-16.1925933442078	-16.4287336399028	17	12	0.126623794741167	0	0	0	0	1	1	0.891555488938311	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27580.t1	1	1	-3.85093834233421	-3.85080448818934	17	12	2.35576765759383e-06	0	0	0	0	0.999999999024801	1	1	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27582.t1	0.999999999997056	1	-8.13413437721961	-8.13417384167195	17	12	0.146179685609993	0	0	0	0	0.999999999024801	1	1	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g10342.t2	0.999999999826677	1	-9.2467243967488	-9.2469258607698	17	12	0.552735925862838	0	0	0	0	0.999999999024801	1	1	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27588.t1	0.965092542854041	1	-56.8600834522566	-57.3441650325925	17	12	0.942163224236102	0	0	0	0	0.505011680368918	0.676847522583442	0.906722272723471	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27589.t1	1	1	-7.86827898808117	-7.86828016063996	17	12	0.146448875702514	0	0	0	0	0.999999999024801	1	1	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27590.t1	0.994133425742307	1	-11.5527422404904	-11.7731029265353	17	12	5.08060884416948e-05	0	0	0	0	0.919162909716486	0.982828578042287	0.911578504177052	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27608.t1	1	1	-10.1674528435062	-10.1667233185082	17	12	4.77696727860518e-05	0	0	0	0	0.833670597893008	0.933887477545897	0.897007110447619	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___TS.g10373.t1	0.996938098666224	1	-21.9113472188318	-22.0787196470508	17	12	7.00786357633618e-05	0	0	0	0	0.492601869622031	0.664523709332778	0.968004694363346	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27637.t1	0.999999999997377	1	-10.5710511432343	-10.5710888274452	17	12	7.22521058808727e-07	0	0	0	0	0.715065889015617	0.862227034779917	0.903690159197029	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g10396.t1	0.416787094011816	0.666095953952345	-124.656091319675	-127.152378508501	17	12	4.31179417970838	0	0	0	0	0.476904105040613	0.648711673057453	0.980777351908549	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27643.t1	1	1	-3.85083875621317	-3.85081242363504	17	12	2.13660384699159e-06	0	0	0	0	0.999999999024801	1	1	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27644.t1	0.987228235417388	1	-16.0797669861825	-16.3880919170375	17	12	4.37692389718305e-05	0	0	0	0	0.76409224621241	0.900073459754123	0.999139834594304	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___TS.g10409.t1	0.902826089961088	1	-52.3333429945107	-53.1268049582538	17	12	0.973788350848951	0	0	0	0	0.721083087229343	0.866687124840928	0.999918558663356	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27657.t1	0.897253365365352	1	-47.5271654940424	-48.3435708089224	17	12	0.694462136409615	0	0	0	0	0.364988900540357	0.533431720014914	0.641930571523142	0.957470823790077	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27659.t1	0.999999999969817	1	-3.85083076259074	-3.85093088931462	17	12	2.30453580658134e-06	0	0	0	0	0.999999999024801	1	1	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___TS.g10419.t1b	0.999999999999797	1	-8.09409407379025	-8.09410761056692	17	12	1.51405768164665e-05	0	0	0	0	0.689501411167396	0.84135174014604	0.998289593084512	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g10420.t1	0.996609405873801	1	-15.4979803021097	-15.6726820318679	17	12	3.0069124352988e-05	0	0	0	0	0.815910868533513	0.928815843846742	0.997113342718006	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27663.t1	0.999999998364333	1	-3.85083677073389	-3.85133127470591	17	12	2.30180027683679e-06	0	0	0	0	0.926216322409453	0.987195907598558	0.905042935348211	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27689.t1	0.309628256572247	0.536459083951457	-110.607545177361	-113.59010237231	17	12	5.13605287280945	0	0	0	0	0.101048221635654	0.196674534306979	0.878260014363957	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27695.t1	1	1	-20.1258607125431	-20.1256096369617	17	12	1.35733540757783	0	0	0	0	0.999999999024801	1	1	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.311_t	1	1	-11.0311182637334	-11.0311070797349	17	12	0.572531850964082	0	0	0	0	0.999999999024801	1	1	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27706.t1	1	1	-4.94006567891594	-4.94004604146607	17	12	2.04725529394995e-06	0	0	0	0	0.999999999024801	1	1	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27710.t1	0.999999999999543	1	-3.85079584143973	-3.85081456834598	17	12	2.17469051635008e-06	0	0	0	0	0.852967657411656	0.942749521452064	0.932747435609582	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27715.t1a	0.999999999977573	1	-3.85075661153579	-3.85084552186225	17	12	2.68005269527184e-06	0	0	0	0	0.871176554034543	0.952129658896303	0.942570392290545	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27716.t1	1	1	-3.85082882678925	-3.85079176362642	17	12	2.55517610553818e-06	0	0	0	0	0.999999999024801	1	1	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27723.t1	0.980382441526616	1	-21.297775395253	-21.6704921993143	17	12	0.000106275193980055	0	0	0	0	0.854628114274721	0.943991380478391	0.779990097024411	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___TS.g10488.t1a	0.261011579300419	0.470232179040512	-70.888816162367	-74.1361665951689	17	12	1.93808401338292	0	0	0	0	0.459331751452459	0.631318703690396	0.667281984399851	0.979311918361579	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27727.t1	1	1	-4.53687024989725	-4.53681275215625	17	12	2.3258407441635e-06	0	0	0	0	0.82859708055655	0.932542507875771	0.901645161432031	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27728.t1	1	1	-8.16606453388338	-8.16583942867832	17	12	1.45864782366741e-05	0	0	0	0	0.786043147200387	0.914413965297059	0.998827452919366	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27729.t1	1	1	-8.38756139711256	-8.38753331017997	17	12	0.134421578874165	0	0	0	0	0.849258167297518	0.940400348157736	0.913299301077057	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27734.t1	0.999999999988064	1	-9.64072399216371	-9.64079307614823	17	12	0.126023401046072	0	0	0	0	0.999999999024801	1	1	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27735.t1	0.999786276941129	1	-16.5198732179217	-16.5757840994519	17	12	0.289207655078147	0	0	0	0	0.8484219850201	0.940198850991651	0.999369515571219	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g10498.t1	0.99282351661885	1	-16.4719472241967	-16.7121454838889	17	12	0.586620479836351	0	0	0	0	0.766410397235734	0.90130128483726	0.832076626886204	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27738.t1	0.98487015608414	1	-36.5732198688545	-36.9053719932915	17	12	1.02297954424726	0	0	0	0	0.942784817098963	1	0.730020377553303	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27739.t1	0.967697796104852	1	-19.4596289920869	-19.9267204364223	17	12	1.47589221608051	0	0	0	0	0.873408568623244	0.952809347588993	0.938867053518192	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27741.t1	0.857669122001503	1	-54.5303053834389	-55.4992561293429	17	12	0.612217988353141	0	0	0	0	0.557887283626312	0.728088139236415	0.98991273598813	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27743.t1	0.692868486428109	0.945247758810249	-84.2938857108132	-85.816968316753	17	12	2.48023890119246	0	0	0	0	0.271121570503232	0.425880861801257	0.999999949639708	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27745.t1	0.969575410066091	1	-18.2262250161806	-18.6806651375815	17	12	0.126062872262694	0	0	0	0	0.936926649672689	0.995474257599781	0.768794043978606	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27746.t1	1	1	-3.85085422880907	-3.85075515184839	17	12	0.126491018924027	0	0	0	0	0.999999999024801	1	1	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27754.t1	0.977885542473578	1	-38.9812736543516	-39.3745306059765	17	12	0.619766705502486	0	0	0	0	0.70431188140521	0.853248738792921	0.971531881111118	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___TS.g10522.t1	0.995991089446589	1	-9.07372586062086	-9.26121022659589	17	12	2.05713255388261e-05	0	0	0	0	0.846538366547608	0.93938772299911	0.913421132882177	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27762.t1	0.982155578295399	1	-15.3783970355465	-15.735716744609	17	12	1.18414712894631e-05	0	0	0	0	0.83015682003813	0.933341344533622	0.905893028670768	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___RNAseq.g27765.t1	0.99157865748222	1	-30.9390455844882	-31.1963493037414	17	12	9.76772182219033e-05	0	0	0	0	0.941006984259361	0.998684487989152	0.992767204382344	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Pocillopora_acuta_HIv2___RNAseq.g27771.t1	0.109069188677637	0.238477730514459	-83.2181302139612	-87.7180671524617	17	12	0.000223445232008277	0	0	0	0	0.0785758810954952	0.160752446547047	0.941969588688421	1	FALSE	FALSE	FALSE
Pocillopora_acuta_HIv2___TS.g10533.t1	0.999999999909777	1	-4.53690470583289	-4.53705986452364	17	12	2.21070745044838e-06	0	0	0	0	0.838792905281177	0.935588675941761	0.911517677940714	1	FALSE	FALSE	FALSE
