"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Pocillopora_acuta_HIv2___TS.g28295.t1",63.8863594475299,1.82554017529979,0.445574345005733,4.14786649909164e-06,4.32934634880448e-05
"Pocillopora_acuta_HIv2___RNAseq.g28136.t1a",12.3980741806901,2.5476512532492,1.69567060299888,0.00382929899347948,0.0174920387698897
"Pocillopora_acuta_HIv2___TS.g10159.t1",40.2506005930545,1.2947891120949,0.533455616939385,0.00205209739488263,0.0102487445070786
"Pocillopora_acuta_HIv2___RNAseq.g27405.t1",4277.2257751308,1.11730919861683,0.212555074731616,3.37011694532207e-08,5.3716013855823e-07
"Pocillopora_acuta_HIv2___TS.g10174.t1",1528.49731943916,2.42358800741511,0.206251441709044,5.86260947343022e-33,1.17768657446026e-30
"Pocillopora_acuta_HIv2___RNAseq.g27437.t1",61.0289193231428,1.11540686685886,0.602972787583377,0.00971026422548173,0.0376611243964401
"Pocillopora_acuta_HIv2___RNAseq.g27462.t1",3952.74248696789,3.25864770180398,0.410324584211234,1.28299546103553e-16,6.45604336267798e-15
"Pocillopora_acuta_HIv2___RNAseq.g27470.t1",46.273987891695,3.67802997261262,0.818628556073153,3.69476517988672e-07,4.8007290281372e-06
"Pocillopora_acuta_HIv2___RNAseq.97_t",51.7239335130376,1.56237322117461,0.488828754694166,0.000153574562771422,0.00109465664835468
"Pocillopora_acuta_HIv2___RNAseq.g27505.t1",804.328169291027,1.98960871431396,0.342040000611648,5.69137215282688e-10,1.22703850562352e-08
"Pocillopora_acuta_HIv2___TS.g10265.t1",119.917599101888,1.44333002508775,0.40934401375731,5.6048078814128e-05,0.000448083677468223
"Pocillopora_acuta_HIv2___TS.g10284.t2",5410.64845327833,1.02389808593582,0.22184069736458,1.02131244113033e-06,1.21079340503278e-05
"Pocillopora_acuta_HIv2___RNAseq.g27541.t1",1821.3219141954,1.74381738951618,0.180645508079613,5.75400197335951e-23,5.14627363772801e-21
"Pocillopora_acuta_HIv2___RNAseq.g27545.t1",257.957735564969,1.11291858236734,0.467676558355814,0.0030756240350256,0.0144777980194408
"Pocillopora_acuta_HIv2___TS.g10303.t2",3940.49618729539,1.14675705963814,0.3123372768777,4.72751444246832e-05,0.000385511473404771
"Pocillopora_acuta_HIv2___TS.g10330.t2",1124.52916365223,2.03026227415379,0.207290060217952,1.19021301353629e-23,1.18139143473008e-21
"Pocillopora_acuta_HIv2___TS.g10343.t1",39.0344069374406,1.93369430934783,0.509375463489908,1.30867381044832e-05,0.000122726353524481
"Pocillopora_acuta_HIv2___RNAseq.g27616.t1",463.629191372054,2.66006300498908,0.306154571482199,2.75437327885809e-19,1.7921836005444e-17
"Pocillopora_acuta_HIv2___RNAseq.g27639.t1",423.468359576192,1.75996660211372,0.250444978398771,2.4137835603215e-13,8.27849264163922e-12
"Pocillopora_acuta_HIv2___RNAseq.g27642.t1",250.876641717173,1.94542869023976,0.503725877642904,9.76909424992272e-06,9.44843502330126e-05
"Pocillopora_acuta_HIv2___RNAseq.g27693.t1",2903.58364839535,1.26100489223841,0.195755390104729,2.25280788162428e-11,5.98402157478552e-10
"Pocillopora_acuta_HIv2___RNAseq.g27784.t1",3966.43845253655,1.98739030291147,0.232720867927311,1.33561436059812e-18,8.24530123929241e-17
"Pocillopora_acuta_HIv2___RNAseq.g27789.t1",102.907938496586,1.16838352734021,0.328756303275811,7.37686843107996e-05,0.000571521018852356
"Pocillopora_acuta_HIv2___RNAseq.g27793.t1",2170.4679945194,1.75443374491487,0.235251293218828,9.93919129491281e-15,3.98055175420155e-13
"Pocillopora_acuta_HIv2___RNAseq.g27797.t1",555.091650834138,1.02167677787086,0.278874055488717,6.16975311382992e-05,0.000488979460197183
"Pocillopora_acuta_HIv2___RNAseq.406_t",147.423803826312,1.35900927480646,0.304251266681314,1.2454983496835e-06,1.44427450488756e-05
"Pocillopora_acuta_HIv2___TS.g10626.t1",10568.7732595828,1.27380018715979,0.187043559388955,1.82400473716122e-12,5.61647006110555e-11
"Pocillopora_acuta_HIv2___TS.g10628.t2",1758.6280327397,1.29630345651892,0.161906451562373,2.187694126716e-16,1.08573972630017e-14
"Pocillopora_acuta_HIv2___TS.g10636.t2",38891.7927250651,2.7830379995331,0.222808278390827,9.46247649464922e-37,2.44392594444966e-34
"Pocillopora_acuta_HIv2___RNAseq.541_t",3206.9075236937,1.09184188289618,0.200020497150134,1.14307113828709e-08,1.96952168694245e-07
"Pocillopora_acuta_HIv2___RNAseq.g27972.t1",4813.71533499899,2.24950786976572,0.244491855844349,3.42621877357391e-21,2.66015409134752e-19
"Pocillopora_acuta_HIv2___RNAseq.g27981.t1",33.2981436018025,1.8288748778034,0.851294910461978,0.00198747763075161,0.00997993863839383
"Pocillopora_acuta_HIv2___RNAseq.g27982.t1",783.572008612111,2.50108805860008,0.290963759814159,6.76126241685668e-19,4.32157356144089e-17
"Pocillopora_acuta_HIv2___RNAseq.g27984.t1",600.868536255374,2.35878136978258,0.331799101928872,9.61966994447342e-14,3.44877430544712e-12
"Pocillopora_acuta_HIv2___TS.g10751.t1",90.9181353517281,1.19110521349774,0.55973401711297,0.00483960663658024,0.0212628508207746
"Pocillopora_acuta_HIv2___TS.g10759.t1",2012.75896532441,3.4455855608906,0.272151183704173,6.51039988572404e-38,1.83094146119512e-35
"Pocillopora_acuta_HIv2___TS.g10773.t1",18.915329936093,1.38160256650291,0.731463064719573,0.00591486266497779,0.0250352991493734
"Pocillopora_acuta_HIv2___RNAseq.g28022.t1",80.9489222715363,1.38810233815043,0.511202433459501,0.000823350918630504,0.00474063582835685
"Pocillopora_acuta_HIv2___RNAseq.g28030.t1",11.5178964768848,7.47422825807074,2.77984487136938,1.3882569165425e-06,1.58780708606449e-05
"Pocillopora_acuta_HIv2___TS.g10811.t1",2609.85926674794,1.90269628173448,0.224033335673181,2.15260985831869e-18,1.28199313232716e-16
"Pocillopora_acuta_HIv2___RNAseq.g28044.t1",94.5674791938712,3.71626150831449,0.701088362718723,7.04091192609565e-09,1.26302283317794e-07
"Pocillopora_acuta_HIv2___RNAseq.g28064.t1",1526.4971850384,1.02203675172649,0.182107694442302,5.34761916418417e-09,9.88442622689287e-08
"Pocillopora_acuta_HIv2___TS.g10847.t1",34.8181836992926,2.74132422433992,0.66910431377149,2.64988020256595e-06,2.86506270000627e-05
"Pocillopora_acuta_HIv2___RNAseq.g28093.t1",2082.5836676421,1.50536126080509,0.192046808951298,6.63838142247882e-16,3.09436597024607e-14
"Pocillopora_acuta_HIv2___RNAseq.g28115.t1",447.912804950388,2.06110131207411,0.293277135911542,2.01417610039109e-13,6.92674066263573e-12
"Pocillopora_acuta_HIv2___RNAseq.g28151.t1",71.3633231259121,1.48108634265629,0.544053677695423,0.000721021076699207,0.00423133885284805
"Pocillopora_acuta_HIv2___RNAseq.g28184.t1",420.788556769085,1.63546482511591,0.207881398707568,4.6790339670395e-16,2.22197052044534e-14
"Pocillopora_acuta_HIv2___TS.g10969.t1",303.580237105333,1.39076388440587,0.22741327574927,1.54813426474223e-10,3.59823933653724e-09
"Pocillopora_acuta_HIv2___RNAseq.g28189.t1",43.9284402239987,2.66973953716452,0.732496596366937,1.603165808722e-05,0.000147341066755855
"Pocillopora_acuta_HIv2___RNAseq.g28190.t1",174.475225142836,2.10781798430502,1.63476079780475,0.00517784468336549,0.0224862547662149
"Pocillopora_acuta_HIv2___RNAseq.g28297.t1",3449.05323787653,1.02432400765321,0.225109892320683,1.38084843475875e-06,1.58147758969134e-05
"Pocillopora_acuta_HIv2___RNAseq.g28390.t1",494.540631194736,1.11286966091978,0.277718091545067,1.3407426457358e-05,0.00012545485066994
"Pocillopora_acuta_HIv2___RNAseq.g28396.t1",3614.34570727661,1.09069905515395,0.18861096476522,1.76896389329826e-09,3.57621766000577e-08
"Pocillopora_acuta_HIv2___RNAseq.g28418.t1",56.7629721256801,1.48687913428046,0.481686185457601,0.000236104452884591,0.00159021814980359
"Pocillopora_acuta_HIv2___TS.g11206.t1",74.9609225688421,1.03473459669546,0.505445689347459,0.00764647601118545,0.0309031449388045
"Pocillopora_acuta_HIv2___RNAseq.g28432.t1",372.995095352494,1.39966130528053,0.259597902025469,1.08722617669504e-08,1.87969820753608e-07
"Pocillopora_acuta_HIv2___RNAseq.g28462.t1",47.6695312262563,1.22318670425443,0.539635535170136,0.00333558603115369,0.0155168200761866
"Pocillopora_acuta_HIv2___RNAseq.g28515.t1",1418.74808986369,1.90840359453531,0.248068081032136,1.50388429822023e-15,6.73713548181456e-14
"Pocillopora_acuta_HIv2___RNAseq.g28564.t1",197.588254494895,1.02367401746044,0.267435200762593,3.24336769077919e-05,0.000275942452508612
"Pocillopora_acuta_HIv2___RNAseq.g28566.t1",5428.30511903598,1.28851554320833,0.229401125574436,3.23360144431352e-09,6.23348714067171e-08
"Pocillopora_acuta_HIv2___RNAseq.g28571.t1",2769.43675822399,1.1128735265622,0.224027756282753,1.54381366722694e-07,2.16125374619365e-06
"Pocillopora_acuta_HIv2___TS.g11376.t1",254.620243793316,1.40889660213338,0.317896926115524,1.38669749217506e-06,1.58674051647572e-05
"Pocillopora_acuta_HIv2___RNAseq.g28642.t1",280.417111390213,1.40992669879711,0.283795297599596,1.01111676148571e-07,1.46998141010711e-06
"Pocillopora_acuta_HIv2___RNAseq.g28658.t1",41.4336258719795,1.41900851729649,0.517612446135871,0.000738270529009921,0.00431555781980834
"Pocillopora_acuta_HIv2___RNAseq.g28671.t1",924.742082883603,2.0063426310287,0.212213407190289,3.33727017320532e-22,2.75145424605863e-20
"Pocillopora_acuta_HIv2___RNAseq.g28673.t1",843.735226620449,2.25815123522569,0.224358245729292,7.22628595379549e-25,7.98709710814488e-23
"Pocillopora_acuta_HIv2___TS.g11455.t1",4927.50434310466,1.38395908083529,0.218569239584676,3.95075699221883e-11,1.00804042570616e-09
"Pocillopora_acuta_HIv2___RNAseq.1271_t",4996.69753870107,1.7294672203895,0.193720770285746,5.33779620174138e-20,3.74251965823479e-18
"Pocillopora_acuta_HIv2___RNAseq.g10246.t1",7.3508533614054,6.26742741608431,2.97756867075515,0.000190792823799773,0.00132269437501946
"Pocillopora_acuta_HIv2___TS.g28396.t1",23.2758420729362,2.59437685219654,0.721260865647768,2.09567677547762e-05,0.000187168930360318
"Pocillopora_acuta_HIv2___TS.g29445.t1",6.20169004317831,2.47036431017145,2.60817978421397,0.00804451327629077,0.0321463017897372
"Pocillopora_acuta_HIv2___RNAseq.g10160.t1",18.0808385872752,1.2904460678488,0.840154863670336,0.0115436921559284,0.0433505849927161
"Pocillopora_acuta_HIv2___RNAseq.g10173.t1",2912.90668234525,2.53683256508028,0.2558843128906,2.93990362250901e-24,3.10049585788857e-22
"Pocillopora_acuta_HIv2___RNAseq.g10194.t1",35.4174506535114,2.9674094355431,0.580655034277339,2.26410343287486e-08,3.68769124771529e-07
"Pocillopora_acuta_HIv2___TS.g28370.t1",37.7871682401042,1.12314564772363,0.497955301691412,0.00410471947931553,0.0185724981660628
"Pocillopora_acuta_HIv2___TS.g28421.t1",321.090414235893,1.01983551480544,0.30288335891795,0.000185664172135555,0.00129209399530466
"Pocillopora_acuta_HIv2___RNAseq.g10291.t1",5575.83885355506,1.45739234345025,0.180794325544878,1.16807521661408e-16,5.90122790573234e-15
"Pocillopora_acuta_HIv2___RNAseq.g10316.t1",1024.86179763874,1.61884800092943,0.257301423958326,4.00202595646428e-11,1.02009344394831e-09
"Pocillopora_acuta_HIv2___RNAseq.g10343.t1",1544.68971010008,3.44973737121438,0.268319422409801,5.58149597269872e-39,1.69871179099649e-36
"Pocillopora_acuta_HIv2___TS.g28559.t1",402.556724989981,3.78044117371478,0.358508378076963,3.52460177248689e-27,4.69532607702188e-25
"Pocillopora_acuta_HIv2___RNAseq.g10414.t1",2159.95339611381,1.06478435809354,0.266203680440484,1.49187737637366e-05,0.000138267697815429
"Pocillopora_acuta_HIv2___TS.g28573.t3",3523.65930349377,1.76017851371836,0.209329351131199,4.81656580960767e-18,2.77072948197681e-16
"Pocillopora_acuta_HIv2___RNAseq.g10416.t1",306.648930121768,2.23635686834306,0.266579060061701,4.20601717475899e-18,2.4361212977191e-16
"Pocillopora_acuta_HIv2___RNAseq.g10431.t1",95.1848376216036,1.53366055108787,0.368401423141494,3.93178668151306e-06,4.11739564318482e-05
"Pocillopora_acuta_HIv2___RNAseq.g10432.t1",260.762313819915,1.93384045702745,0.276899018853479,2.90642445371567e-13,9.83482745294083e-12
"Pocillopora_acuta_HIv2___RNAseq.g10450.t1",38.5780154610856,3.48039152347642,0.772995137702167,4.1065348658279e-07,5.29768114112997e-06
"Pocillopora_acuta_HIv2___RNAseq.g10471.t1",1037.19070015693,1.21395392726313,0.233547494189639,3.89255535757061e-08,6.11953221462545e-07
"Pocillopora_acuta_HIv2___RNAseq.g10523.t1",5360.04793682782,3.09413776774286,0.367548463211032,3.03486629676998e-18,1.79057111509429e-16
"Pocillopora_acuta_HIv2___TS.g28685.t1",467.335767077355,1.14231542634513,0.331784006620244,0.000114364731201706,0.000844670473138714
"Pocillopora_acuta_HIv2___RNAseq.g10586.t1",83.9763315155768,2.59570030531215,0.454702961563263,8.29641397238553e-10,1.75430688433626e-08
"Pocillopora_acuta_HIv2___RNAseq.g10587.t1",7908.94242220406,3.67578853900098,0.186054150705379,1.18372750472964e-87,4.28018955317312e-84
"Pocillopora_acuta_HIv2___TS.g28750.t1",5824.5388353818,4.60785681821459,0.15542426542051,2.51194172474247e-194,6.35797569949566e-190
"Pocillopora_acuta_HIv2___TS.g28751.t1",35531.6520035568,4.76336342379357,0.18940399623736,9.67411689920362e-141,1.22430786417871e-136
"Pocillopora_acuta_HIv2___RNAseq.g10619.t1",30.7870234836893,5.13959608945648,0.930002763111356,4.88385508358238e-09,9.13638255879923e-08
"Pocillopora_acuta_HIv2___RNAseq.g10659.t1",2079.51503406244,2.10319306768039,0.322979511879335,6.77878097443497e-12,1.94974687777186e-10
