"","POC_R0_C1","POC_R0_C2","POC_R0_C3","POC_R0_H1","POC_R0_H2","POC_R0_H3","POC_R1_C1","POC_R1_C2","POC_R1_C3","POC_R1_H1","POC_R1_H2","POC_R1_H3","POC_R3_C1","POC_R3_C2","POC_R3_C3","POC_R3_H1","POC_R3_H2","POC_R3_H3","POC_R12_C1","POC_R12_C2","POC_R12_C3","POC_R12_H1","POC_R12_H2","POC_R12_H3","POC_R24_C1","POC_R24_C2","POC_R24_C3","POC_R24_H1","POC_R24_H2","POC_R24_H3","POC_R72_C1","POC_R72_C2","POC_R72_C3","POC_R72_H1","POC_R72_H2","POC_R72_H3","POC_R120_C1","POC_R120_C2","POC_R120_C3","POC_R120_H1","POC_R120_H2","POC_R120_H3"
"Pocillopora_acuta_HIv2___TS.g10153.t1",6.23462234996607,6.51031737773723,5.87018976267548,6.36762438758367,6.40935238468563,6.17355560648795,5.87018976267548,6.32904762318478,6.4357728752338,6.29288497520582,6.50675006003444,5.87018976267548,6.52063708712881,6.47578341836104,6.29813639118023,5.87018976267548,5.87018976267548,5.87018976267548,6.31897307100064,6.64595620935987,6.27850518811287,5.87018976267548,6.2464618950655,5.87018976267548,6.17501063528301,6.53495779145982,6.66697470422502,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,6.38629848787314,5.87018976267548,5.87018976267548,6.1530662366257,5.87018976267548,6.34460174952631,6.5299746856321,6.24864135129925,5.87018976267548,5.87018976267548,6.51315008300013
"Pocillopora_acuta_HIv2___TS.g28292.t1a",6.44414886792511,6.30368008123701,6.46143849978847,6.29118898272563,6.33779084222595,6.17355560648795,6.38482732824724,6.29963618431758,6.30940131264254,6.51285250454823,6.33902985112277,6.2000388404797,6.24783533102494,5.87018976267548,6.26108681157846,5.87018976267548,6.13232737872636,6.19610324749856,6.21837348731205,6.11816947945503,6.44573986382534,6.14937019168396,6.19628075997614,6.17184041791581,6.58967968137773,6.32052128883369,6.16113266125461,6.19668513080029,6.31308754860923,6.14151985256537,6.20172747576548,6.43496488687917,6.29690376984852,6.48133971227908,6.07037357475237,5.87018976267548,6.20640184981332,6.07069912951156,6.36977102493016,6.43289638111832,6.31877342034718,6.38462022533043
"Pocillopora_acuta_HIv2___TS.g28295.t1",6.89786248449005,6.72775437493347,7.21706639185292,7.13804658223779,7.00683553683502,6.60662939519488,6.85296106909956,6.89187360712149,6.89789701431683,7.33584916519604,7.47472557092491,7.89309286114689,6.97888004931544,6.76082890949939,6.85808312778078,7.74386911122444,7.96274322634669,7.53508675715696,6.94863244723584,7.00524796229596,6.94039691107295,7.31484995741096,7.01792495217957,7.17657840906194,7.24945663779952,7.25992084661867,6.51644408775789,7.53777884995661,7.5231687800587,6.9943842398223,6.86543217068805,7.26441028015973,7.16680856607742,7.35904886458087,7.28503176239907,6.9902696617904,6.93759528495697,6.81556763604018,7.17996350665018,7.55271312548668,7.4569277137235,7.448845514261
"Pocillopora_acuta_HIv2___RNAseq.g10157.t1",6.86745280061567,6.68490827113537,6.95811107276685,6.85099680366095,6.96194411536271,6.97981921871684,6.83703885151557,6.81693103105829,6.83785250730794,6.8880426441827,6.94251222365937,6.97229946764187,7.12816001644542,6.7409578715966,6.91389121028826,6.94741643893565,7.15305648972752,7.25828199092201,6.93128696857183,6.7006522482652,7.10006434388747,7.09874668251071,6.83260176224002,6.99242607587549,6.91940219957624,6.50452142352639,6.84687554777809,7.19806604771284,7.07654538843238,7.23111710409798,6.86543217068805,6.725821994645,6.57965403691095,7.07786341708885,6.7940232617999,7.06115147788031,6.61537375415853,6.66286452443902,6.80271498446804,6.92472222871786,6.99598100666451,7.31098332774268
"Pocillopora_acuta_HIv2___TS.g28301.t1",6.49811692753967,6.45005722239549,6.51698204427436,6.59434572116464,6.6048101889567,6.4978972833478,6.44482159646762,6.4536061686798,6.62522154589101,6.61671808561921,6.82740306120062,6.8257904488069,6.46478875616014,6.55918688883431,6.64503109346846,6.64053822723614,6.55815814471694,6.59292390606477,6.66610654341074,6.52154416314264,6.50353126993218,6.67493056676996,6.89873693489863,6.76250003185638,6.62992408045794,6.50452142352639,6.55743035454763,6.72337270684965,6.70225287537412,6.60634117741894,6.50138767380123,6.50063892445745,6.79268848116456,6.58731153802292,6.43326866845793,6.71125626197942,6.57790104937468,6.46791778888894,6.54815545236658,6.61113789721906,6.31877342034718,6.82974563458223
"Pocillopora_acuta_HIv2___TS.g10172.t1",5.87018976267548,5.87018976267548,5.87018976267548,6.78064530802541,5.87018976267548,5.87018976267548,6.31646437256682,6.59124139786134,5.87018976267548,5.87018976267548,5.87018976267548,6.87738809611698,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,6.53357215713759,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,6.46337172905325,5.87018976267548,5.87018976267548,6.44194526207919,5.87018976267548,5.87018976267548,6.67857029364918,5.87018976267548,6.82967482877614,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,6.37825776704176,6.48368150551952
"Pocillopora_acuta_HIv2___RNAseq.g27421.t1",5.87018976267548,6.72775437493347,6.39974934735654,6.19675502310377,6.71550639407343,5.87018976267548,6.44482159646762,6.23351879784681,6.30940131264254,6.29288497520582,6.45645923330254,5.87018976267548,6.36871148250891,6.29996901982513,5.87018976267548,6.87430641008193,6.19102177352311,6.19610324749856,6.21837348731205,6.22045701078002,6.24839542832268,5.87018976267548,5.87018976267548,5.87018976267548,6.17501063528301,5.87018976267548,6.42482564779533,5.87018976267548,6.21379300146896,5.87018976267548,6.4096326696877,6.52097640731948,6.40878155583142,5.87018976267548,5.87018976267548,5.87018976267548,6.20640184981332,6.31711406079687,6.40388862285892,6.26933613641868,5.87018976267548,5.87018976267548
"Pocillopora_acuta_HIv2___RNAseq.g27422.t1",5.87018976267548,6.82559955643924,6.48987066551679,6.46349748494214,6.69467329076536,6.42171391933479,6.47247723121356,6.38267476451372,6.40708798724315,6.68968200717491,6.63695492209641,5.87018976267548,6.36871148250891,6.47578341836104,6.4478915214858,5.87018976267548,6.39233207881274,5.87018976267548,6.61585182328983,6.49822433666338,5.87018976267548,6.39047973404665,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,6.28095388715259,5.87018976267548,5.87018976267548,5.87018976267548,6.2527377679754,6.45771870289547,6.62757697040229,5.87018976267548,5.87018976267548,5.87018976267548,6.24587511761018,6.58634299967184,6.57326168668887,5.87018976267548,6.24974565545559,6.41972889299977
"Pocillopora_acuta_HIv2___RNAseq.g27424.t1",5.87018976267548,6.45005722239549,6.56785285365907,6.36762438758367,6.33779084222595,6.33246283443905,6.38482732824724,6.32904762318478,6.58292205344504,6.38696994591818,6.59635370933568,6.49820890108532,6.6635516354986,6.47578341836104,6.52076203472202,6.44215961866425,6.60468895650846,5.87018976267548,6.68997223387238,6.42200229527245,6.38107669809063,5.87018976267548,6.49113256945229,5.87018976267548,6.73859964752369,6.50452142352639,6.37243199125692,6.29109913166296,5.87018976267548,6.33877772789505,6.50138767380123,6.52097640731948,6.60403995064863,6.21094262507905,6.43326866845793,5.87018976267548,6.4255614196568,6.63828070120217,5.87018976267548,5.87018976267548,6.34947295113891,5.87018976267548
"Pocillopora_acuta_HIv2___TS.g10211.t1",5.87018976267548,6.48097473321473,6.36589102935017,5.87018976267548,6.44164860719568,5.87018976267548,6.23505283401141,6.23351879784681,6.30940131264254,6.41460491799664,6.37108963908602,5.87018976267548,5.87018976267548,6.41263381724926,5.87018976267548,6.73654508555083,7.02742657016238,6.47673832231872,6.66610654341074,6.36434085623163,6.46566329273112,6.54883258337385,6.54429906513109,6.7861712720959,6.47649443200389,6.47244617491677,5.87018976267548,6.93128562796158,6.57996869539662,6.20225636598949,6.14108706899129,5.87018976267548,6.14065596334111,6.3509800345271,6.46695937443481,6.46906242838867,6.20640184981332,6.43417436841049,6.19817222705862,6.466565416821,6.64108901153139,6.66599779077752
"Pocillopora_acuta_HIv2___RNAseq.g27465.t1",5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,6.47213030486875,5.87018976267548,6.23505283401141,6.32904762318478,5.87018976267548,6.5350242739386,5.87018976267548,6.37259814657217,5.87018976267548,6.3779688366088,5.87018976267548,5.87018976267548,6.58183429163589,5.87018976267548,5.87018976267548,6.68287074833075,6.24839542832268,5.87018976267548,6.36690598733975,6.50609347405394,5.87018976267548,6.32052128883369,5.87018976267548,6.43332211648265,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,5.87018976267548,6.34460174952631,5.87018976267548,5.87018976267548,5.87018976267548,6.405437193626,6.38462022533043
