Gene	p	padj	loglik_full	loglik_red	df_full	df_red	mean	converge_combined	converge_case	converge_control	converge_sigmoid	impulseTOsigmoid_p	impulseTOsigmoid_padj	sigmoidTOconst_p	sigmoidTOconst_padj	isTransient	isMonotonous	allZero
Porites_compressa_HIv1___RNAseq.g9868.t1	0.9917505562456	1	-25.1372284225095	-25.3922550534501	17	12	0.752211485724042	0	0	0	0	0.808522109642288	1	0.824464664129102	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___TS.g4306.t1	1	1	-3.85092755687575	-3.85081364672604	17	12	1.86082453170768e-06	0	0	0	0	1	1	1	1	FALSE	FALSE	FALSE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE
Porites_compressa_HIv1___RNAseq.g9682.t1	0.965970273393682	1	-31.844186546962	-32.3226129922524	17	12	0.20334631249031	0	0	0	0	0.484580476244817	0.883243241878098	0.99597927466066	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g9683.t1	0.999721702106785	1	-26.4709886615151	-26.5332392479373	17	12	0.489753448207218	0	0	0	0	0.725778072978397	1	0.799583144634674	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g9684.t1	0.986360720028595	1	-46.1983940401344	-46.5157307625137	17	12	0.559697233511246	0	0	0	0	0.921196160567294	1	0.919395929946918	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g9685.t1	0.913131190555343	1	-87.6600780432984	-88.4098120800735	17	12	1.86863947559658	0	0	0	0	0.735487207034769	1	0.918798619881881	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___TS.g4333.t1	0.876323759524307	1	-29.2151755922814	-30.1141973854119	17	12	0.000108872501786786	0	0	0	0	0.827135855364984	1	0.699117339203782	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g9707.t1	0.982115306593159	1	-8.79085713103299	-9.14853492344922	17	12	4.12372413507969e-05	0	0	0	0	0.922644619763335	1	0.930976261943897	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g9709.t1	0.688967608648406	1	-105.764213950617	-107.29995058576	17	12	16.1979603459036	0	0	0	0	0.272489676516197	0.645931904205225	0.900984033014483	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g9710.t1	0.963323133770571	1	-61.960981208367	-62.4562639697487	17	12	5.38278522440114	0	0	0	0	0.748899354858998	1	0.859336346703404	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___TS.g4355.t2	0.994211987803364	1	-73.2209204232359	-73.4400179890536	17	12	13.4280136376054	0	0	0	0	1	1	0.753650608660823	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g9718.t1c	0.999999999790113	1	-11.5337720845458	-11.533989580677	17	12	5.27349510479678e-05	0	0	0	0	0.66814620694785	1	0.9968254882995	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___TS.g4375.t1	0.970794089412051	1	-9.88023441129288	-10.3262624253587	17	12	1.72705830055777e-05	0	0	0	0	0.876489384471328	1	0.927670041212879	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g9731.t1	0.999999999986909	1	-12.965937051956	-12.9660087367502	17	12	6.79607332821555e-06	0	0	0	0	0.933605552395005	1	0.890398797492742	1	FALSE	FALSE	FALSE
Porites_compressa_HIv1___RNAseq.g9732.t1	0.999426786410188	1	-64.062994602369	-64.146613648496	17	12	0.955096315910999	0	0	0	0	0.944378715717422	1	0.822128316531509	1	FALSE	FALSE	FALSE
