"","sample","species","time","replicate","treatment"
"POR_R0_C1","POR_R0_C1","POR","0","C1","C"
"POR_R0_C2","POR_R0_C2","POR","0","C2","C"
"POR_R0_C3","POR_R0_C3","POR","0","C3","C"
"POR_R0_H1","POR_R0_H1","POR","0","H1","H"
"POR_R0_H2","POR_R0_H2","POR","0","H2","H"
"POR_R0_H3","POR_R0_H3","POR","0","H3","H"
"POR_R1_C1","POR_R1_C1","POR","1","C1","C"
"POR_R1_C2","POR_R1_C2","POR","1","C2","C"
"POR_R1_C3","POR_R1_C3","POR","1","C3","C"
"POR_R1_H1","POR_R1_H1","POR","1","H1","H"
"POR_R1_H2","POR_R1_H2","POR","1","H2","H"
"POR_R1_H3","POR_R1_H3","POR","1","H3","H"
"POR_R3_C1","POR_R3_C1","POR","3","C1","C"
"POR_R3_C2","POR_R3_C2","POR","3","C2","C"
"POR_R3_C3","POR_R3_C3","POR","3","C3","C"
"POR_R3_H1","POR_R3_H1","POR","3","H1","H"
"POR_R3_H2","POR_R3_H2","POR","3","H2","H"
"POR_R3_H3","POR_R3_H3","POR","3","H3","H"
"POR_R12_C1","POR_R12_C1","POR","12","C1","C"
"POR_R12_C2","POR_R12_C2","POR","12","C2","C"
"POR_R12_C3","POR_R12_C3","POR","12","C3","C"
"POR_R12_H1","POR_R12_H1","POR","12","H1","H"
"POR_R12_H2","POR_R12_H2","POR","12","H2","H"
"POR_R12_H3","POR_R12_H3","POR","12","H3","H"
"POR_R24_C1","POR_R24_C1","POR","24","C1","C"
"POR_R24_C2","POR_R24_C2","POR","24","C2","C"
"POR_R24_C3","POR_R24_C3","POR","24","C3","C"
"POR_R24_H1","POR_R24_H1","POR","24","H1","H"
"POR_R24_H2","POR_R24_H2","POR","24","H2","H"
"POR_R24_H3","POR_R24_H3","POR","24","H3","H"
"POR_R72_C1","POR_R72_C1","POR","72","C1","C"
"POR_R72_C2","POR_R72_C2","POR","72","C2","C"
"POR_R72_C3","POR_R72_C3","POR","72","C3","C"
"POR_R72_H1","POR_R72_H1","POR","72","H1","H"
"POR_R72_H2","POR_R72_H2","POR","72","H2","H"
"POR_R72_H3","POR_R72_H3","POR","72","H3","H"
"POR_R120_C1","POR_R120_C1","POR","120","C1","C"
"POR_R120_C2","POR_R120_C2","POR","120","C2","C"
"POR_R120_C3","POR_R120_C3","POR","120","C3","C"
"POR_R120_H1","POR_R120_H1","POR","120","H1","H"
"POR_R120_H2","POR_R120_H2","POR","120","H2","H"
"POR_R120_H3","POR_R120_H3","POR","120","H3","H"
