sample,uniquely_mapped_percent,rRNA_matched_reads_Million,total_reads_Million,percent_rrna
POR_R72_H1,6.4,25.83,15.47,83.5
POR_R24_H1,7.67,28.46,17.26,82.43
POR_R120_C3,7.77,37.29,21.02,88.69
POR_R72_H2,8.77,24.48,15.16,80.73
POR_R1_H2,10.37,29.56,17.47,84.61
POR_R120_C1,10.78,23.36,13.99,83.51
POR_R1_H1,11.72,30.94,18.69,82.78
POR_R1_C1,12.04,26.28,15.99,82.16
POR_R12_C1,12.2,24.34,14.88,81.78
POR_R12_C3,15.78,23.41,15.09,77.58
POR_R0_H1,16.57,25.14,16.46,76.37
POR_R120_H3,18.23,24.37,17.16,71
POR_R3_C3,18.27,21.99,14.95,73.55
POR_R0_H2,18.35,28.27,19.31,73.21
POR_R24_C2,19.72,23.11,16,72.23
POR_R0_C2,20.52,26.29,18.53,70.91
POR_R72_C1,20.83,22.42,15.85,70.71
POR_R24_C3,21.75,10.39,7.84,66.23
POR_R0_C1,22.36,31.21,22.79,68.45
POR_R0_H3,23.05,26.01,19.3,67.4
POR_R72_C3,23.48,16.85,15.34,54.9
POR_R1_H3,25.51,27.23,21.85,62.32
POR_R3_H3,27.77,22.11,18.17,60.84
POR_R1_C3,29.18,17.94,16.16,55.52
POR_R72_C2,32.38,19.14,17.72,54.01
POR_R1_C2,32.49,15.55,15.01,51.77
POR_R3_C2,32.77,8.65,8.57,50.49
POR_R120_C2,34.64,19.28,20.88,46.16
POR_R3_H1,36.82,13.87,14.25,48.69
POR_R3_C1,37.7,14.79,15.45,47.86
POR_R12_H3,37.79,18.24,20.15,45.26
POR_R24_C1,38.53,20.32,21.43,47.41
POR_R0_C3,40.86,13.85,16.97,40.81
POR_R12_C2,44.19,13.68,18.25,37.47
POR_R24_H3,46.29,13.48,20.79,32.41
POR_R24_H2,46.37,11.28,15.75,35.79
POR_R72_H3,49.19,9.16,16.1,28.45
POR_R12_H2,53.3,11.11,20.72,26.82
POR_R3_H2,54.26,10.05,19.61,25.63
POR_R12_H1,56.44,5.68,18.09,15.71
POR_R120_H1,60.92,1.86,11.37,8.18
POR_R120_H2,67.96,2.21,19.79,5.59
