"","POR_R0_C1","POR_R0_C2","POR_R0_C3","POR_R0_H1","POR_R0_H2","POR_R0_H3","POR_R1_C1","POR_R1_C2","POR_R1_C3","POR_R1_H1","POR_R1_H2","POR_R1_H3","POR_R3_C1","POR_R3_C2","POR_R3_C3","POR_R3_H1","POR_R3_H2","POR_R3_H3","POR_R12_C1","POR_R12_C2","POR_R12_C3","POR_R12_H1","POR_R12_H2","POR_R12_H3","POR_R24_C1","POR_R24_C2","POR_R24_C3","POR_R24_H1","POR_R24_H2","POR_R24_H3","POR_R72_C1","POR_R72_C2","POR_R72_C3","POR_R72_H1","POR_R72_H2","POR_R72_H3","POR_R120_C1","POR_R120_C2","POR_R120_C3","POR_R120_H1","POR_R120_H2","POR_R120_H3"
"Porites_compressa_HIv1___RNAseq.g9685.t1",5.10631280729138,5.53789719222505,5.42541138646554,5.59562777347172,5.54923105468716,5.54139282619316,5.10631280729138,5.58620703948131,5.43807785367575,5.10631280729138,5.10631280729138,5.65431673868046,5.10631280729138,5.83982166286899,5.10631280729138,5.8512939290369,5.78984324901506,5.42324596161642,5.10631280729138,5.34152643234239,5.10631280729138,5.61247912047919,5.3913003164151,5.53922572402911,5.49898199487373,5.10631280729138,5.10631280729138,5.10631280729138,5.44656156667984,5.32170377710814,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.64279335672197,5.10631280729138,5.67724717031347,5.10631280729138,5.59729596476642,5.52582767581919,5.57828461740524
"Porites_compressa_HIv1___RNAseq.g9709.t1",5.10631280729138,7.19706330349765,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.82429078046264,5.10631280729138,5.10631280729138,7.72541289125609,7.70946942006785,7.20023846178583,5.53216647654869,6.71275678282242,5.510524233347,5.10631280729138,5.10631280729138,5.49408771665102,5.10631280729138,5.10631280729138,5.71872696449916,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,7.69074740430285,8.66927699819617,5.10631280729138,5.10631280729138,7.24483676658464,5.10631280729138,5.48871748028689,5.10631280729138,8.31807322195827,5.10631280729138,5.10631280729138,5.45202249118823,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138
"Porites_compressa_HIv1___RNAseq.g9710.t1",5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,6.27689391835285,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.70641402372734,5.10631280729138,5.80196091683143,5.10631280729138,5.10631280729138,5.65308343604505,5.10631280729138,5.10631280729138,5.54096790574453,5.10631280729138,5.10631280729138,5.28360101827984,5.10631280729138,6.14172643024608,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.95175176318332,5.10631280729138,5.10631280729138,5.10631280729138,5.51577401797971,5.90863581289004,6.1785063329485,5.10631280729138,5.10631280729138,5.10631280729138
"Porites_compressa_HIv1___TS.g4355.t2",5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,6.4178040767816,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,6.08086858653406,5.10631280729138,6.58496797294801,5.10631280729138,5.10631280729138,5.84305097181098,5.99830786033073,5.10631280729138,6.19280773200837,5.10631280729138,5.10631280729138,5.53922572402911,5.10631280729138,6.23035368831413,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.95175176318332,5.10631280729138,5.10631280729138,5.10631280729138,6.47731892294873,6.03901635051928,6.03999696705128,5.10631280729138,5.10631280729138,5.10631280729138
"Porites_compressa_HIv1___RNAseq.g9732.t1",5.10631280729138,5.10631280729138,5.42541138646554,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.37623133638223,5.10631280729138,5.60056885293904,5.10631280729138,5.5349882260235,5.10631280729138,5.10631280729138,5.47760472142829,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.63664110366101,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.7714725528359,5.10631280729138,5.52183699118878,5.57913961758691,5.77087118045275
"Porites_compressa_HIv1___RNAseq.g9733.t1",5.10631280729138,5.10631280729138,5.42541138646554,5.73603688091488,6.56250738010371,6.19382999431085,6.11172798232207,6.00638337996711,5.10631280729138,6.26459725468072,7.23771827113153,6.08666573402663,5.83870390514442,5.67689974815567,6.19117429733269,5.48189420880052,5.10631280729138,5.10631280729138,5.10631280729138,5.62996981957776,6.61037272706647,5.44852023207763,5.10631280729138,5.10631280729138,6.54572230801838,5.47925490936958,5.10631280729138,5.10631280729138,5.89621405634661,5.10631280729138,6.5652311976468,6.25845063358824,6.34035518430345,5.10631280729138,5.10631280729138,6.14904660727625,6.83782055490975,6.11096152194399,5.87298377268997,5.36965692373997,5.4166392051035,5.65050054606446
"Porites_compressa_HIv1___RNAseq.g9734.t1",5.10631280729138,5.10631280729138,5.71408212880469,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.76555537143742,5.10631280729138,5.10631280729138,5.84937356327588,5.10631280729138,5.83982166286899,5.95432137093901,6.30191478582258,6.93882619471785,6.356779256421,5.9226855531017,5.76655763059752,5.10631280729138,5.75173319211078,5.61822731282062,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.73924803942783,5.50834466840573,6.52366410057823,5.69374593628312,5.57398287497899,5.10631280729138,6.93919535756657,6.06856702176963,5.10631280729138,5.87216973541815,5.10631280729138,5.69195665859514,5.48601973567069,5.10631280729138
"Porites_compressa_HIv1___RNAseq.g9740.t1",5.10631280729138,5.10631280729138,5.76615796482458,5.10631280729138,5.10631280729138,5.48345779460728,5.10631280729138,5.63153234880409,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.90815359142333,5.10631280729138,5.10631280729138,5.46898818815204,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.44852023207763,5.10631280729138,5.10631280729138,5.55926631084904,5.10631280729138,5.94437800677172,5.10631280729138,5.10631280729138,5.25868787940202,6.00923296045119,5.49942853919018,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.74929029390871,5.10631280729138,5.10631280729138,5.35985560822335,5.10631280729138
"Porites_compressa_HIv1___RNAseq.g9741.t1",5.10631280729138,5.10631280729138,5.51771222872055,5.84910978953076,5.10631280729138,5.10631280729138,6.27689391835285,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.67602302390199,5.10631280729138,6.22509369096993,5.10631280729138,5.10631280729138,5.10631280729138,6.29914174797615,5.62996981957776,5.10631280729138,5.41253531993279,5.3913003164151,5.10631280729138,5.76361576524729,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.25868787940202,5.10631280729138,5.49942853919018,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.7714725528359,5.10631280729138,5.10631280729138,5.59558038863428,5.10631280729138
"Porites_compressa_HIv1___RNAseq.g9764.t1",5.10631280729138,5.76236258893743,5.47452742158612,6.14579639486746,5.10631280729138,5.10631280729138,5.10631280729138,5.98178452594699,5.10631280729138,5.10631280729138,5.10631280729138,5.79096662126757,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.43858875398382,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.64555474941629,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138,5.10631280729138
