gene_id	module	color
Montipora_capitata_HIv3___RNAseq.g4581.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g4751.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g4752.t1	ME15	midnightblue
Montipora_capitata_HIv3___RNAseq.g4753.t1	ME11	greenyellow
Montipora_capitata_HIv3___RNAseq.g4754.t1	ME8	pink
Montipora_capitata_HIv3___RNAseq.g4755.t1	ME8	pink
Montipora_capitata_HIv3___RNAseq.g4756.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g4757.t1	ME8	pink
Montipora_capitata_HIv3___RNAseq.g4758.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g4759.t1	ME5	green
Montipora_capitata_HIv3___RNAseq.g4760.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g4761.t1	ME10	purple
Montipora_capitata_HIv3___TS.g26455.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g4764.t1	ME18	lightgreen
Montipora_capitata_HIv3___RNAseq.214_t	ME0	grey
Montipora_capitata_HIv3___RNAseq.g4766.t1	ME18	lightgreen
Montipora_capitata_HIv3___TS.g26284.t1	ME0	grey
Montipora_capitata_HIv3___TS.g26302.t1	ME14	cyan
Montipora_capitata_HIv3___RNAseq.g4732.t1	ME2	blue
Montipora_capitata_HIv3___RNAseq.g4582.t1	ME7	black
Montipora_capitata_HIv3___RNAseq.g4583.t1	ME16	lightcyan
Montipora_capitata_HIv3___RNAseq.g4584.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g4585.t1	ME10	purple
Montipora_capitata_HIv3___RNAseq.g4586.t1	ME7	black
Montipora_capitata_HIv3___RNAseq.g4588.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g4589.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g4590.t1	ME9	magenta
Montipora_capitata_HIv3___RNAseq.g4591.t1b	ME0	grey
Montipora_capitata_HIv3___RNAseq.g4591.t1a	ME0	grey
Montipora_capitata_HIv3___RNAseq.g4592.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g4593.t1	ME2	blue
Montipora_capitata_HIv3___RNAseq.g4594.t1	ME0	grey
Montipora_capitata_HIv3___TS.g26285.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g4597.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g4598.t1	ME4	yellow
Montipora_capitata_HIv3___RNAseq.g4599.t1	ME10	purple
Montipora_capitata_HIv3___TS.g26291.t1	ME13	salmon
Montipora_capitata_HIv3___RNAseq.g4604.t1	ME2	blue
Montipora_capitata_HIv3___RNAseq.g4605.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g4606.t1	ME3	brown
Montipora_capitata_HIv3___RNAseq.g4607.t1	ME7	black
Montipora_capitata_HIv3___TS.g26295.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g4609.t1	ME5	green
Montipora_capitata_HIv3___TS.g26297.t1	ME7	black
Montipora_capitata_HIv3___RNAseq.g4611.t2	ME10	purple
Montipora_capitata_HIv3___TS.g26298.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g4614.t1	ME8	pink
Montipora_capitata_HIv3___RNAseq.g4617.t1	ME22	darkgreen
Montipora_capitata_HIv3___TS.g26304.t1b	ME0	grey
Montipora_capitata_HIv3___TS.g26304.t1a	ME16	lightcyan
Montipora_capitata_HIv3___TS.g26305.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g4620.t1	ME7	black
Montipora_capitata_HIv3___TS.g26306.t1	ME15	midnightblue
Montipora_capitata_HIv3___TS.g26307.t1c	ME1	turquoise
Montipora_capitata_HIv3___TS.g26307.t1b	ME1	turquoise
Montipora_capitata_HIv3___TS.g26307.t1a	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g4623.t1	ME6	red
Montipora_capitata_HIv3___TS.g26309.t1b	ME11	greenyellow
Montipora_capitata_HIv3___TS.g26309.t1a	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g4625.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g4626.t1	ME5	green
Montipora_capitata_HIv3___RNAseq.g4627.t1	ME2	blue
Montipora_capitata_HIv3___TS.g26313.t3	ME4	yellow
Montipora_capitata_HIv3___RNAseq.g4629.t1	ME1	turquoise
Montipora_capitata_HIv3___TS.g26315.t1	ME7	black
Montipora_capitata_HIv3___RNAseq.g4631.t1	ME0	grey
Montipora_capitata_HIv3___RNAseq.g4632.t1	ME20	royalblue
Montipora_capitata_HIv3___RNAseq.g4633.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g4634.t1	ME6	red
Montipora_capitata_HIv3___RNAseq.g4635.t1	ME5	green
Montipora_capitata_HIv3___TS.g26322.t1	ME4	yellow
Montipora_capitata_HIv3___RNAseq.g4637.t1	ME10	purple
Montipora_capitata_HIv3___RNAseq.g4638.t1	ME11	greenyellow
Montipora_capitata_HIv3___RNAseq.g4639.t1	ME21	darkred
Montipora_capitata_HIv3___RNAseq.g4640.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g4641.t1	ME2	blue
Montipora_capitata_HIv3___RNAseq.g4642.t1	ME1	turquoise
Montipora_capitata_HIv3___RNAseq.g4643.t1	ME2	blue
Montipora_capitata_HIv3___TS.g26329.t1	ME10	purple
Montipora_capitata_HIv3___RNAseq.g4645.t1	ME0	grey
Montipora_capitata_HIv3___TS.g26331.t1	ME2	blue
Montipora_capitata_HIv3___RNAseq.g4647.t1	ME27	white
Montipora_capitata_HIv3___RNAseq.g4648.t1	ME2	blue
Montipora_capitata_HIv3___RNAseq.g4649.t1	ME21	darkred
Montipora_capitata_HIv3___RNAseq.g4650.t1	ME23	darkturquoise
Montipora_capitata_HIv3___RNAseq.g4651.t1	ME3	brown
Montipora_capitata_HIv3___TS.g26337.t3	ME0	grey
Montipora_capitata_HIv3___RNAseq.g4653.t1	ME16	lightcyan
