sample,uniquely_mapped_percent,rRNA_matched_reads_pairs_Million,total_reads_pairs_Million,percent_rrna
POR_R72_H1,6.4,12.92,15.47,83.5
POR_R24_H1,7.67,14.23,17.26,82.43
POR_R120_C3,7.77,18.64,21.02,88.69
POR_R120_C1,8.5,11.68,48.33,83.51
POR_R72_H2,8.77,12.24,15.16,80.73
POR_R1_H2,10.37,14.78,17.47,84.61
POR_R24_C3,11.53,5.19,37.62,66.23
POR_R1_H1,11.72,15.47,18.69,82.78
POR_R1_C1,12.04,13.14,15.99,82.16
POR_R12_C1,12.2,12.17,14.88,81.78
POR_R12_C3,15.78,11.7,15.09,77.58
POR_R0_H1,16.57,12.57,16.46,76.37
POR_R120_H3,18.23,12.18,17.16,71
POR_R3_C3,18.27,11,14.95,73.55
POR_R0_H2,18.35,14.14,19.31,73.21
POR_R24_C2,19.72,11.55,16,72.23
POR_R0_C2,20.52,13.14,18.53,70.91
POR_R72_C1,20.83,11.21,15.85,70.71
POR_R0_C1,22.36,15.6,22.79,68.45
POR_R0_H3,23.05,13.01,19.3,67.4
POR_R72_C3,23.48,8.42,15.34,54.9
POR_R1_H3,25.51,13.62,21.85,62.32
POR_R3_H3,27.77,11.06,18.17,60.84
POR_R3_C2,28.4,4.33,26.95,50.49
POR_R1_C3,29.18,8.97,16.16,55.52
POR_R3_H1,31.31,6.94,30.98,48.69
POR_R72_C2,32.38,9.57,17.72,54.01
POR_R1_C2,32.49,7.77,15.01,51.77
POR_R120_C2,34.64,9.64,20.88,46.16
POR_R3_C1,37.7,7.4,15.45,47.86
POR_R12_H3,37.79,9.12,20.15,45.26
POR_R24_C1,38.53,10.16,21.43,47.41
POR_R0_C3,40.86,6.93,16.97,40.81
POR_R12_C2,44.19,6.84,18.25,37.47
POR_R24_H3,46.29,6.74,20.79,32.41
POR_R24_H2,46.37,5.64,15.75,35.79
POR_R72_H3,49.19,4.58,16.1,28.45
POR_R12_H2,53.3,5.56,20.72,26.82
POR_R120_H1,53.34,0.93,32.8,8.18
POR_R3_H2,54.26,5.03,19.61,25.63
POR_R12_H1,56.44,2.84,18.09,15.71
POR_R120_H2,67.96,1.11,19.79,5.59
