sample,total_reads,matched_reads,percent_rrna
trim.Pcom_B10_S150,40831504,2523196,6.17953
trim.Pcom_B1_S118,65244852,18177048,27.85974
trim.Pcom_B6_S164,42589192,3206795,7.52960
trim.Pcom_B7_S100,42951652,3188635,7.42378
trim.Pcom_B8_S135,35908486,3487549,9.71233
trim.Pcom_B9_S156,39635616,3550639,8.95820
trim.Pcom_F10_S166,47080530,15779079,33.51508
trim.Pcom_F7_S124,37749102,6855665,18.16113
trim.Pcom_F9_S102,50444652,16436965,32.58416
trim.Pcom_G10_S105,39998058,9436194,23.59163
trim.Pcom_G6_S159,43475392,10729791,24.68015
trim.Pcom_G7_S106,47319090,12041946,25.44839
trim.Pcom_G9_S115,39683214,6934795,17.47539
trim.Pcom_H10_S104,50452834,6547678,12.97782
trim.Pcom_H1_S125,54531400,3712436,6.80789
trim.Pcom_H6_S161,38835044,2426153,6.24733
trim.Pcom_H7_S109,31677998,5575420,17.60029
trim.Pcom_H8_S119,40720730,3687325,9.05515
trim.Pcom_H9_S144,52019572,6967746,13.39447
trim.Pcomp_F6_S137,48522122,9648447,19.88464
trim.Pcomp_F8_S146,46121752,14634681,31.73054
trim.Pcomp_G1_S121,44005892,11385845,25.87346
trim.Pcomp_G8_S143,46148238,6413732,13.89811
