sample,in_reads_LSU,matched_reads_LSU,in_reads_SSU,matched_reads_SSU
MON_R0_C1,68774706,725738,67908054,206394
MON_R0_C2,32202396,258900,31884510,103447
MON_R0_C3,34829232,741057,33942852,162449
MON_R0_H1,51882596,1512584,50086946,330824
MON_R0_H2,65821792,721504,64979888,249484
MON_R0_H3,34135660,189779,33897684,88987
MON_R120_C1,40585286,733129,39700566,231163
MON_R120_C2,37015072,773495,36079058,220213
MON_R120_C3,56839914,181401,56612904,145335
MON_R120_H1,31016858,444125,30487198,90652
MON_R120_H2,56345224,2647707,53222704,411807
MON_R120_H3,37213896,1271316,35737608,196883
MON_R12_C1,30201892,458805,29644670,115788
MON_R12_C2,31740272,671260,30934362,167492
MON_R12_C3,36092026,392953,35608246,133901
MON_R12_H1,37189230,629162,36441594,138090
MON_R12_H2,33640274,959827,32488526,212109
MON_R12_H3,30569818,583245,29866630,126739
MON_R1_C1,36374862,516830,35758000,142077
MON_R1_C2,37418484,1457502,35676934,328033
MON_R1_C3,44812740,748453,43925110,198477
MON_R1_H1,30266782,548179,29611658,152191
MON_R1_H2,33352276,372504,32897160,116310
MON_R1_H3,32380604,378233,31924448,115825
MON_R24_C1,32822586,751088,31924314,173979
MON_R24_C2,36680870,746762,35786046,197024
MON_R24_C3,40031108,801887,39079182,213655
MON_R24_H1,37084544,600138,36354664,141542
MON_R24_H2,30862652,544045,30205462,127812
MON_R24_H3,37879482,973292,36712352,193625
MON_R3_C1,33725528,536298,33069898,145818
MON_R3_C2,31597920,593622,30886392,139179
MON_R3_C3,36880620,292898,36524932,128932
MON_R3_H1,38750858,766733,37842258,212347
MON_R3_H2,64781344,186024,64544764,135550
MON_R3_H3,30577196,968066,29418254,208904
MON_R72_C1,37518330,432706,37000776,168216
MON_R72_C2,31711402,480349,31143250,110717
MON_R72_C3,45837532,715935,44974626,198568
MON_R72_H1,30655070,2249650,28265684,128223
MON_R72_H2,41717406,12541401,28756786,423808
MON_R72_H3,33448570,296076,33094028,90232
POC_R0_C1,38311210,435653,37821596,108280
POC_R0_C2,36665554,1727557,34811270,143816
POC_R0_C3,38827672,3533083,35063486,199978
POC_R0_H1,37011112,820257,36116850,106825
POC_R0_H2,34388506,1139713,33156454,108621
POC_R0_H3,41441808,1645283,39665098,142828
POC_R120_C1,59356570,1578942,57676100,187559
POC_R120_C2,33081688,499326,32529240,100267
POC_R120_C3,36825058,586469,36176322,109176
POC_R120_H1,36119138,2930559,32994200,145280
POC_R120_H2,60313138,315536,59961906,134025
POC_R120_H3,38865046,3156879,35505606,178283
POC_R12_C1,31901818,1238618,30563408,108102
POC_R12_C2,41682250,2340221,39159006,165386
POC_R12_C3,68368662,1399197,66869746,188081
POC_R12_H1,37600182,2025751,35429072,117820
POC_R12_H2,37534166,1404089,36016908,115193
POC_R12_H3,30589308,381138,30171508,57433
POC_R1_C1,40645192,1128742,39429894,118071
POC_R1_C2,50709932,480452,50167070,132663
POC_R1_C3,37561622,1588122,35843048,130997
POC_R1_H1,58810828,1500392,57208094,177063
POC_R1_H2,40048018,824415,39145294,107983
POC_R1_H3,39647082,2746955,36698380,153636
POC_R24_C1,42241364,2771267,39263238,166623
POC_R24_C2,32792950,3247065,29315046,170011
POC_R24_C3,45349294,1079387,44169038,140257
POC_R24_H1,37954548,754579,37136762,100878
POC_R24_H2,33466672,1160902,32209372,107179
POC_R24_H3,36066662,1584923,34356292,123835
POC_R3_C1,40778724,974536,39719780,106617
POC_R3_C2,37295334,1614028,35563090,146698
POC_R3_C3,44413982,4111090,40013674,217247
POC_R3_H1,30809106,1365874,29340524,76736
POC_R3_H2,62073562,150362,61890070,76020
POC_R3_H3,33975378,1739319,32107212,89205
POC_R72_C1,37567040,782250,36713948,104479
POC_R72_C2,46467114,1100101,45267520,140157
POC_R72_C3,35710738,1371502,34222906,124231
POC_R72_H1,44529834,2030943,42340038,146685
POC_R72_H2,34265848,1794410,32339068,120801
POC_R72_H3,30830432,3440879,27146608,160715
POR_R0_C1,45589054,29745111,15189956,984925
POR_R0_C2,37069978,24978891,11538942,953369
POR_R0_C3,33947180,13439531,20208814,530710
POR_R0_H1,32914680,24298563,8218428,683623
POR_R0_H2,38624220,26815729,11287278,1121567
POR_R0_H3,38597738,25018165,13093600,851311
POR_R120_C1,96656754,76437180,19080024,3494686
POR_R120_C2,41769952,18852922,22443316,680940
POR_R120_C3,42044314,36060029,5487416,880313
POR_R120_H1,65606386,5532936,59856210,404782
POR_R120_H2,39575082,2244126,37233486,141929
POR_R120_H3,34319848,23583583,10279062,809077
POR_R12_C1,29764350,23248889,6096604,812457
POR_R12_C2,36509814,13350079,22818036,450706
POR_R12_C3,30173416,22487057,7223274,706212
POR_R12_H1,36189852,5717589,30330254,229853
POR_R12_H2,41438228,10845550,30266628,435543
POR_R12_H3,40298122,17714021,22163844,658180
POR_R1_C1,31988376,25412571,6244074,711168
POR_R1_C2,30029098,15048030,14661376,537723
POR_R1_C3,32310340,17272416,14710024,648911
POR_R1_H1,37379278,29626413,7232696,985099
POR_R1_H2,34940374,28236036,6156722,980232
POR_R1_H3,43700528,26248365,16888910,933665
POR_R24_C1,42863760,19692994,22732444,692749
POR_R24_C2,31993170,22192268,9373594,751927
POR_R24_C3,75236990,55516564,18930100,2592198
POR_R24_H1,34527796,28000006,6045268,793252
POR_R24_H2,31502354,10870710,20334674,448340
POR_R24_H3,41588334,13293599,27948898,428897
POR_R3_C1,30903968,14260480,16286706,571361
POR_R3_C2,53893700,25438101,27965416,1132678
POR_R3_C3,29899132,21073882,8396118,775737
POR_R3_H1,61969554,29013895,32347580,1622229
POR_R3_H2,39225808,9817536,29126490,365215
POR_R3_H3,36341772,20939222,14930048,936808
POR_R72_C1,31702046,21437395,9828526,771604
POR_R72_C2,35441652,18533697,16502352,617840
POR_R72_C3,30685500,16147647,14230968,789385
POR_R72_H1,30937140,26357975,4179992,781277
POR_R72_H2,30321176,23874058,5934944,864157
POR_R72_H3,32191874,9156005,22736034,382850
