"","sample_id","total_seq","n_fastqs","total_Mseq"
"1","POR_R12_C1_R1_001",15019780,2,15.01978
"2","POR_R12_C1_R2_001",15019780,2,15.01978
"3","POR_R3_C3_R1_001",15040627,1,15.040627
"4","POR_R3_C3_R2_001",15040627,1,15.040627
"5","POR_R1_C2_R1_001",15139586,2,15.139586
"6","POR_R1_C2_R2_001",15139586,2,15.139586
"7","MON_R12_C1_R1_001",15180622,1,15.180622
"8","MON_R12_C1_R2_001",15180622,1,15.180622
"9","POR_R12_C3_R1_001",15184451,1,15.184451
"10","POR_R12_C3_R2_001",15184451,1,15.184451
"11","MON_R1_H1_R1_001",15214527,1,15.214527
"12","MON_R1_H1_R2_001",15214527,1,15.214527
"13","POR_R72_H2_R1_001",15254037,1,15.254037
"14","POR_R72_H2_R2_001",15254037,1,15.254037
"15","MON_R12_H3_R1_001",15363615,1,15.363615
"16","MON_R12_H3_R2_001",15363615,1,15.363615
"17","MON_R3_H3_R1_001",15368618,1,15.368618
"18","MON_R3_H3_R2_001",15368618,1,15.368618
"19","POC_R12_H3_R1_001",15398534,2,15.398534
"20","POC_R12_H3_R2_001",15398534,2,15.398534
"21","MON_R72_H1_R1_001",15398572,1,15.398572
"22","MON_R72_H1_R2_001",15398572,1,15.398572
"23","POR_R72_C3_R1_001",15426025,1,15.426025
"24","POR_R72_C3_R2_001",15426025,1,15.426025
"25","POC_R72_H3_R1_001",15501693,1,15.501693
"26","POC_R72_H3_R2_001",15501693,1,15.501693
"27","POC_R3_H1_R1_001",15507602,2,15.507602
"28","POC_R3_H1_R2_001",15507602,2,15.507602
"29","MON_R24_H2_R1_001",15511235,1,15.511235
"30","MON_R24_H2_R2_001",15511235,1,15.511235
"31","POR_R3_C1_R1_001",15543569,1,15.543569
"32","POR_R3_C1_R2_001",15543569,1,15.543569
"33","MON_R120_H1_R1_001",15587847,1,15.587847
"34","MON_R120_H1_R2_001",15587847,1,15.587847
"35","POR_R72_H1_R1_001",15613760,2,15.61376
"36","POR_R72_H1_R2_001",15613760,2,15.61376
"37","POR_R24_H2_R1_001",15840224,1,15.840224
"38","POR_R24_H2_R2_001",15840224,1,15.840224
"39","MON_R3_C2_R1_001",15880180,1,15.88018
"40","MON_R3_C2_R2_001",15880180,1,15.88018
"41","POR_R72_C1_R1_001",15935878,1,15.935878
"42","POR_R72_C1_R2_001",15935878,1,15.935878
"43","MON_R12_C2_R1_001",15954021,1,15.954021
"44","MON_R12_C2_R2_001",15954021,1,15.954021
"45","MON_R72_C2_R1_001",15956061,2,15.956061
"46","MON_R72_C2_R2_001",15956061,2,15.956061
