"","Sample","total_reads_raw","n_fastqs","total_reads_million"
"1","POR_R12_C1",30039560,4,30.03956
"2","POR_R3_C3",30081254,2,30.081254
"3","POR_R1_C2",30279172,4,30.279172
"4","MON_R12_C1",30361244,2,30.361244
"5","POR_R12_C3",30368902,2,30.368902
"6","MON_R1_H1",30429054,2,30.429054
"7","POR_R72_H2",30508074,2,30.508074
"8","MON_R12_H3",30727230,2,30.72723
"9","MON_R3_H3",30737236,2,30.737236
"10","POC_R12_H3",30797068,4,30.797068
"11","MON_R72_H1",30797144,2,30.797144
"12","POR_R72_C3",30852050,2,30.85205
"13","POC_R72_H3",31003386,2,31.003386
"14","POC_R3_H1",31015204,4,31.015204
"15","MON_R24_H2",31022470,2,31.02247
"16","POR_R3_C1",31087138,2,31.087138
"17","MON_R120_H1",31175694,2,31.175694
"18","POR_R72_H1",31227520,4,31.22752
"19","POR_R24_H2",31680448,2,31.680448
"20","MON_R3_C2",31760360,2,31.76036
"21","POR_R72_C1",31871756,2,31.871756
"22","MON_R12_C2",31908042,2,31.908042
"23","MON_R72_C2",31912122,4,31.912122
"24","POC_R12_C1",32057990,2,32.05799
"25","POR_R24_C2",32183592,2,32.183592
"26","POR_R1_C1",32246584,4,32.246584
"27","POR_R72_H3",32382710,2,32.38271
"28","MON_R0_C2",32429452,4,32.429452
"29","POR_R1_C3",32561790,4,32.56179
"30","MON_R1_H3",32587998,4,32.587998
"31","POC_R24_C2",32960638,2,32.960638
"32","MON_R24_C1",32999024,2,32.999024
"33","POR_R0_H1",33107752,2,33.107752
"34","POC_R120_C2",33298456,4,33.298456
"35","MON_R1_H2",33523878,2,33.523878
"36","POC_R24_H2",33642414,2,33.642414
"37","MON_R72_H3",33660432,4,33.660432
"38","MON_R12_H2",33831526,2,33.831526
"39","MON_R3_C1",33910626,2,33.910626
"40","POC_R3_H3",34141324,2,34.141324
"41","POR_R0_C3",34200880,4,34.20088
"42","MON_R0_H3",34309668,2,34.309668
"43","POC_R72_H2",34444282,2,34.444282
"44","POC_R0_H2",34577560,2,34.57756
"45","POR_R120_H3",34618828,4,34.618828
"46","POR_R24_H1",34860056,4,34.860056
"47","MON_R0_C3",35064262,4,35.064262
"48","POR_R1_H2",35139056,2,35.139056
"49","POR_R72_C2",35643924,2,35.643924
"50","POC_R72_C3",35900400,2,35.9004
"51","POC_R24_H3",36259032,2,36.259032
"52","MON_R12_C3",36280252,2,36.280252
"53","POC_R120_H1",36368620,4,36.36862
"54","POR_R12_H1",36460238,4,36.460238
"55","MON_R1_C1",36570322,2,36.570322
"56","POR_R3_H3",36634702,4,36.634702
"57","POR_R12_C2",36706732,2,36.706732
"58","MON_R24_C2",36884440,2,36.88444
"59","POC_R0_C2",36927120,4,36.92712
"60","POC_R120_C3",37062746,4,37.062746
"61","MON_R3_C3",37120038,4,37.120038
"62","MON_R120_C2",37198124,2,37.198124
"63","POC_R0_H1",37261762,4,37.261762
"64","MON_R24_H1",37270880,2,37.27088
"65","POR_R0_C2",37315628,2,37.315628
"66","MON_R12_H1",37423220,4,37.42322
"67","MON_R120_H3",37465838,4,37.465838
"68","POC_R3_C2",37552538,4,37.552538
"69","MON_R1_C2",37610788,2,37.610788
"70","POR_R1_H1",37617504,2,37.617504
"71","POC_R12_H2",37726912,2,37.726912
"72","MON_R72_C1",37761934,4,37.761934
"73","POC_R1_C3",37782640,2,37.78264
"74","POC_R12_H1",37804522,2,37.804522
"75","POC_R72_C1",37830924,4,37.830924
"76","MON_R24_H3",38072074,2,38.072074
"77","POC_R24_H1",38202382,4,38.202382
"78","POC_R0_C1",38555446,4,38.555446
"79","POR_R0_H3",38830378,2,38.830378
"80","POR_R0_H2",38919694,4,38.919694
"81","MON_R3_H1",39012986,4,39.012986
"82","POC_R0_C3",39053130,4,39.05313
"83","POC_R120_H3",39123566,4,39.123566
"84","POR_R3_H2",39443198,2,39.443198
"85","POR_R120_H2",39800410,2,39.80041
"86","POC_R1_H3",39862900,2,39.8629
"87","POC_R1_H2",40254488,2,40.254488
"88","MON_R24_C3",40309708,4,40.309708
"89","POR_R12_H3",40512742,2,40.512742
"90","MON_R120_C1",40787986,2,40.787986
"91","POC_R1_C1",40913770,4,40.91377
"92","POC_R3_C1",41179204,4,41.179204
"93","POC_R0_H3",41647834,2,41.647834
"94","POR_R12_H2",41690490,2,41.69049
"95","POR_R24_H3",41833108,2,41.833108
"96","POC_R12_C2",41891588,2,41.891588
"97","POR_R120_C2",42021846,2,42.021846
"98","MON_R72_H2",42071752,4,42.071752
"99","POR_R120_C3",42304910,2,42.30491
"100","POC_R24_C1",42460908,2,42.460908
"101","POR_R24_C1",43101110,2,43.10111
"102","POR_R1_H3",43957406,2,43.957406
"103","POC_R3_C3",44643856,2,44.643856
"104","POC_R72_H1",44759818,2,44.759818
"105","MON_R1_C3",45063890,2,45.06389
"106","POC_R24_C3",45607254,2,45.607254
"107","POR_R0_C1",46153030,4,46.15303
"108","MON_R72_C3",46232820,4,46.23282
"109","POC_R72_C2",46688980,2,46.68898
"110","POC_R1_C2",51165182,4,51.165182
"111","MON_R0_H1",52148708,2,52.148708
"112","POR_R3_C2",54463894,6,54.463894
"113","MON_R120_H2",56635818,2,56.635818
"114","MON_R120_C3",57254884,6,57.254884
"115","POC_R1_H1",59208694,6,59.208694
"116","POC_R120_C1",59722046,6,59.722046
"117","POC_R120_H2",60848816,4,60.848816
"118","POR_R3_H1",62493450,6,62.49345
"119","POC_R3_H2",62524798,6,62.524798
"120","MON_R3_H2",65252026,6,65.252026
"121","POR_R120_H1",66081308,6,66.081308
"122","MON_R0_H2",66271522,6,66.271522
"123","POC_R12_C3",68828594,6,68.828594
"124","MON_R0_C1",69119448,2,69.119448
"125","POR_R24_C3",76220328,6,76.220328
"126","POR_R120_C1",98184702,6,98.184702
