Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
MON_R0_C1_S96_R1_001	MON_R0_C1_S96_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34559724.0	5.2 Gbp	0.0	151.0	43.0	40.95265704333752	151.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	warn
MON_R0_C1_S96_R2_001	MON_R0_C1_S96_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34559724.0	5.2 Gbp	0.0	151.0	43.0	43.24845804212	151.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	pass	warn
MON_R0_C2_S118_R1_001	MON_R0_C2_S118_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12219803.0	1.8 Gbp	0.0	151.0	43.0	55.20245162187253	151.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	warn
MON_R0_C2_S118_R2_001	MON_R0_C2_S118_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12219803.0	1.8 Gbp	0.0	151.0	43.0	59.12358996813354	151.0	pass	pass	fail	pass	warn	pass	pass	pass	warn	warn	warn
MON_R0_C3_S107_R1_001	MON_R0_C3_S107_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13524272.0	2 Gbp	0.0	151.0	43.0	54.06617739712109	151.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	warn
MON_R0_C3_S107_R2_001	MON_R0_C3_S107_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13524272.0	2 Gbp	0.0	151.0	43.0	57.9441047602702	151.0	pass	pass	fail	pass	warn	pass	pass	pass	warn	warn	warn
MON_R0_H1_S89_R1_001	MON_R0_H1_S89_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26074354.0	3.9 Gbp	0.0	151.0	45.0	49.198695969448885	151.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	warn
MON_R0_H1_S89_R2_001	MON_R0_H1_S89_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26074354.0	3.9 Gbp	0.0	151.0	45.0	51.83687614731003	151.0	pass	pass	fail	pass	warn	pass	pass	pass	warn	warn	warn
MON_R0_H2_S110_R1_001	MON_R0_H2_S110_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10765035.0	1.6 Gbp	0.0	151.0	43.0	55.86656862639499	151.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	warn
MON_R0_H2_S110_R2_001	MON_R0_H2_S110_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10765035.0	1.6 Gbp	0.0	151.0	43.0	58.984925159455074	151.0	pass	pass	fail	pass	warn	pass	pass	pass	warn	warn	warn
MON_R0_H3_S27_R1_001	MON_R0_H3_S27_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17154834.0	2.5 Gbp	0.0	151.0	42.0	55.533065479757504	151.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	warn
MON_R0_H3_S27_R2_001	MON_R0_H3_S27_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	17154834.0	2.5 Gbp	0.0	151.0	43.0	58.00368835149234	151.0	pass	pass	fail	pass	warn	pass	pass	pass	warn	warn	warn
MON_R120_C1_S72_R1_001	MON_R120_C1_S72_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20393993.0	3 Gbp	0.0	151.0	43.0	50.26174689924616	151.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	warn
MON_R120_C1_S72_R2_001	MON_R120_C1_S72_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20393993.0	3 Gbp	0.0	151.0	43.0	53.00441851082807	151.0	pass	pass	fail	pass	warn	pass	pass	pass	warn	warn	warn
MON_R120_C2_S115_R1_001	MON_R120_C2_S115_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18599062.0	2.8 Gbp	0.0	151.0	43.0	49.6008477366246	151.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	warn
MON_R120_C2_S115_R2_001	MON_R120_C2_S115_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18599062.0	2.8 Gbp	0.0	151.0	44.0	53.216454005965275	151.0	pass	pass	fail	pass	warn	pass	pass	pass	warn	pass	warn
MON_R120_C3_S84_R1_001	MON_R120_C3_S84_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	304563.0	45.9 Mbp	0.0	151.0	43.0	84.50696124110047	151.0	pass	pass	warn	pass	fail	pass	pass	pass	pass	pass	warn
MON_R120_C3_S84_R2_001	MON_R120_C3_S84_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	304563.0	45.9 Mbp	0.0	151.0	43.0	85.77686557612414	151.0	pass	pass	fail	pass	warn	pass	pass	pass	pass	warn	warn
MON_R120_H1_S7_R1_001	MON_R120_H1_S7_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15587847.0	2.3 Gbp	0.0	151.0	42.0	55.28188853662345	151.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	warn
MON_R120_H1_S7_R2_001	MON_R120_H1_S7_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	15587847.0	2.3 Gbp	0.0	151.0	42.0	58.2091682801499	151.0	pass	pass	fail	pass	warn	pass	pass	pass	warn	warn	warn
MON_R120_H2_S90_R1_001	MON_R120_H2_S90_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28317909.0	4.2 Gbp	0.0	151.0	43.0	44.97171237204235	151.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	warn
MON_R120_H2_S90_R2_001	MON_R120_H2_S90_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28317909.0	4.2 Gbp	0.0	151.0	43.0	48.765928898606106	151.0	pass	pass	fail	pass	warn	warn	pass	pass	fail	pass	warn
MON_R120_H3_S113_R1_001	MON_R120_H3_S113_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14099609.0	2.1 Gbp	0.0	151.0	42.0	51.20507442554939	151.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	warn
MON_R120_H3_S113_R2_001	MON_R120_H3_S113_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14099609.0	2.1 Gbp	0.0	151.0	43.0	54.66323557777593	151.0	pass	pass	fail	pass	warn	pass	pass	pass	warn	warn	warn
