"","sample_id","total_seq","n_fastqs","total_Mseq"
"1","POR_R24_C3_R1_trim",7843057,2,7.843057
"2","POR_R24_C3_R2_trim",7843057,2,7.843057
"3","POR_R3_C2_R1_trim",8570836,2,8.570836
"4","POR_R3_C2_R2_trim",8570836,2,8.570836
"5","MON_R120_C3_R1_trim",8902567,2,8.902567
"6","MON_R120_C3_R2_trim",8902567,2,8.902567
"7","POC_R3_H2_R1_trim",10182157,2,10.182157
"8","POC_R3_H2_R2_trim",10182157,2,10.182157
"9","MON_R3_H2_R1_trim",11349641,2,11.349641
"10","MON_R3_H2_R2_trim",11349641,2,11.349641
"11","POR_R120_H1_R1_trim",11367468,2,11.367468
"12","POR_R120_H1_R2_trim",11367468,2,11.367468
"13","POC_R12_C3_R1_trim",13318863,2,13.318863
"14","POC_R12_C3_R2_trim",13318863,2,13.318863
"15","POC_R120_C1_R1_trim",13618183,2,13.618183
"16","POC_R120_C1_R2_trim",13618183,2,13.618183
"17","MON_R0_H2_R1_trim",13969136,2,13.969136
"18","MON_R0_H2_R2_trim",13969136,2,13.969136
"19","POR_R120_C1_R1_trim",13988699,2,13.988699
"20","POR_R120_C1_R2_trim",13988699,2,13.988699
"21","POR_R3_H1_R1_trim",14247994,2,14.247994
"22","POR_R3_H1_R2_trim",14247994,2,14.247994
"23","POC_R1_H1_R1_trim",14383851,2,14.383851
"24","POC_R1_H1_R2_trim",14383851,2,14.383851
"25","POR_R12_C1_R1_trim",14882175,2,14.882175
"26","POR_R12_C1_R2_trim",14882175,2,14.882175
"27","POR_R3_C3_R1_trim",14949566,1,14.949566
"28","POR_R3_C3_R2_trim",14949566,1,14.949566
"29","POR_R1_C2_R1_trim",15014549,2,15.014549
"30","POR_R1_C2_R2_trim",15014549,2,15.014549
"31","POR_R12_C3_R1_trim",15086708,1,15.086708
"32","POR_R12_C3_R2_trim",15086708,1,15.086708
"33","MON_R12_C1_R1_trim",15100946,1,15.100946
"34","MON_R12_C1_R2_trim",15100946,1,15.100946
"35","MON_R1_H1_R1_trim",15133391,1,15.133391
"36","MON_R1_H1_R2_trim",15133391,1,15.133391
"37","POR_R72_H2_R1_trim",15160588,1,15.160588
"38","POR_R72_H2_R2_trim",15160588,1,15.160588
