"","Sample","total_reads_trim","total_reads_million"
"1","POR_R12_C1",29764350,29.76435
"2","POR_R3_C3",29899132,29.899132
"3","POR_R1_C2",30029098,30.029098
"4","POR_R12_C3",30173416,30.173416
"5","MON_R12_C1",30201892,30.201892
"6","MON_R1_H1",30266782,30.266782
"7","POR_R72_H2",30321176,30.321176
"8","MON_R12_H3",30569818,30.569818
"9","MON_R3_H3",30577196,30.577196
"10","POC_R12_H3",30589308,30.589308
"11","MON_R72_H1",30655070,30.65507
"12","POR_R72_C3",30685500,30.6855
"13","POC_R3_H1",30809106,30.809106
"14","POC_R72_H3",30830432,30.830432
"15","MON_R24_H2",30862652,30.862652
"16","POR_R3_C1",30903968,30.903968
"17","POR_R72_H1",30937140,30.93714
"18","MON_R120_H1",31016858,31.016858
"19","POR_R24_H2",31502354,31.502354
"20","MON_R3_C2",31597920,31.59792
"21","POR_R72_C1",31702046,31.702046
"22","MON_R72_C2",31711402,31.711402
"23","MON_R12_C2",31740272,31.740272
"24","POC_R12_C1",31901818,31.901818
"25","POR_R1_C1",31988376,31.988376
"26","POR_R24_C2",31993170,31.99317
"27","POR_R72_H3",32191874,32.191874
"28","MON_R0_C2",32202396,32.202396
"29","POR_R1_C3",32310340,32.31034
"30","MON_R1_H3",32380604,32.380604
"31","POC_R24_C2",32792950,32.79295
"32","MON_R24_C1",32822586,32.822586
"33","POR_R0_H1",32914680,32.91468
"34","POC_R120_C2",33081688,33.081688
"35","MON_R1_H2",33352276,33.352276
"36","MON_R72_H3",33448570,33.44857
"37","POC_R24_H2",33466672,33.466672
"38","MON_R12_H2",33640274,33.640274
"39","MON_R3_C1",33725528,33.725528
"40","POR_R0_C3",33947180,33.94718
"41","POC_R3_H3",33975378,33.975378
"42","MON_R0_H3",34135660,34.13566
"43","POC_R72_H2",34265848,34.265848
"44","POR_R120_H3",34319848,34.319848
"45","POC_R0_H2",34388506,34.388506
"46","POR_R24_H1",34527796,34.527796
"47","MON_R0_C3",34829232,34.829232
"48","POR_R1_H2",34940374,34.940374
"49","POR_R72_C2",35441652,35.441652
"50","POC_R72_C3",35710738,35.710738
"51","POC_R24_H3",36066662,36.066662
"52","MON_R12_C3",36092026,36.092026
"53","POC_R120_H1",36119138,36.119138
"54","POR_R12_H1",36189852,36.189852
"55","POR_R3_H3",36341772,36.341772
"56","MON_R1_C1",36374862,36.374862
"57","POR_R12_C2",36509814,36.509814
"58","POC_R0_C2",36665554,36.665554
"59","MON_R24_C2",36680870,36.68087
"60","POC_R120_C3",36825058,36.825058
"61","MON_R3_C3",36880620,36.88062
"62","POC_R0_H1",37011112,37.011112
"63","MON_R120_C2",37015072,37.015072
"64","POR_R0_C2",37069978,37.069978
"65","MON_R24_H1",37084544,37.084544
"66","MON_R12_H1",37189230,37.18923
"67","MON_R120_H3",37213896,37.213896
"68","POC_R3_C2",37295334,37.295334
"69","POR_R1_H1",37379278,37.379278
"70","MON_R1_C2",37418484,37.418484
"71","MON_R72_C1",37518330,37.51833
"72","POC_R12_H2",37534166,37.534166
"73","POC_R1_C3",37561622,37.561622
"74","POC_R72_C1",37567040,37.56704
"75","POC_R12_H1",37600182,37.600182
"76","MON_R24_H3",37879482,37.879482
"77","POC_R24_H1",37954548,37.954548
"78","POC_R0_C1",38311210,38.31121
"79","POR_R0_H3",38597738,38.597738
"80","POR_R0_H2",38624220,38.62422
"81","MON_R3_H1",38750858,38.750858
"82","POC_R0_C3",38827672,38.827672
"83","POC_R120_H3",38865046,38.865046
"84","POR_R3_H2",39225808,39.225808
"85","POR_R120_H2",39575082,39.575082
"86","POC_R1_H3",39647082,39.647082
"87","MON_R24_C3",40031108,40.031108
"88","POC_R1_H2",40048018,40.048018
"89","POR_R12_H3",40298122,40.298122
"90","MON_R120_C1",40585286,40.585286
"91","POC_R1_C1",40645192,40.645192
"92","POC_R3_C1",40778724,40.778724
"93","POR_R12_H2",41438228,41.438228
"94","POC_R0_H3",41441808,41.441808
"95","POR_R24_H3",41588334,41.588334
"96","POC_R12_C2",41682250,41.68225
"97","MON_R72_H2",41717406,41.717406
"98","POR_R120_C2",41769952,41.769952
"99","POR_R120_C3",42044314,42.044314
"100","POC_R24_C1",42241364,42.241364
"101","POR_R24_C1",42863760,42.86376
"102","POR_R1_H3",43700528,43.700528
"103","POC_R3_C3",44413982,44.413982
"104","POC_R72_H1",44529834,44.529834
"105","MON_R1_C3",44812740,44.81274
"106","POC_R24_C3",45349294,45.349294
"107","POR_R0_C1",45589054,45.589054
"108","MON_R72_C3",45837532,45.837532
"109","POC_R72_C2",46467114,46.467114
"110","POC_R1_C2",50709932,50.709932
"111","MON_R0_H1",51882596,51.882596
"112","POR_R3_C2",53893700,53.8937
"113","MON_R120_H2",56345224,56.345224
"114","MON_R120_C3",56839914,56.839914
"115","POC_R1_H1",58810828,58.810828
"116","POC_R120_C1",59356570,59.35657
"117","POC_R120_H2",60313138,60.313138
"118","POR_R3_H1",61969554,61.969554
"119","POC_R3_H2",62073562,62.073562
"120","MON_R3_H2",64781344,64.781344
"121","POR_R120_H1",65606386,65.606386
"122","MON_R0_H2",65821792,65.821792
"123","POC_R12_C3",68368662,68.368662
"124","MON_R0_C1",68774706,68.774706
"125","POR_R24_C3",75236990,75.23699
"126","POR_R120_C1",96656754,96.656754
