"","sample_id","total_seq","n_fastqs","total_Mseq"
"1","POR_R12_C1_R1_trim",14882175,2,14.882175
"2","POR_R12_C1_R2_trim",14882175,2,14.882175
"3","POR_R3_C3_R1_trim",14949566,1,14.949566
"4","POR_R3_C3_R2_trim",14949566,1,14.949566
"5","POR_R1_C2_R1_trim",15014549,2,15.014549
"6","POR_R1_C2_R2_trim",15014549,2,15.014549
"7","POR_R12_C3_R1_trim",15086708,1,15.086708
"8","POR_R12_C3_R2_trim",15086708,1,15.086708
"9","MON_R12_C1_R1_trim",15100946,1,15.100946
"10","MON_R12_C1_R2_trim",15100946,1,15.100946
"11","MON_R1_H1_R1_trim",15133391,1,15.133391
"12","MON_R1_H1_R2_trim",15133391,1,15.133391
"13","POR_R72_H2_R1_trim",15160588,1,15.160588
"14","POR_R72_H2_R2_trim",15160588,1,15.160588
"15","MON_R12_H3_R1_trim",15284909,1,15.284909
"16","MON_R12_H3_R2_trim",15284909,1,15.284909
"17","MON_R3_H3_R1_trim",15288598,1,15.288598
"18","MON_R3_H3_R2_trim",15288598,1,15.288598
"19","POC_R12_H3_R1_trim",15294654,2,15.294654
"20","POC_R12_H3_R2_trim",15294654,2,15.294654
"21","MON_R72_H1_R1_trim",15327535,1,15.327535
"22","MON_R72_H1_R2_trim",15327535,1,15.327535
"23","POR_R72_C3_R1_trim",15342750,1,15.34275
"24","POR_R72_C3_R2_trim",15342750,1,15.34275
"25","POC_R3_H1_R1_trim",15404553,2,15.404553
"26","POC_R3_H1_R2_trim",15404553,2,15.404553
"27","POC_R72_H3_R1_trim",15415216,1,15.415216
"28","POC_R72_H3_R2_trim",15415216,1,15.415216
"29","MON_R24_H2_R1_trim",15431326,1,15.431326
"30","MON_R24_H2_R2_trim",15431326,1,15.431326
"31","POR_R3_C1_R1_trim",15451984,1,15.451984
"32","POR_R3_C1_R2_trim",15451984,1,15.451984
"33","POR_R72_H1_R1_trim",15468570,2,15.46857
"34","POR_R72_H1_R2_trim",15468570,2,15.46857
"35","MON_R120_H1_R1_trim",15508429,1,15.508429
"36","MON_R120_H1_R2_trim",15508429,1,15.508429
"37","POR_R24_H2_R1_trim",15751177,1,15.751177
"38","POR_R24_H2_R2_trim",15751177,1,15.751177
"39","MON_R3_C2_R1_trim",15798960,1,15.79896
"40","MON_R3_C2_R2_trim",15798960,1,15.79896
"41","POR_R72_C1_R1_trim",15851023,1,15.851023
"42","POR_R72_C1_R2_trim",15851023,1,15.851023
"43","MON_R72_C2_R1_trim",15855701,2,15.855701
"44","MON_R72_C2_R2_trim",15855701,2,15.855701
"45","MON_R12_C2_R1_trim",15870136,1,15.870136
"46","MON_R12_C2_R2_trim",15870136,1,15.870136
"47","POC_R12_C1_R1_trim",15950909,1,15.950909
"48","POC_R12_C1_R2_trim",15950909,1,15.950909
"49","POR_R1_C1_R1_trim",15994188,2,15.994188
"50","POR_R1_C1_R2_trim",15994188,2,15.994188
"51","POR_R24_C2_R1_trim",15996585,1,15.996585
"52","POR_R24_C2_R2_trim",15996585,1,15.996585
"53","POR_R72_H3_R1_trim",16095937,1,16.095937
"54","POR_R72_H3_R2_trim",16095937,1,16.095937
"55","MON_R0_C2_R1_trim",16101198,2,16.101198
"56","MON_R0_C2_R2_trim",16101198,2,16.101198
"57","POR_R1_C3_R1_trim",16155170,2,16.15517
"58","POR_R1_C3_R2_trim",16155170,2,16.15517
"59","MON_R1_H3_R1_trim",16190302,2,16.190302
"60","MON_R1_H3_R2_trim",16190302,2,16.190302
"61","POC_R24_C2_R1_trim",16396475,1,16.396475
"62","POC_R24_C2_R2_trim",16396475,1,16.396475
