Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
MON_R0_C1_S96_R1_trim	MON_R0_C1_S96_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34387353.0	4.7 Gbp	0.0	20-141	42.0	36.576707873136606	138.38321609110187	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
MON_R0_C1_S96_R2_trim	MON_R0_C1_S96_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34387353.0	4.7 Gbp	0.0	20-141	43.0	42.622887380672395	138.37121801727514	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
MON_R0_C2_S118_R1_trim	MON_R0_C2_S118_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12149841.0	1.6 Gbp	0.0	20-141	42.0	51.49875312690199	138.63620058896245	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
MON_R0_C2_S118_R2_trim	MON_R0_C2_S118_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	12149841.0	1.6 Gbp	0.0	20-141	42.0	58.71014971827726	138.62412339387816	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
MON_R0_C3_S107_R1_trim	MON_R0_C3_S107_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13451593.0	1.8 Gbp	0.0	20-141	42.0	50.46828523417933	139.05177914615763	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
MON_R0_C3_S107_R2_trim	MON_R0_C3_S107_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	13451593.0	1.8 Gbp	0.0	20-141	43.0	57.466376534226896	139.04041112454115	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
MON_R0_H1_S89_R1_trim	MON_R0_H1_S89_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25941298.0	3.5 Gbp	0.0	20-141	44.0	44.863437950063535	138.4404536735209	pass	pass	fail	pass	pass	pass	pass	warn	fail	pass	pass
MON_R0_H1_S89_R2_trim	MON_R0_H1_S89_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25941298.0	3.5 Gbp	0.0	20-141	45.0	51.428866742160615	138.4314953708176	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
MON_R0_H2_S110_R1_trim	MON_R0_H2_S110_R1_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10710049.0	1.4 Gbp	0.0	20-141	42.0	52.10271221593905	138.66019866015552	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
MON_R0_H2_S110_R2_trim	MON_R0_H2_S110_R2_trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10710049.0	1.4 Gbp	0.0	20-141	42.0	58.52028011261565	138.64968713028298	pass	pass	fail	pass	pass	pass	pass	warn	warn	pass	pass
