species,fragment,surface.area.cm2,Homogenate.Volume
POR,POR_P0_C1,4.103607785362135,7.2
POR,POR_P0_C2,2.848063354662692,8.8
POR,POR_P0_C3,3.7097114933779975,7
POR,POR_P0_H1,3.432753163076646,7.5
POR,POR_P0_H2,3.395825385703137,7
POR,POR_P0_H3,2.823444836413686,8
POR,POR_P1_C1,3.2911966831448547,7
POR,POR_P1_C2,2.1772087323772036,6.8
POR,POR_P1_C3,2.7988263181646733,10
POR,POR_P1_H1,2.4972494696143226,6.9
POR,POR_P1_H2,1.6356013308990138,7.3
POR,POR_P1_H3,3.4081346448276397,7.5
POR,POR_P3_C1,2.7311253929798998,7
POR,POR_P3_C2,6.356202205146428,8
POR,POR_P3_C3,3.5620003838839476,8.6
POR,POR_P3_H1,5.636110546362928,8.8
POR,POR_P3_H2,2.060270770694415,6.9
POR,POR_P3_H3,2.0294976228831474,7
POR,POR_P12_C1,3.155794832775301,7
POR,POR_P12_C2,3.020392982405751,6.8
POR,POR_P12_C3,2.958846686783233,12.5
POR,POR_P12_H1,4.595978150342315,16.7
POR,POR_P12_H2,2.312610582746754,7
POR,POR_P12_H3,2.146435584565946,7
POR,POR_P24_C1,2.884991132036201,6.8
POR,POR_P24_C2,3.494299458699171,7.1
POR,POR_P24_C3,2.8111355772891797,8.8
POR,POR_P24_H1,2.78651705904017,7
POR,POR_P24_H2,3.998979082803845,8.5
POR,POR_P24_H3,4.380566115663486,7.4
POR,POR_P72_C1,3.4758355700124133,7.4
POR,POR_P72_C2,2.2264457688752226,7
POR,POR_P72_C3,5.777667026294726,10.5
POR,POR_P72_H1,5.13143092225825,7
POR,POR_P72_H2,3.365052237891876,7.1
POR,POR_P72_H3,4.072834637550877,9.6
POR,POR_P120_C1,2.6818883564818847,8
POR,POR_P120_C2,3.038856871092516,7
POR,POR_P120_C3,3.9251235280568273,32.4
POR,POR_P120_H1,2.4541670626785517,8.6
POR,POR_P120_H2,1.8817865133890979,7.2
POR,POR_P120_H3,3.4389077926389042,10
MON,MON_P0_C1,7.427107748978315,7.2
MON,MON_P0_C2,4.374411486101231,7.5
MON,MON_P0_C3,4.73753463027411,7.2
MON,MON_P0_H1,5.5314818438046425,10.5
MON,MON_P0_H2,6.350047575584177,7.8
MON,MON_P0_H3,7.217850343861733,8.2
MON,MON_P1_C1,3.494299458699171,7.5
MON,MON_P1_C2,5.457626289057614,7.4
MON,MON_P1_C3,4.897554998892666,7.4
MON,MON_P1_H1,5.2791420317523,7.2
MON,MON_P1_H2,4.312865190478712,7
MON,MON_P1_H3,5.1622040700695075,11.6
MON,MON_P3_C1,5.451471659495362,7.5
MON,MON_P3_C2,3.7527939003137614,6.8
MON,MON_P3_C3,2.072580029818918,6.8
MON,MON_P3_H1,3.9497420463058264,7.4
MON,MON_P3_H2,6.565459610263007,6.6
MON,MON_P3_H3,3.211186498835571,7.6
MON,MON_P12_C1,3.863577232434302,7
MON,MON_P12_C2,4.989874442326452,7.4
MON,MON_P12_C3,3.758948529876016,8.4
MON,MON_P12_H1,6.2761920208371516,7
MON,MON_P12_H2,4.294401301791958,7
MON,MON_P12_H3,5.285296661314558,8
MON,MON_P24_C1,14.178736378768944,7.4
MON,MON_P24_C2,6.491604055515982,11
MON,MON_P24_C3,5.156049440507259,9.4
