fragment_name,species,t_hours,t_hours,day,time,type,Tank,preservative,Plug #,Genotype,Color_Score_Image,Status,Notes
POR_P0_H1,POR,0,heat,"Wed, Jun 25",9:00 AM, phys,Tank_2,LN2,1176,Unknown,IMG_4222,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R0_H1,POR,0,heat,"Wed, Jun 25",9:00 AM,bulk_rna,Tank_2,DNA/RNA shield,2208,Sep2024,IMG_4223,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R0_H1,POR,0,heat,"Wed, Jun 25",9:00 AM,LCM,Tank_2,PAXgene,2208,Sep2024,IMG_4223,In flammable fridge in Paxgene Stabilizer,
POR_S0_H1,POR,0,heat,"Wed, Jun 25",9:00 AM,spatial,Tank_2,Formalin,2666,Unknown,IMG_4224,In flammable fridge in 70% ethanol,
POR_P0_H2,POR,0,heat,"Wed, Jun 25",9:00 AM, phys,Tank_3,LN2,2742,Unknown,IMG_4225,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R0_H2,POR,0,heat,"Wed, Jun 25",9:00 AM,bulk_rna,Tank_3,DNA/RNA shield,3003,Unknown,IMG_4226,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R0_H2,POR,0,heat,"Wed, Jun 25",9:00 AM,LCM,Tank_3,PAXgene,3003,Unknown,IMG_4226,In flammable fridge in Paxgene Stabilizer,
POR_S0_H2,POR,0,heat,"Wed, Jun 25",9:00 AM,spatial,Tank_3,Formalin,1547,Unknown,IMG_4227,In flammable fridge in 70% ethanol,
POR_P0_H3,POR,0,heat,"Wed, Jun 25",9:00 AM, phys,Tank_5,LN2,2729,Unknown,IMG_4228,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R0_H3,POR,0,heat,"Wed, Jun 25",9:00 AM,bulk_rna,Tank_5,DNA/RNA shield,1100,Sep2024,IMG_4229,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
POR_R0_H3,POR,0,heat,"Wed, Jun 25",9:00 AM,LCM,Tank_5,PAXgene,1100,Sep2024,IMG_4229,In flammable fridge in Paxgene Stabilizer,
POR_S0_H3,POR,0,heat,"Wed, Jun 25",9:00 AM,spatial,Tank_5,Formalin,1066,Unknown,IMG_4230,In flammable fridge in 70% ethanol,
POR_P0_C1,POR,0,control,"Wed, Jun 25",9:00 AM, phys,Tank_1,LN2,2370,Unknown,IMG_4231,In -80 Freezer G Shelf 1; Black mesh bag,
POR_R0_C1,POR,0,control,"Wed, Jun 25",9:00 AM,bulk_rna,Tank_1,DNA/RNA shield,1752,Unknown,IMG_4232,"Tube In -80 Freezer G Shelf 3, Zoe Rack; RNA sent for bulk RNA-seq 20250909",
