"gene_id","count_FOXO3","count_HSF1","count_NFE2L2","ImpulseDE2_padj","ImpulseDE2_response_type","Mfuzz_cluster","Mfuzz_membership","WGCNA_module"
"Montipora_capitata_HIv3___RNAseq.g4581.t1",0,0,0,NA,NA,NA,NA,"ME1"
"Montipora_capitata_HIv3___RNAseq.g4750.t1",0,0,0,NA,NA,NA,NA,"ME0"
"Montipora_capitata_HIv3___RNAseq.g4751.t1",0,0,0,NA,NA,NA,NA,"ME0"
"Montipora_capitata_HIv3___RNAseq.g4752.t1",0,0,0,0.0223937703099741,"Transient",5,0.924403639376132,"ME3"
"Montipora_capitata_HIv3___RNAseq.g4753.t1",0,0,0,4.53985997119267e-05,"Transient",NA,NA,"ME1"
"Montipora_capitata_HIv3___RNAseq.g4754.t1",1,0,0,1.76832144373585e-08,"Monotonous",6,0.984858053176391,"ME9"
"Montipora_capitata_HIv3___RNAseq.g4755.t1",0,2,0,1.09578509328021e-06,"Monotonous",6,0.984444944110367,"ME9"
"Montipora_capitata_HIv3___RNAseq.g4756.t1",0,1,0,0.0303279684955498,"Monotonous",2,0.949888012454984,"ME1"
"Montipora_capitata_HIv3___RNAseq.g4757.t1",0,0,0,NA,NA,NA,NA,"ME9"
"Montipora_capitata_HIv3___RNAseq.g4758.t1",0,0,0,NA,NA,NA,NA,"ME4"
"Montipora_capitata_HIv3___RNAseq.g4759.t1",0,2,0,5.44886060444367e-07,"Transient",6,0.842398349653188,"ME10"
"Montipora_capitata_HIv3___RNAseq.g4760.t1",0,0,0,NA,NA,NA,NA,"ME4"
"Montipora_capitata_HIv3___RNAseq.g4761.t1",0,0,0,NA,NA,NA,NA,"ME7"
"Montipora_capitata_HIv3___TS.g26455.t1",0,0,0,NA,NA,NA,NA,"ME1"
"Montipora_capitata_HIv3___RNAseq.g4764.t1",0,0,1,NA,NA,NA,NA,"ME15"
"Montipora_capitata_HIv3___RNAseq.214_t",2,0,0,NA,NA,NA,NA,"ME0"
"Montipora_capitata_HIv3___RNAseq.g4766.t1",0,0,0,NA,NA,NA,NA,"ME15"
"Montipora_capitata_HIv3___TS.g26284.t1",0,0,0,NA,NA,NA,NA,"ME0"
"Montipora_capitata_HIv3___TS.g26302.t1",1,0,1,NA,NA,NA,NA,"ME11"
"Montipora_capitata_HIv3___RNAseq.g4732.t1",0,0,0,NA,NA,NA,NA,"ME3"
"Montipora_capitata_HIv3___RNAseq.g4582.t1",0,0,0,0.00290978024470967,"Other",5,0.840188735539825,"ME0"
