query,gene_set,Bhattacharya_ID,blast_hit,evalue,ProteinNames,BiologicalProcess,GOs,CellularComponent,MolecularFunction,short_name
Porites_compressa_HIv1___RNAseq.10383_t,"TRP, calcium",,Q9R283,4.95e-13,Short transient receptor potential channel 2 (TrpC2) (Transient receptor protein 2) (TRP-2) (rTrp2),"acrosome reaction [GO:0007340]; aggressive behavior [GO:0002118]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; female courtship behavior [GO:0008050]; inter-male aggressive behavior [GO:0002121]; mating behavior, sex discrimination [GO:0048047]; negative regulation of male mating behavior [GO:1902436]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of gene expression [GO:0010468]; response to pheromone [GO:0019236]; single fertilization [GO:0007338]; single strand break repair [GO:0000012]; territorial aggressive behavior [GO:0002124]",GO:0000012; GO:0002118; GO:0002121; GO:0002124; GO:0003684; GO:0005634; GO:0005886; GO:0006816; GO:0007204; GO:0007338; GO:0007340; GO:0008050; GO:0010468; GO:0012505; GO:0015279; GO:0019236; GO:0019992; GO:0032590; GO:0034703; GO:0048047; GO:0051480; GO:0070588; GO:0070679; GO:1902436,cation channel complex [GO:0034703]; dendrite membrane [GO:0032590]; endomembrane system [GO:0012505]; nucleus [GO:0005634]; plasma membrane [GO:0005886],"damaged DNA binding [GO:0003684]; diacylglycerol binding [GO:0019992]; inositol 1,4,5 trisphosphate binding [GO:0070679]; store-operated calcium channel activity [GO:0015279]",Short transient receptor potential channel 2
Porites_compressa_HIv1___RNAseq.12797_t,SLC,,Q28FF3,3.09e-113,Solute carrier family 49 member A3 (Major facilitator superfamily domain-containing protein 7-a) (Major facilitator superfamily domain-containing protein 7-b) (Myosin light polypeptide 5 regulatory protein) (MYL5),,GO:0016020; GO:0022857,membrane [GO:0016020],transmembrane transporter activity [GO:0022857],Solute carrier family 49 member A3
Porites_compressa_HIv1___RNAseq.15024_t,SLC,,Q5R9C2,0,Sodium-dependent neutral amino acid transporter B(0)AT2 (Sodium- and chloride-dependent neurotransmitter transporter NTT73) (Solute carrier family 6 member 15) (Transporter v7-3),L-leucine transport [GO:0015820]; neurotransmitter transport [GO:0006836]; neutral amino acid transport [GO:0015804]; proline transport [GO:0015824],GO:0005295; GO:0005298; GO:0005886; GO:0006836; GO:0015657; GO:0015804; GO:0015820; GO:0015824; GO:0016020,membrane [GO:0016020]; plasma membrane [GO:0005886],branched-chain amino acid:sodium symporter activity [GO:0015657]; neutral L-amino acid:sodium symporter activity [GO:0005295]; proline:sodium symporter activity [GO:0005298],Sodium-dependent neutral amino acid transporter B(0)AT2
Porites_compressa_HIv1___RNAseq.16064_t,SLC,,G8XYX6,4.49e-46,Monocarboxylate transporter 8 (MCT 8) (Solute carrier family 16 member 2),brain development [GO:0007420]; central nervous system development [GO:0007417]; chordate embryonic development [GO:0043009]; locomotion [GO:0040011]; neuron differentiation [GO:0030182]; oligodendrocyte differentiation [GO:0048709]; optomotor response [GO:0071632]; regulation of thyroid hormone generation [GO:2000609]; Schwann cell differentiation [GO:0014037]; spinal cord development [GO:0021510]; spinal cord oligodendrocyte cell differentiation [GO:0021529]; thyroid gland development [GO:0030878]; thyroid hormone transport [GO:0070327]; transmission of nerve impulse [GO:0019226],GO:0005886; GO:0007417; GO:0007420; GO:0014037; GO:0015349; GO:0016324; GO:0019226; GO:0021510; GO:0021529; GO:0030182; GO:0030878; GO:0040011; GO:0043009; GO:0048709; GO:0070324; GO:0070327; GO:0071632; GO:2000609,apical plasma membrane [GO:0016324]; plasma membrane [GO:0005886],thyroid hormone binding [GO:0070324]; thyroid hormone transmembrane transporter activity [GO:0015349],Monocarboxylate transporter 8
Porites_compressa_HIv1___RNAseq.1619_t,aquaporin,,Q08DE6,4.04e-92,Aquaporin-3 (AQP-3) (Aquaglyceroporin-3),cellular response to hypoxia [GO:0071456]; establishment of localization in cell [GO:0051649]; glycerol transmembrane transport [GO:0015793]; odontogenesis [GO:0042476]; polyol transmembrane transport [GO:0015791]; positive regulation of immune system process [GO:0002684]; renal water absorption [GO:0070295]; response to ischemia [GO:0002931]; response to retinoic acid [GO:0032526]; urea transport [GO:0015840]; water transport [GO:0006833],GO:0002684; GO:0002931; GO:0005654; GO:0005737; GO:0005886; GO:0005911; GO:0006833; GO:0015166; GO:0015250; GO:0015254; GO:0015791; GO:0015793; GO:0015840; GO:0016323; GO:0032526; GO:0042476; GO:0042802; GO:0051649; GO:0070295; GO:0071456,basolateral plasma membrane [GO:0016323]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886],glycerol channel activity [GO:0015254]; identical protein binding [GO:0042802]; polyol transmembrane transporter activity [GO:0015166]; water channel activity [GO:0015250],Aquaporin-3
Porites_compressa_HIv1___RNAseq.16_t,SLC,,B3TP03,1.06e-124,Cationic amino acid transporter 2 (CAT-2) (CAT2) (cCAT-2) (Low affinity cationic amino acid transporter 2) (Solute carrier family 7 member 2),L-arginine import across plasma membrane [GO:0097638]; L-lysine import across plasma membrane [GO:0097639]; L-ornithine transmembrane transport [GO:1903352],GO:0000064; GO:0005737; GO:0005794; GO:0005886; GO:0015189; GO:0031410; GO:0061459; GO:0097638; GO:0097639; GO:1903352,cytoplasm [GO:0005737]; cytoplasmic vesicle [GO:0031410]; Golgi apparatus [GO:0005794]; plasma membrane [GO:0005886],L-arginine transmembrane transporter activity [GO:0061459]; L-lysine transmembrane transporter activity [GO:0015189]; L-ornithine transmembrane transporter activity [GO:0000064],Cationic amino acid transporter 2
Porites_compressa_HIv1___RNAseq.17753_t,SLC,,Q6PEH9,9.35e-76,Zinc transporter ZIP10 (Solute carrier family 39 member 10) (Zrt- and Irt-like protein 10) (ZIP-10),epiboly involved in gastrulation with mouth forming second [GO:0055113]; epithelial to mesenchymal transition [GO:0001837]; intracellular monoatomic cation homeostasis [GO:0030003]; response to zinc ion [GO:0010043]; zinc ion import across plasma membrane [GO:0071578]; zinc ion transport [GO:0006829],GO:0001837; GO:0005385; GO:0005886; GO:0006829; GO:0010043; GO:0016324; GO:0030003; GO:0055113; GO:0071578; GO:0140410,apical plasma membrane [GO:0016324]; plasma membrane [GO:0005886],monoatomic cation:bicarbonate symporter activity [GO:0140410]; zinc ion transmembrane transporter activity [GO:0005385],Zinc transporter ZIP10
Porites_compressa_HIv1___RNAseq.1906_t,SLC,,Q6NUB3,2.14e-61,Solute carrier family 22 member 15,monoatomic ion transport [GO:0006811],GO:0006811; GO:0016020; GO:0022857,membrane [GO:0016020],transmembrane transporter activity [GO:0022857],Solute carrier family 22 member 15
Porites_compressa_HIv1___RNAseq.20647_t,Mechanosensory,,Q27433,1.96e-132,Mechanosensory protein 2,detection of mechanical stimulus involved in sensory perception of touch [GO:0050976]; mechanosensory behavior [GO:0007638]; positive regulation of detection of mechanical stimulus involved in sensory perception of touch [GO:1905789]; positive regulation of mechanosensory behavior [GO:1905792]; potassium ion transport [GO:0006813]; response to mechanical stimulus [GO:0009612],GO:0005272; GO:0005886; GO:0006813; GO:0007638; GO:0009612; GO:0015485; GO:0032589; GO:0043005; GO:0050976; GO:1905789; GO:1905792,neuron projection [GO:0043005]; neuron projection membrane [GO:0032589]; plasma membrane [GO:0005886],cholesterol binding [GO:0015485]; sodium channel activity [GO:0005272],Mechanosensory protein 2
Porites_compressa_HIv1___RNAseq.20915_t,SLC,,Q92536,1.89e-136,"Y+L amino acid transporter 2 (Cationic amino acid transporter, y+ system) (Solute carrier family 7 member 6) (y(+)L-type amino acid transporter 2) (Y+LAT2) (y+LAT-2)",amino acid transmembrane transport [GO:0003333]; glycine betaine transport [GO:0031460]; L-arginine transmembrane transport [GO:1903826]; L-leucine transport [GO:0015820]; neutral amino acid transport [GO:0015804]; nitric oxide biosynthetic process [GO:0006809]; ornithine transport [GO:0015822],GO:0003333; GO:0005886; GO:0006809; GO:0015171; GO:0015174; GO:0015179; GO:0015804; GO:0015820; GO:0015822; GO:0031460; GO:0034618; GO:0061459; GO:0106439; GO:1903826,plasma membrane [GO:0005886],amino acid transmembrane transporter activity [GO:0015171]; arginine binding [GO:0034618]; basic amino acid transmembrane transporter activity [GO:0015174]; L-amino acid transmembrane transporter activity [GO:0015179]; L-arginine transmembrane transporter activity [GO:0061459]; L-lysine:L-arginine antiporter activity [GO:0106439],Y+L amino acid transporter 2
