"gene_id","count_FOXO3","count_HSF1","count_NFE2L2","ImpulseDE2_padj","ImpulseDE2_response_type","Mfuzz_cluster","Mfuzz_membership","WGCNA_module"
"Pocillopora_acuta_HIv2___TS.g10153.t1",0,0,0,NA,NA,NA,NA,"ME2"
"Pocillopora_acuta_HIv2___TS.g28292.t1a",0,0,0,NA,NA,NA,NA,"ME2"
"Pocillopora_acuta_HIv2___TS.g28295.t1",2,0,0,0.042039889458144,"Other",2,0.545325183162925,"ME1"
"Pocillopora_acuta_HIv2___RNAseq.g10157.t1",0,0,0,NA,NA,NA,NA,"ME1"
"Pocillopora_acuta_HIv2___TS.g28301.t1",1,0,1,NA,NA,NA,NA,"ME9"
"Pocillopora_acuta_HIv2___TS.g10172.t1",0,0,0,NA,NA,NA,NA,"ME17"
"Pocillopora_acuta_HIv2___RNAseq.g27421.t1",0,0,0,NA,NA,NA,NA,"ME3"
"Pocillopora_acuta_HIv2___RNAseq.g27422.t1",0,0,0,NA,NA,NA,NA,"ME3"
"Pocillopora_acuta_HIv2___RNAseq.g27424.t1",1,0,0,NA,NA,NA,NA,"ME3"
"Pocillopora_acuta_HIv2___TS.g10211.t1",0,0,0,NA,NA,NA,NA,"ME1"
"Pocillopora_acuta_HIv2___RNAseq.g27465.t1",0,0,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g27471.t1",1,0,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g27479.t1",0,0,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___TS.g10294.t1",1,0,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___TS.g10396.t1",0,0,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g27689.t1",1,0,1,NA,NA,NA,NA,"ME4"
"Pocillopora_acuta_HIv2___RNAseq.g27771.t1",0,1,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___TS.g10623.t1",0,0,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g28017.t1",0,1,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g28123.t1",0,0,0,NA,NA,NA,NA,"ME1"
"Pocillopora_acuta_HIv2___RNAseq.g28136.t1a",0,0,0,NA,NA,NA,NA,"ME1"
"Pocillopora_acuta_HIv2___TS.g11006.t1",0,0,0,NA,NA,NA,NA,"ME9"
"Pocillopora_acuta_HIv2___RNAseq.g28225.t1",0,1,0,NA,NA,NA,NA,"ME9"
"Pocillopora_acuta_HIv2___RNAseq.g28373.t1",0,0,0,NA,NA,NA,NA,"ME1"
"Pocillopora_acuta_HIv2___RNAseq.g28392.t1",0,0,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___TS.g11293.t3",0,0,0,NA,NA,NA,NA,"ME6"
"Pocillopora_acuta_HIv2___RNAseq.g28522.t1",0,0,0,NA,NA,NA,NA,"ME11"
"Pocillopora_acuta_HIv2___RNAseq.g28551.t1a",0,0,0,NA,NA,NA,NA,"ME3"
"Pocillopora_acuta_HIv2___RNAseq.g27398.t1",0,0,0,NA,NA,NA,NA,"ME1"
"Pocillopora_acuta_HIv2___RNAseq.g27399.t1",0,0,0,NA,NA,NA,NA,"ME9"
"Pocillopora_acuta_HIv2___RNAseq.g27400.t1",1,0,0,0.000229091071300737,"Transient",1,0.947968620347661,"ME2"
"Pocillopora_acuta_HIv2___TS.g10157.t2",1,0,0,3.14151414759456e-08,"Transient",1,0.928530760567852,"ME12"
"Pocillopora_acuta_HIv2___RNAseq.g27403.t1",0,0,0,NA,NA,NA,NA,"ME2"
"Pocillopora_acuta_HIv2___TS.g10159.t1",0,0,0,0.0312914184511806,"Other",NA,NA,"ME1"
"Pocillopora_acuta_HIv2___RNAseq.g27405.t1",0,1,0,5.16238616242098e-12,"Transient",2,0.769336724127741,"ME3"
"Pocillopora_acuta_HIv2___RNAseq.g27406.t1",0,0,0,8.46196161574403e-07,"Monotonous",3,0.940492495520403,"ME4"
"Pocillopora_acuta_HIv2___RNAseq.g27407.t1",0,0,0,NA,NA,NA,NA,"ME4"
"Pocillopora_acuta_HIv2___TS.g10164.t1",0,1,0,NA,NA,NA,NA,"ME4"
"Pocillopora_acuta_HIv2___RNAseq.g27408.t1",1,0,0,NA,NA,NA,NA,"ME11"
"Pocillopora_acuta_HIv2___RNAseq.g27409.t1",0,0,0,0.0375601055383762,"Other",4,0.644462483933216,"ME8"
"Pocillopora_acuta_HIv2___RNAseq.g27410.t1",1,0,0,0.000772012467944128,"Monotonous",4,0.666658524102167,"ME1"
"Pocillopora_acuta_HIv2___RNAseq.g27411.t1",0,0,0,NA,NA,NA,NA,"ME8"
"Pocillopora_acuta_HIv2___TS.g10169.t1",0,0,0,NA,NA,NA,NA,"ME10"
"Pocillopora_acuta_HIv2___RNAseq.g27413.t1",0,0,0,NA,NA,NA,NA,"ME10"
"Pocillopora_acuta_HIv2___TS.g10174.t1",0,0,0,2.18529623381014e-16,"Transient",2,0.980229001054723,"ME9"
"Pocillopora_acuta_HIv2___TS.g10175.t2b",0,0,0,0.000161742045076389,"Monotonous",NA,NA,"ME3"
"Pocillopora_acuta_HIv2___TS.g10175.t2a",0,0,0,1.30479408333704e-05,"Transient",5,0.727859693190797,"ME0"
"Pocillopora_acuta_HIv2___TS.g10176.t1",2,0,0,NA,NA,NA,NA,"ME3"
"Pocillopora_acuta_HIv2___RNAseq.g27418.t1",0,0,0,0.00508640861047085,"Monotonous",6,0.94241875077023,"ME7"
"Pocillopora_acuta_HIv2___RNAseq.g27419.t1",0,0,0,NA,NA,NA,NA,"ME13"
"Pocillopora_acuta_HIv2___RNAseq.g27420.t1",1,0,0,NA,NA,NA,NA,"ME3"
"Pocillopora_acuta_HIv2___RNAseq.g27423.t1",0,0,0,0.000556796279715052,"Monotonous",5,0.967652109940098,"ME3"
"Pocillopora_acuta_HIv2___RNAseq.29_t",0,0,0,NA,NA,NA,NA,"ME3"
"Pocillopora_acuta_HIv2___RNAseq.g27428.t1",0,0,0,NA,NA,NA,NA,"ME3"
"Pocillopora_acuta_HIv2___RNAseq.g27429.t1",0,1,0,NA,NA,NA,NA,"ME5"
"Pocillopora_acuta_HIv2___TS.37_t",1,0,0,NA,NA,NA,NA,"ME2"
"Pocillopora_acuta_HIv2___TS.g10192.t2",0,0,1,NA,NA,NA,NA,"ME1"
"Pocillopora_acuta_HIv2___RNAseq.g27433.t1",0,0,0,NA,NA,NA,NA,"ME5"
"Pocillopora_acuta_HIv2___RNAseq.g27435.t1",0,0,0,0.00252062114037835,"Transient",NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g27437.t1",0,0,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___TS.g10198.t2",0,0,0,NA,NA,NA,NA,"ME1"
"Pocillopora_acuta_HIv2___TS.g10199.t1",1,0,0,NA,NA,NA,NA,"ME3"
"Pocillopora_acuta_HIv2___RNAseq.g27441.t1",0,0,0,0.00518601670837211,"Other",5,0.509649895864601,"ME3"
"Pocillopora_acuta_HIv2___RNAseq.g27445.t1",0,0,0,NA,NA,NA,NA,"ME4"
"Pocillopora_acuta_HIv2___RNAseq.g27446.t1",0,0,1,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___TS.g10210.t1",1,0,0,NA,NA,NA,NA,"ME3"
"Pocillopora_acuta_HIv2___RNAseq.g27451.t1",0,0,0,NA,NA,NA,NA,"ME6"
"Pocillopora_acuta_HIv2___RNAseq.g27452.t1",0,0,0,NA,NA,NA,NA,"ME6"
"Pocillopora_acuta_HIv2___RNAseq.g27453.t1",0,0,1,0.0168349812223292,"Other",5,0.519533431735569,"ME3"
"Pocillopora_acuta_HIv2___RNAseq.g27454.t1",0,0,0,NA,NA,NA,NA,"ME6"
"Pocillopora_acuta_HIv2___TS.g10216.t2",0,0,1,NA,NA,NA,NA,"ME5"
"Pocillopora_acuta_HIv2___RNAseq.g27456.t1",0,0,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g27457.t1",0,0,0,NA,NA,NA,NA,"ME2"
"Pocillopora_acuta_HIv2___RNAseq.g27458.t1",0,1,0,0.00465470605492028,"Monotonous",5,0.968931572915596,"ME10"
"Pocillopora_acuta_HIv2___RNAseq.g27459.t1",0,0,0,NA,NA,NA,NA,"ME11"
"Pocillopora_acuta_HIv2___RNAseq.g27460.t1",0,0,0,NA,NA,NA,NA,"ME21"
"Pocillopora_acuta_HIv2___RNAseq.g27461.t1",1,0,0,NA,NA,NA,NA,"ME2"
"Pocillopora_acuta_HIv2___RNAseq.g27462.t1",1,0,0,2.03302777901054e-08,"Transient",NA,NA,"ME5"
"Pocillopora_acuta_HIv2___RNAseq.g27470.t1",0,0,0,NA,NA,NA,NA,"ME5"
"Pocillopora_acuta_HIv2___TS.g10231.t1",0,0,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g27474.t1",1,0,0,0.00120989705089098,"Transient",1,0.723929620922568,"ME2"
"Pocillopora_acuta_HIv2___RNAseq.g27475.t1",0,0,0,0.0108624312393008,"Transient",NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g27476.t1",0,1,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g27480.t1",0,0,0,0.0162595264223886,"Monotonous",5,0.936452946957553,"ME6"
"Pocillopora_acuta_HIv2___RNAseq.g27481.t1",0,0,0,NA,NA,NA,NA,"ME8"
"Pocillopora_acuta_HIv2___RNAseq.g27482.t1",0,0,0,NA,NA,NA,NA,"ME10"
"Pocillopora_acuta_HIv2___RNAseq.g27483.t1",0,0,0,NA,NA,NA,NA,"ME6"
"Pocillopora_acuta_HIv2___TS.g10243.t2",0,0,0,NA,NA,NA,NA,"ME9"
"Pocillopora_acuta_HIv2___RNAseq.g27485.t1",0,0,0,NA,NA,NA,NA,"ME8"
"Pocillopora_acuta_HIv2___RNAseq.g27486.t1",0,0,0,0.0431669115832296,"Monotonous",6,0.812347645645777,"ME7"
"Pocillopora_acuta_HIv2___RNAseq.97_t",0,0,1,0.00334910416932593,"Other",2,0.758322608599173,"ME1"
"Pocillopora_acuta_HIv2___TS.g10247.t2",0,0,0,0.0363722394848744,"Other",NA,NA,"ME12"
"Pocillopora_acuta_HIv2___RNAseq.g27489.t1",0,0,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g27490.t1",0,2,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g27491.t1",0,0,1,NA,NA,NA,NA,"ME3"
"Pocillopora_acuta_HIv2___TS.g10252.t2",0,0,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g27493.t1",0,0,0,NA,NA,NA,NA,"ME3"
"Pocillopora_acuta_HIv2___RNAseq.g27494.t1",0,0,0,NA,NA,NA,NA,"ME6"
"Pocillopora_acuta_HIv2___TS.g10254.t1",0,0,0,NA,NA,NA,NA,"ME5"
"Pocillopora_acuta_HIv2___RNAseq.g27495.t1",0,0,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g27497.t1",0,0,0,NA,NA,NA,NA,"ME4"
"Pocillopora_acuta_HIv2___RNAseq.g27498.t1",0,0,0,0.00344768674373893,"Transient",2,0.870401159235526,"ME5"
"Pocillopora_acuta_HIv2___RNAseq.g27499.t1",0,0,0,NA,NA,NA,NA,"ME7"
"Pocillopora_acuta_HIv2___RNAseq.g27500.t1",2,1,0,0.0123442498334366,"Other",NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g27501.t1",0,0,0,3.18860740701964e-05,"Monotonous",6,0.982700961649914,"ME7"
"Pocillopora_acuta_HIv2___TS.g10260.t1",0,0,0,NA,NA,NA,NA,"ME1"
"Pocillopora_acuta_HIv2___RNAseq.g27502.t1",0,0,0,2.48012996153935e-07,"Transient",NA,NA,"ME9"
"Pocillopora_acuta_HIv2___RNAseq.g27503.t1",0,0,0,NA,NA,NA,NA,"ME7"
"Pocillopora_acuta_HIv2___RNAseq.g27504.t1",0,0,0,NA,NA,NA,NA,"ME7"
"Pocillopora_acuta_HIv2___RNAseq.g27505.t1",1,0,0,0.000581399584313903,"Transient",4,0.946285676734969,"ME1"
"Pocillopora_acuta_HIv2___TS.g10265.t1",0,0,0,0.000571823699656905,"Other",4,0.90820892645002,"ME1"
"Pocillopora_acuta_HIv2___RNAseq.g27508.t1",1,0,0,NA,NA,NA,NA,"ME5"
"Pocillopora_acuta_HIv2___RNAseq.g27510.t1",1,0,0,NA,NA,NA,NA,"ME5"
"Pocillopora_acuta_HIv2___TS.g10272.t1",2,0,0,NA,NA,NA,NA,"ME1"
"Pocillopora_acuta_HIv2___RNAseq.g27516.t1",1,0,0,0.0026527897878401,"Other",4,0.840463638284466,"ME1"
"Pocillopora_acuta_HIv2___RNAseq.g27518.t1",0,0,0,NA,NA,NA,NA,"ME1"
"Pocillopora_acuta_HIv2___TS.g10279.t1b",0,0,1,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g27523.t1",0,0,0,NA,NA,NA,NA,"ME1"
"Pocillopora_acuta_HIv2___TS.g10282.t1",0,0,0,0.000184843433417519,"Monotonous",3,0.824587821336122,"ME2"
"Pocillopora_acuta_HIv2___RNAseq.g27525.t1",1,1,0,NA,NA,NA,NA,"ME12"
"Pocillopora_acuta_HIv2___TS.g10284.t2",0,0,0,0.00421416814984303,"Transient",2,0.941583618682053,"ME5"
"Pocillopora_acuta_HIv2___RNAseq.g27527.t1",0,1,1,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g27529.t1",0,1,1,NA,NA,NA,NA,"ME5"
"Pocillopora_acuta_HIv2___TS.g10287.t1",1,0,0,NA,NA,NA,NA,"ME3"
"Pocillopora_acuta_HIv2___RNAseq.g27531.t1",0,0,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g27533.t1",0,0,0,0.0169481099640489,"Transient",1,0.871814978173916,"ME4"
"Pocillopora_acuta_HIv2___RNAseq.g27535.t1",0,0,0,0.00456202724787015,"Transient",3,0.55295988844827,"ME4"
"Pocillopora_acuta_HIv2___TS.g10293.t1a",0,1,0,NA,NA,NA,NA,"ME2"
"Pocillopora_acuta_HIv2___TS.g10293.t1b",0,0,0,NA,NA,NA,NA,"ME0"
"Pocillopora_acuta_HIv2___RNAseq.g27538.t1",0,0,0,NA,NA,NA,NA,"ME5"
"Pocillopora_acuta_HIv2___RNAseq.g27539.t1",0,0,0,NA,NA,NA,NA,"ME3"
"Pocillopora_acuta_HIv2___RNAseq.g27541.t1",0,0,0,7.80138366813769e-38,"Monotonous",4,0.98205494270919,"ME8"
"Pocillopora_acuta_HIv2___RNAseq.g27542.t1",0,0,0,0.00160972757453349,"Transient",6,0.635261787555786,"ME7"
"Pocillopora_acuta_HIv2___TS.g10300.t1",0,0,0,5.64840437783405e-05,"Transient",NA,NA,"ME2"
"Pocillopora_acuta_HIv2___TS.g10301.t1",0,0,0,NA,NA,NA,NA,"ME1"
"Pocillopora_acuta_HIv2___RNAseq.g27545.t1",0,0,0,NA,NA,NA,NA,"ME6"
"Pocillopora_acuta_HIv2___TS.g10303.t2",0,0,0,0.0124504430786941,"Transient",NA,NA,"ME5"
"Pocillopora_acuta_HIv2___RNAseq.g27547.t1",0,2,0,NA,NA,NA,NA,"ME3"
"Pocillopora_acuta_HIv2___RNAseq.g27548.t1",0,0,0,0.0107883121699472,"Monotonous",5,0.944412750664013,"ME6"
"Pocillopora_acuta_HIv2___RNAseq.g27549.t1",0,0,0,3.07877087672789e-06,"Transient",6,0.77984069764192,"ME13"
"Pocillopora_acuta_HIv2___RNAseq.g27550.t1",1,0,0,NA,NA,NA,NA,"ME3"
"Pocillopora_acuta_HIv2___TS.g10309.t1",0,0,0,NA,NA,NA,NA,"ME11"
"Pocillopora_acuta_HIv2___TS.g10314.t1",0,0,0,NA,NA,NA,NA,"ME6"
"Pocillopora_acuta_HIv2___TS.g10315.t1",0,0,0,NA,NA,NA,NA,"ME6"
