gi|119433677|ref|NP_000074.2|	Porites_compressa_HIv1___RNAseq.g573.t1b	45.355	818	404	11	59	872	18	796	0.0	692
gi|155969705|ref|NP_000076.2|	Porites_compressa_HIv1___RNAseq.g573.t1b	41.993	612	339	7	36	645	62	659	7.69e-164	492
gi|4557535|ref|NP_000102.1|	Porites_compressa_HIv1___RNAseq.g27978.t1	31.464	731	460	9	17	727	16	725	1.22e-109	350
gi|32479527|ref|NP_000209.2|	Porites_compressa_HIv1___RNAseq.g8462.t2	38.596	570	280	14	106	624	87	637	5.03e-98	322
gi|4504837|ref|NP_000211.1|	Porites_compressa_HIv1___RNAseq.g41367.t1	43.590	351	179	6	20	362	79	418	1.64e-88	275
gi|4557729|ref|NP_000229.1|	Porites_compressa_HIv1___RNAseq.g16089.t2	51.566	479	204	9	395	862	40	501	2.73e-164	502
gi|4505835|ref|NP_000288.1|	Porites_compressa_HIv1___RNAseq.g16148.t1	50.392	893	365	18	76	945	33	870	0.0	856
gi|4505697|ref|NP_000432.1|	Porites_compressa_HIv1___RNAseq.g27978.t1	34.801	727	428	11	22	727	15	716	8.89e-132	409
gi|90421313|ref|NP_000483.3|	Porites_compressa_HIv1___RNAseq.g18081.t1	32.982	664	401	6	1	651	43	675	1.33e-112	389
gi|4502271|ref|NP_000693.1|	Porites_compressa_HIv1___RNAseq.g30239.t1	75.813	984	236	2	39	1020	75	1058	0.0	1571
gi|154091314|ref|NP_001007472.2|	Porites_compressa_HIv1___RNAseq.g31914.t1	40.885	1311	647	24	60	1302	38	1288	0.0	931
gi|205360954|ref|NP_001009944.2|	Porites_compressa_HIv1___RNAseq.g20523.t1	21.907	2118	1352	71	1434	3352	1261	3275	6.29e-96	351
gi|61744477|ref|NP_001012680.1|	Porites_compressa_HIv1___RNAseq.g30822.t1	35.294	136	78	5	217	345	44	176	1.15e-13	74.3
gi|62912487|ref|NP_001017424.1|	Porites_compressa_HIv1___RNAseq.g18119.t1	37.402	254	136	6	53	292	1	245	3.27e-48	167
gi|122937502|ref|NP_001074001.1|	Porites_compressa_HIv1___RNAseq.g25648.t1	38.187	728	370	13	50	761	98	761	4.79e-150	473
gi|157426860|ref|NP_001098718.1|	Porites_compressa_HIv1___RNAseq.g20514.t1	34.286	630	350	19	364	954	183	787	3.71e-86	295
gi|187608791|ref|NP_001120670.1|	Porites_compressa_HIv1___RNAseq.g20514.t1	32.381	735	399	21	84	771	104	787	2.88e-90	302
gi|194733735|ref|NP_001124170.1|	Porites_compressa_HIv1___RNAseq.g37376.t1	32.333	733	401	16	107	806	795	1465	4.89e-103	352
gi|205360971|ref|NP_001128577.1|	Porites_compressa_HIv1___RNAseq.g18119.t1	36.916	214	130	1	13	221	7	220	1.24e-42	150
gi|209863026|ref|NP_001129427.1|	Porites_compressa_HIv1___RNAseq.g37376.t1	32.119	741	433	16	25	721	793	1507	1.10e-102	350
gi|219689113|ref|NP_001137291.1|	Porites_compressa_HIv1___RNAseq.g19082.t3b	48.448	741	329	13	143	867	88	791	0.0	619
gi|537544630|ref|NP_001138775.2|	Porites_compressa_HIv1___TS.g25115.t1	25.881	653	434	13	78	703	89	718	1.45e-72	250
