"sequence_name","count_FOXO3","count_HSF1","count_NFE2L2"
"Porites_compressa_HIv1___RNAseq.1084_t",2,0,0
"Porites_compressa_HIv1___RNAseq.10891_t",1,0,0
"Porites_compressa_HIv1___RNAseq.1105_t",1,0,0
"Porites_compressa_HIv1___RNAseq.11523_t",1,0,0
"Porites_compressa_HIv1___RNAseq.12816_t",1,0,0
"Porites_compressa_HIv1___RNAseq.13089_t",1,0,0
"Porites_compressa_HIv1___RNAseq.1365_t",1,0,0
"Porites_compressa_HIv1___RNAseq.13848_t",1,0,0
"Porites_compressa_HIv1___RNAseq.15474_t",1,0,0
"Porites_compressa_HIv1___RNAseq.17674_t",2,0,0
"Porites_compressa_HIv1___RNAseq.17753_t",1,0,0
"Porites_compressa_HIv1___RNAseq.19012_t",1,0,0
"Porites_compressa_HIv1___RNAseq.19773_t",1,0,0
"Porites_compressa_HIv1___RNAseq.20578_t",1,0,0
"Porites_compressa_HIv1___RNAseq.2061_t",1,0,0
"Porites_compressa_HIv1___RNAseq.20915_t",1,0,0
"Porites_compressa_HIv1___RNAseq.21264_t",1,0,0
"Porites_compressa_HIv1___RNAseq.22528_ta",1,0,0
"Porites_compressa_HIv1___RNAseq.22857_t",1,0,0
"Porites_compressa_HIv1___RNAseq.23881_t",2,0,0
"Porites_compressa_HIv1___RNAseq.24155_t",1,0,0
"Porites_compressa_HIv1___RNAseq.25614_t",1,0,0
"Porites_compressa_HIv1___RNAseq.26387_t",1,1,0
"Porites_compressa_HIv1___RNAseq.26679_t",1,0,0
"Porites_compressa_HIv1___RNAseq.27265_t",1,0,1
"Porites_compressa_HIv1___RNAseq.27359_t",1,1,0
"Porites_compressa_HIv1___RNAseq.28330_t",1,0,0
"Porites_compressa_HIv1___RNAseq.29216_t",1,0,0
"Porites_compressa_HIv1___RNAseq.29492_t",1,0,0
"Porites_compressa_HIv1___RNAseq.29529_t",1,0,0
"Porites_compressa_HIv1___RNAseq.30538_t",1,0,0
"Porites_compressa_HIv1___RNAseq.30755_t",1,0,0
"Porites_compressa_HIv1___RNAseq.31870_t",1,0,0
"Porites_compressa_HIv1___RNAseq.32321_t",1,0,0
"Porites_compressa_HIv1___RNAseq.3305_t",1,0,0
"Porites_compressa_HIv1___RNAseq.33850_t",3,0,1
"Porites_compressa_HIv1___RNAseq.3392_t",2,0,0
"Porites_compressa_HIv1___RNAseq.34236_t",1,0,0
"Porites_compressa_HIv1___RNAseq.34787_t",1,0,0
