query,gene_set,Bhattacharya_ID,blast_hit,evalue,ProteinNames,BiologicalProcess,GOs,CellularComponent,MolecularFunction,short_name
Porites_compressa_HIv1___RNAseq.10383_t,"TRP, calcium",,Q9R283,4.95e-13,Short transient receptor potential channel 2 (TrpC2) (Transient receptor protein 2) (TRP-2) (rTrp2),"acrosome reaction [GO:0007340]; aggressive behavior [GO:0002118]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; female courtship behavior [GO:0008050]; inter-male aggressive behavior [GO:0002121]; mating behavior, sex discrimination [GO:0048047]; negative regulation of male mating behavior [GO:1902436]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of gene expression [GO:0010468]; response to pheromone [GO:0019236]; single fertilization [GO:0007338]; single strand break repair [GO:0000012]; territorial aggressive behavior [GO:0002124]",GO:0000012; GO:0002118; GO:0002121; GO:0002124; GO:0003684; GO:0005634; GO:0005886; GO:0006816; GO:0007204; GO:0007338; GO:0007340; GO:0008050; GO:0010468; GO:0012505; GO:0015279; GO:0019236; GO:0019992; GO:0032590; GO:0034703; GO:0048047; GO:0051480; GO:0070588; GO:0070679; GO:1902436,cation channel complex [GO:0034703]; dendrite membrane [GO:0032590]; endomembrane system [GO:0012505]; nucleus [GO:0005634]; plasma membrane [GO:0005886],"damaged DNA binding [GO:0003684]; diacylglycerol binding [GO:0019992]; inositol 1,4,5 trisphosphate binding [GO:0070679]; store-operated calcium channel activity [GO:0015279]",Short transient receptor potential channel 2
Porites_compressa_HIv1___RNAseq.1619_t,aquaporin,,Q08DE6,4.04e-92,Aquaporin-3 (AQP-3) (Aquaglyceroporin-3),cellular response to hypoxia [GO:0071456]; establishment of localization in cell [GO:0051649]; glycerol transmembrane transport [GO:0015793]; odontogenesis [GO:0042476]; polyol transmembrane transport [GO:0015791]; positive regulation of immune system process [GO:0002684]; renal water absorption [GO:0070295]; response to ischemia [GO:0002931]; response to retinoic acid [GO:0032526]; urea transport [GO:0015840]; water transport [GO:0006833],GO:0002684; GO:0002931; GO:0005654; GO:0005737; GO:0005886; GO:0005911; GO:0006833; GO:0015166; GO:0015250; GO:0015254; GO:0015791; GO:0015793; GO:0015840; GO:0016323; GO:0032526; GO:0042476; GO:0042802; GO:0051649; GO:0070295; GO:0071456,basolateral plasma membrane [GO:0016323]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; plasma membrane [GO:0005886],glycerol channel activity [GO:0015254]; identical protein binding [GO:0042802]; polyol transmembrane transporter activity [GO:0015166]; water channel activity [GO:0015250],Aquaporin-3
Porites_compressa_HIv1___RNAseq.20647_t,Mechanosensory,,Q27433,1.96e-132,Mechanosensory protein 2,detection of mechanical stimulus involved in sensory perception of touch [GO:0050976]; mechanosensory behavior [GO:0007638]; positive regulation of detection of mechanical stimulus involved in sensory perception of touch [GO:1905789]; positive regulation of mechanosensory behavior [GO:1905792]; potassium ion transport [GO:0006813]; response to mechanical stimulus [GO:0009612],GO:0005272; GO:0005886; GO:0006813; GO:0007638; GO:0009612; GO:0015485; GO:0032589; GO:0043005; GO:0050976; GO:1905789; GO:1905792,neuron projection [GO:0043005]; neuron projection membrane [GO:0032589]; plasma membrane [GO:0005886],cholesterol binding [GO:0015485]; sodium channel activity [GO:0005272],Mechanosensory protein 2
Porites_compressa_HIv1___RNAseq.20966_t,TRP,,Q8TEL6,3.44e-158,Short transient receptor potential channel 4-associated protein (Trp4-associated protein) (Trpc4-associated protein) (Protein TAP1) (TNF-receptor ubiquitous scaffolding/signaling protein) (Protein TRUSS),calcium ion transmembrane transport [GO:0070588]; hair follicle maturation [GO:0048820]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]; ubiquitin-dependent protein catabolic process via the C-end degron rule pathway [GO:0140627],GO:0005262; GO:0005829; GO:0005886; GO:0006511; GO:0016567; GO:0019902; GO:0031464; GO:0048471; GO:0048820; GO:0070588; GO:0080008; GO:0140627; GO:1990756,Cul4-RING E3 ubiquitin ligase complex [GO:0080008]; Cul4A-RING E3 ubiquitin ligase complex [GO:0031464]; cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886],calcium channel activity [GO:0005262]; phosphatase binding [GO:0019902]; ubiquitin-like ligase-substrate adaptor activity [GO:1990756],Short transient receptor potential channel 4-associated protein
Porites_compressa_HIv1___RNAseq.2240_t,TRP,,Q18297,8.12e-159,Transient receptor potential cation channel subfamily A member 1 homolog,,GO:0005216; GO:0005886; GO:0043025; GO:0097730,neuronal cell body [GO:0043025]; non-motile cilium [GO:0097730]; plasma membrane [GO:0005886],monoatomic ion channel activity [GO:0005216],Transient receptor potential cation channel subfamily A member 1 homolog
Porites_compressa_HIv1___RNAseq.31225_t,TRP,,O75762,3.66e-128,Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Transformation-sensitive protein p120) (p120) (Wasabi receptor),calcium ion transmembrane import into cytosol [GO:0097553]; calcium ion transmembrane transport [GO:0070588]; cell surface receptor signaling pathway [GO:0007166]; cellular response to caffeine [GO:0071313]; cellular response to carbon dioxide [GO:0071244]; cellular response to cold [GO:0070417]; cellular response to food [GO:0071240]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to toxic substance [GO:0097237]; detection of chemical stimulus involved in sensory perception of pain [GO:0050968]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; intracellular calcium ion homeostasis [GO:0006874]; monoatomic ion transport [GO:0006811]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of monoatomic anion transport [GO:1903793]; protein homotetramerization [GO:0051289]; regulation of blood circulation [GO:1903522]; regulation of neuronal action potential [GO:0098908]; response to cold [GO:0009409]; response to pain [GO:0048265]; response to xenobiotic stimulus [GO:0009410]; sensory perception of pain [GO:0019233]; thermoception [GO:0050955]; urinary bladder smooth muscle contraction [GO:0014832],GO:0005245; GO:0005262; GO:0005886; GO:0006811; GO:0006874; GO:0007166; GO:0009409; GO:0009410; GO:0014832; GO:0015267; GO:0015278; GO:0016324; GO:0019233; GO:0030424; GO:0032421; GO:0034605; GO:0035774; GO:0042802; GO:0048265; GO:0050955; GO:0050966; GO:0050968; GO:0051289; GO:0070301; GO:0070417; GO:0070588; GO:0071240; GO:0071244; GO:0071313; GO:0097237; GO:0097553; GO:0097604; GO:0098908; GO:1903522; GO:1903793; GO:1990760,apical plasma membrane [GO:0016324]; axon [GO:0030424]; plasma membrane [GO:0005886]; stereocilium bundle [GO:0032421],calcium channel activity [GO:0005262]; channel activity [GO:0015267]; identical protein binding [GO:0042802]; intracellularly gated calcium channel activity [GO:0015278]; osmolarity-sensing monoatomic cation channel activity [GO:1990760]; temperature-gated cation channel activity [GO:0097604]; voltage-gated calcium channel activity [GO:0005245],Transient receptor potential cation channel subfamily A member 1
Porites_compressa_HIv1___RNAseq.33850_t,calcium,,Q99572,8.69e-11,P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor),apoptotic signaling pathway [GO:0097190]; bleb assembly [GO:0032060]; calcium ion transmembrane transport [GO:0070588]; calcium-mediated signaling [GO:0019722]; cell morphogenesis [GO:0000902]; cell surface receptor signaling pathway [GO:0007166]; cellular response to ATP [GO:0071318]; cellular response to dsRNA [GO:0071359]; ceramide biosynthetic process [GO:0046513]; collagen metabolic process [GO:0032963]; defense response to Gram-positive bacterium [GO:0050830]; extrinsic apoptotic signaling pathway [GO:0097191]; gamma-aminobutyric acid secretion [GO:0014051]; glutamate secretion [GO:0014047]; homeostasis of number of cells within a tissue [GO:0048873]; inflammatory response [GO:0006954]; MAPK cascade [GO:0000165]; membrane depolarization [GO:0051899]; membrane protein ectodomain proteolysis [GO:0006509]; mitochondrial depolarization [GO:0051882]; mitochondrion organization [GO:0007005]; NAD transport [GO:0043132]; negative regulation of bone resorption [GO:0045779]; negative regulation of cell volume [GO:0045794]; negative regulation of MAPK cascade [GO:0043409]; phagolysosome assembly [GO:0001845]; phospholipid transfer to membrane [GO:0006649]; plasma membrane phospholipid scrambling [GO:0017121]; pore complex assembly [GO:0046931]; positive regulation of bleb assembly [GO:1904172]; positive regulation of bone mineralization [GO:0030501]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of cytoskeleton organization [GO:0051495]; positive regulation of gamma-aminobutyric acid secretion [GO:0014054]; positive regulation of gene expression [GO:0010628]; positive regulation of glutamate secretion [GO:0014049]; positive regulation of glycolytic process [GO:0045821]; positive regulation of interleukin-1 alpha production [GO:0032730]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mitochondrial depolarization [GO:0051901]; positive regulation of monoatomic ion transmembrane transport [GO:0034767]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of prostaglandin secretion [GO:0032308]; positive regulation of protein secretion [GO:0050714]; positive regulation of T cell apoptotic process [GO:0070234]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; prostaglandin secretion [GO:0032310]; protein catabolic process [GO:0030163]; protein homotrimerization [GO:0070207]; protein processing [GO:0016485]; protein secretion [GO:0009306]; purinergic nucleotide receptor signaling pathway [GO:0035590]; reactive oxygen species metabolic process [GO:0072593]; regulation of sodium ion transport [GO:0002028]; release of sequestered calcium ion into cytosol [GO:0051209]; response to ATP [GO:0033198]; response to calcium ion [GO:0051592]; response to electrical stimulus [GO:0051602]; response to fluid shear stress [GO:0034405]; response to ischemia [GO:0002931]; response to lipopolysaccharide [GO:0032496]; response to mechanical stimulus [GO:0009612]; response to xenobiotic stimulus [GO:0009410]; response to zinc ion [GO:0010043]; sensory perception of pain [GO:0019233]; skeletal system morphogenesis [GO:0048705]; synaptic vesicle exocytosis [GO:0016079]; T cell apoptotic process [GO:0070231]; T cell homeostasis [GO:0043029]; T cell mediated cytotoxicity [GO:0001913]; T cell proliferation [GO:0042098]; vesicle budding from membrane [GO:0006900],GO:0000165; GO:0000902; GO:0001530; GO:0001614; GO:0001845; GO:0001913; GO:0001916; GO:0002028; GO:0002931; GO:0004931; GO:0005102; GO:0005216; GO:0005267; GO:0005272; GO:0005524; GO:0005737; GO:0005739; GO:0005886; GO:0005911; GO:0006509; GO:0006649; GO:0006900; GO:0006954; GO:0007005; GO:0007166; GO:0009306; GO:0009410; GO:0009612; GO:0009897; GO:0010043; GO:0010524; GO:0010628; GO:0014047; GO:0014049; GO:0014051; GO:0014054; GO:0016020; GO:0016079; GO:0016485; GO:0017121; GO:0019233; GO:0019722; GO:0030163; GO:0030501; GO:0031594; GO:0032059; GO:0032060; GO:0032308; GO:0032310; GO:0032496; GO:0032730; GO:0032731; GO:0032755; GO:0032963; GO:0033198; GO:0034405; GO:0034767; GO:0035590; GO:0042098; GO:0042802; GO:0043025; GO:0043029; GO:0043132; GO:0043409; GO:0043410; GO:0045779; GO:0045794; GO:0045821; GO:0046513; GO:0046931; GO:0048705; GO:0048873; GO:0050714; GO:0050830; GO:0051209; GO:0051495; GO:0051592; GO:0051602; GO:0051882; GO:0051899; GO:0051901; GO:0060907; GO:0070207; GO:0070231; GO:0070234; GO:0070588; GO:0071318; GO:0071359; GO:0072593; GO:0097190; GO:0097191; GO:0098793; GO:0098794; GO:1900227; GO:1904172,bleb [GO:0032059]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; membrane [GO:0016020]; mitochondrion [GO:0005739]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynapse [GO:0098793],ATP binding [GO:0005524]; extracellularly ATP-gated monoatomic cation channel activity [GO:0004931]; identical protein binding [GO:0042802]; lipopolysaccharide binding [GO:0001530]; monoatomic ion channel activity [GO:0005216]; potassium channel activity [GO:0005267]; purinergic nucleotide receptor activity [GO:0001614]; signaling receptor binding [GO:0005102]; sodium channel activity [GO:0005272],P2X purinoceptor 7
Porites_compressa_HIv1___RNAseq.34517_t,calcium,,Q99572,4.73e-8,P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor),apoptotic signaling pathway [GO:0097190]; bleb assembly [GO:0032060]; calcium ion transmembrane transport [GO:0070588]; calcium-mediated signaling [GO:0019722]; cell morphogenesis [GO:0000902]; cell surface receptor signaling pathway [GO:0007166]; cellular response to ATP [GO:0071318]; cellular response to dsRNA [GO:0071359]; ceramide biosynthetic process [GO:0046513]; collagen metabolic process [GO:0032963]; defense response to Gram-positive bacterium [GO:0050830]; extrinsic apoptotic signaling pathway [GO:0097191]; gamma-aminobutyric acid secretion [GO:0014051]; glutamate secretion [GO:0014047]; homeostasis of number of cells within a tissue [GO:0048873]; inflammatory response [GO:0006954]; MAPK cascade [GO:0000165]; membrane depolarization [GO:0051899]; membrane protein ectodomain proteolysis [GO:0006509]; mitochondrial depolarization [GO:0051882]; mitochondrion organization [GO:0007005]; NAD transport [GO:0043132]; negative regulation of bone resorption [GO:0045779]; negative regulation of cell volume [GO:0045794]; negative regulation of MAPK cascade [GO:0043409]; phagolysosome assembly [GO:0001845]; phospholipid transfer to membrane [GO:0006649]; plasma membrane phospholipid scrambling [GO:0017121]; pore complex assembly [GO:0046931]; positive regulation of bleb assembly [GO:1904172]; positive regulation of bone mineralization [GO:0030501]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of cytoskeleton organization [GO:0051495]; positive regulation of gamma-aminobutyric acid secretion [GO:0014054]; positive regulation of gene expression [GO:0010628]; positive regulation of glutamate secretion [GO:0014049]; positive regulation of glycolytic process [GO:0045821]; positive regulation of interleukin-1 alpha production [GO:0032730]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mitochondrial depolarization [GO:0051901]; positive regulation of monoatomic ion transmembrane transport [GO:0034767]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of prostaglandin secretion [GO:0032308]; positive regulation of protein secretion [GO:0050714]; positive regulation of T cell apoptotic process [GO:0070234]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; prostaglandin secretion [GO:0032310]; protein catabolic process [GO:0030163]; protein homotrimerization [GO:0070207]; protein processing [GO:0016485]; protein secretion [GO:0009306]; purinergic nucleotide receptor signaling pathway [GO:0035590]; reactive oxygen species metabolic process [GO:0072593]; regulation of sodium ion transport [GO:0002028]; release of sequestered calcium ion into cytosol [GO:0051209]; response to ATP [GO:0033198]; response to calcium ion [GO:0051592]; response to electrical stimulus [GO:0051602]; response to fluid shear stress [GO:0034405]; response to ischemia [GO:0002931]; response to lipopolysaccharide [GO:0032496]; response to mechanical stimulus [GO:0009612]; response to xenobiotic stimulus [GO:0009410]; response to zinc ion [GO:0010043]; sensory perception of pain [GO:0019233]; skeletal system morphogenesis [GO:0048705]; synaptic vesicle exocytosis [GO:0016079]; T cell apoptotic process [GO:0070231]; T cell homeostasis [GO:0043029]; T cell mediated cytotoxicity [GO:0001913]; T cell proliferation [GO:0042098]; vesicle budding from membrane [GO:0006900],GO:0000165; GO:0000902; GO:0001530; GO:0001614; GO:0001845; GO:0001913; GO:0001916; GO:0002028; GO:0002931; GO:0004931; GO:0005102; GO:0005216; GO:0005267; GO:0005272; GO:0005524; GO:0005737; GO:0005739; GO:0005886; GO:0005911; GO:0006509; GO:0006649; GO:0006900; GO:0006954; GO:0007005; GO:0007166; GO:0009306; GO:0009410; GO:0009612; GO:0009897; GO:0010043; GO:0010524; GO:0010628; GO:0014047; GO:0014049; GO:0014051; GO:0014054; GO:0016020; GO:0016079; GO:0016485; GO:0017121; GO:0019233; GO:0019722; GO:0030163; GO:0030501; GO:0031594; GO:0032059; GO:0032060; GO:0032308; GO:0032310; GO:0032496; GO:0032730; GO:0032731; GO:0032755; GO:0032963; GO:0033198; GO:0034405; GO:0034767; GO:0035590; GO:0042098; GO:0042802; GO:0043025; GO:0043029; GO:0043132; GO:0043409; GO:0043410; GO:0045779; GO:0045794; GO:0045821; GO:0046513; GO:0046931; GO:0048705; GO:0048873; GO:0050714; GO:0050830; GO:0051209; GO:0051495; GO:0051592; GO:0051602; GO:0051882; GO:0051899; GO:0051901; GO:0060907; GO:0070207; GO:0070231; GO:0070234; GO:0070588; GO:0071318; GO:0071359; GO:0072593; GO:0097190; GO:0097191; GO:0098793; GO:0098794; GO:1900227; GO:1904172,bleb [GO:0032059]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; membrane [GO:0016020]; mitochondrion [GO:0005739]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynapse [GO:0098793],ATP binding [GO:0005524]; extracellularly ATP-gated monoatomic cation channel activity [GO:0004931]; identical protein binding [GO:0042802]; lipopolysaccharide binding [GO:0001530]; monoatomic ion channel activity [GO:0005216]; potassium channel activity [GO:0005267]; purinergic nucleotide receptor activity [GO:0001614]; signaling receptor binding [GO:0005102]; sodium channel activity [GO:0005272],P2X purinoceptor 7
Porites_compressa_HIv1___RNAseq.8865_t,Bhattacharya2016,SLC9A3,P48763,4e-172,Sodium/hydrogen exchanger 2 (H7) (Na(+)/H(+) exchanger 2) (NHE-2) (Solute carrier family 9 member 2),epithelial cell differentiation [GO:0030855]; potassium ion transmembrane transport [GO:0071805]; protein localization [GO:0008104]; regulation of intracellular pH [GO:0051453]; regulation of pH [GO:0006885]; sodium ion import across plasma membrane [GO:0098719]; sodium ion transmembrane transport [GO:0035725]; sodium ion transport [GO:0006814],GO:0005886; GO:0006814; GO:0006885; GO:0008104; GO:0015385; GO:0015386; GO:0016324; GO:0030855; GO:0035725; GO:0051453; GO:0071805; GO:0098719,apical plasma membrane [GO:0016324]; plasma membrane [GO:0005886],potassium:proton antiporter activity [GO:0015386]; sodium:proton antiporter activity [GO:0015385],SLC9A3
Porites_compressa_HIv1___RNAseq.9993_t,calcium,,P00592,2.07e-20,"Phospholipase A2, major isoenzyme (EC 3.1.1.4) (Group IB phospholipase A2) (Phosphatidylcholine 2-acylhydrolase 1B)",cellular response to insulin stimulus [GO:0032869]; fatty acid biosynthetic process [GO:0006633]; intracellular signal transduction [GO:0035556]; leukotriene biosynthetic process [GO:0019370]; lipid catabolic process [GO:0016042]; neutrophil chemotaxis [GO:0030593]; neutrophil mediated immunity [GO:0002446]; phosphatidylcholine metabolic process [GO:0046470]; phosphatidylglycerol metabolic process [GO:0046471]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of immune response [GO:0050778]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of podocyte apoptotic process [GO:1904635]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of D-glucose import [GO:0046324],GO:0002446; GO:0004623; GO:0005102; GO:0005509; GO:0005543; GO:0005576; GO:0006633; GO:0008284; GO:0009986; GO:0010524; GO:0016042; GO:0019370; GO:0030593; GO:0032052; GO:0032757; GO:0032869; GO:0035556; GO:0043410; GO:0045944; GO:0046324; GO:0046470; GO:0046471; GO:0047498; GO:0048146; GO:0050778; GO:1904635,cell surface [GO:0009986]; extracellular region [GO:0005576],bile acid binding [GO:0032052]; calcium ion binding [GO:0005509]; calcium-dependent phospholipase A2 activity [GO:0047498]; phospholipase A2 activity [GO:0004623]; phospholipid binding [GO:0005543]; signaling receptor binding [GO:0005102],"Phospholipase A2, major isoenzyme"
