"sequence_name","count_FOXO3","count_HSF1","count_NFE2L2"
"Pocillopora_acuta_HIv2___RNAseq.10213_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.10316_t",1,1,1
"Pocillopora_acuta_HIv2___RNAseq.10518_t",1,1,0
"Pocillopora_acuta_HIv2___RNAseq.10616_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.10794_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.10922_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.10959_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.11055_t",3,0,0
"Pocillopora_acuta_HIv2___RNAseq.11228_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.12608_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.12612_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.1270_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.12803_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.1286_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.13044_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.13858_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.14499_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.14501_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.15532_t",1,2,0
"Pocillopora_acuta_HIv2___RNAseq.15738_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.15878_t",1,1,0
"Pocillopora_acuta_HIv2___RNAseq.15941_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.16143_t",1,1,0
"Pocillopora_acuta_HIv2___RNAseq.16206_t",2,1,0
"Pocillopora_acuta_HIv2___RNAseq.16656_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.16864_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.17064_t",2,0,0
"Pocillopora_acuta_HIv2___RNAseq.17382_t",1,1,0
"Pocillopora_acuta_HIv2___RNAseq.17885_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.179_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.18888_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.18963_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.19108_t",2,0,0
"Pocillopora_acuta_HIv2___RNAseq.19150_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.19240_t",2,1,0
"Pocillopora_acuta_HIv2___RNAseq.19623_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.1975_t",1,0,0
"Pocillopora_acuta_HIv2___RNAseq.20164_t",1,0,0
