query,gene_set,Bhattacharya_ID,blast_hit,evalue,ProteinNames,BiologicalProcess,GOs,CellularComponent,MolecularFunction,short_name
Pocillopora_acuta_HIv2___RNAseq.10002_t,"TRP, calcium",,Q6RI86,4.58e-103,Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Wasabi receptor),calcium ion transmembrane import into cytosol [GO:0097553]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; cell surface receptor signaling pathway [GO:0007166]; cellular response to caffeine [GO:0071313]; cellular response to carbon dioxide [GO:0071244]; cellular response to cold [GO:0070417]; cellular response to food [GO:0071240]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to toxic substance [GO:0097237]; detection of chemical stimulus involved in sensory perception of pain [GO:0050968]; detection of mechanical stimulus involved in sensory perception [GO:0050974]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; intracellular calcium ion homeostasis [GO:0006874]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of monoatomic anion transport [GO:1903793]; protein homotetramerization [GO:0051289]; regulation of blood circulation [GO:1903522]; regulation of neuronal action potential [GO:0098908]; response to cold [GO:0009409]; response to hydrogen peroxide [GO:0042542]; response to pain [GO:0048265]; response to xenobiotic stimulus [GO:0009410]; sensory perception of pain [GO:0019233]; thermoception [GO:0050955]; urinary bladder smooth muscle contraction [GO:0014832],GO:0005216; GO:0005245; GO:0005262; GO:0005886; GO:0006816; GO:0006874; GO:0007166; GO:0009409; GO:0009410; GO:0014832; GO:0015267; GO:0015278; GO:0016324; GO:0019233; GO:0030424; GO:0032421; GO:0034605; GO:0035774; GO:0042542; GO:0042802; GO:0046872; GO:0048265; GO:0050955; GO:0050966; GO:0050968; GO:0050974; GO:0051289; GO:0070301; GO:0070417; GO:0070588; GO:0071240; GO:0071244; GO:0071313; GO:0097237; GO:0097553; GO:0097604; GO:0098908; GO:1903522; GO:1903793; GO:1990760,apical plasma membrane [GO:0016324]; axon [GO:0030424]; plasma membrane [GO:0005886]; stereocilium bundle [GO:0032421],calcium channel activity [GO:0005262]; channel activity [GO:0015267]; identical protein binding [GO:0042802]; intracellularly gated calcium channel activity [GO:0015278]; metal ion binding [GO:0046872]; monoatomic ion channel activity [GO:0005216]; osmolarity-sensing monoatomic cation channel activity [GO:1990760]; temperature-gated cation channel activity [GO:0097604]; voltage-gated calcium channel activity [GO:0005245],Transient receptor potential cation channel subfamily A member 1
Pocillopora_acuta_HIv2___RNAseq.10010_t,TRP,,O75762,6.49e-137,Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Transformation-sensitive protein p120) (p120) (Wasabi receptor),calcium ion transmembrane import into cytosol [GO:0097553]; calcium ion transmembrane transport [GO:0070588]; cell surface receptor signaling pathway [GO:0007166]; cellular response to caffeine [GO:0071313]; cellular response to carbon dioxide [GO:0071244]; cellular response to cold [GO:0070417]; cellular response to food [GO:0071240]; cellular response to heat [GO:0034605]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to toxic substance [GO:0097237]; detection of chemical stimulus involved in sensory perception of pain [GO:0050968]; detection of mechanical stimulus involved in sensory perception of pain [GO:0050966]; intracellular calcium ion homeostasis [GO:0006874]; monoatomic ion transport [GO:0006811]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of monoatomic anion transport [GO:1903793]; protein homotetramerization [GO:0051289]; regulation of blood circulation [GO:1903522]; regulation of neuronal action potential [GO:0098908]; response to cold [GO:0009409]; response to pain [GO:0048265]; response to xenobiotic stimulus [GO:0009410]; sensory perception of pain [GO:0019233]; thermoception [GO:0050955]; urinary bladder smooth muscle contraction [GO:0014832],GO:0005245; GO:0005262; GO:0005886; GO:0006811; GO:0006874; GO:0007166; GO:0009409; GO:0009410; GO:0014832; GO:0015267; GO:0015278; GO:0016324; GO:0019233; GO:0030424; GO:0032421; GO:0034605; GO:0035774; GO:0042802; GO:0048265; GO:0050955; GO:0050966; GO:0050968; GO:0051289; GO:0070301; GO:0070417; GO:0070588; GO:0071240; GO:0071244; GO:0071313; GO:0097237; GO:0097553; GO:0097604; GO:0098908; GO:1903522; GO:1903793; GO:1990760,apical plasma membrane [GO:0016324]; axon [GO:0030424]; plasma membrane [GO:0005886]; stereocilium bundle [GO:0032421],calcium channel activity [GO:0005262]; channel activity [GO:0015267]; identical protein binding [GO:0042802]; intracellularly gated calcium channel activity [GO:0015278]; osmolarity-sensing monoatomic cation channel activity [GO:1990760]; temperature-gated cation channel activity [GO:0097604]; voltage-gated calcium channel activity [GO:0005245],Transient receptor potential cation channel subfamily A member 1
Pocillopora_acuta_HIv2___RNAseq.12706_t,calcium,,P35439,2.44e-56,"Glutamate receptor ionotropic, NMDA 1 (GluN1) (Glutamate [NMDA] receptor subunit zeta-1) (N-methyl-D-aspartate receptor subunit NR1) (NMD-R1)","adult locomotory behavior [GO:0008344]; associative learning [GO:0008306]; calcium ion homeostasis [GO:0055074]; calcium ion transmembrane import into cytosol [GO:0097553]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; cellular response to glycine [GO:1905430]; cellular response to manganese ion [GO:0071287]; cerebral cortex development [GO:0021987]; chemical synaptic transmission [GO:0007268]; conditioned taste aversion [GO:0001661]; excitatory postsynaptic potential [GO:0060079]; intracellular calcium ion homeostasis [GO:0006874]; ionotropic glutamate receptor signaling pathway [GO:0035235]; learning [GO:0007612]; learning or memory [GO:0007611]; long-term memory [GO:0007616]; male mating behavior [GO:0060179]; memory [GO:0007613]; monoatomic cation transmembrane transport [GO:0098655]; monoatomic cation transport [GO:0006812]; negative regulation of neuron apoptotic process [GO:0043524]; neuromuscular process [GO:0050905]; neuron cellular homeostasis [GO:0070050]; olfactory learning [GO:0008355]; pons maturation [GO:0021586]; positive regulation of apoptotic process [GO:0043065]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of dendritic spine maintenance [GO:1902952]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of reactive oxygen species biosynthetic process [GO:1903428]; positive regulation of Schwann cell migration [GO:1900149]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; positive regulation of transcription by RNA polymerase II [GO:0045944]; prepulse inhibition [GO:0060134]; propylene metabolic process [GO:0018964]; protein heterotetramerization [GO:0051290]; protein localization to postsynaptic membrane [GO:1903539]; protein-containing complex assembly [GO:0065003]; regulation of axonogenesis [GO:0050770]; regulation of cell communication [GO:0010646]; regulation of dendrite morphogenesis [GO:0048814]; regulation of long-term neuronal synaptic plasticity [GO:0048169]; regulation of membrane potential [GO:0042391]; regulation of monoatomic cation transmembrane transport [GO:1904062]; regulation of neuron apoptotic process [GO:0043523]; regulation of neuronal synaptic plasticity [GO:0048168]; regulation of respiratory gaseous exchange [GO:0043576]; regulation of synapse assembly [GO:0051963]; regulation of synaptic plasticity [GO:0048167]; response to amine [GO:0014075]; response to amphetamine [GO:0001975]; response to calcium ion [GO:0051592]; response to ethanol [GO:0045471]; response to fungicide [GO:0060992]; response to glycine [GO:1905429]; response to glycoside [GO:1903416]; response to hypoxia [GO:0001666]; response to morphine [GO:0043278]; rhythmic process [GO:0048511]; sensory perception of pain [GO:0019233]; social behavior [GO:0035176]; sodium ion transmembrane transport [GO:0035725]; startle response [GO:0001964]; suckling behavior [GO:0001967]; synaptic transmission, glutamatergic [GO:0035249]; transcription by RNA polymerase II [GO:0006366]; visual learning [GO:0008542]",GO:0001540; GO:0001661; GO:0001666; GO:0001964; GO:0001967; GO:0001975; GO:0004970; GO:0004972; GO:0005102; GO:0005261; GO:0005262; GO:0005509; GO:0005516; GO:0005737; GO:0005783; GO:0005789; GO:0005886; GO:0006366; GO:0006812; GO:0006816; GO:0006874; GO:0007268; GO:0007611; GO:0007612; GO:0007613; GO:0007616; GO:0008021; GO:0008306; GO:0008344; GO:0008355; GO:0008542; GO:0009986; GO:0010524; GO:0010646; GO:0014069; GO:0014075; GO:0015280; GO:0016020; GO:0016594; GO:0016595; GO:0017146; GO:0018964; GO:0019233; GO:0019899; GO:0019902; GO:0021586; GO:0021987; GO:0022824; GO:0022843; GO:0022849; GO:0030425; GO:0030672; GO:0032590; GO:0034702; GO:0035176; GO:0035235; GO:0035249; GO:0035254; GO:0035725; GO:0038023; GO:0042391; GO:0042734; GO:0043005; GO:0043025; GO:0043065; GO:0043083; GO:0043195; GO:0043197; GO:0043278; GO:0043523; GO:0043524; GO:0043576; GO:0044307; GO:0044877; GO:0045202; GO:0045211; GO:0045471; GO:0045944; GO:0048167; GO:0048168; GO:0048169; GO:0048511; GO:0048787; GO:0048814; GO:0050770; GO:0050905; GO:0051290; GO:0051592; GO:0051963; GO:0051968; GO:0055074; GO:0060076; GO:0060079; GO:0060134; GO:0060179; GO:0060992; GO:0065003; GO:0070050; GO:0070588; GO:0071287; GO:0097060; GO:0097553; GO:0098655; GO:0098686; GO:0098688; GO:0098839; GO:0098878; GO:0098978; GO:0099507; GO:1900149; GO:1902952; GO:1903416; GO:1903428; GO:1903539; GO:1904062; GO:1904315; GO:1905429; GO:1905430; GO:2000463,cell surface [GO:0009986]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; dendrite membrane [GO:0032590]; dendritic branch [GO:0044307]; dendritic spine [GO:0043197]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; excitatory synapse [GO:0060076]; glutamatergic synapse [GO:0098978]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; membrane [GO:0016020]; monoatomic ion channel complex [GO:0034702]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; neurotransmitter receptor complex [GO:0098878]; NMDA selective glutamate receptor complex [GO:0017146]; parallel fiber to Purkinje cell synapse [GO:0098688]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; postsynaptic density membrane [GO:0098839]; postsynaptic membrane [GO:0045211]; presynaptic active zone membrane [GO:0048787]; presynaptic membrane [GO:0042734]; synapse [GO:0045202]; synaptic cleft [GO:0043083]; synaptic membrane [GO:0097060]; synaptic vesicle [GO:0008021]; synaptic vesicle membrane [GO:0030672]; terminal bouton [GO:0043195],amyloid-beta binding [GO:0001540]; calcium channel activity [GO:0005262]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; enzyme binding [GO:0019899]; glutamate binding [GO:0016595]; glutamate receptor binding [GO:0035254]; glutamate-gated calcium ion channel activity [GO:0022849]; glutamate-gated receptor activity [GO:0004970]; glycine binding [GO:0016594]; ligand-gated monoatomic ion channel activity involved in regulation of presynaptic membrane potential [GO:0099507]; ligand-gated sodium channel activity [GO:0015280]; monoatomic cation channel activity [GO:0005261]; NMDA glutamate receptor activity [GO:0004972]; phosphatase binding [GO:0019902]; protein-containing complex binding [GO:0044877]; signaling receptor activity [GO:0038023]; signaling receptor binding [GO:0005102]; transmitter-gated monoatomic ion channel activity [GO:0022824]; transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315]; voltage-gated monoatomic cation channel activity [GO:0022843],"Glutamate receptor ionotropic, NMDA 1"
Pocillopora_acuta_HIv2___RNAseq.1463_t,Bhattacharya2016,HOGA1,Q5M8W9,1.76e-132,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial (EC 4.1.3.16) (Dihydrodipicolinate synthase-like) (DHDPS-like protein) (Probable 2-keto-4-hydroxyglutarate aldolase) (Probable KHG-aldolase)",small molecule metabolic process [GO:0044281],GO:0005739; GO:0008700; GO:0044281; GO:0106009,mitochondrion [GO:0005739],"(4S)-4-hydroxy-2-oxoglutarate aldolase activity [GO:0106009]; (R,S)-4-hydroxy-2-oxoglutarate aldolase activity [GO:0008700]",HOGA1
Pocillopora_acuta_HIv2___RNAseq.1475_t,"TRP, calcium",,Q91WD2,7.73e-58,Transient receptor potential cation channel subfamily V member 6 (TrpV6) (Calcium transport protein 1) (CaT1) (Epithelial calcium channel 2) (ECaC2),calcium ion homeostasis [GO:0055074]; calcium ion import across plasma membrane [GO:0098703]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; parathyroid hormone secretion [GO:0035898]; response to calcium ion [GO:0051592],GO:0005262; GO:0005516; GO:0005886; GO:0006816; GO:0016020; GO:0034704; GO:0035898; GO:0042802; GO:0046872; GO:0051592; GO:0055074; GO:0070588; GO:0098703,calcium channel complex [GO:0034704]; membrane [GO:0016020]; plasma membrane [GO:0005886],calcium channel activity [GO:0005262]; calmodulin binding [GO:0005516]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872],Transient receptor potential cation channel subfamily V member 6
Pocillopora_acuta_HIv2___RNAseq.22237_t,calcium,,Q62398,4.21e-180,Cyclic nucleotide-gated channel alpha-2 (CNG channel alpha-2) (CNG-2) (CNG2) (Olfactory cyclic nucleotide-gated channel subunit 1) (OCNC1),calcium ion transport [GO:0006816]; potassium ion transport [GO:0006813]; sensory perception of smell [GO:0007608]; sodium ion transport [GO:0006814],GO:0005216; GO:0005221; GO:0005249; GO:0005262; GO:0005516; GO:0005886; GO:0006813; GO:0006814; GO:0006816; GO:0007608; GO:0030552; GO:0030553; GO:0060170; GO:0098804,ciliary membrane [GO:0060170]; non-motile cilium membrane [GO:0098804]; plasma membrane [GO:0005886],calcium channel activity [GO:0005262]; calmodulin binding [GO:0005516]; cAMP binding [GO:0030552]; cGMP binding [GO:0030553]; intracellularly cyclic nucleotide-activated monoatomic cation channel activity [GO:0005221]; monoatomic ion channel activity [GO:0005216]; voltage-gated potassium channel activity [GO:0005249],Cyclic nucleotide-gated channel alpha-2
Pocillopora_acuta_HIv2___RNAseq.29542_t,calcium,,O00305,1.05e-71,Voltage-dependent L-type calcium channel subunit beta-4 (CAB4) (Calcium channel voltage-dependent subunit beta 4),"adult walking behavior [GO:0007628]; calcium ion transport [GO:0006816]; cAMP metabolic process [GO:0046058]; cellular response to leukemia inhibitory factor [GO:1990830]; chemical synaptic transmission [GO:0007268]; detection of light stimulus involved in visual perception [GO:0050908]; gamma-aminobutyric acid secretion [GO:0014051]; gamma-aminobutyric acid signaling pathway [GO:0007214]; muscle cell development [GO:0055001]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; neuromuscular junction development [GO:0007528]; neuronal action potential propagation [GO:0019227]; Peyer's patch development [GO:0048541]; positive regulation of protein localization to nucleolus [GO:1904751]; regulation of synaptic vesicle exocytosis [GO:2000300]; regulation of voltage-gated calcium channel activity [GO:1901385]; spleen development [GO:0048536]; synaptic transmission, glutamatergic [GO:0035249]; T cell receptor signaling pathway [GO:0050852]; thymus development [GO:0048538]",GO:0005829; GO:0005886; GO:0005891; GO:0006816; GO:0007214; GO:0007268; GO:0007528; GO:0007628; GO:0008285; GO:0009898; GO:0014051; GO:0016607; GO:0019227; GO:0019901; GO:0035249; GO:0045202; GO:0046058; GO:0048536; GO:0048538; GO:0048541; GO:0050852; GO:0050908; GO:0055001; GO:0098793; GO:0098978; GO:0099626; GO:1901385; GO:1904751; GO:1990830; GO:2000134; GO:2000300,cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; glutamatergic synapse [GO:0098978]; nuclear speck [GO:0016607]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; synapse [GO:0045202]; voltage-gated calcium channel complex [GO:0005891],protein kinase binding [GO:0019901]; voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels [GO:0099626],Voltage-dependent L-type calcium channel subunit beta-4
Pocillopora_acuta_HIv2___RNAseq.30394_t,SLC25,,B0G143,3.91e-93,Mitochondrial substrate carrier family protein ucpB (Solute carrier family 25 member 30 homolog) (Uncoupler protein B),response to cadmium ion [GO:0046686],GO:0005743; GO:0022857; GO:0046686,mitochondrial inner membrane [GO:0005743],transmembrane transporter activity [GO:0022857],Mitochondrial substrate carrier family protein ucpB
Pocillopora_acuta_HIv2___RNAseq.8221_t,aquaporin,,O43315,2.66e-88,Aquaporin-9 (AQP-9) (Aquaglyceroporin-9) (Small solute channel 1),amine transport [GO:0015837]; cellular response to cAMP [GO:0071320]; detoxification of arsenic-containing substance [GO:0071722]; glycerol transmembrane transport [GO:0015793]; purine nucleobase transport [GO:0006863]; pyrimidine nucleobase transport [GO:0015855]; urea transmembrane transport [GO:0071918]; water transport [GO:0006833],GO:0005345; GO:0005350; GO:0005886; GO:0006833; GO:0006863; GO:0015204; GO:0015250; GO:0015254; GO:0015265; GO:0015267; GO:0015793; GO:0015837; GO:0015855; GO:0016323; GO:0043231; GO:0071320; GO:0071722; GO:0071918; GO:0140070,basolateral plasma membrane [GO:0016323]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886],channel activity [GO:0015267]; glycerol channel activity [GO:0015254]; hydrogen peroxide channel activity [GO:0140070]; purine nucleobase transmembrane transporter activity [GO:0005345]; pyrimidine nucleobase transmembrane transporter activity [GO:0005350]; urea channel activity [GO:0015265]; urea transmembrane transporter activity [GO:0015204]; water channel activity [GO:0015250],Aquaporin-9
Pocillopora_acuta_HIv2___RNAseq.g10257.t1,"calcium, Bhattacharya2016",CASR,O62714,2.01e-156,Extracellular calcium-sensing receptor (CaSR) (Parathyroid cell calcium-sensing receptor) (PCaR1),detection of calcium ion [GO:0005513]; G protein-coupled receptor signaling pathway [GO:0007186]; intracellular calcium ion homeostasis [GO:0006874]; regulation of calcium ion transport [GO:0051924],GO:0004930; GO:0005509; GO:0005513; GO:0005886; GO:0006874; GO:0007186; GO:0016597; GO:0042803; GO:0051924,plasma membrane [GO:0005886],amino acid binding [GO:0016597]; calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930]; protein homodimerization activity [GO:0042803],CASR
