query,gene_set,Bhattacharya_ID,blast_hit,evalue,ProteinNames,BiologicalProcess,GOs,CellularComponent,MolecularFunction,short_name
Montipora_capitata_HIv3___RNAseq.190_t,calcium,,Q8R0S4,2.16e-71,Voltage-dependent L-type calcium channel subunit beta-4 (CAB4) (Calcium channel voltage-dependent subunit beta 4),"adult walking behavior [GO:0007628]; calcium ion transport [GO:0006816]; cAMP metabolic process [GO:0046058]; cellular response to leukemia inhibitory factor [GO:1990830]; detection of light stimulus involved in visual perception [GO:0050908]; gamma-aminobutyric acid secretion [GO:0014051]; gamma-aminobutyric acid signaling pathway [GO:0007214]; muscle cell development [GO:0055001]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; nervous system process [GO:0050877]; neuromuscular junction development [GO:0007528]; neuronal action potential propagation [GO:0019227]; Peyer's patch development [GO:0048541]; positive regulation of protein localization to nucleolus [GO:1904751]; regulation of membrane potential [GO:0042391]; regulation of synaptic vesicle exocytosis [GO:2000300]; spleen development [GO:0048536]; synaptic transmission, glutamatergic [GO:0035249]; T cell receptor signaling pathway [GO:0050852]; thymus development [GO:0048538]",GO:0005245; GO:0005886; GO:0005891; GO:0006816; GO:0007214; GO:0007528; GO:0007628; GO:0008285; GO:0008331; GO:0014051; GO:0016607; GO:0019227; GO:0019901; GO:0035249; GO:0042391; GO:0046058; GO:0048536; GO:0048538; GO:0048541; GO:0050852; GO:0050877; GO:0050908; GO:0055001; GO:0098793; GO:0098978; GO:0099626; GO:1904751; GO:1990830; GO:2000134; GO:2000300,glutamatergic synapse [GO:0098978]; nuclear speck [GO:0016607]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; voltage-gated calcium channel complex [GO:0005891],high voltage-gated calcium channel activity [GO:0008331]; protein kinase binding [GO:0019901]; voltage-gated calcium channel activity [GO:0005245]; voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels [GO:0099626],Voltage-dependent L-type calcium channel subunit beta-4
Montipora_capitata_HIv3___RNAseq.20728_t,calcium,,Q99572,3.85e-8,P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor),apoptotic signaling pathway [GO:0097190]; bleb assembly [GO:0032060]; calcium ion transmembrane transport [GO:0070588]; calcium-mediated signaling [GO:0019722]; cell morphogenesis [GO:0000902]; cell surface receptor signaling pathway [GO:0007166]; cellular response to ATP [GO:0071318]; cellular response to dsRNA [GO:0071359]; ceramide biosynthetic process [GO:0046513]; collagen metabolic process [GO:0032963]; defense response to Gram-positive bacterium [GO:0050830]; extrinsic apoptotic signaling pathway [GO:0097191]; gamma-aminobutyric acid secretion [GO:0014051]; glutamate secretion [GO:0014047]; homeostasis of number of cells within a tissue [GO:0048873]; inflammatory response [GO:0006954]; MAPK cascade [GO:0000165]; membrane depolarization [GO:0051899]; membrane protein ectodomain proteolysis [GO:0006509]; mitochondrial depolarization [GO:0051882]; mitochondrion organization [GO:0007005]; NAD transport [GO:0043132]; negative regulation of bone resorption [GO:0045779]; negative regulation of cell volume [GO:0045794]; negative regulation of MAPK cascade [GO:0043409]; phagolysosome assembly [GO:0001845]; phospholipid transfer to membrane [GO:0006649]; plasma membrane phospholipid scrambling [GO:0017121]; pore complex assembly [GO:0046931]; positive regulation of bleb assembly [GO:1904172]; positive regulation of bone mineralization [GO:0030501]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of cytoskeleton organization [GO:0051495]; positive regulation of gamma-aminobutyric acid secretion [GO:0014054]; positive regulation of gene expression [GO:0010628]; positive regulation of glutamate secretion [GO:0014049]; positive regulation of glycolytic process [GO:0045821]; positive regulation of interleukin-1 alpha production [GO:0032730]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mitochondrial depolarization [GO:0051901]; positive regulation of monoatomic ion transmembrane transport [GO:0034767]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of prostaglandin secretion [GO:0032308]; positive regulation of protein secretion [GO:0050714]; positive regulation of T cell apoptotic process [GO:0070234]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; prostaglandin secretion [GO:0032310]; protein catabolic process [GO:0030163]; protein homotrimerization [GO:0070207]; protein processing [GO:0016485]; protein secretion [GO:0009306]; purinergic nucleotide receptor signaling pathway [GO:0035590]; reactive oxygen species metabolic process [GO:0072593]; regulation of sodium ion transport [GO:0002028]; release of sequestered calcium ion into cytosol [GO:0051209]; response to ATP [GO:0033198]; response to calcium ion [GO:0051592]; response to electrical stimulus [GO:0051602]; response to fluid shear stress [GO:0034405]; response to ischemia [GO:0002931]; response to lipopolysaccharide [GO:0032496]; response to mechanical stimulus [GO:0009612]; response to xenobiotic stimulus [GO:0009410]; response to zinc ion [GO:0010043]; sensory perception of pain [GO:0019233]; skeletal system morphogenesis [GO:0048705]; synaptic vesicle exocytosis [GO:0016079]; T cell apoptotic process [GO:0070231]; T cell homeostasis [GO:0043029]; T cell mediated cytotoxicity [GO:0001913]; T cell proliferation [GO:0042098]; vesicle budding from membrane [GO:0006900],GO:0000165; GO:0000902; GO:0001530; GO:0001614; GO:0001845; GO:0001913; GO:0001916; GO:0002028; GO:0002931; GO:0004931; GO:0005102; GO:0005216; GO:0005267; GO:0005272; GO:0005524; GO:0005737; GO:0005739; GO:0005886; GO:0005911; GO:0006509; GO:0006649; GO:0006900; GO:0006954; GO:0007005; GO:0007166; GO:0009306; GO:0009410; GO:0009612; GO:0009897; GO:0010043; GO:0010524; GO:0010628; GO:0014047; GO:0014049; GO:0014051; GO:0014054; GO:0016020; GO:0016079; GO:0016485; GO:0017121; GO:0019233; GO:0019722; GO:0030163; GO:0030501; GO:0031594; GO:0032059; GO:0032060; GO:0032308; GO:0032310; GO:0032496; GO:0032730; GO:0032731; GO:0032755; GO:0032963; GO:0033198; GO:0034405; GO:0034767; GO:0035590; GO:0042098; GO:0042802; GO:0043025; GO:0043029; GO:0043132; GO:0043409; GO:0043410; GO:0045779; GO:0045794; GO:0045821; GO:0046513; GO:0046931; GO:0048705; GO:0048873; GO:0050714; GO:0050830; GO:0051209; GO:0051495; GO:0051592; GO:0051602; GO:0051882; GO:0051899; GO:0051901; GO:0060907; GO:0070207; GO:0070231; GO:0070234; GO:0070588; GO:0071318; GO:0071359; GO:0072593; GO:0097190; GO:0097191; GO:0098793; GO:0098794; GO:1900227; GO:1904172,bleb [GO:0032059]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; membrane [GO:0016020]; mitochondrion [GO:0005739]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynapse [GO:0098793],ATP binding [GO:0005524]; extracellularly ATP-gated monoatomic cation channel activity [GO:0004931]; identical protein binding [GO:0042802]; lipopolysaccharide binding [GO:0001530]; monoatomic ion channel activity [GO:0005216]; potassium channel activity [GO:0005267]; purinergic nucleotide receptor activity [GO:0001614]; signaling receptor binding [GO:0005102]; sodium channel activity [GO:0005272],P2X purinoceptor 7
Montipora_capitata_HIv3___RNAseq.2757_t,TRP,,Q6IVV8,1.48e-75,Polycystin-2 (Curly up) (Cup) (Polycystic kidney disease 2 protein homolog) (Transient receptor potential cation channel subfamily P member 2),atrioventricular valve development [GO:0003171]; calcium ion transmembrane transport [GO:0070588]; cell surface receptor signaling pathway [GO:0007166]; cellular response to calcium ion [GO:0071277]; cellular response to oscillatory fluid shear stress [GO:0097704]; cilium assembly [GO:0060271]; detection of mechanical stimulus [GO:0050982]; determination of heart left/right asymmetry [GO:0061371]; determination of left/right symmetry [GO:0007368]; dorsal/ventral pattern formation [GO:0009953]; embryonic heart tube morphogenesis [GO:0003143]; heart development [GO:0007507]; heart jogging [GO:0003146]; heart looping [GO:0001947]; inorganic cation transmembrane transport [GO:0098662]; kidney development [GO:0001822]; Kupffer's vesicle development [GO:0070121]; left/right pattern formation [GO:0060972]; lymphangiogenesis [GO:0001946]; Notch signaling pathway [GO:0007219]; positive regulation of sequestering of calcium ion [GO:0051284]; potassium ion transmembrane transport [GO:0071805]; pronephros development [GO:0048793]; pronephros morphogenesis [GO:0072114]; protein heterotetramerization [GO:0051290]; protein tetramerization [GO:0051262]; protein-containing complex assembly [GO:0065003]; proximal convoluted tubule development [GO:0072019]; regulation of cardiac muscle contraction by calcium ion signaling [GO:0010882]; regulation of collagen biosynthetic process [GO:0032965]; release of sequestered calcium ion into cytosol [GO:0051209]; ventriculo bulbo valve development [GO:0003173],GO:0001822; GO:0001946; GO:0001947; GO:0003143; GO:0003146; GO:0003171; GO:0003173; GO:0005102; GO:0005245; GO:0005248; GO:0005261; GO:0005262; GO:0005267; GO:0005509; GO:0005783; GO:0005856; GO:0005886; GO:0005929; GO:0007166; GO:0007219; GO:0007368; GO:0007507; GO:0009953; GO:0010882; GO:0015271; GO:0016020; GO:0016323; GO:0016324; GO:0016328; GO:0030017; GO:0030659; GO:0032965; GO:0033017; GO:0034703; GO:0042383; GO:0048793; GO:0050982; GO:0051209; GO:0051262; GO:0051284; GO:0051290; GO:0051371; GO:0060271; GO:0060972; GO:0061371; GO:0065003; GO:0070121; GO:0070588; GO:0071277; GO:0071805; GO:0072019; GO:0072114; GO:0097704; GO:0098662,apical plasma membrane [GO:0016324]; basolateral plasma membrane [GO:0016323]; cation channel complex [GO:0034703]; cilium [GO:0005929]; cytoplasmic vesicle membrane [GO:0030659]; cytoskeleton [GO:0005856]; endoplasmic reticulum [GO:0005783]; lateral plasma membrane [GO:0016328]; membrane [GO:0016020]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; sarcomere [GO:0030017]; sarcoplasmic reticulum membrane [GO:0033017],calcium channel activity [GO:0005262]; calcium ion binding [GO:0005509]; monoatomic cation channel activity [GO:0005261]; muscle alpha-actinin binding [GO:0051371]; outward rectifier potassium channel activity [GO:0015271]; potassium channel activity [GO:0005267]; signaling receptor binding [GO:0005102]; voltage-gated calcium channel activity [GO:0005245]; voltage-gated sodium channel activity [GO:0005248],Polycystin-2
Montipora_capitata_HIv3___RNAseq.28904_t,ER_calcium,,Q1LZF8,8.59e-34,Chloride channel CLIC-like protein 1 (ER anion channel 1) (ERAC1),endoplasmic reticulum calcium ion homeostasis [GO:0032469],GO:0005254; GO:0005783; GO:0005789; GO:0016020; GO:0032469; GO:0034707; GO:0044233,chloride channel complex [GO:0034707]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; mitochondria-associated endoplasmic reticulum membrane contact site [GO:0044233],chloride channel activity [GO:0005254],Chloride channel CLIC-like protein 1
Montipora_capitata_HIv3___RNAseq.3753_t,calcium,,Q8CFG5,2.1e-55,Voltage-dependent calcium channel subunit alpha-2/delta-3 (Voltage-gated calcium channel subunit alpha-2/delta-3) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-3; Voltage-dependent calcium channel subunit delta-3],calcium ion transport [GO:0006816]; cellular response to insulin-like growth factor stimulus [GO:1990314]; regulation of presynapse organization [GO:0099174],GO:0005245; GO:0005246; GO:0005891; GO:0006816; GO:0046872; GO:0048787; GO:0098982; GO:0099174; GO:1990314,GABA-ergic synapse [GO:0098982]; presynaptic active zone membrane [GO:0048787]; voltage-gated calcium channel complex [GO:0005891],calcium channel regulator activity [GO:0005246]; metal ion binding [GO:0046872]; voltage-gated calcium channel activity [GO:0005245],Voltage-dependent calcium channel subunit alpha-2/delta-3
Montipora_capitata_HIv3___RNAseq.41093_t,calcium,,P48442,1.87e-143,Extracellular calcium-sensing receptor (CaSR) (Parathyroid cell calcium-sensing receptor) (PCaR1) (RaKCaR),adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; bile acid secretion [GO:0032782]; branching morphogenesis of an epithelial tube [GO:0048754]; calcium ion import [GO:0070509]; cellular response to glucose stimulus [GO:0071333]; cellular response to hepatocyte growth factor stimulus [GO:0035729]; cellular response to hypoxia [GO:0071456]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; cellular response to peptide [GO:1901653]; cellular response to vitamin D [GO:0071305]; chloride transmembrane transport [GO:1902476]; detection of calcium ion [GO:0005513]; fat pad development [GO:0060613]; G protein-coupled receptor signaling pathway [GO:0007186]; intracellular calcium ion homeostasis [GO:0006874]; JNK cascade [GO:0007254]; ossification [GO:0001503]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; positive regulation of calcium ion import [GO:0090280]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of insulin secretion [GO:0032024]; positive regulation of positive chemotaxis [GO:0050927]; positive regulation of vasoconstriction [GO:0045907]; regulation of calcium ion transport [GO:0051924]; regulation of presynaptic membrane potential [GO:0099505]; response to calcium ion [GO:0051592]; response to fibroblast growth factor [GO:0071774]; response to ischemia [GO:0002931]; response to metal ion [GO:0010038]; vasodilation [GO:0042311],GO:0001503; GO:0002931; GO:0004930; GO:0005178; GO:0005509; GO:0005513; GO:0005886; GO:0006874; GO:0007186; GO:0007193; GO:0007200; GO:0007254; GO:0008284; GO:0009986; GO:0010038; GO:0010628; GO:0016323; GO:0016324; GO:0016597; GO:0019901; GO:0030424; GO:0032024; GO:0032782; GO:0035729; GO:0042311; GO:0042734; GO:0042803; GO:0043025; GO:0043679; GO:0044325; GO:0045907; GO:0048754; GO:0050927; GO:0051592; GO:0051924; GO:0060613; GO:0070374; GO:0070509; GO:0071305; GO:0071333; GO:0071404; GO:0071456; GO:0071774; GO:0090280; GO:0098978; GO:0099505; GO:1901653; GO:1902476,apical plasma membrane [GO:0016324]; axon [GO:0030424]; axon terminus [GO:0043679]; basolateral plasma membrane [GO:0016323]; cell surface [GO:0009986]; glutamatergic synapse [GO:0098978]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734],amino acid binding [GO:0016597]; calcium ion binding [GO:0005509]; G protein-coupled receptor activity [GO:0004930]; integrin binding [GO:0005178]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; transmembrane transporter binding [GO:0044325],Extracellular calcium-sensing receptor
Montipora_capitata_HIv3___RNAseq.45091_t,"TRP, calcium, Bhattacharya2016",TRPV5,Q9NQA5,3.77e-62,Transient receptor potential cation channel subfamily V member 5 (TrpV5) (Calcium transport protein 2) (CaT2) (Epithelial calcium channel 1) (ECaC) (ECaC1) (Osm-9-like TRP channel 3) (OTRPC3),calcium ion homeostasis [GO:0055074]; calcium ion import across plasma membrane [GO:0098703]; calcium ion transmembrane transport [GO:0070588]; calcium ion transport [GO:0006816]; calcium ion transport into cytosol [GO:0060402]; protein homotetramerization [GO:0051289]; regulation of urine volume [GO:0035809],GO:0005262; GO:0005516; GO:0005886; GO:0006816; GO:0016324; GO:0034704; GO:0035809; GO:0046872; GO:0051289; GO:0055074; GO:0060402; GO:0070588; GO:0098703,apical plasma membrane [GO:0016324]; calcium channel complex [GO:0034704]; plasma membrane [GO:0005886],calcium channel activity [GO:0005262]; calmodulin binding [GO:0005516]; metal ion binding [GO:0046872],TRPV5
Montipora_capitata_HIv3___RNAseq.47221_tb,Sodium_calcium_exchanger,,P23685,1.29e-7,Sodium/calcium exchanger 1 (Na(+)/Ca(2+)-exchange protein 1) (Solute carrier family 8 member 1),calcium ion import [GO:0070509]; calcium ion transmembrane transport [GO:0070588]; cell communication [GO:0007154]; intracellular sodium ion homeostasis [GO:0006883]; positive regulation of bone mineralization [GO:0030501]; positive regulation of the force of heart contraction [GO:0098735]; response to muscle stretch [GO:0035994]; sodium ion import across plasma membrane [GO:0098719]; sodium ion transmembrane transport [GO:0035725],GO:0005432; GO:0005509; GO:0005516; GO:0005654; GO:0005886; GO:0006883; GO:0007154; GO:0030501; GO:0030506; GO:0035725; GO:0035994; GO:0042383; GO:0070509; GO:0070588; GO:0098719; GO:0098735; GO:0098794; GO:1905060,nucleoplasm [GO:0005654]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; sarcolemma [GO:0042383],ankyrin binding [GO:0030506]; calcium ion binding [GO:0005509]; calcium:monoatomic cation antiporter activity involved in regulation of postsynaptic cytosolic calcium ion concentration [GO:1905060]; calcium:sodium antiporter activity [GO:0005432]; calmodulin binding [GO:0005516],Sodium/calcium exchanger 1
Montipora_capitata_HIv3___RNAseq.5043_t,Sodium_calcium_exchanger,,Q6K3R5,1.49e-66,Sodium/calcium exchanger NCL2 (Na(+)/Ca(2+)-exchange protein NCL2) (OsEFCAX2) (Protein NCX-like 2) (OsNCL2),calcium ion transmembrane transport [GO:0070588]; intracellular calcium ion homeostasis [GO:0006874]; sodium ion transport [GO:0006814],GO:0005509; GO:0005774; GO:0005886; GO:0006814; GO:0006874; GO:0015369; GO:0070588,plasma membrane [GO:0005886]; vacuolar membrane [GO:0005774],calcium ion binding [GO:0005509]; calcium:proton antiporter activity [GO:0015369],Sodium/calcium exchanger NCL2
Montipora_capitata_HIv3___RNAseq.g10141.t1,calcium,,Q99572,5.19e-9,P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor),apoptotic signaling pathway [GO:0097190]; bleb assembly [GO:0032060]; calcium ion transmembrane transport [GO:0070588]; calcium-mediated signaling [GO:0019722]; cell morphogenesis [GO:0000902]; cell surface receptor signaling pathway [GO:0007166]; cellular response to ATP [GO:0071318]; cellular response to dsRNA [GO:0071359]; ceramide biosynthetic process [GO:0046513]; collagen metabolic process [GO:0032963]; defense response to Gram-positive bacterium [GO:0050830]; extrinsic apoptotic signaling pathway [GO:0097191]; gamma-aminobutyric acid secretion [GO:0014051]; glutamate secretion [GO:0014047]; homeostasis of number of cells within a tissue [GO:0048873]; inflammatory response [GO:0006954]; MAPK cascade [GO:0000165]; membrane depolarization [GO:0051899]; membrane protein ectodomain proteolysis [GO:0006509]; mitochondrial depolarization [GO:0051882]; mitochondrion organization [GO:0007005]; NAD transport [GO:0043132]; negative regulation of bone resorption [GO:0045779]; negative regulation of cell volume [GO:0045794]; negative regulation of MAPK cascade [GO:0043409]; phagolysosome assembly [GO:0001845]; phospholipid transfer to membrane [GO:0006649]; plasma membrane phospholipid scrambling [GO:0017121]; pore complex assembly [GO:0046931]; positive regulation of bleb assembly [GO:1904172]; positive regulation of bone mineralization [GO:0030501]; positive regulation of calcium ion transport into cytosol [GO:0010524]; positive regulation of cytoskeleton organization [GO:0051495]; positive regulation of gamma-aminobutyric acid secretion [GO:0014054]; positive regulation of gene expression [GO:0010628]; positive regulation of glutamate secretion [GO:0014049]; positive regulation of glycolytic process [GO:0045821]; positive regulation of interleukin-1 alpha production [GO:0032730]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of mitochondrial depolarization [GO:0051901]; positive regulation of monoatomic ion transmembrane transport [GO:0034767]; positive regulation of NLRP3 inflammasome complex assembly [GO:1900227]; positive regulation of prostaglandin secretion [GO:0032308]; positive regulation of protein secretion [GO:0050714]; positive regulation of T cell apoptotic process [GO:0070234]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; prostaglandin secretion [GO:0032310]; protein catabolic process [GO:0030163]; protein homotrimerization [GO:0070207]; protein processing [GO:0016485]; protein secretion [GO:0009306]; purinergic nucleotide receptor signaling pathway [GO:0035590]; reactive oxygen species metabolic process [GO:0072593]; regulation of sodium ion transport [GO:0002028]; release of sequestered calcium ion into cytosol [GO:0051209]; response to ATP [GO:0033198]; response to calcium ion [GO:0051592]; response to electrical stimulus [GO:0051602]; response to fluid shear stress [GO:0034405]; response to ischemia [GO:0002931]; response to lipopolysaccharide [GO:0032496]; response to mechanical stimulus [GO:0009612]; response to xenobiotic stimulus [GO:0009410]; response to zinc ion [GO:0010043]; sensory perception of pain [GO:0019233]; skeletal system morphogenesis [GO:0048705]; synaptic vesicle exocytosis [GO:0016079]; T cell apoptotic process [GO:0070231]; T cell homeostasis [GO:0043029]; T cell mediated cytotoxicity [GO:0001913]; T cell proliferation [GO:0042098]; vesicle budding from membrane [GO:0006900],GO:0000165; GO:0000902; GO:0001530; GO:0001614; GO:0001845; GO:0001913; GO:0001916; GO:0002028; GO:0002931; GO:0004931; GO:0005102; GO:0005216; GO:0005267; GO:0005272; GO:0005524; GO:0005737; GO:0005739; GO:0005886; GO:0005911; GO:0006509; GO:0006649; GO:0006900; GO:0006954; GO:0007005; GO:0007166; GO:0009306; GO:0009410; GO:0009612; GO:0009897; GO:0010043; GO:0010524; GO:0010628; GO:0014047; GO:0014049; GO:0014051; GO:0014054; GO:0016020; GO:0016079; GO:0016485; GO:0017121; GO:0019233; GO:0019722; GO:0030163; GO:0030501; GO:0031594; GO:0032059; GO:0032060; GO:0032308; GO:0032310; GO:0032496; GO:0032730; GO:0032731; GO:0032755; GO:0032963; GO:0033198; GO:0034405; GO:0034767; GO:0035590; GO:0042098; GO:0042802; GO:0043025; GO:0043029; GO:0043132; GO:0043409; GO:0043410; GO:0045779; GO:0045794; GO:0045821; GO:0046513; GO:0046931; GO:0048705; GO:0048873; GO:0050714; GO:0050830; GO:0051209; GO:0051495; GO:0051592; GO:0051602; GO:0051882; GO:0051899; GO:0051901; GO:0060907; GO:0070207; GO:0070231; GO:0070234; GO:0070588; GO:0071318; GO:0071359; GO:0072593; GO:0097190; GO:0097191; GO:0098793; GO:0098794; GO:1900227; GO:1904172,bleb [GO:0032059]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; membrane [GO:0016020]; mitochondrion [GO:0005739]; neuromuscular junction [GO:0031594]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynapse [GO:0098793],ATP binding [GO:0005524]; extracellularly ATP-gated monoatomic cation channel activity [GO:0004931]; identical protein binding [GO:0042802]; lipopolysaccharide binding [GO:0001530]; monoatomic ion channel activity [GO:0005216]; potassium channel activity [GO:0005267]; purinergic nucleotide receptor activity [GO:0001614]; signaling receptor binding [GO:0005102]; sodium channel activity [GO:0005272],P2X purinoceptor 7
