"gene_id","count_FOXO3","count_HSF1","count_NFE2L2","ImpulseDE2_padj","ImpulseDE2_response_type","Mfuzz_cluster","Mfuzz_membership","WGCNA_module"
"Montipora_capitata_HIv3___RNAseq.g4754.t1",1,0,0,1.76832144373585e-08,"Monotonous",6,0.984858053176391,"ME9"
"Montipora_capitata_HIv3___RNAseq.g4755.t1",0,2,0,1.09578509328021e-06,"Monotonous",6,0.984444944110367,"ME9"
"Montipora_capitata_HIv3___RNAseq.g4756.t1",0,1,0,0.0303279684955498,"Monotonous",2,0.949888012454984,"ME1"
"Montipora_capitata_HIv3___RNAseq.g4759.t1",0,2,0,5.44886060444367e-07,"Transient",6,0.842398349653188,"ME10"
"Montipora_capitata_HIv3___RNAseq.g4764.t1",0,0,1,NA,NA,NA,NA,"ME15"
"Montipora_capitata_HIv3___RNAseq.214_t",2,0,0,NA,NA,NA,NA,"ME0"
"Montipora_capitata_HIv3___TS.g26302.t1",1,0,1,NA,NA,NA,NA,"ME11"
"Montipora_capitata_HIv3___RNAseq.g4584.t1",1,0,0,NA,NA,NA,NA,"ME0"
"Montipora_capitata_HIv3___RNAseq.g4585.t1",0,0,1,0.00269464280686042,"Other",NA,NA,"ME7"
"Montipora_capitata_HIv3___RNAseq.g4589.t1",1,0,0,0.0241942485899769,"Transient",5,0.880818305423461,"ME6"
"Montipora_capitata_HIv3___RNAseq.g4592.t1",1,0,0,NA,NA,NA,NA,"ME4"
"Montipora_capitata_HIv3___RNAseq.g4598.t1",1,0,0,NA,NA,NA,NA,"ME2"
"Montipora_capitata_HIv3___TS.g26291.t1",0,0,1,0.00302899985540623,"Other",6,0.931943325313673,"ME26"
"Montipora_capitata_HIv3___RNAseq.g4606.t1",1,0,0,0.00052927119396686,"Other",5,0.950404170875151,"ME4"
"Montipora_capitata_HIv3___RNAseq.g4607.t1",1,0,0,0.010508172175911,"Transient",5,0.740489006032056,"ME6"
"Montipora_capitata_HIv3___RNAseq.g4609.t1",1,0,0,NA,NA,NA,NA,"ME25"
"Montipora_capitata_HIv3___TS.g26297.t1",1,0,0,0.000119815056537763,"Transient",4,0.975961449651399,"ME7"
"Montipora_capitata_HIv3___RNAseq.g4611.t2",1,0,0,NA,NA,NA,NA,"ME7"
"Montipora_capitata_HIv3___RNAseq.g4617.t1",1,0,0,NA,NA,NA,NA,"ME2"
"Montipora_capitata_HIv3___TS.g26304.t1b",0,1,0,NA,NA,NA,NA,"ME0"
"Montipora_capitata_HIv3___TS.g26304.t1a",1,0,0,NA,NA,NA,NA,"ME20"
"Montipora_capitata_HIv3___RNAseq.g4620.t1",1,0,0,NA,NA,NA,NA,"ME21"
"Montipora_capitata_HIv3___TS.g26306.t1",0,0,1,0.0486792143269081,"Monotonous",4,0.508590004489179,"ME3"
"Montipora_capitata_HIv3___TS.g26307.t1b",1,0,0,NA,NA,NA,NA,"ME1"
"Montipora_capitata_HIv3___TS.g26307.t1a",1,0,0,NA,NA,NA,NA,"ME1"
"Montipora_capitata_HIv3___TS.g26309.t1a",1,0,0,NA,NA,NA,NA,"ME1"
"Montipora_capitata_HIv3___RNAseq.g4625.t1",0,1,0,NA,NA,NA,NA,"ME0"
"Montipora_capitata_HIv3___RNAseq.g4626.t1",0,0,2,1.44042852359436e-06,"Monotonous",1,0.708498945436196,"ME10"
"Montipora_capitata_HIv3___RNAseq.g4633.t1",0,0,1,NA,NA,NA,NA,"ME1"
"Montipora_capitata_HIv3___RNAseq.g4635.t1",0,0,1,NA,NA,NA,NA,"ME5"
"Montipora_capitata_HIv3___RNAseq.g4637.t1",0,1,0,NA,NA,NA,NA,"ME7"
"Montipora_capitata_HIv3___RNAseq.g4638.t1",0,1,0,0.0448624432724819,"Other",6,0.644217240475161,"ME1"
"Montipora_capitata_HIv3___RNAseq.g4639.t1",0,0,1,0.00702729997322554,"Transient",3,0.543425009146738,"ME16"
"Montipora_capitata_HIv3___RNAseq.g4642.t1",1,0,0,0.000122183451409385,"Transient",3,0.807031961654702,"ME1"
