gene_set,query,blast_hit,evalue,ProteinNames,BiologicalProcess,GOs,CellularComponent,MolecularFunction
aquaporin,Montipora_capitata_HIv3___RNAseq.g37456.t1,Q6J8I9,8.24e-46,Lens fiber major intrinsic protein (Aquaporin-0),gap junction-mediated intercellular transport [GO:1990349]; homotypic cell-cell adhesion [GO:0034109]; lens development in camera-type eye [GO:0002088]; maintenance of lens transparency [GO:0036438]; visual perception [GO:0007601]; water transport [GO:0006833],GO:0002088; GO:0005212; GO:0005516; GO:0005886; GO:0006833; GO:0007601; GO:0015250; GO:0016324; GO:0034109; GO:0036438; GO:0070161; GO:0098631; GO:1990349,anchoring junction [GO:0070161]; apical plasma membrane [GO:0016324]; plasma membrane [GO:0005886],calmodulin binding [GO:0005516]; cell adhesion mediator activity [GO:0098631]; structural constituent of eye lens [GO:0005212]; water channel activity [GO:0015250]
aquaporin,Montipora_capitata_HIv3___RNAseq.g49894.t1b,A9Y006,7.1e-90,Aquaporin-3 (Aquaglyceroporin-3),glycerol transmembrane transport [GO:0015793]; polyol transmembrane transport [GO:0015791]; water transport [GO:0006833],GO:0005886; GO:0006833; GO:0015166; GO:0015250; GO:0015254; GO:0015791; GO:0015793; GO:0016323,basolateral plasma membrane [GO:0016323]; plasma membrane [GO:0005886],glycerol channel activity [GO:0015254]; polyol transmembrane transporter activity [GO:0015166]; water channel activity [GO:0015250]
aquaporin,Montipora_capitata_HIv3___RNAseq.g10158.t1,O77750,1.82e-62,Aquaporin-4 (AQP-4) (Mercurial-insensitive water channel) (MIWC) (WCH4),cerebrospinal fluid circulation [GO:0090660]; intracellular water homeostasis [GO:0009992]; multicellular organismal-level water homeostasis [GO:0050891]; protein homotetramerization [GO:0051289]; water transport [GO:0006833],GO:0005576; GO:0005886; GO:0006833; GO:0009992; GO:0010008; GO:0015250; GO:0016323; GO:0042383; GO:0050891; GO:0051289; GO:0090660; GO:0097450,astrocyte end-foot [GO:0097450]; basolateral plasma membrane [GO:0016323]; endosome membrane [GO:0010008]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383],water channel activity [GO:0015250]
aquaporin,Montipora_capitata_HIv3___RNAseq.g566.t1,P55088,1.11e-42,Aquaporin-4 (AQP-4) (Mercurial-insensitive water channel) (MIWC) (WCH4),cerebrospinal fluid circulation [GO:0090660]; cerebrospinal fluid secretion [GO:0033326]; establishment of localization in cell [GO:0051649]; intracellular water homeostasis [GO:0009992]; multicellular organismal-level water homeostasis [GO:0050891]; protein homotetramerization [GO:0051289]; renal water absorption [GO:0070295]; sensory perception of sound [GO:0007605]; water transport [GO:0006833],GO:0005576; GO:0005737; GO:0005886; GO:0005911; GO:0006833; GO:0007605; GO:0009992; GO:0010008; GO:0015250; GO:0016020; GO:0016323; GO:0033326; GO:0042383; GO:0050891; GO:0051289; GO:0051649; GO:0070295; GO:0090660; GO:0097450,astrocyte end-foot [GO:0097450]; basolateral plasma membrane [GO:0016323]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; endosome membrane [GO:0010008]; extracellular region [GO:0005576]; membrane [GO:0016020]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383],water channel activity [GO:0015250]
aquaporin,Montipora_capitata_HIv3___RNAseq.g10155.t1,P47863,6.08e-63,Aquaporin-4 (AQP-4) (Mercurial-insensitive water channel) (MIWC) (WCH4),carbon dioxide transport [GO:0015670]; cell-cell adhesion [GO:0098609]; cellular response to estradiol stimulus [GO:0071392]; cellular response to glucose stimulus [GO:0071333]; cellular response to interleukin-1 [GO:0071347]; cellular response to interleukin-6 [GO:0071354]; cellular response to type II interferon [GO:0071346]; cerebrospinal fluid circulation [GO:0090660]; cerebrospinal fluid secretion [GO:0033326]; establishment of localization in cell [GO:0051649]; female pregnancy [GO:0007565]; intracellular water homeostasis [GO:0009992]; multicellular organismal-level water homeostasis [GO:0050891]; negative regulation of cell adhesion molecule production [GO:0060354]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of interleukin-6 production [GO:0032715]; protein homotetramerization [GO:0051289]; regulation of vascular endothelial growth factor production [GO:0010574]; renal water absorption [GO:0070295]; response to glucocorticoid [GO:0051384]; sensory perception of sound [GO:0007605]; water transport [GO:0006833],GO:0005576; GO:0005737; GO:0005886; GO:0005911; GO:0006833; GO:0007565; GO:0007605; GO:0009897; GO:0009925; GO:0009992; GO:0010008; GO:0010574; GO:0015250; GO:0015670; GO:0016323; GO:0030315; GO:0031253; GO:0032691; GO:0032715; GO:0032991; GO:0033326; GO:0042383; GO:0042802; GO:0050891; GO:0051289; GO:0051384; GO:0051649; GO:0060354; GO:0070295; GO:0071333; GO:0071346; GO:0071347; GO:0071354; GO:0071392; GO:0090660; GO:0097450; GO:0098609,astrocyte end-foot [GO:0097450]; basal plasma membrane [GO:0009925]; basolateral plasma membrane [GO:0016323]; cell projection membrane [GO:0031253]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; endosome membrane [GO:0010008]; external side of plasma membrane [GO:0009897]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; sarcolemma [GO:0042383]; T-tubule [GO:0030315],identical protein binding [GO:0042802]; water channel activity [GO:0015250]
aquaporin,Montipora_capitata_HIv3___RNAseq.g49896.t1,O43315,4.07e-87,Aquaporin-9 (AQP-9) (Aquaglyceroporin-9) (Small solute channel 1),amine transport [GO:0015837]; cellular response to cAMP [GO:0071320]; detoxification of arsenic-containing substance [GO:0071722]; glycerol transmembrane transport [GO:0015793]; purine nucleobase transport [GO:0006863]; pyrimidine nucleobase transport [GO:0015855]; urea transmembrane transport [GO:0071918]; water transport [GO:0006833],GO:0005345; GO:0005350; GO:0005886; GO:0006833; GO:0006863; GO:0015204; GO:0015250; GO:0015254; GO:0015265; GO:0015267; GO:0015793; GO:0015837; GO:0015855; GO:0016323; GO:0043231; GO:0071320; GO:0071722; GO:0071918; GO:0140070,basolateral plasma membrane [GO:0016323]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886],channel activity [GO:0015267]; glycerol channel activity [GO:0015254]; hydrogen peroxide channel activity [GO:0140070]; purine nucleobase transmembrane transporter activity [GO:0005345]; pyrimidine nucleobase transmembrane transporter activity [GO:0005350]; urea channel activity [GO:0015265]; urea transmembrane transporter activity [GO:0015204]; water channel activity [GO:0015250]
aquaporin,Montipora_capitata_HIv3___RNAseq.g10162.t1,P55088,2.41e-62,Aquaporin-4 (AQP-4) (Mercurial-insensitive water channel) (MIWC) (WCH4),cerebrospinal fluid circulation [GO:0090660]; cerebrospinal fluid secretion [GO:0033326]; establishment of localization in cell [GO:0051649]; intracellular water homeostasis [GO:0009992]; multicellular organismal-level water homeostasis [GO:0050891]; protein homotetramerization [GO:0051289]; renal water absorption [GO:0070295]; sensory perception of sound [GO:0007605]; water transport [GO:0006833],GO:0005576; GO:0005737; GO:0005886; GO:0005911; GO:0006833; GO:0007605; GO:0009992; GO:0010008; GO:0015250; GO:0016020; GO:0016323; GO:0033326; GO:0042383; GO:0050891; GO:0051289; GO:0051649; GO:0070295; GO:0090660; GO:0097450,astrocyte end-foot [GO:0097450]; basolateral plasma membrane [GO:0016323]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; endosome membrane [GO:0010008]; extracellular region [GO:0005576]; membrane [GO:0016020]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383],water channel activity [GO:0015250]
aquaporin,Montipora_capitata_HIv3___RNAseq.g938.t1,Q8BHH1,2.6e-12,Aquaporin-11 (AQP-11),endosomal lumen acidification [GO:0048388]; glycerol transmembrane transport [GO:0015793]; hydrogen peroxide transmembrane transport [GO:0080170]; intracellular oxygen homeostasis [GO:0032364]; intracellular water homeostasis [GO:0009992]; kidney development [GO:0001822]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of ERAD pathway [GO:1904293]; negative regulation of response to endoplasmic reticulum stress [GO:1903573]; positive regulation of cell population proliferation [GO:0008284]; protein glycosylation [GO:0006486]; protein homooligomerization [GO:0051260]; protein targeting to membrane [GO:0006612]; proximal tubule development [GO:0072014]; water transport [GO:0006833],GO:0001822; GO:0005737; GO:0005783; GO:0005789; GO:0005886; GO:0006486; GO:0006612; GO:0006833; GO:0008284; GO:0009986; GO:0009992; GO:0015250; GO:0015254; GO:0015793; GO:0030659; GO:0032364; GO:0048388; GO:0050680; GO:0051260; GO:0072014; GO:0080170; GO:0140070; GO:1903573; GO:1904293,cell surface [GO:0009986]; cytoplasm [GO:0005737]; cytoplasmic vesicle membrane [GO:0030659]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; plasma membrane [GO:0005886],glycerol channel activity [GO:0015254]; hydrogen peroxide channel activity [GO:0140070]; water channel activity [GO:0015250]
aquaporin,Montipora_capitata_HIv3___RNAseq.g49895.t2,O43315,2.15e-88,Aquaporin-9 (AQP-9) (Aquaglyceroporin-9) (Small solute channel 1),amine transport [GO:0015837]; cellular response to cAMP [GO:0071320]; detoxification of arsenic-containing substance [GO:0071722]; glycerol transmembrane transport [GO:0015793]; purine nucleobase transport [GO:0006863]; pyrimidine nucleobase transport [GO:0015855]; urea transmembrane transport [GO:0071918]; water transport [GO:0006833],GO:0005345; GO:0005350; GO:0005886; GO:0006833; GO:0006863; GO:0015204; GO:0015250; GO:0015254; GO:0015265; GO:0015267; GO:0015793; GO:0015837; GO:0015855; GO:0016323; GO:0043231; GO:0071320; GO:0071722; GO:0071918; GO:0140070,basolateral plasma membrane [GO:0016323]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886],channel activity [GO:0015267]; glycerol channel activity [GO:0015254]; hydrogen peroxide channel activity [GO:0140070]; purine nucleobase transmembrane transporter activity [GO:0005345]; pyrimidine nucleobase transmembrane transporter activity [GO:0005350]; urea channel activity [GO:0015265]; urea transmembrane transporter activity [GO:0015204]; water channel activity [GO:0015250]
TRP,Montipora_capitata_HIv3___RNAseq.g36083.t1,Q9BX84,5.1e-21,"Transient receptor potential cation channel subfamily M member 6 (EC 2.7.11.1) (Channel kinase 2) (Melastatin-related TRP cation channel 6) [Cleaved into: TRPM6 kinase, cleaved form]",calcium ion transmembrane transport [GO:0070588]; magnesium ion transmembrane transport [GO:1903830]; metal ion transport [GO:0030001]; monoatomic cation transmembrane transport [GO:0098655]; protein tetramerization [GO:0051262]; response to toxic substance [GO:0009636],GO:0004674; GO:0005261; GO:0005262; GO:0005524; GO:0005634; GO:0005886; GO:0009636; GO:0015085; GO:0015095; GO:0016324; GO:0030001; GO:0031526; GO:0046872; GO:0051262; GO:0070588; GO:0098655; GO:0106310; GO:1903830,apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; nucleus [GO:0005634]; plasma membrane [GO:0005886],ATP binding [GO:0005524]; calcium channel activity [GO:0005262]; calcium ion transmembrane transporter activity [GO:0015085]; magnesium ion transmembrane transporter activity [GO:0015095]; metal ion binding [GO:0046872]; monoatomic cation channel activity [GO:0005261]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
