query	blast_hit	evalue	ProteinNames	BiologicalProcess	GeneOntologyIDs	CellularComponent	MolecularFunction
Porites_compressa_HIv1___RNAseq.g5351.t1	P59110	6.44e-14	Sentrin-specific protease 1 (EC 3.4.22.-) (SUMO-1 protease 2) (SuPr-2) (Sentrin/SUMO-specific protease SENP1)	negative regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032435]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein desumoylation [GO:0016926]; protein sumoylation [GO:0016925]; regulation of definitive erythrocyte differentiation [GO:0010724]; regulation of mRNA stability [GO:0043488]; regulation of postsynapse assembly [GO:0150052]	GO:0005654; GO:0005925; GO:0010724; GO:0016925; GO:0016926; GO:0016929; GO:0031965; GO:0032435; GO:0043161; GO:0043488; GO:0045944; GO:0070139; GO:0098978; GO:0099523; GO:0099524; GO:0150052	focal adhesion [GO:0005925]; glutamatergic synapse [GO:0098978]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; postsynaptic cytosol [GO:0099524]; presynaptic cytosol [GO:0099523]	deSUMOylase activity [GO:0016929]; SUMO-specific endopeptidase activity [GO:0070139]
Porites_compressa_HIv1___TS.g17783.t1b	P03697	9.63e-08	Exonuclease (EC 3.1.11.3)		GO:0046872; GO:0051908		double-stranded DNA 5'-3' DNA exonuclease activity [GO:0051908]; metal ion binding [GO:0046872]
Porites_compressa_HIv1___RNAseq.g36632.t1	A0A0B5RNJ4	8.45e-24	Trimethylamine monooxygenase (TMA monooxygenase) (Tmm) (EC 1.14.13.148)		GO:0004499; GO:0050660; GO:0050661		flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]
Porites_compressa_HIv1___RNAseq.g27719.t1	Q5XI33	5.63e-09	Lipid transferase CIDEC (Cell death-inducing DFFA-like effector protein C) (Fat-specific protein FSP27)	apoptotic process [GO:0006915]; execution phase of apoptosis [GO:0097194]; lipid droplet fusion [GO:0160077]; lipid droplet organization [GO:0034389]; lipid storage [GO:0019915]; negative regulation of lipid catabolic process [GO:0050995]; negative regulation of triglyceride metabolic process [GO:0090209]; regulation of apoptotic process [GO:0042981]	GO:0001786; GO:0005634; GO:0005783; GO:0005811; GO:0005829; GO:0006915; GO:0019915; GO:0034389; GO:0035091; GO:0042981; GO:0050995; GO:0070300; GO:0090209; GO:0097194; GO:0120013; GO:0140693; GO:0160077	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; lipid droplet [GO:0005811]; nucleus [GO:0005634]	lipid transfer activity [GO:0120013]; molecular condensate scaffold activity [GO:0140693]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol binding [GO:0035091]; phosphatidylserine binding [GO:0001786]
Porites_compressa_HIv1___RNAseq.g14270.t1	Q9H9B4	1.27e-152	Sideroflexin-1	erythrocyte differentiation [GO:0030218]; iron ion transport [GO:0006826]; L-alanine transport [GO:0015808]; L-serine transport [GO:0015825]; one-carbon metabolic process [GO:0006730]; serine import into mitochondrion [GO:0140300]	GO:0005739; GO:0005743; GO:0006730; GO:0006826; GO:0015075; GO:0015180; GO:0015194; GO:0015808; GO:0015825; GO:0022857; GO:0030218; GO:0140300	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]	L-alanine transmembrane transporter activity [GO:0015180]; L-serine transmembrane transporter activity [GO:0015194]; monoatomic ion transmembrane transporter activity [GO:0015075]; transmembrane transporter activity [GO:0022857]
Porites_compressa_HIv1___TS.g5100.t1a	P0C6B8	2e-24	Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1	epidermis development [GO:0008544]; gene expression [GO:0010467]; lymph circulation [GO:0003017]; lymph vessel development [GO:0001945]; lymph vessel morphogenesis [GO:0036303]; negative regulation of vasoconstriction [GO:0045906]; positive regulation of platelet activation [GO:0010572]; Tie signaling pathway [GO:0048014]; tight junction organization [GO:0120193]	GO:0001945; GO:0003017; GO:0003682; GO:0005178; GO:0005509; GO:0005576; GO:0005615; GO:0005634; GO:0005737; GO:0008544; GO:0010467; GO:0010572; GO:0016020; GO:0036303; GO:0045906; GO:0048014; GO:0098640; GO:0120193	cytoplasm [GO:0005737]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; membrane [GO:0016020]; nucleus [GO:0005634]	calcium ion binding [GO:0005509]; chromatin binding [GO:0003682]; integrin binding [GO:0005178]; integrin binding involved in cell-matrix adhesion [GO:0098640]
Porites_compressa_HIv1___TS.g5100.t1b	Q2Q426	7.94e-25	Adhesion G protein-coupled receptor E2 (EGF-like module receptor 2) (EGF-like module-containing mucin-like hormone receptor-like 2) (CD antigen CD312)	adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; cell adhesion [GO:0007155]; cell migration [GO:0016477]; cell surface receptor signaling pathway [GO:0007166]; granulocyte chemotaxis [GO:0071621]; inflammatory response [GO:0006954]	GO:0004930; GO:0005509; GO:0005886; GO:0006954; GO:0007155; GO:0007166; GO:0007189; GO:0016477; GO:0031256; GO:0032587; GO:0035374; GO:0071621	leading edge membrane [GO:0031256]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]	calcium ion binding [GO:0005509]; chondroitin sulfate binding [GO:0035374]; G protein-coupled receptor activity [GO:0004930]
Porites_compressa_HIv1___RNAseq.g33510.t1	A0A2B4RNI3	8.33e-16	Cyclic GMP-AMP synthase-like receptor 2 (Sp-cGLR2) (EC 2.7.7.86)	innate immune response [GO:0045087]	GO:0005524; GO:0005525; GO:0045087; GO:0046872; GO:0061501		2',3'-cyclic GMP-AMP synthase activity [GO:0061501]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]
Porites_compressa_HIv1___TS.g37937.t2a	P30975	1.14e-23	Tachykinin-like peptides receptor 99D (Tachykinin-like receptor at 99D) (dTKR)	detection of chemical stimulus involved in sensory perception of smell [GO:0050911]; G protein-coupled receptor signaling pathway [GO:0007186]; negative regulation of synaptic transmission [GO:0050805]; neuropeptide signaling pathway [GO:0007218]; olfactory behavior [GO:0042048]; positive regulation of sensory perception of pain [GO:1904058]; tachykinin receptor signaling pathway [GO:0007217]	GO:0004995; GO:0005886; GO:0007186; GO:0007217; GO:0007218; GO:0008188; GO:0016020; GO:0042048; GO:0050805; GO:0050911; GO:1904058	membrane [GO:0016020]; plasma membrane [GO:0005886]	neuropeptide receptor activity [GO:0008188]; tachykinin receptor activity [GO:0004995]
Porites_compressa_HIv1___RNAseq.g14166.t1	Q9C5D2	2.27e-13	F-box/LRR-repeat protein 4 (AtFBL4)	nucleotide-excision repair [GO:0006289]; response to UV-C [GO:0010225]	GO:0006289; GO:0010225		
Porites_compressa_HIv1___RNAseq.g21450.t1	O35182	5.66e-59	Mothers against decapentaplegic homolog 6 (MAD homolog 6) (Mothers against DPP homolog 6) (Mad homolog 7) (SMAD family member 6) (SMAD 6) (Smad6)	aorta development [GO:0035904]; aortic valve morphogenesis [GO:0003180]; BMP signaling pathway [GO:0030509]; cardiac vascular smooth muscle cell development [GO:0060948]; cell-substrate adhesion [GO:0031589]; coronary vasculature development [GO:0060976]; coronary vasculature morphogenesis [GO:0060977]; fat cell differentiation [GO:0045444]; heart valve development [GO:0003170]; immune response [GO:0006955]; mitral valve morphogenesis [GO:0003183]; negative regulation of activin receptor signaling pathway [GO:0032926]; negative regulation of apoptotic process [GO:0043066]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of ossification [GO:0030279]; negative regulation of osteoblast differentiation [GO:0045668]; negative regulation of SMAD protein signal transduction [GO:0060392]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; outflow tract septum morphogenesis [GO:0003148]; positive regulation of miRNA transcription [GO:1902895]; positive regulation of vasoconstriction [GO:0045907]; pulmonary valve morphogenesis [GO:0003184]; response to estrogen [GO:0043627]; response to laminar fluid shear stress [GO:0034616]; response to lipopolysaccharide [GO:0032496]; ureteric bud development [GO:0001657]; vasoconstriction [GO:0042310]; ventricular septum development [GO:0003281]; zygotic specification of dorsal/ventral axis [GO:0007352]	GO:0000976; GO:0001657; GO:0003148; GO:0003170; GO:0003180; GO:0003183; GO:0003184; GO:0003281; GO:0003682; GO:0005634; GO:0005667; GO:0005794; GO:0005829; GO:0006955; GO:0007352; GO:0008285; GO:0016604; GO:0030279; GO:0030509; GO:0030512; GO:0030514; GO:0031589; GO:0031625; GO:0032496; GO:0032926; GO:0032991; GO:0034616; GO:0034713; GO:0035904; GO:0036064; GO:0042310; GO:0042802; GO:0043066; GO:0043627; GO:0045444; GO:0045668; GO:0045907; GO:0046872; GO:0060392; GO:0060948; GO:0060976; GO:0060977; GO:0070410; GO:0070411; GO:0070412; GO:0070698; GO:0140311; GO:0140416; GO:1902895	ciliary basal body [GO:0036064]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; nuclear body [GO:0016604]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; transcription regulator complex [GO:0005667]	chromatin binding [GO:0003682]; co-SMAD binding [GO:0070410]; I-SMAD binding [GO:0070411]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein sequestering activity [GO:0140311]; R-SMAD binding [GO:0070412]; transcription cis-regulatory region binding [GO:0000976]; transcription regulator inhibitor activity [GO:0140416]; type I activin receptor binding [GO:0070698]; type I transforming growth factor beta receptor binding [GO:0034713]; ubiquitin protein ligase binding [GO:0031625]
Porites_compressa_HIv1___RNAseq.g9745.t1	Q9GRC0	1.05e-84	Serine/threonine-protein kinase mos (EC 2.7.11.1) (Oocyte maturation factor mos)	female gamete generation [GO:0007292]; female meiosis II [GO:0007147]; negative regulation of mitotic cell cycle [GO:0045930]	GO:0004709; GO:0005524; GO:0007147; GO:0007292; GO:0045930; GO:0106310		ATP binding [GO:0005524]; MAP kinase kinase kinase activity [GO:0004709]; protein serine kinase activity [GO:0106310]
Porites_compressa_HIv1___RNAseq.g40602.t1	Q6EUW1	2.41e-70	Forkhead box protein O3 (FoxO3) (xFoxO3)	apoptotic process [GO:0006915]; cellular response to oxidative stress [GO:0034599]; positive regulation of autophagy [GO:0010508]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of muscle atrophy [GO:0014737]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of regulatory T cell differentiation [GO:0045591]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; response to fatty acid [GO:0070542]; response to starvation [GO:0042594]; tumor necrosis factor-mediated signaling pathway [GO:0033209]	GO:0000978; GO:0000981; GO:0001228; GO:0003700; GO:0005634; GO:0005737; GO:0005759; GO:0005829; GO:0006357; GO:0006915; GO:0010508; GO:0014737; GO:0019901; GO:0031490; GO:0033209; GO:0034599; GO:0042594; GO:0043525; GO:0043565; GO:0045591; GO:0045893; GO:0045944; GO:0070542	cytoplasm [GO:0005737]; cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; nucleus [GO:0005634]	chromatin DNA binding [GO:0031490]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein kinase binding [GO:0019901]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]
Porites_compressa_HIv1___RNAseq.g18563.t1	Q8BM75	1.11e-29	AT-rich interactive domain-containing protein 5B (ARID domain-containing protein 5B) (Developmentally and sexually retarded with transient immune abnormalities protein) (Desrt) (MRF1-like) (Modulator recognition factor protein 2) (MRF-2)	adipose tissue development [GO:0060612]; adrenal gland development [GO:0030325]; cell development [GO:0048468]; cellular response to leukemia inhibitory factor [GO:1990830]; face morphogenesis [GO:0060325]; fat cell differentiation [GO:0045444]; fat pad development [GO:0060613]; female gonad development [GO:0008585]; fibroblast migration [GO:0010761]; kidney development [GO:0001822]; male gonad development [GO:0008584]; multicellular organism growth [GO:0035264]; muscle organ morphogenesis [GO:0048644]; negative regulation of transcription by RNA polymerase II [GO:0000122]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; post-embryonic development [GO:0009791]; roof of mouth development [GO:0060021]; skeletal system morphogenesis [GO:0048705]	GO:0000122; GO:0000976; GO:0001822; GO:0003713; GO:0005634; GO:0008584; GO:0008585; GO:0009791; GO:0010761; GO:0030325; GO:0035264; GO:0045444; GO:0048008; GO:0048468; GO:0048644; GO:0048705; GO:0060021; GO:0060325; GO:0060612; GO:0060613; GO:1990830	nucleus [GO:0005634]	transcription cis-regulatory region binding [GO:0000976]; transcription coactivator activity [GO:0003713]
Porites_compressa_HIv1___RNAseq.g22789.t1	Q7ZVZ7	3.62e-176	Alpha/beta hydrolase domain-containing protein 17C (Abhydrolase domain-containing protein 17C) (EC 3.1.2.22)	regulation of postsynapse organization [GO:0099175]	GO:0005886; GO:0008474; GO:0010008; GO:0043197; GO:0055038; GO:0098839; GO:0099175	dendritic spine [GO:0043197]; endosome membrane [GO:0010008]; plasma membrane [GO:0005886]; postsynaptic density membrane [GO:0098839]; recycling endosome membrane [GO:0055038]	palmitoyl-(protein) hydrolase activity [GO:0008474]
Porites_compressa_HIv1___RNAseq.g27361.t1	Q0EEE2	2.11e-85	Patched domain-containing protein 3 (RND-type protein RNDEu-3)		GO:0005783; GO:0005789; GO:0005886; GO:0097225	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; plasma membrane [GO:0005886]; sperm midpiece [GO:0097225]	
Porites_compressa_HIv1___RNAseq.g36329.t1	P22770	4.05e-79	Neuronal acetylcholine receptor subunit alpha-7 (nAChR7) (Nicotinic acetylcholine receptor subunit alpha-7)	calcium ion transport [GO:0006816]; chemical synaptic transmission [GO:0007268]; cognition [GO:0050890]; intracellular calcium ion homeostasis [GO:0006874]; monoatomic ion transmembrane transport [GO:0034220]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of tumor necrosis factor production [GO:0032720]; positive regulation of angiogenesis [GO:0045766]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of MAPK cascade [GO:0043410]; regulation of membrane potential [GO:0042391]; response to hypoxia [GO:0001666]; response to nicotine [GO:0035094]; signal transduction [GO:0007165]; synaptic transmission, cholinergic [GO:0007271]	GO:0001540; GO:0001666; GO:0005737; GO:0005886; GO:0005892; GO:0006816; GO:0006874; GO:0007165; GO:0007268; GO:0007271; GO:0008284; GO:0015464; GO:0015643; GO:0017081; GO:0022848; GO:0030424; GO:0030425; GO:0032720; GO:0034220; GO:0035094; GO:0042166; GO:0042391; GO:0042803; GO:0043005; GO:0043204; GO:0043410; GO:0045202; GO:0045211; GO:0045766; GO:0050890; GO:1900016	acetylcholine-gated channel complex [GO:0005892]; axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; neuron projection [GO:0043005]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; synapse [GO:0045202]	acetylcholine binding [GO:0042166]; acetylcholine receptor activity [GO:0015464]; acetylcholine-gated monoatomic cation-selective channel activity [GO:0022848]; amyloid-beta binding [GO:0001540]; chloride channel regulator activity [GO:0017081]; protein homodimerization activity [GO:0042803]; toxic substance binding [GO:0015643]
