"gene_id","count_FOXO3","count_HSF1","count_NFE2L2","ImpulseDE2_padj","ImpulseDE2_response_type","Mfuzz_cluster","Mfuzz_membership","WGCNA_module"
"Porites_compressa_HIv1___RNAseq.g9733.t1",1,0,0,0.0458432997699316,"Other",3,0.593547650271521,"ME3"
"Porites_compressa_HIv1___RNAseq.g9764.t1",0,0,1,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___RNAseq.g9668.t2",0,0,1,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___RNAseq.g9669.t1",1,0,0,0.00937111443215873,"Transient",4,0.829310436406563,"ME3"
"Porites_compressa_HIv1___TS.g4315.t2",1,0,0,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___RNAseq.g9672.t1",1,1,0,3.87314826257836e-06,"Monotonous",NA,NA,"ME2"
"Porites_compressa_HIv1___RNAseq.g9677.t1",1,0,0,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___RNAseq.g9681.t1",0,1,0,NA,NA,NA,NA,"ME1"
"Porites_compressa_HIv1___RNAseq.g9687.t1",1,0,0,0.0385761621085713,"Other",6,0.537086810897463,"ME0"
"Porites_compressa_HIv1___TS.g4339.t2",0,1,0,NA,NA,NA,NA,"ME5"
"Porites_compressa_HIv1___TS.g4345.t1",0,2,0,NA,NA,NA,NA,"ME1"
"Porites_compressa_HIv1___RNAseq.g9719.t1",0,1,0,0.00140979501932596,"Monotonous",2,0.907183830551431,"ME2"
"Porites_compressa_HIv1___RNAseq.g9722.t1",0,1,0,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___RNAseq.g9725.t1",0,1,0,0.00896039237378368,"Transient",5,0.513496123727353,"ME18"
"Porites_compressa_HIv1___RNAseq.g9726.t1",1,0,0,NA,NA,NA,NA,"ME1"
"Porites_compressa_HIv1___TS.g4373.t1",0,1,0,NA,NA,NA,NA,"ME17"
"Porites_compressa_HIv1___RNAseq.g9730.t1",0,1,0,NA,NA,NA,NA,"ME4"
"Porites_compressa_HIv1___RNAseq.g9745.t1",1,0,0,NA,NA,NA,NA,"ME4"
"Porites_compressa_HIv1___RNAseq.g9747.t2",0,0,1,0.0105578076155098,"Transient",4,0.869207110408965,"ME3"
"Porites_compressa_HIv1___RNAseq.g9748.t1",0,0,1,0.000259653672384196,"Monotonous",6,0.603436172120873,"ME1"
"Porites_compressa_HIv1___TS.g4400.t1",0,1,0,0.0286274259880801,"Other",5,0.608083640640546,"ME1"
"Porites_compressa_HIv1___RNAseq.94_t",1,0,0,NA,NA,NA,NA,"ME4"
"Porites_compressa_HIv1___RNAseq.g9765.t1",2,0,0,NA,NA,NA,NA,"ME1"
"Porites_compressa_HIv1___RNAseq.g9766.t1",2,0,0,0.00110694823238653,"Transient",3,0.669149926377605,"ME2"
"Porites_compressa_HIv1___RNAseq.g9767.t1",0,1,0,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___RNAseq.g9770.t1",0,1,0,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___RNAseq.g9771.t1",0,1,0,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___RNAseq.g9777.t1",0,0,1,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___TS.g4438.t1",0,0,1,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___TS.g4468.t1",0,2,0,NA,NA,NA,NA,"ME2"
"Porites_compressa_HIv1___TS.g4418.t1b",0,1,0,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___TS.g4418.t1a",0,1,0,NA,NA,NA,NA,"ME11"
"Porites_compressa_HIv1___RNAseq.g9776.t1",0,1,0,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___RNAseq.g9779.t1",0,1,0,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___RNAseq.g9781.t1",0,0,1,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___RNAseq.g9789.t1",0,0,1,NA,NA,NA,NA,"ME4"
"Porites_compressa_HIv1___RNAseq.g9798.t1",0,0,1,0.00195820894294571,"Other",6,0.69582364048103,"ME1"
"Porites_compressa_HIv1___RNAseq.g9799.t1",0,0,1,0.0160666826992554,"Other",6,0.703147736350426,"ME1"
"Porites_compressa_HIv1___RNAseq.g9800.t1",0,1,0,0.0494766483793069,"Other",5,0.587304123159486,"ME1"
"Porites_compressa_HIv1___TS.g4449.t1",1,0,0,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___RNAseq.g9805.t1",0,1,0,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___RNAseq.g9812.t1",0,0,1,NA,NA,NA,NA,"ME12"
"Porites_compressa_HIv1___RNAseq.g9815.t1",1,0,0,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___RNAseq.g9818.t1",0,1,0,0.0116801588123517,"Other",NA,NA,"ME0"
"Porites_compressa_HIv1___RNAseq.g9822.t1",1,0,1,7.20605732093234e-06,"Monotonous",6,0.585592847027648,"ME1"
"Porites_compressa_HIv1___RNAseq.g9832.t1",1,0,0,0.0161322955732866,"Other",6,0.875826625146146,"ME1"
"Porites_compressa_HIv1___RNAseq.g9835.t1",1,0,0,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___RNAseq.g9837.t1",1,0,0,NA,NA,NA,NA,"ME20"
"Porites_compressa_HIv1___RNAseq.g9843.t1",1,0,0,NA,NA,NA,NA,"ME0"
"Porites_compressa_HIv1___RNAseq.g9850.t1",0,1,0,NA,NA,NA,NA,"ME25"
"Porites_compressa_HIv1___TS.g4495.t3",1,0,0,NA,NA,NA,NA,"ME4"
