"sequence_name","count_FOXO3","count_HSF1","count_NFE2L2"
"Montipora_capitata_HIv3___RNAseq.10136_t",2,0,0
"Montipora_capitata_HIv3___RNAseq.1048_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.10617_t",2,1,0
"Montipora_capitata_HIv3___RNAseq.10831_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.11177_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.11214_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.11464_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.13310_t",1,0,1
"Montipora_capitata_HIv3___RNAseq.13784_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.14930_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.14988_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.17733_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.17921_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.18032_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.18871_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.2006_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.20838_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.2127_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.21371_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.21485_t",1,1,0
"Montipora_capitata_HIv3___RNAseq.214_t",2,0,0
"Montipora_capitata_HIv3___RNAseq.22580_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.23111_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.23115_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.23741_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.24006_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.2473_t",1,0,1
"Montipora_capitata_HIv3___RNAseq.26084_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.26252_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.26700_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.2757_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.29109_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.30239_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.30885_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.3107_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.32115_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.32860_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.33470_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.34011_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.34073_t",1,1,0
"Montipora_capitata_HIv3___RNAseq.34668_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.3466_t",2,0,0
"Montipora_capitata_HIv3___RNAseq.35799_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.3749_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.3772_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.38113_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.38369_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.39538_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.3961_t",1,0,1
"Montipora_capitata_HIv3___RNAseq.39849_t",4,1,0
"Montipora_capitata_HIv3___RNAseq.41731_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.41986_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.42056_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.42142_t",1,0,1
"Montipora_capitata_HIv3___RNAseq.42380_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.42580_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.42581_t",1,0,1
"Montipora_capitata_HIv3___RNAseq.44374_t",1,1,0
"Montipora_capitata_HIv3___RNAseq.45031_t",2,0,0
"Montipora_capitata_HIv3___RNAseq.45838_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.47221_tc",1,0,0
"Montipora_capitata_HIv3___RNAseq.47337_t",1,0,1
"Montipora_capitata_HIv3___RNAseq.47378_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.47521_t",1,0,1
"Montipora_capitata_HIv3___RNAseq.5004_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.5043_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.51664_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.51887_t",2,0,0
"Montipora_capitata_HIv3___RNAseq.601_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.6489_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.6945_t",3,0,2
"Montipora_capitata_HIv3___RNAseq.7052_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.7193_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.7433_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.7705_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.7970_t",1,0,0
"Montipora_capitata_HIv3___RNAseq.g1005.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g1007.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10150.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10166.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g1018.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10193.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10242.t1",1,0,1
"Montipora_capitata_HIv3___RNAseq.g10276.t1",1,1,0
"Montipora_capitata_HIv3___RNAseq.g10277.t1b",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10313.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10320.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10323.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10324.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10325.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10352.t1",1,0,2
"Montipora_capitata_HIv3___RNAseq.g10355.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10385.t1",1,0,1
"Montipora_capitata_HIv3___RNAseq.g10410.t1",1,0,1
"Montipora_capitata_HIv3___RNAseq.g10428.t2",1,2,0
"Montipora_capitata_HIv3___RNAseq.g10436.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10445.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10449.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10457.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10501.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g1055.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10568.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g1068.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10693.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10694.t2c",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10720.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10721.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10728.t1",1,1,0
"Montipora_capitata_HIv3___RNAseq.g10759.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10769.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10825.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10846.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10920.t1c",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10943.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g10971.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11026.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11038.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11087.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11103.t1b",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11125.t1",1,0,1
"Montipora_capitata_HIv3___RNAseq.g11159.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11203.t1",1,0,1
"Montipora_capitata_HIv3___RNAseq.g11204.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11211.t1",1,1,0
"Montipora_capitata_HIv3___RNAseq.g11219.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g1123.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11231.t1",1,1,0
"Montipora_capitata_HIv3___RNAseq.g11232.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11249.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11273.t2",2,0,0
"Montipora_capitata_HIv3___RNAseq.g11288.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11310.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11332.t1",1,1,1
"Montipora_capitata_HIv3___RNAseq.g1134.t1a",1,0,0
"Montipora_capitata_HIv3___RNAseq.g1135.t1",1,1,0
"Montipora_capitata_HIv3___RNAseq.g11366.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11379.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g1138.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11389.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11428.t1",2,0,0
"Montipora_capitata_HIv3___RNAseq.g1143.t1",2,0,0
"Montipora_capitata_HIv3___RNAseq.g11443.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11492.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11533.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11547.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11568.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11573.t1",1,0,0
"Montipora_capitata_HIv3___RNAseq.g11577.t1",1,1,0
"Montipora_capitata_HIv3___RNAseq.g1160.t1",1,0,0
