query	blast_hit	evalue	ProteinNames	BiologicalProcess	GeneOntologyIDs	CellularComponent	MolecularFunction
Pocillopora_acuta_HIv2___RNAseq.g24143.t1a	Q4JAI4	1.03e-37	Methionine synthase (EC 2.1.1.-) (Homocysteine methyltransferase)	methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]	GO:0003871; GO:0008270; GO:0009086; GO:0032259		5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871]; zinc ion binding [GO:0008270]
Pocillopora_acuta_HIv2___RNAseq.g18333.t1	O08807	9.65e-116	Peroxiredoxin-4 (EC 1.11.1.24) (Antioxidant enzyme AOE372) (Peroxiredoxin IV) (Prx-IV) (Thioredoxin peroxidase AO372) (Thioredoxin-dependent peroxide reductase A0372) (Thioredoxin-dependent peroxiredoxin 4)	cell redox homeostasis [GO:0045454]; extracellular matrix organization [GO:0030198]; male gonad development [GO:0008584]; negative regulation of male germ cell proliferation [GO:2000255]; protein maturation [GO:0051604]; reactive oxygen species metabolic process [GO:0072593]; response to oxidative stress [GO:0006979]; spermatogenesis [GO:0007283]	GO:0005737; GO:0005739; GO:0005783; GO:0005829; GO:0006979; GO:0007283; GO:0008584; GO:0030198; GO:0042802; GO:0045454; GO:0051604; GO:0072593; GO:0140313; GO:0140824; GO:2000255	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; mitochondrion [GO:0005739]	identical protein binding [GO:0042802]; molecular sequestering activity [GO:0140313]; thioredoxin-dependent peroxiredoxin activity [GO:0140824]
Pocillopora_acuta_HIv2___RNAseq.g7985.t1	O74212	3.58e-158	Acyl-lipid (8-3)-desaturase (EC 1.14.19.30) (Delta(5) fatty acid desaturase) (Delta-5 fatty acid desaturase)	long-chain fatty acid biosynthetic process [GO:0042759]; unsaturated fatty acid biosynthetic process [GO:0006636]	GO:0006636; GO:0016020; GO:0020037; GO:0042759; GO:0046872; GO:0102866	membrane [GO:0016020]	acyl-lipid (8-3)-desaturase activity [GO:0102866]; heme binding [GO:0020037]; metal ion binding [GO:0046872]
Pocillopora_acuta_HIv2___TS.g15308.t1	Q09575	1.09e-12	Uncharacterized protein K02A2.6	DNA integration [GO:0015074]	GO:0003676; GO:0005737; GO:0008270; GO:0015074; GO:0019899; GO:0042575	cytoplasm [GO:0005737]; DNA polymerase complex [GO:0042575]	enzyme binding [GO:0019899]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
Pocillopora_acuta_HIv2___RNAseq.g2057.t1	P0C1P0	8.84e-14	Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y (Phosphatidylinositol-glycan biosynthesis class Y protein) (PIG-Y)	GPI anchor biosynthetic process [GO:0006506]	GO:0005789; GO:0006506	endoplasmic reticulum membrane [GO:0005789]	
Pocillopora_acuta_HIv2___RNAseq.g4696.t1	Q9W2Q5	9.01e-69	Calcium and integrin-binding family member 2	calcium ion homeostasis [GO:0055074]; phototransduction [GO:0007602]	GO:0000287; GO:0005509; GO:0005737; GO:0007602; GO:0055074	cytoplasm [GO:0005737]	calcium ion binding [GO:0005509]; magnesium ion binding [GO:0000287]
Pocillopora_acuta_HIv2___RNAseq.g12425.t1	P12370	0	cAMP-dependent protein kinase catalytic subunit 1 (PKA C) (EC 2.7.11.11) (Protein kinase DC0)	anesthesia-resistant memory [GO:0007615]; anterior/posterior pattern specification, imaginal disc [GO:0007448]; cAMP-mediated signaling [GO:0019933]; cellular response to ethanol [GO:0071361]; imaginal disc-derived wing morphogenesis [GO:0007476]; modulation of chemical synaptic transmission [GO:0050804]; negative regulation of mitochondrial DNA replication [GO:0090298]; negative regulation of nucleocytoplasmic transport [GO:0046823]; negative regulation of smoothened signaling pathway [GO:0045879]; olfactory behavior [GO:0042048]; olfactory learning [GO:0008355]; oocyte anterior/posterior axis specification [GO:0007314]; oocyte microtubule cytoskeleton polarization [GO:0008103]; oogenesis [GO:0048477]; positive regulation of Atg1/ULK1 kinase complex assembly [GO:1905866]; positive regulation of gene expression [GO:0010628]; positive regulation of hippo signaling [GO:0035332]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of smoothened signaling pathway [GO:0045880]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of apoptotic process [GO:0042981]; regulation of bicoid mRNA localization [GO:0008359]; regulation of circadian sleep/wake cycle, sleep [GO:0045187]; regulation of pole plasm oskar mRNA localization [GO:0007317]; rhythmic behavior [GO:0007622]; signal transduction [GO:0007165]; sprouting of injured axon [GO:0048682]; thermosensory behavior [GO:0040040]	GO:0004674; GO:0004691; GO:0005524; GO:0005634; GO:0005759; GO:0005829; GO:0005886; GO:0005952; GO:0007165; GO:0007314; GO:0007317; GO:0007448; GO:0007476; GO:0007615; GO:0007622; GO:0008103; GO:0008355; GO:0008359; GO:0010628; GO:0019933; GO:0030425; GO:0032436; GO:0032956; GO:0035332; GO:0040040; GO:0042048; GO:0042981; GO:0043005; GO:0043025; GO:0044297; GO:0045187; GO:0045879; GO:0045880; GO:0046823; GO:0048477; GO:0048682; GO:0050804; GO:0071361; GO:0090298; GO:0106310; GO:1905866	cAMP-dependent protein kinase complex [GO:0005952]; cell body [GO:0044297]; cytosol [GO:0005829]; dendrite [GO:0030425]; mitochondrial matrix [GO:0005759]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; cAMP-dependent protein kinase activity [GO:0004691]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Pocillopora_acuta_HIv2___RNAseq.g31282.t1	B8VIU6	7.78e-21	Uncharacterized skeletal organic matrix protein 5 (Uncharacterized SOMP-5)		GO:0005576	extracellular region [GO:0005576]	
Pocillopora_acuta_HIv2___RNAseq.g31093.t1	B0FYY4	5.63e-169	Integrin beta-1 (Fibronectin receptor subunit beta) (Integrin subunit beta-1) (VLA-4 subunit beta) (CD antigen CD29)	cell adhesion mediated by integrin [GO:0033627]; cell migration [GO:0016477]; cell-cell adhesion [GO:0098609]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; integrin-mediated signaling pathway [GO:0007229]; muscle organ development [GO:0007517]; myoblast differentiation [GO:0045445]; myoblast fusion [GO:0007520]; negative regulation of vasoconstriction [GO:0045906]; positive regulation of cell migration [GO:0030335]; positive regulation of protein localization to plasma membrane [GO:1903078]; receptor internalization [GO:0031623]; regulation of collagen catabolic process [GO:0010710]	GO:0001968; GO:0005925; GO:0007229; GO:0007517; GO:0007520; GO:0009986; GO:0010710; GO:0016020; GO:0016477; GO:0019901; GO:0019960; GO:0030027; GO:0030335; GO:0031623; GO:0032587; GO:0033627; GO:0034679; GO:0042470; GO:0043236; GO:0045202; GO:0045445; GO:0045906; GO:0046872; GO:0046982; GO:0055037; GO:0071404; GO:0098609; GO:0098639; GO:0098640; GO:1903078	cell surface [GO:0009986]; focal adhesion [GO:0005925]; integrin alpha9-beta1 complex [GO:0034679]; lamellipodium [GO:0030027]; melanosome [GO:0042470]; membrane [GO:0016020]; recycling endosome [GO:0055037]; ruffle membrane [GO:0032587]; synapse [GO:0045202]	C-X3-C chemokine binding [GO:0019960]; collagen binding involved in cell-matrix adhesion [GO:0098639]; fibronectin binding [GO:0001968]; integrin binding involved in cell-matrix adhesion [GO:0098640]; laminin binding [GO:0043236]; metal ion binding [GO:0046872]; protein heterodimerization activity [GO:0046982]; protein kinase binding [GO:0019901]
Pocillopora_acuta_HIv2___TS.g13125.t1	Q9GZV8	3.12e-137	PR domain zinc finger protein 14 (EC 2.1.1.-) (PR domain-containing protein 14)	cell fate specification [GO:0001708]; cell morphogenesis [GO:0000902]; embryo implantation [GO:0007566]; fertilization [GO:0009566]; fibroblast growth factor receptor signaling pathway [GO:0008543]; germ cell development [GO:0007281]; germ-line stem cell population maintenance [GO:0030718]; homeostasis of number of cells within a tissue [GO:0048873]; inner cell mass cell fate commitment [GO:0001827]; methylation [GO:0032259]; negative regulation of fibroblast growth factor receptor signaling pathway [GO:0040037]; negative regulation of gene expression, epigenetic [GO:0045814]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of flagellated sperm motility [GO:1902093]; positive regulation of stem cell population maintenance [GO:1902459]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000122; GO:0000902; GO:0000977; GO:0001708; GO:0001827; GO:0003723; GO:0005634; GO:0005654; GO:0006357; GO:0007281; GO:0007566; GO:0008168; GO:0008270; GO:0008543; GO:0009566; GO:0030718; GO:0031490; GO:0032259; GO:0040037; GO:0043231; GO:0045814; GO:0048873; GO:0141107; GO:1902093; GO:1902459; GO:1990226	intracellular membrane-bounded organelle [GO:0043231]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]	chromatin DNA binding [GO:0031490]; histone methyltransferase binding [GO:1990226]; methyltransferase activity [GO:0008168]; methyltransferase regulator activity [GO:0141107]; RNA binding [GO:0003723]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; zinc ion binding [GO:0008270]
